country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	137568.005	138327.595	139145.945	139940.659	140528.6	141396.508	142237.855	142838.878	143118.158	143679.407	144425.526	144854.513	145559.356	146037.649	146309.502	146843.836	147470.575	147839.213	148097.618	148583.272	149163.295	149145.118	149429.005	149501.359	149589.04	149367.522	149546.472	148987.51	148446.026	148033.066	147636.799	147590.49	147485.462	147691.618	147537.222	147198.897	147353.627	147572.429	147499.648	148055.885	148282.07	148002.433	148345.352	148535.219	149071.706	149003.682	149327.644	149142.027	148788.291	149037.429	148969.921	148839.853	149089.962	149405.174	149434.302	148477.182	148040.066	148464.59	148445.067	148526.946	148925.941	149178.667	149680.115	148846.694	148772.683	148988.848	149425.359	149636.048	150180.353	149009.058	148933.49	149102.468	148924.604	148978.258	149641.237	149241.182	148485.771	148256.199	148103.289
1834	Sub-Saharan Africa	41095.77	41811.358	42494.483	43262.396	43968.074	44697.812	45418.741	46196.139	46870.229	47490.188	48241.046	48939.262	49557.308	50211.244	50821.945	51311.465	52003.152	52542.347	53084.475	53714.263	54196.522	54702.901	55158.984	55520.037	56288.259	56897.369	57080.709	57686.58	58240.351	58577.281	58930.157	59450.042	59905.398	60077.142	60667.366	61065.751	61568.785	62003.869	62524.05	62777.061	63251.026	63923.536	64636.918	64493.227	65008.431	65451.29	65641.973	66004.919	66334.415	66906.788	67274.391	67867.807	68425.03	68650.259	68929.317	68794.077	69311.924	69796.489	70307.341	70720.782	70870.834	71165.83	71454.032	71859.976	71843.898	72274.968	72764.265	72942.894	73744.124	73857.453	74397.014	74363.608	74970.733	75008.609	74752.806	75318.999	75534.319	75652.197	76089.133
1833	Northern Africa and Western Asia	12004.041	12034.748	12070.356	12114.254	12174.816	12232.186	12309.341	12345.956	12417.996	12509.981	12653.512	12772.282	12873.961	12984.734	13070.834	13184.864	13245.375	13331.981	13371.823	13457.466	13477.169	13567.444	13542.354	13603.225	13639.137	13671.257	13654.036	13639.844	13715.618	13650.481	13703.639	13734.287	13772.281	13777.992	13845.098	13885.316	13880.997	13895.123	13918.405	14021.129	14044.504	14017.781	14035.734	14146.84	14205.39	14236.169	14252.674	14260.193	14237.271	14318.298	14306.944	14310.085	14279.352	14374.271	14419.509	14443.915	14467.737	14473.05	14481.807	14483.997	14505.885	14511.506	14436.497	14506.336	14496.146	14436.842	14452.305	14451.024	14437.722	14523.821	14476.769	14520.395	14558.139	14604.401	14625.471	14575.134	14692.104	14697.287	14722.309
1831	Central and Southern Asia	40082.107	40420.563	40621.899	40746.201	40751.29	41014.77	41140.229	41214.253	41409.56	41191.654	41352.377	41435.531	41340.367	41375.154	41227.757	41053.579	40858.832	40486.454	40472.914	40412.011	40436.067	40391.953	40169.783	40130.488	39957.621	39794.529	39764.112	39711.688	39714.014	39775.765	39781.406	39523.205	39728.795	39710.192	39730.909	39585.053	39878.528	39916.118	39966.132	39917.12	39789.419	39922.537	39729.574	39702.459	39619.519	39541.252	39564.215	39518.449	39253.41	39215.889	39112.825	38950.477	38953.802	39056.371	38940.9	38968.834	38828.039	38729.991	38615.856	38565.742	38607.407	38578.543	38690.299	38634.838	38550.84	38256.16	38327.1	38631.957	38637.871	38444.995	38288.692	38324.131	38236.618	38136.283	38025.253	38057.487	37948.388	37814.345	37576.735
1832	Eastern and South-Eastern Asia	25022.597	24974.348	24981.893	24927.495	24889.654	24827.46	24744.785	24679.917	24657.2	24607.166	24561.02	24533.779	24566.407	24576.864	24596.971	24710.565	24861.421	24839.731	24837.17	24868.218	24893.498	24863.156	24864.552	24724.785	24509.645	24233.497	23870.849	23458.204	23064.837	22557.308	22276.748	21955.093	21566.557	21302.948	20968.336	20826.169	20716.801	20543.542	20502.119	20391.402	20320.702	20264.152	20295.757	20258.779	20230.575	20269.589	20268.441	20394.16	20368.568	20429.66	20392.847	20188.825	20194.286	20206.203	20009.724	19800.246	19743.545	19519.723	19368.413	19181.363	18955.925	18768.822	18590.235	18378.87	18113.13	18002.668	17841.705	17727.427	17616.858	17507.362	17406.743	17367.316	17339.778	17368.725	17369.131	17378.433	17349.728	17303.258	17180.936
1830	Latin America and the Caribbean	10030.441	10056.283	10065.176	10102.01	10103.06	10089.718	10032.234	10060.798	10043.83	10020.42	10001.74	9952.753	9917.492	9891.895	9846.349	9769.05	9726.886	9658.549	9604.936	9521.163	9461.013	9366.32	9321.525	9295.112	9235.04	9210.898	9101.895	9074.207	9022.004	8971.219	8929.171	8905.57	8876.486	8846.966	8825.042	8839.634	8863.275	8811.808	8790.691	8745.265	8701.143	8668.685	8602.116	8527.066	8502.883	8486.564	8467.688	8413.946	8320.508	8254.596	8228.142	8233.693	8183.555	8116.797	8067.423	8052.432	8025.586	7995.998	7976.414	7941.743	7938.263	7935.908	7894.293	7850.865	7816.457	7810.857	7780.834	7715.482	7741.641	7683.767	7654.899	7637.115	7623.601	7585.756	7543.883	7546.998	7541.337	7561.133	7497.037
1835	Oceania (excluding Australia and New Zealand)	377.461	380.835	382.213	384.519	385.82	390.179	390.755	393.367	396.991	399.576	402.251	404.335	406.548	410.863	410.87	413.343	417.506	419.798	421.991	423.623	427.565	432.282	434.173	440.115	442.988	447.453	452.578	454.822	455.164	461.604	463.569	467.018	468.875	471.17	475.479	479.697	481.419	485.174	485.017	490.348	492.588	490.917	493.015	496.053	492.688	493.571	499.736	497.247	504.447	510.596	510.809	511.233	511.528	513.524	510.433	513.444	518.087	515.403	517.342	520.098	519.108	525.458	526.505	528.711	525.908	528.351	526.708	528.708	527.939	531.391	534.352	536.175	533.241	534.106	538.416	535.252	534.921	538.188	534.611
1836	Australia/New Zealand	384.991	390.967	395.334	399.615	400.501	403.677	404.582	405.272	407.476	406.033	405.438	407.902	408.455	410.736	411.498	414.788	416.191	418.368	421.36	423.092	426.705	431.316	431.134	436.187	436.974	436.356	435.682	439.132	441.032	440.482	440.869	442.022	441.73	443.899	447.212	449.652	450.275	451.046	453.891	456.827	457.275	458.985	459.326	460.69	462.399	465.245	466.952	469.529	473.804	475.116	472.833	479.181	482.679	486.323	487.476	487.052	489.968	492.783	494.023	496.479	494.611	496.569	495.742	501.123	501.582	502.982	502.141	505.569	507.283	511.425	515.302	517.375	518.85	516.222	520.071	521.776	525.021	525.573	525.317
1829	Europe and Northern America	11246.555	11316.697	11352.883	11351.485	11364.657	11337.822	11385.052	11363.079	11402.892	11391.473	11453.65	11494.315	11523.888	11562.641	11576.209	11641.475	11668.976	11697.718	11667.38	11700.9	11699.195	11722.829	11699.84	11677.36	11635.198	11571.884	11514.524	11444.516	11364.982	11295.444	11193.647	11158.234	11120.49	11090.276	11063.147	11018.573	11042.273	11049.274	11038.348	11046.856	11052.064	11128.024	11113.622	11118.351	11176.309	11218.569	11242.785	11247.768	11250.231	11239.162	11227.437	11240.032	11318.896	11328.824	11244.956	11234.236	11249.822	11229.114	11189.394	11217.476	11185.116	11137.526	11110.262	11075.114	11074.052	11067.174	11080.402	11043.551	11006.424	10981.138	11047.651	11027.459	11108.775	11104.526	11159.417	11131.531	11211.097	11228.921	11237.871
901	More developed regions	12443.345	12535.12	12565.522	12576.87	12577.114	12586.094	12614.935	12581.97	12629.473	12619.274	12665.126	12701.613	12727.69	12784.174	12789.289	12847.79	12885.564	12908.01	12881.73	12903.084	12916.521	12920.744	12864.629	12839.141	12792.087	12715.848	12658.224	12573.213	12480.097	12380.332	12296.096	12261.977	12206.359	12165.561	12144.13	12124.998	12146.116	12177.813	12169.269	12147.541	12160.845	12220.531	12225.374	12197.314	12257.741	12244.354	12302.308	12357.109	12325.672	12360.884	12338.405	12315.458	12370.92	12369.955	12313.307	12348.262	12317.058	12291.08	12230.108	12218.351	12233.741	12164.572	12080.623	12085.781	12065.273	12051.187	12080.088	12054.958	12015.71	12002.796	12047.662	12079.998	12096.125	12098.277	12149.11	12154.609	12202.159	12216.568	12224.907
