country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	128599.71	127596.685	126827.799	126200.248	125738.963	125877.35	125386.54	125195.496	124547.425	123946.915	124023.359	124189.597	124099.379	123937.738	123941.273	123975.365	123472.369	123537.42	123271.387	123060.777	122829.565	122149.207	122138.679	121910.802	121424.013	120455.355	119503.709	118371.518	117549.583	116439.784	115288.385	114410.158	113710.001	113058.97	112261.804	110983.671	109630.085	109275.788	108233.414	107557.545	106618.26	105701.133	105292.789	105200.733	104588.773	104212.039	103498.493	102914.584	102489.685	101300.59	101141.694	99478.102	98871.95	97726.196	97773.644	96704.444	95541.101	96039.129	95426.478	93747.193	92611.736	91918.826	91051.393	89645.844	88524.346	87651.302	86876.32	85292.756	85134.158	84461.442	83748.716	82872.186	82129.356	81933.602	81055.139	79876.022	78774.707	78187.658	77458.726
1834	Sub-Saharan Africa	38011.111	38167.812	38379.858	38712.267	38992.296	39225.054	39392.66	39784.332	39994.272	40011.99	40266.929	40515.465	40712.771	41042.718	41058.854	41202.164	41386.396	41514.636	41542.607	41742.289	41696.141	41779.303	41624.45	41762.954	41872.572	41758.436	41420.18	41154.757	41364.183	40862.609	40621.247	40572.604	40311.777	39740.646	39577.695	39363.488	39134.384	39010.305	38628.969	38499.901	38711.134	38616.578	38496.316	38340.012	38166.692	37682.326	37549.175	37318.721	37124.278	36591.375	36413.588	36216.85	35716.37	35523.314	35349.8	34895.351	34414.754	34041.447	33591.702	33270.852	33205.594	32800.639	32833.879	32472.239	32058.968	31680.329	31311.754	30599.407	30386.54	30176.985	29448.915	28842.572	28632.321	28511.032	28018.148	27706.243	27332.053	26905.768	26649.159
1833	Northern Africa and Western Asia	10765.16	10674.024	10554.017	10499.754	10417.025	10375.719	10317.94	10298.875	10281.387	10321.959	10355.579	10392.759	10469.715	10460.085	10469.041	10443.121	10474.747	10481.351	10449.914	10497.632	10450.414	10466.9	10397.229	10348.214	10267.054	10176.426	10091.044	9985.745	9928.404	9815.146	9755.974	9663.498	9543.868	9444.401	9370.743	9317.826	9254.162	9164.102	9111.468	9069.04	8987.617	8869.6	8800.838	8732.276	8686.782	8660.292	8612.718	8511.966	8459.297	8418.497	8366.764	8240.596	8146.616	8078.953	8017.357	7973.336	7889.032	7876.959	7771.118	7690.449	7573.838	7464.535	7354.023	7307.849	7161.801	7023.96	6988.071	6951.643	6756.219	6742.463	6666.388	6582.898	6569.14	6500.55	6464.189	6416.396	6335.9	6277.712	6234.575
1831	Central and Southern Asia	34357.884	33634.806	33041.233	32801.988	32485.701	32039.706	31730.487	31318.019	30960.781	30664.828	30690.88	30239.344	29979.947	29637.271	29344.217	29307.637	28745.844	28693.916	28381.304	28002.406	27923.176	27623.078	27220.024	27116.969	26604.407	26403.878	25923.164	25775.148	25444.564	25056.179	24652.2	24033.849	24047.487	23684.996	23239.681	22979.44	22451.259	22287.603	22295.141	22155.441	21756.319	21487.107	21258.322	21302.606	21057.515	20676.607	20624.61	20383.912	20161.597	19799.009	19421.725	19089.555	18823.255	18763.088	18743.285	18480.3	17930.789	17962.586	17594.573	17384.923	17155.014	17107.028	16994.292	16660.241	16352.525	16171.477	16048.626	15709.339	15537.298	15456.378	15180.016	14970.158	14955.09	14807.814	14597.88	14392.152	14213.78	14114.267	13900.714
1832	Eastern and South-Eastern Asia	21260.916	20925.622	20448.535	20127.181	19653.319	19426.536	19168.77	18904.837	18780.802	18580.036	18383.078	18284.63	18082.117	17963.559	17939.502	18030.423	17812.455	17844.736	17880.308	17737.859	17638.589	17421.613	17514.756	17194.652	17055.703	16804.015	16433.097	15998.849	15711.956	15477.639	15068.494	14719.611	14390.708	13962.125	13588.515	13327.153	13108.238	12916.882	12953.52	12825.544	12678.768	12454.721	12286.586	12133.229	12085.712	12017.601	11743.937	11703.389	11587.246	11617.087	11454.772	11479.476	11346.36	11239.542	11042.449	10800.686	10811.976	10711.89	10509.462	10385.602	10231.132	10017.909	9829.263	9611.317	9544.674	9454.185	9248.814	8886.604	8892.42	8776.032	8635.415	8515.937	8494.687	8348.29	8238.516	8089.488	8088.036	7953.24	7764.469
1830	Latin America and the Caribbean	9049.458	8861.501	8714.506	8577.657	8529.149	8411.041	8320.608	8204.506	8174.265	8096.032	8012.998	7912.284	7813.033	7750.541	7684.045	7632.468	7558.035	7469.695	7394.285	7297.573	7230.111	7084.233	7054.078	6976.973	6871.427	6818.87	6761.34	6633.148	6519.199	6487.018	6436.331	6358.413	6297.101	6229.016	6181.26	6028.894	5959.524	5911.602	5837.922	5726.643	5687.887	5579.241	5514.306	5458.386	5412.152	5301.858	5154.619	5138.065	5119.093	5006.682	4927.684	4907.023	4849.528	4790.587	4769.988	4705.954	4670.358	4632.701	4541.262	4532.586	4449.223	4400.232	4363.845	4299.939	4263.014	4223.639	4165.604	4112.235	4071.288	4004.128	3888.471	3880.026	3861.387	3801.381	3752.881	3726.473	3668.622	3668.233	3620.694
1835	Oceania (excluding Australia and New Zealand)	262.786	260.998	259.066	257.747	257.909	257.952	257.088	256.359	257.97	256.149	256.288	255.494	256.277	256.402	258.142	256.851	258.215	258.548	257.069	257.726	257.698	257.683	250.445	250.601	249.275	245.563	243.801	238.571	236.105	237.275	234.722	231.226	225.692	221.81	219.801	219.39	215.065	211.739	209.707	207.908	208.166	204.382	205.359	204.14	204.614	203.142	200.97	202.211	202.402	203.821	199.768	198.849	196.426	193.718	190.45	187.369	184.572	182.117	180.439	178.629	176.815	178.082	174.288	171.269	167.221	166.363	162.632	159.91	159.813	158.044	157.046	157.237	155.68	153.87	154.523	150.812	148.032	148.024	144.757
1836	Australia/New Zealand	332.188	328.742	325.491	322.04	315.992	311.245	307.663	305.649	300.794	299.496	296.375	295.125	293.575	288.152	287.026	286.504	284.19	284.839	284.792	286.624	288.089	289.556	285.067	288.444	283.133	283.823	283.188	281.654	281.61	275.753	272.885	270.416	269.957	265.966	264.654	263.719	261.191	257.011	256.917	257.2	252.834	249.259	247.232	248.378	242.201	242.083	242.685	243.287	238.357	240.041	235.519	233.091	233.194	230.466	230.196	229.074	228.68	227.972	227.443	226.135	227.455	224.882	225.426	224.594	224.447	224.644	220.351	222.458	221.773	221.152	218.706	216.878	215.65	213.787	209.827	208.12	207.076	208.297	208.768
1829	Europe and Northern America	10419.025	10241.627	10129.999	9979.394	9839.701	9759.235	9643.685	9574.534	9574.85	9501.628	9480.979	9413.822	9446.982	9399.009	9399.383	9448.942	9419.504	9443.702	9422.257	9359.51	9356.008	9316.426	9280.804	9181.373	9137.297	9031.844	8913.215	8804.399	8704.663	8599.867	8484.195	8343.368	8303.853	8143.415	8089.236	7990.571	7886.994	7879.487	7796.496	7755.497	7698.053	7661.547	7635.033	7569.179	7524.48	7534.17	7528.7	7496.127	7437.111	7409.612	7332.613	7338.747	7331.359	7278.022	7241.995	7241.884	7220.117	7105.327	7120.006	7044.86	6913.656	6913.124	6877.358	6716.07	6738.044	6681.873	6642.782	6596.114	6540.838	6521.417	6513.049	6467.583	6487.935	6450.287	6394.306	6299.972	6281.316	6308.272	6208.441
901	More developed regions	11563.138	11407.783	11263.005	11117.574	10969.392	10898.663	10755.972	10714.448	10664.746	10584.365	10559.988	10532.222	10522.58	10492.586	10473.103	10535.601	10540.76	10537.355	10513.263	10438.108	10458.088	10404.599	10347.059	10235.171	10115.462	10026.8	9925.149	9842.751	9709.435	9625.918	9490.826	9345.686	9253.559	9140.582	9050.962	8920.364	8857.386	8803.554	8714.938	8703.116	8621.3	8618.178	8514.476	8457.854	8469.601	8442.705	8472.866	8443.04	8348.616	8369.589	8259.295	8204.836	8174.541	8153.956	8120.92	8104.3	8071.804	7968.687	8006.366	7890.878	7770.47	7762.178	7691.584	7630.655	7602.674	7521.725	7490.163	7480.246	7361.805	7342.824	7308.524	7316.378	7290.614	7208.492	7196.223	7085.534	7075.88	7090.48	7025.15
