country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	17.519	17.487	17.435	17.376	17.293	17.28	17.223	17.165	17.108	17.01	16.972	16.905	16.85	16.784	16.705	16.682	16.596	16.507	16.421	16.4	16.301	16.27	16.213	16.106	16.034	15.93	15.825	15.675	15.533	15.404	15.396	15.322	15.243	15.185	15.161	15.118	15.087	14.952	14.963	14.909	14.876	14.857	14.869	14.807	14.834	14.854	14.716	14.752	14.719	14.695	14.634	14.565	14.522	14.501	14.443	14.399	14.448	14.423	14.4	14.496	14.417	14.354	14.38	14.4	14.335	14.348	14.362	14.42	14.415	14.375	14.364	14.405	14.483	14.46	14.45	14.34	14.505	14.475	14.428
1834	Sub-Saharan Africa	35.623	35.365	35.032	34.822	34.507	34.32	34.085	33.845	33.465	33.144	32.894	32.478	32.242	31.946	31.638	31.22	30.99	30.622	30.412	30.086	29.815	29.645	29.236	28.916	28.779	28.489	28.142	27.936	27.657	27.296	27.12	26.888	26.65	26.428	26.24	26.14	25.788	25.516	25.506	25.28	24.963	24.698	24.453	24.38	24.268	24.21	24.027	23.712	23.606	23.526	23.301	23.183	23.102	23.026	22.823	22.622	22.532	22.378	22.417	22.318	22.126	22.057	22.046	22.001	21.981	21.91	21.785	21.738	21.689	21.643	21.597	21.535	21.45	21.262	21.315	21.14	21	20.888	21.029
1833	Northern Africa and Western Asia	22.009	21.792	21.54	21.314	21.113	20.893	20.741	20.572	20.523	20.427	20.329	20.29	20.135	20.094	19.982	19.872	19.753	19.579	19.483	19.387	19.148	19.007	18.854	18.693	18.634	18.487	18.4	18.247	18.15	17.821	17.821	17.715	17.661	17.567	17.494	17.351	17.336	17.102	16.982	16.961	16.909	16.824	16.871	16.802	16.721	16.72	16.549	16.459	16.32	16.273	16.228	16.107	16.099	16.15	16.073	15.976	16.01	15.923	15.807	15.87	15.704	15.611	15.544	15.563	15.397	15.411	15.306	15.289	15.215	15.104	15.068	15.012	15.055	14.974	14.991	14.93	14.87	14.788	14.732
1831	Central and Southern Asia	19.805	19.771	19.707	19.696	19.537	19.422	19.347	19.22	19.054	18.94	18.774	18.531	18.355	18.103	18.036	17.914	17.543	17.343	17.133	16.964	16.857	16.593	16.54	16.419	16.227	16.069	16	15.95	15.784	15.639	15.689	15.677	15.713	15.671	15.654	15.498	15.485	15.443	15.471	15.428	15.28	15.218	15.268	15.248	15.18	15.13	15.048	14.93	14.826	14.693	14.568	14.592	14.542	14.35	14.326	14.353	14.28	14.376	14.349	14.335	14.343	14.439	14.412	14.54	14.477	14.501	14.53	14.459	14.426	14.304	14.461	14.536	14.433	14.444	14.323	14.339	14.322	14.159	14.233
1832	Eastern and South-Eastern Asia	11.01	11.004	10.982	10.966	10.939	10.882	10.84	10.801	10.797	10.759	10.726	10.723	10.76	10.793	10.781	10.82	10.932	10.885	10.932	10.96	11.005	10.948	10.98	10.845	10.804	10.724	10.601	10.518	10.335	10.213	10.096	9.995	9.892	9.76	9.693	9.608	9.606	9.585	9.628	9.612	9.699	9.734	9.756	9.822	9.848	9.938	9.989	10.029	10.078	10.15	10.237	10.262	10.277	10.323	10.37	10.31	10.325	10.324	10.251	10.2	10.134	10.188	10.12	9.993	10.044	10.002	10	9.956	9.998	10.036	10.089	10.142	10.096	10.185	10.17	10.167	10.247	10.351	10.41
1830	Latin America and the Caribbean	15.517	15.471	15.419	15.318	15.281	15.198	15.021	14.939	14.842	14.703	14.598	14.506	14.433	14.244	14.18	13.954	13.799	13.68	13.485	13.378	13.211	13.05	13.026	12.915	12.81	12.724	12.674	12.555	12.526	12.358	12.299	12.192	12.156	12.15	12.067	12.078	12.11	12.136	12.133	12.029	12.039	11.98	11.978	11.914	11.864	11.782	11.777	11.748	11.697	11.699	11.651	11.569	11.546	11.519	11.541	11.502	11.437	11.429	11.381	11.293	11.394	11.343	11.29	11.306	11.326	11.272	11.339	11.418	11.423	11.332	11.366	11.328	11.342	11.302	11.338	11.406	11.43	11.471	11.44
1835	Oceania (excluding Australia and New Zealand)	29.099	28.758	28.538	28.156	27.773	27.617	27.147	26.842	26.742	26.347	26.076	25.82	25.681	25.482	25.131	24.842	24.589	24.518	24.373	24.273	24.126	24.051	23.641	23.932	23.812	23.832	23.766	23.606	23.672	23.384	23.39	23.278	23.221	23.038	23.055	23.005	22.887	22.511	22.304	22.202	22.01	22.019	22.078	21.609	21.512	21.555	21.444	21.446	21.52	21.087	20.995	21.027	20.828	20.61	20.43	20.343	20.533	20.287	20.348	20.282	19.974	20.026	20.044	19.594	19.438	19.215	19.152	19.086	19.149	19.264	19.439	19.191	19.095	18.966	18.825	18.833	18.603	18.572	18.475
1836	Australia/New Zealand	12.585	12.727	12.769	12.852	12.876	12.727	12.701	12.622	12.592	12.46	12.355	12.29	12.313	12.208	12.156	12.254	12.2	12.175	12.197	12.185	12.181	12.179	12.179	12.176	12.218	12.156	12.132	12.168	12.122	12.014	12.014	11.902	11.986	11.959	11.956	11.986	11.91	11.953	11.976	12.004	12.031	11.966	11.91	11.811	11.888	11.827	11.834	11.959	11.894	11.878	11.806	11.721	11.788	11.911	11.922	11.875	12.004	12.011	11.988	11.949	12.004	12.013	11.961	12.05	11.868	11.892	11.833	11.907	11.934	11.91	11.932	12.047	11.994	11.999	12.108	12.018	12.096	12.004	12.163
1829	Europe and Northern America	10.201	10.268	10.323	10.314	10.328	10.341	10.375	10.377	10.384	10.399	10.447	10.468	10.443	10.495	10.55	10.573	10.6	10.62	10.598	10.617	10.676	10.644	10.654	10.64	10.56	10.537	10.478	10.471	10.413	10.382	10.35	10.262	10.259	10.254	10.246	10.252	10.296	10.3	10.309	10.328	10.457	10.468	10.518	10.566	10.616	10.662	10.653	10.648	10.65	10.741	10.72	10.744	10.781	10.794	10.721	10.732	10.764	10.729	10.709	10.695	10.658	10.621	10.618	10.657	10.647	10.625	10.658	10.7	10.745	10.728	10.807	10.9	10.848	10.864	10.922	10.944	10.972	10.971	10.965
901	More developed regions	9.898	9.992	10.036	10.04	10.05	10.088	10.118	10.126	10.134	10.153	10.23	10.208	10.231	10.268	10.302	10.338	10.324	10.347	10.337	10.333	10.384	10.393	10.388	10.401	10.302	10.284	10.203	10.16	10.146	10.101	10.058	10.002	9.99	10.005	10.027	9.988	10.038	10.047	10.095	10.099	10.182	10.207	10.298	10.333	10.366	10.381	10.385	10.412	10.404	10.466	10.491	10.53	10.564	10.54	10.521	10.512	10.535	10.505	10.471	10.432	10.419	10.422	10.423	10.446	10.392	10.407	10.437	10.513	10.511	10.536	10.554	10.656	10.563	10.597	10.695	10.705	10.728	10.725	10.689
