country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	8.209	7.368	7.301	7.33	7.37	7.422	7.472	7.511	7.557	7.614	7.669	7.742	7.794	7.865	7.944	8.016	8.088	8.159	8.232	8.309	8.376	8.461	8.538	8.611	8.681	8.762	8.847	8.907	8.969	9.036	9.095	9.168	9.235	9.304	9.36	9.434	9.503	9.564	9.62	9.684	9.723	9.768	9.828	9.894	9.921	9.974	9.998	10.045	10.104	10.134	10.187	10.234	10.283	10.332	10.38	10.39	10.444	10.48	10.54	10.535	10.569	10.572	10.611	10.602	10.594	10.586	10.611	10.614	10.625	10.614	10.643	10.666	10.659	10.689	10.724	10.717	10.733	10.741	10.753
1834	Sub-Saharan Africa	8.635	8.182	7.814	7.727	7.633	7.556	7.487	7.398	7.301	7.214	7.146	7.096	7.039	6.995	6.919	6.89	6.852	6.818	6.781	6.761	6.735	6.706	6.675	6.653	6.648	6.624	6.628	6.63	6.624	6.614	6.61	6.599	6.59	6.619	6.634	6.63	6.627	6.654	6.679	6.691	6.71	6.742	6.762	6.783	6.822	6.855	6.868	6.918	6.968	7.021	7.066	7.089	7.126	7.163	7.191	7.259	7.296	7.333	7.404	7.456	7.516	7.583	7.613	7.672	7.732	7.781	7.844	7.877	7.938	7.976	8.031	8.105	8.163	8.222	8.27	8.349	8.373	8.407	8.49
1833	Northern Africa and Western Asia	5.266	5.055	4.858	4.877	4.902	4.933	4.961	5.004	5.038	5.094	5.138	5.205	5.266	5.309	5.371	5.444	5.506	5.577	5.656	5.725	5.792	5.849	5.926	6.001	6.091	6.164	6.248	6.334	6.404	6.495	6.56	6.646	6.718	6.787	6.887	6.972	7.043	7.117	7.197	7.304	7.377	7.46	7.537	7.593	7.685	7.773	7.807	7.832	7.894	7.94	7.992	8.033	8.065	8.1	8.116	8.128	8.15	8.187	8.218	8.238	8.252	8.274	8.26	8.323	8.295	8.355	8.371	8.374	8.386	8.455	8.481	8.514	8.579	8.584	8.636	8.692	8.728	8.767	8.818
1831	Central and Southern Asia	7.674	5.984	5.96	5.955	5.933	5.963	5.987	6.066	6.037	6.078	6.115	6.169	6.227	6.266	6.32	6.378	6.449	6.499	6.584	6.581	6.645	6.694	6.77	6.834	6.875	6.961	7.004	7.094	7.175	7.258	7.364	7.352	7.471	7.532	7.62	7.666	7.793	7.905	7.987	8.07	8.187	8.271	8.382	8.446	8.504	8.616	8.716	8.812	8.902	8.966	9.076	9.182	9.242	9.415	9.409	9.497	9.553	9.604	9.722	9.84	9.869	9.915	9.962	10.034	10.057	10.17	10.127	10.198	10.185	10.17	10.209	10.207	10.226	10.312	10.35	10.367	10.311	10.335	10.356
1832	Eastern and South-Eastern Asia	7.405	7.186	7.245	7.343	7.438	7.53	7.662	7.757	7.868	7.998	8.135	8.274	8.412	8.558	8.707	8.879	9.033	9.246	9.416	9.593	9.758	9.958	10.098	10.285	10.414	10.576	10.765	10.879	11.073	11.206	11.38	11.587	11.7	11.829	12.042	12.185	12.302	12.412	12.578	12.736	12.796	12.892	12.972	13.072	13.122	13.14	13.185	13.207	13.192	13.228	13.258	13.332	13.359	13.424	13.497	13.555	13.634	13.666	13.705	13.675	13.659	13.68	13.686	13.608	13.616	13.56	13.489	13.396	13.325	13.225	13.16	13.176	13.152	13.115	13.193	13.168	13.141	13.145	13.191
1830	Latin America and the Caribbean	7.274	6.379	6.356	6.402	6.426	6.474	6.537	6.582	6.655	6.71	6.777	6.865	6.924	7.016	7.113	7.221	7.323	7.413	7.514	7.619	7.724	7.83	7.932	8.017	8.134	8.245	8.366	8.488	8.574	8.69	8.806	8.892	9.027	9.134	9.242	9.315	9.439	9.543	9.648	9.767	9.843	9.965	10.095	10.174	10.3	10.371	10.496	10.58	10.717	10.834	10.926	10.982	11.102	11.187	11.248	11.338	11.405	11.497	11.57	11.649	11.731	11.819	11.886	11.921	11.897	12.007	12.063	12.048	12.087	12.066	12.08	12.056	12.096	12.077	12.094	12.052	12.051	12.041	12.013
1835	Oceania (excluding Australia and New Zealand)	5.915	5.897	5.827	5.8	5.804	5.8	5.757	5.796	5.83	5.811	5.822	5.869	5.906	5.969	6.009	6.069	6.103	6.118	6.174	6.234	6.258	6.24	6.319	6.384	6.454	6.51	6.546	6.584	6.616	6.705	6.657	6.695	6.77	6.803	6.905	6.913	6.92	6.986	7.01	7.088	7.16	7.138	7.14	7.133	7.173	7.197	7.25	7.272	7.364	7.318	7.376	7.386	7.467	7.479	7.464	7.566	7.714	7.717	7.733	7.753	7.748	7.75	7.766	7.752	7.809	7.82	7.914	7.84	7.769	7.891	7.822	7.907	7.936	7.956	7.982	7.936	8.028	8.071	8.101
1836	Australia/New Zealand	6.343	6.338	6.329	6.338	6.379	6.444	6.457	6.518	6.593	6.617	6.702	6.807	6.885	6.945	7.011	7.125	7.188	7.307	7.419	7.525	7.618	7.67	7.715	7.733	7.775	7.829	7.884	7.901	7.917	7.949	8.001	8.02	8.07	8.153	8.12	8.14	8.149	8.192	8.175	8.144	8.209	8.195	8.166	8.211	8.25	8.197	8.213	8.216	8.157	8.262	8.364	8.365	8.421	8.439	8.518	8.562	8.643	8.714	8.811	8.844	8.914	8.978	8.933	8.961	8.972	8.938	8.962	8.889	8.889	8.853	8.809	8.806	8.776	8.683	8.643	8.534	8.525	8.547	8.469
1829	Europe and Northern America	11.307	9.949	9.762	9.812	9.85	9.902	9.948	10.012	10.088	10.134	10.225	10.295	10.366	10.477	10.554	10.658	10.768	10.872	10.967	11.084	11.165	11.278	11.333	11.455	11.514	11.56	11.642	11.733	11.79	11.823	11.887	11.936	11.953	11.987	12.005	11.995	12.009	12.007	12.02	12.025	12.03	12.016	11.972	11.939	11.945	11.94	11.925	11.873	11.876	11.849	11.826	11.802	11.798	11.768	11.749	11.754	11.717	11.709	11.694	11.662	11.62	11.562	11.533	11.488	11.43	11.398	11.378	11.326	11.252	11.172	11.139	11.132	11.089	11.073	11.048	11.044	11.031	11.01	11.017
901	More developed regions	11.305	10.129	9.975	10.019	10.063	10.113	10.173	10.251	10.327	10.386	10.469	10.538	10.62	10.727	10.823	10.934	11.027	11.134	11.196	11.305	11.381	11.48	11.573	11.646	11.699	11.738	11.788	11.857	11.908	11.943	11.996	12.035	12.06	12.064	12.131	12.13	12.121	12.136	12.144	12.166	12.171	12.187	12.162	12.148	12.138	12.153	12.14	12.097	12.088	12.05	12.029	12.01	11.98	11.944	11.912	11.92	11.857	11.85	11.81	11.764	11.712	11.666	11.621	11.584	11.545	11.495	11.47	11.431	11.366	11.307	11.279	11.246	11.204	11.206	11.191	11.155	11.177	11.136	11.132
