country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	8.625	7.755	7.738	7.814	7.893	7.978	8.055	8.116	8.197	8.283	8.365	8.467	8.538	8.65	8.736	8.814	8.919	9.005	9.098	9.179	9.275	9.353	9.444	9.52	9.624	9.701	9.786	9.865	9.954	10.04	10.11	10.193	10.265	10.35	10.409	10.484	10.588	10.645	10.729	10.814	10.892	10.938	11.008	11.082	11.144	11.237	11.27	11.336	11.418	11.472	11.528	11.591	11.668	11.733	11.8	11.839	11.925	12.007	12.066	12.138	12.175	12.201	12.274	12.313	12.33	12.34	12.409	12.411	12.452	12.516	12.538	12.623	12.665	12.715	12.763	12.819	12.859	12.88	12.96
1834	Sub-Saharan Africa	9.204	8.81	8.509	8.485	8.43	8.389	8.363	8.312	8.258	8.21	8.183	8.166	8.13	8.111	8.029	8.039	8.031	8.03	8.006	7.99	7.995	7.971	7.96	7.982	7.987	7.989	7.99	7.994	7.992	8.01	8.007	8.013	8.02	8.054	8.081	8.091	8.12	8.177	8.203	8.251	8.292	8.35	8.398	8.461	8.515	8.564	8.592	8.661	8.728	8.82	8.898	8.95	9.025	9.085	9.166	9.256	9.323	9.391	9.505	9.568	9.668	9.724	9.827	9.934	10.033	10.11	10.205	10.336	10.447	10.527	10.622	10.709	10.823	10.921	11.028	11.114	11.187	11.259	11.365
1833	Northern Africa and Western Asia	5.664	5.484	5.292	5.345	5.417	5.485	5.537	5.613	5.685	5.759	5.836	5.907	5.992	6.069	6.148	6.215	6.322	6.39	6.48	6.565	6.643	6.733	6.822	6.928	7.03	7.127	7.229	7.325	7.415	7.508	7.623	7.739	7.83	7.934	8.041	8.155	8.252	8.363	8.476	8.598	8.714	8.85	8.954	9.027	9.142	9.241	9.338	9.41	9.486	9.567	9.654	9.749	9.797	9.851	9.909	9.971	10.018	10.084	10.144	10.177	10.239	10.305	10.333	10.425	10.458	10.558	10.623	10.665	10.747	10.856	10.895	10.992	11.055	11.132	11.259	11.313	11.459	11.534	11.643
1831	Central and Southern Asia	8.839	6.853	6.943	7.051	7.125	7.221	7.322	7.443	7.496	7.608	7.712	7.785	7.929	8.027	8.114	8.234	8.333	8.44	8.575	8.606	8.741	8.781	8.907	8.985	9.131	9.232	9.309	9.446	9.551	9.713	9.852	9.908	9.996	10.124	10.261	10.394	10.538	10.709	10.822	10.934	11.069	11.146	11.281	11.459	11.511	11.71	11.828	11.952	12.078	12.153	12.309	12.374	12.518	12.671	12.697	12.856	13.037	13.168	13.284	13.426	13.488	13.559	13.656	13.765	13.831	13.986	14.04	14.178	14.256	14.371	14.394	14.483	14.543	14.631	14.654	14.738	14.763	14.817	14.949
1832	Eastern and South-Eastern Asia	8.248	8.188	8.357	8.531	8.721	8.902	9.058	9.243	9.465	9.657	9.884	10.102	10.365	10.595	10.791	11.039	11.268	11.509	11.686	11.909	12.151	12.312	12.512	12.697	12.853	13.037	13.248	13.446	13.672	13.848	14.069	14.235	14.365	14.602	14.777	14.933	15.084	15.186	15.339	15.467	15.588	15.705	15.811	15.905	15.974	16.032	16.106	16.176	16.185	16.309	16.363	16.486	16.53	16.65	16.698	16.865	17.01	17.066	17.143	17.196	17.188	17.273	17.226	17.25	17.245	17.209	17.223	17.148	17.047	17.11	17.082	17.123	17.181	17.305	17.419	17.441	17.525	17.605	17.661
1830	Latin America and the Caribbean	7.899	6.905	6.947	7.039	7.133	7.222	7.331	7.405	7.537	7.617	7.723	7.842	7.939	8.073	8.173	8.311	8.439	8.584	8.714	8.861	9	9.134	9.217	9.312	9.465	9.587	9.723	9.853	9.982	10.127	10.233	10.366	10.478	10.58	10.73	10.837	10.979	11.073	11.215	11.366	11.477	11.6	11.761	11.934	12.055	12.217	12.371	12.471	12.645	12.756	12.922	13.022	13.174	13.274	13.362	13.525	13.645	13.784	13.901	13.988	14.075	14.219	14.351	14.422	14.518	14.613	14.75	14.797	14.877	14.876	14.937	15.009	15.084	15.141	15.215	15.231	15.284	15.36	15.387
1835	Oceania (excluding Australia and New Zealand)	6.924	7.027	7.087	7.167	7.279	7.414	7.471	7.561	7.672	7.774	7.834	7.928	8.024	8.143	8.265	8.37	8.502	8.626	8.674	8.786	8.864	8.965	9.073	9.152	9.336	9.437	9.521	9.6	9.73	9.876	9.941	10.006	10.116	10.222	10.434	10.567	10.614	10.674	10.857	10.978	11.12	11.132	11.254	11.338	11.448	11.494	11.675	11.756	11.885	11.918	12.058	12.13	12.283	12.393	12.499	12.588	12.74	12.762	12.872	12.994	13.076	13.171	13.308	13.402	13.478	13.462	13.606	13.659	13.706	13.822	13.822	13.975	13.956	13.993	14.059	14.212	14.155	14.226	14.236
1836	Australia/New Zealand	7.133	7.23	7.331	7.441	7.582	7.686	7.805	7.942	8.078	8.191	8.328	8.5	8.66	8.798	8.912	9.074	9.177	9.326	9.426	9.582	9.677	9.816	9.863	9.967	9.996	10.094	10.179	10.262	10.312	10.311	10.365	10.402	10.497	10.56	10.63	10.666	10.743	10.736	10.807	10.781	10.852	10.876	10.907	10.969	11.086	11.054	11.164	11.187	11.26	11.336	11.5	11.653	11.751	11.791	11.826	11.933	12.027	12.15	12.228	12.264	12.296	12.377	12.439	12.457	12.493	12.438	12.443	12.377	12.378	12.37	12.326	12.325	12.377	12.294	12.282	12.27	12.234	12.246	12.296
1829	Europe and Northern America	11.796	10.518	10.393	10.504	10.616	10.708	10.811	10.915	11.029	11.126	11.241	11.342	11.464	11.61	11.741	11.873	11.99	12.095	12.208	12.306	12.427	12.54	12.641	12.713	12.789	12.833	12.952	13.014	13.067	13.128	13.174	13.227	13.268	13.3	13.338	13.351	13.38	13.4	13.404	13.442	13.458	13.469	13.469	13.451	13.48	13.506	13.518	13.5	13.515	13.504	13.538	13.571	13.561	13.533	13.579	13.573	13.568	13.572	13.591	13.587	13.579	13.549	13.52	13.527	13.46	13.458	13.454	13.443	13.443	13.392	13.402	13.382	13.386	13.377	13.407	13.404	13.442	13.457	13.46
901	More developed regions	11.765	10.663	10.57	10.674	10.782	10.876	10.991	11.099	11.201	11.308	11.428	11.522	11.626	11.776	11.899	12.014	12.143	12.243	12.361	12.437	12.553	12.635	12.732	12.804	12.876	12.924	13.002	13.045	13.092	13.151	13.2	13.236	13.271	13.303	13.362	13.395	13.424	13.444	13.452	13.509	13.518	13.54	13.544	13.561	13.583	13.594	13.65	13.623	13.622	13.597	13.624	13.636	13.63	13.6	13.592	13.605	13.58	13.593	13.572	13.534	13.528	13.511	13.484	13.489	13.456	13.421	13.424	13.394	13.408	13.341	13.368	13.362	13.373	13.344	13.397	13.384	13.409	13.433	13.454
