country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14 / 15-59	41.505	41.133	40.743	40.334	39.919	39.475	39.041	38.644	38.272	37.918	37.572	37.282	37.058	36.893	36.782	36.693	36.61	36.54	36.485	36.443	36.413	36.381	36.344	36.311	36.283	36.257	36.22	36.171	36.115	36.032	35.914	35.773	35.615	35.446	35.266	35.076	34.881	34.683	34.491	34.307	34.129	33.961	33.806	33.666	33.542	33.436	33.349	33.277	33.215	33.162	33.12	33.086	33.054	33.021	32.984	32.941	32.883	32.808	32.719	32.616	32.506	32.392	32.278	32.162	32.044	31.923	31.802	31.684	31.567	31.454	31.346	31.245	31.148	31.056	30.971	30.89	30.814	30.744	30.681
1834	Sub-Saharan Africa	0-14 / 15-59	78.367	77.492	76.57	75.625	74.671	73.73	72.818	71.933	71.062	70.2	69.344	68.485	67.616	66.748	65.885	65.035	64.203	63.386	62.586	61.797	61.01	60.226	59.447	58.674	57.91	57.152	56.405	55.663	54.929	54.205	53.493	52.792	52.102	51.427	50.768	50.126	49.496	48.877	48.277	47.698	47.142	46.601	46.078	45.575	45.09	44.625	44.176	43.741	43.318	42.905	42.504	42.114	41.737	41.369	41.006	40.645	40.296	39.96	39.634	39.322	39.015	38.716	38.428	38.15	37.88	37.616	37.359	37.111	36.871	36.642	36.424	36.212	36.005	35.804	35.606	35.412	35.224	35.041	34.864
1833	Northern Africa and Western Asia	0-14 / 15-59	50.039	49.479	48.855	48.164	47.414	46.626	45.823	45.02	44.231	43.528	42.927	42.398	41.945	41.558	41.238	40.976	40.757	40.574	40.421	40.291	40.177	40.073	39.97	39.864	39.755	39.63	39.48	39.304	39.106	38.883	38.64	38.381	38.104	37.81	37.503	37.188	36.868	36.55	36.238	35.93	35.627	35.336	35.063	34.807	34.577	34.374	34.196	34.044	33.914	33.807	33.718	33.644	33.579	33.521	33.456	33.378	33.293	33.201	33.103	32.998	32.884	32.762	32.634	32.502	32.364	32.221	32.077	31.935	31.794	31.655	31.523	31.403	31.29	31.183	31.081	30.984	30.893	30.811	30.735
1831	Central and Southern Asia	0-14 / 15-59	43.138	42.441	41.743	41.063	40.412	39.787	39.188	38.641	38.144	37.661	37.215	36.805	36.431	36.109	35.813	35.528	35.253	34.986	34.73	34.489	34.26	34.041	33.832	33.631	33.44	33.253	33.068	32.888	32.709	32.537	32.371	32.205	32.044	31.896	31.757	31.624	31.501	31.389	31.288	31.201	31.127	31.061	31.001	30.945	30.887	30.831	30.782	30.739	30.695	30.645	30.592	30.539	30.483	30.42	30.357	30.288	30.209	30.124	30.033	29.941	29.852	29.771	29.693	29.619	29.55	29.487	29.429	29.376	29.33	29.285	29.244	29.209	29.179	29.152	29.13	29.106	29.075	29.044	29.015
1832	Eastern and South-Eastern Asia	0-14 / 15-59	29.899	29.488	29.059	28.592	28.11	27.536	26.96	26.432	25.937	25.456	24.922	24.504	24.236	24.082	24.073	24.122	24.182	24.271	24.392	24.545	24.737	24.933	25.123	25.334	25.567	25.823	26.072	26.303	26.533	26.694	26.757	26.761	26.714	26.624	26.493	26.324	26.126	25.909	25.694	25.488	25.284	25.098	24.945	24.833	24.765	24.747	24.778	24.855	24.976	25.134	25.344	25.584	25.839	26.1	26.36	26.631	26.86	27.029	27.141	27.186	27.193	27.178	27.144	27.087	27.008	26.909	26.794	26.667	26.532	26.397	26.265	26.139	26.023	25.922	25.838	25.773	25.734	25.722	25.731
1830	Latin America and the Caribbean	0-14 / 15-59	36.684	36.159	35.638	35.125	34.621	34.135	33.671	33.221	32.778	32.373	32.009	31.673	31.383	31.145	30.952	30.789	30.637	30.489	30.346	30.203	30.062	29.925	29.79	29.657	29.528	29.404	29.284	29.166	29.051	28.938	28.83	28.731	28.642	28.559	28.483	28.417	28.362	28.311	28.261	28.214	28.168	28.123	28.085	28.053	28.024	27.997	27.972	27.952	27.94	27.936	27.932	27.925	27.92	27.918	27.91	27.898	27.882	27.86	27.828	27.791	27.751	27.712	27.677	27.642	27.61	27.582	27.561	27.545	27.535	27.526	27.517	27.512	27.508	27.507	27.509	27.516	27.52	27.522	27.524
1835	Oceania (excluding Australia and New Zealand)	0-14 / 15-59	55.988	55.351	54.682	53.992	53.291	52.584	51.875	51.174	50.488	49.832	49.214	48.623	48.05	47.503	46.985	46.5	46.052	45.636	45.237	44.853	44.483	44.132	43.782	43.439	43.105	42.768	42.435	42.107	41.781	41.45	41.117	40.784	40.454	40.118	39.778	39.452	39.133	38.826	38.527	38.223	37.926	37.64	37.373	37.124	36.884	36.658	36.442	36.241	36.063	35.904	35.743	35.579	35.426	35.28	35.135	34.987	34.839	34.686	34.529	34.38	34.229	34.071	33.91	33.74	33.565	33.393	33.225	33.062	32.906	32.763	32.641	32.526	32.411	32.296	32.179	32.066	31.958	31.855	31.756
1836	Australia/New Zealand	0-14 / 15-59	30.832	30.594	30.34	30.064	29.784	29.506	29.241	29.003	28.777	28.57	28.406	28.269	28.119	27.972	27.839	27.701	27.564	27.437	27.332	27.25	27.195	27.167	27.164	27.182	27.215	27.265	27.327	27.397	27.475	27.551	27.617	27.682	27.746	27.797	27.823	27.826	27.811	27.782	27.739	27.682	27.616	27.553	27.498	27.457	27.437	27.434	27.436	27.45	27.473	27.498	27.519	27.544	27.577	27.616	27.657	27.686	27.709	27.737	27.765	27.79	27.816	27.841	27.858	27.878	27.9	27.918	27.929	27.927	27.918	27.906	27.891	27.875	27.857	27.832	27.808	27.789	27.768	27.749	27.731
1829	Europe and Northern America	0-14 / 15-59	28.206	27.991	27.759	27.54	27.318	27.075	26.837	26.607	26.38	26.17	26	25.897	25.863	25.898	25.965	26.041	26.129	26.233	26.359	26.497	26.64	26.79	26.944	27.099	27.252	27.396	27.525	27.639	27.735	27.802	27.832	27.824	27.787	27.728	27.649	27.554	27.45	27.343	27.241	27.146	27.056	26.985	26.938	26.911	26.911	26.94	27	27.075	27.156	27.248	27.355	27.468	27.585	27.706	27.822	27.923	27.999	28.049	28.077	28.089	28.09	28.081	28.064	28.039	28.003	27.957	27.905	27.852	27.798	27.744	27.695	27.65	27.611	27.58	27.561	27.552	27.55	27.554	27.566
901	More developed regions	0-14 / 15-59	27.733	27.517	27.288	27.075	26.855	26.623	26.404	26.194	25.989	25.804	25.666	25.599	25.599	25.66	25.746	25.837	25.938	26.051	26.181	26.32	26.462	26.609	26.759	26.908	27.053	27.189	27.31	27.415	27.503	27.564	27.59	27.582	27.547	27.492	27.419	27.33	27.234	27.136	27.044	26.958	26.877	26.814	26.773	26.751	26.756	26.789	26.851	26.929	27.013	27.108	27.216	27.33	27.447	27.568	27.684	27.782	27.854	27.902	27.929	27.941	27.943	27.934	27.917	27.893	27.858	27.814	27.765	27.714	27.661	27.61	27.563	27.521	27.484	27.456	27.439	27.431	27.43	27.436	27.45
