country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14 / 15-59	40.896	40.491	40.063	39.605	39.128	38.612	38.107	37.647	37.221	36.794	36.351	35.954	35.626	35.354	35.135	34.966	34.818	34.69	34.586	34.487	34.407	34.338	34.267	34.216	34.162	34.114	34.071	33.986	33.879	33.754	33.596	33.403	33.23	33.04	32.816	32.611	32.399	32.19	31.972	31.749	31.536	31.326	31.121	30.908	30.729	30.611	30.499	30.394	30.301	30.228	30.163	30.091	30.036	29.991	29.953	29.915	29.848	29.756	29.642	29.522	29.406	29.291	29.174	29.033	28.888	28.759	28.634	28.515	28.361	28.196	28.047	27.901	27.778	27.681	27.609	27.541	27.444	27.36	27.278
1834	Sub-Saharan Africa	0-14 / 15-59	77.04	76.007	74.918	73.8	72.662	71.522	70.399	69.301	68.201	67.104	66.035	64.953	63.833	62.729	61.659	60.609	59.621	58.673	57.784	56.991	56.143	55.277	54.483	53.698	52.961	52.2	51.375	50.595	49.851	49.104	48.335	47.576	46.853	46.137	45.469	44.825	44.176	43.557	42.938	42.289	41.718	41.196	40.665	40.171	39.703	39.268	38.888	38.525	38.12	37.72	37.28	36.846	36.511	36.178	35.805	35.446	35.122	34.782	34.483	34.226	33.907	33.575	33.293	33.008	32.707	32.433	32.149	31.886	31.711	31.513	31.283	31.08	30.869	30.681	30.522	30.35	30.219	30.062	29.865
1833	Northern Africa and Western Asia	0-14 / 15-59	51.034	50.287	49.468	48.57	47.611	46.61	45.591	44.566	43.563	42.662	41.855	41.114	40.431	39.81	39.266	38.852	38.555	38.246	37.976	37.786	37.599	37.423	37.243	37.03	36.846	36.698	36.493	36.248	36.019	35.747	35.415	35.082	34.777	34.473	34.132	33.789	33.447	33.076	32.691	32.347	32.021	31.673	31.378	31.11	30.828	30.568	30.356	30.202	30.062	29.886	29.747	29.678	29.615	29.538	29.444	29.345	29.227	29.115	29.048	29.011	28.91	28.767	28.648	28.518	28.36	28.191	28.055	27.915	27.759	27.629	27.547	27.435	27.25	27.096	26.996	26.921	26.841	26.745	26.647
1831	Central and Southern Asia	0-14 / 15-59	42.549	41.716	40.877	40.042	39.226	38.422	37.623	36.885	36.198	35.516	34.894	34.307	33.727	33.202	32.697	32.262	31.89	31.547	31.244	30.938	30.613	30.331	30.112	29.931	29.797	29.604	29.326	29.115	28.914	28.677	28.495	28.309	28.106	27.885	27.71	27.572	27.398	27.239	27.072	26.921	26.854	26.746	26.62	26.508	26.368	26.231	26.138	26.062	25.986	25.961	25.918	25.875	25.859	25.826	25.756	25.693	25.619	25.567	25.494	25.357	25.276	25.28	25.243	25.152	25.055	24.939	24.889	24.839	24.77	24.74	24.713	24.692	24.647	24.591	24.573	24.539	24.503	24.464	24.44
1832	Eastern and South-Eastern Asia	0-14 / 15-59	29.03	28.592	28.133	27.626	27.097	26.472	25.844	25.259	24.693	24.13	23.499	22.988	22.627	22.373	22.22	22.144	22.13	22.142	22.205	22.33	22.471	22.589	22.757	22.948	23.12	23.318	23.506	23.661	23.828	23.975	24.034	24.02	23.976	23.89	23.764	23.609	23.429	23.22	23.013	22.795	22.604	22.435	22.224	22.081	22.011	21.976	21.964	21.995	22.056	22.138	22.265	22.416	22.606	22.827	23.091	23.334	23.5	23.659	23.798	23.862	23.842	23.804	23.773	23.746	23.738	23.669	23.565	23.488	23.392	23.263	23.141	23.049	22.97	22.9	22.819	22.707	22.623	22.597	22.61
1830	Latin America and the Caribbean	0-14 / 15-59	35.639	35.048	34.456	33.858	33.262	32.687	32.132	31.593	31.041	30.522	30.043	29.557	29.117	28.769	28.461	28.222	28.038	27.843	27.65	27.44	27.266	27.097	26.898	26.753	26.622	26.449	26.298	26.176	26.048	25.928	25.827	25.736	25.657	25.578	25.485	25.388	25.304	25.229	25.156	25.115	25.088	25.048	25.014	24.978	24.954	24.941	24.906	24.864	24.818	24.774	24.731	24.704	24.698	24.705	24.692	24.649	24.607	24.579	24.591	24.587	24.547	24.513	24.487	24.465	24.425	24.371	24.316	24.249	24.193	24.14	24.106	24.092	24.079	24.071	24.078	24.11	24.142	24.169	24.181
1835	Oceania (excluding Australia and New Zealand)	0-14 / 15-59	54.864	53.698	52.512	51.315	50.115	48.922	47.734	46.571	45.42	44.296	43.235	42.204	41.191	40.191	39.246	38.618	38.262	37.886	37.576	37.39	37.18	36.923	36.639	36.351	36.126	35.88	35.591	35.375	35.146	34.826	34.461	34.136	33.844	33.542	33.264	32.942	32.578	32.2	31.868	31.604	31.326	31.066	30.876	30.68	30.459	30.228	30.004	29.78	29.593	29.468	29.276	29.149	29.063	28.954	28.881	28.774	28.646	28.529	28.494	28.448	28.322	28.173	28.009	27.835	27.622	27.418	27.276	27.109	26.965	26.883	26.779	26.694	26.609	26.462	26.304	26.2	26.144	26.081	26.032
1836	Australia/New Zealand	0-14 / 15-59	29.952	29.633	29.296	28.932	28.545	28.142	27.747	27.374	27.022	26.669	26.331	26.024	25.698	25.366	25.056	24.773	24.519	24.29	24.104	23.954	23.807	23.673	23.605	23.597	23.594	23.628	23.665	23.676	23.741	23.836	23.881	23.858	23.85	23.87	23.861	23.819	23.765	23.694	23.605	23.472	23.327	23.251	23.166	23.015	22.871	22.776	22.718	22.645	22.569	22.564	22.585	22.6	22.587	22.608	22.691	22.749	22.768	22.803	22.833	22.789	22.754	22.818	22.862	22.884	22.906	22.9	22.89	22.839	22.781	22.73	22.746	22.784	22.784	22.754	22.666	22.591	22.539	22.498	22.487
1829	Europe and Northern America	0-14 / 15-59	27.542	27.292	27.023	26.759	26.484	26.18	25.861	25.537	25.223	24.925	24.662	24.463	24.309	24.222	24.183	24.177	24.188	24.213	24.29	24.39	24.502	24.62	24.721	24.828	24.942	25.043	25.131	25.192	25.274	25.322	25.323	25.328	25.287	25.21	25.123	25.005	24.863	24.717	24.59	24.471	24.371	24.262	24.152	24.107	24.074	24.072	24.116	24.152	24.195	24.269	24.365	24.464	24.554	24.634	24.706	24.75	24.768	24.806	24.812	24.797	24.81	24.81	24.791	24.725	24.631	24.565	24.516	24.455	24.399	24.369	24.349	24.343	24.315	24.304	24.307	24.292	24.3	24.316	24.297
901	More developed regions	0-14 / 15-59	27.113	26.864	26.601	26.347	26.08	25.785	25.492	25.2	24.909	24.641	24.418	24.254	24.147	24.114	24.109	24.099	24.119	24.17	24.243	24.325	24.42	24.53	24.663	24.792	24.891	24.994	25.077	25.156	25.222	25.245	25.27	25.275	25.214	25.131	25.057	24.953	24.826	24.693	24.574	24.476	24.39	24.314	24.236	24.186	24.174	24.188	24.209	24.227	24.261	24.323	24.422	24.518	24.591	24.676	24.758	24.815	24.842	24.861	24.867	24.858	24.876	24.862	24.803	24.78	24.781	24.731	24.651	24.576	24.501	24.444	24.411	24.391	24.364	24.342	24.34	24.353	24.356	24.349	24.357
