country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14 / 15-59	40.989	40.774	40.548	40.311	40.072	39.801	39.552	39.355	39.207	39.084	38.959	38.873	38.849	38.899	38.994	39.076	39.146	39.162	39.159	39.187	39.269	39.369	39.409	39.464	39.496	39.518	39.584	39.615	39.611	39.594	39.492	39.353	39.259	39.174	39.059	38.913	38.809	38.728	38.619	38.508	38.358	38.217	38.091	37.985	37.921	37.898	37.928	37.933	37.908	37.938	37.985	38.001	38.002	38.002	38.04	38.118	38.153	38.101	38.046	38.038	38.04	38.037	38.023	37.952	37.872	37.888	37.902	37.908	37.975	37.98	37.923	37.909	37.941	37.972	37.997	38.017	38.036	38.081	38.09
1834	Sub-Saharan Africa	0-14 / 15-59	77.26	76.678	76.06	75.429	74.788	74.166	73.614	73.12	72.628	72.174	71.762	71.329	70.846	70.379	69.963	69.46	68.878	68.274	67.658	67.036	66.364	65.695	65.117	64.555	63.963	63.395	62.808	62.234	61.68	61.134	60.579	60.024	59.531	59.045	58.531	58.007	57.469	56.972	56.509	56.067	55.653	55.207	54.78	54.395	54.027	53.687	53.416	53.143	52.815	52.506	52.195	51.916	51.72	51.571	51.413	51.136	50.823	50.682	50.584	50.428	50.268	50.151	50.073	49.923	49.757	49.634	49.575	49.547	49.53	49.406	49.273	49.186	49.097	49.019	48.899	48.88	48.785	48.598	48.419
1833	Northern Africa and Western Asia	0-14 / 15-59	51.204	50.802	50.337	49.803	49.213	48.596	47.961	47.324	46.731	46.229	45.828	45.541	45.351	45.217	45.132	45.079	44.997	44.896	44.785	44.704	44.647	44.6	44.553	44.492	44.413	44.337	44.274	44.154	44.056	43.941	43.773	43.641	43.514	43.366	43.151	42.868	42.628	42.443	42.206	41.938	41.758	41.583	41.309	40.995	40.823	40.771	40.723	40.739	40.756	40.711	40.631	40.623	40.724	40.829	40.779	40.636	40.551	40.483	40.48	40.469	40.422	40.403	40.306	40.172	40.069	39.984	39.886	39.784	39.807	39.813	39.701	39.6	39.503	39.413	39.382	39.363	39.27	39.21	39.19
1831	Central and Southern Asia	0-14 / 15-59	42.764	42.372	41.982	41.632	41.34	41.067	40.847	40.735	40.676	40.608	40.588	40.607	40.646	40.736	40.79	40.757	40.638	40.452	40.282	40.141	39.991	39.859	39.73	39.642	39.537	39.345	39.081	38.878	38.748	38.636	38.551	38.454	38.342	38.234	38.206	38.198	38.221	38.295	38.362	38.425	38.518	38.588	38.601	38.641	38.686	38.728	38.755	38.788	38.822	38.825	38.799	38.726	38.697	38.539	38.243	38.047	38.012	37.974	37.838	37.773	37.789	37.841	37.862	37.801	37.681	37.632	37.777	37.817	37.769	37.889	37.991	38.06	38.104	38.191	38.344	38.401	38.369	38.33	38.372
1832	Eastern and South-Eastern Asia	0-14 / 15-59	29.152	28.967	28.774	28.551	28.322	28.002	27.681	27.421	27.195	26.981	26.724	26.594	26.604	26.729	26.993	27.262	27.502	27.735	27.988	28.261	28.585	28.9	29.211	29.558	29.857	30.198	30.532	30.803	31.082	31.276	31.337	31.319	31.273	31.195	31.065	30.859	30.665	30.464	30.233	30.007	29.818	29.664	29.496	29.343	29.195	29.155	29.194	29.319	29.476	29.621	29.834	30.077	30.357	30.648	30.968	31.301	31.619	31.908	32.122	32.248	32.295	32.272	32.242	32.226	32.181	32.038	31.865	31.806	31.781	31.703	31.604	31.545	31.556	31.551	31.502	31.406	31.284	31.241	31.275
1830	Latin America and the Caribbean	0-14 / 15-59	35.754	35.4	35.071	34.761	34.461	34.178	33.948	33.762	33.58	33.418	33.294	33.211	33.158	33.182	33.284	33.361	33.376	33.362	33.334	33.261	33.18	33.111	32.996	32.914	32.874	32.8	32.734	32.658	32.594	32.539	32.469	32.418	32.403	32.398	32.356	32.367	32.441	32.481	32.501	32.504	32.493	32.495	32.555	32.642	32.707	32.802	32.953	33.05	33.08	33.108	33.138	33.183	33.19	33.202	33.227	33.235	33.219	33.161	33.132	33.146	33.153	33.128	33.083	33.074	33.104	33.127	33.139	33.137	33.175	33.186	33.234	33.338	33.398	33.505	33.568	33.602	33.72	33.793	33.828
1835	Oceania (excluding Australia and New Zealand)	0-14 / 15-59	55.532	55.69	55.842	56.002	56.143	56.277	56.4	56.502	56.617	56.751	56.876	56.997	57.102	57.247	57.459	57.274	56.747	56.274	55.867	55.544	55.112	54.677	54.324	53.922	53.501	53.242	52.99	52.813	52.833	52.696	52.457	52.313	52.239	52.133	52.032	51.967	51.895	51.734	51.628	51.55	51.398	51.234	51.112	50.989	50.732	50.378	50.053	49.794	49.563	49.29	48.919	48.541	48.302	48.125	47.951	47.746	47.443	47.154	46.886	46.671	46.519	46.336	46.156	46.04	45.952	45.913	45.819	45.687	45.507	45.319	45.266	45.238	45.071	44.797	44.737	44.74	44.539	44.314	44.152
1836	Australia/New Zealand	0-14 / 15-59	30.083	30.039	30.008	29.958	29.905	29.892	29.903	29.927	29.963	30.035	30.163	30.311	30.455	30.624	30.807	30.893	30.892	30.87	30.873	30.917	30.913	30.953	31.089	31.263	31.437	31.604	31.774	31.972	32.186	32.376	32.525	32.602	32.652	32.774	32.845	32.864	32.924	32.938	32.947	32.948	32.98	33.008	32.987	32.994	33.002	33.049	33.14	33.196	33.19	33.198	33.293	33.334	33.301	33.289	33.363	33.472	33.577	33.66	33.709	33.764	33.79	33.931	34.002	34.01	34.121	34.169	34.121	34.092	34.138	34.176	34.164	34.153	34.168	34.197	34.245	34.246	34.239	34.22	34.224
1829	Europe and Northern America	0-14 / 15-59	27.604	27.485	27.359	27.261	27.171	27.061	26.965	26.881	26.804	26.745	26.725	26.779	26.926	27.157	27.439	27.712	27.954	28.195	28.423	28.639	28.86	29.063	29.231	29.403	29.589	29.768	29.951	30.108	30.262	30.426	30.511	30.529	30.523	30.478	30.421	30.357	30.264	30.177	30.118	30.065	30.049	30.037	30.024	30.06	30.156	30.264	30.382	30.548	30.724	30.889	31.035	31.151	31.275	31.494	31.694	31.807	31.878	31.906	31.918	31.948	31.935	31.901	31.91	31.885	31.814	31.741	31.745	31.754	31.763	31.793	31.79	31.77	31.745	31.811	31.85	31.874	31.97	32.028	32.098
901	More developed regions	0-14 / 15-59	27.171	27.045	26.919	26.822	26.727	26.621	26.539	26.473	26.407	26.368	26.383	26.481	26.646	26.88	27.171	27.436	27.676	27.919	28.152	28.369	28.587	28.773	28.919	29.098	29.29	29.453	29.608	29.787	29.937	30.014	30.093	30.144	30.123	30.07	30.037	29.975	29.887	29.802	29.74	29.737	29.737	29.743	29.773	29.8	29.825	29.906	30.06	30.246	30.403	30.524	30.658	30.801	30.941	31.097	31.251	31.389	31.492	31.557	31.562	31.547	31.602	31.657	31.631	31.562	31.515	31.477	31.396	31.34	31.379	31.428	31.377	31.32	31.364	31.46	31.538	31.556	31.562	31.583	31.595
