country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14 / 15-59	42.024	41.537	41.02	40.473	39.907	39.302	38.708	38.17	37.67	37.175	36.664	36.217	35.844	35.533	35.28	35.079	34.91	34.758	34.632	34.52	34.434	34.352	34.271	34.21	34.154	34.109	34.066	33.984	33.871	33.747	33.596	33.419	33.253	33.069	32.87	32.694	32.507	32.29	32.09	31.89	31.678	31.489	31.305	31.111	30.949	30.844	30.741	30.65	30.583	30.523	30.477	30.439	30.389	30.351	30.334	30.312	30.274	30.196	30.088	29.982	29.878	29.773	29.659	29.53	29.403	29.281	29.146	29.005	28.848	28.686	28.529	28.396	28.286	28.181	28.09	28.013	27.929	27.828	27.738
1834	Sub-Saharan Africa	0-14 / 15-59	79.521	78.424	77.263	76.069	74.849	73.636	72.453	71.286	70.132	68.981	67.84	66.686	65.53	64.385	63.215	62.095	61.088	60.126	59.208	58.371	57.479	56.553	55.731	54.932	54.15	53.371	52.527	51.73	50.981	50.205	49.411	48.623	47.886	47.163	46.464	45.834	45.211	44.555	43.905	43.309	42.736	42.171	41.637	41.124	40.644	40.205	39.828	39.474	39.083	38.635	38.164	37.769	37.452	37.106	36.728	36.385	36.044	35.713	35.439	35.16	34.819	34.502	34.214	33.917	33.633	33.383	33.093	32.816	32.615	32.4	32.188	31.977	31.785	31.598	31.402	31.248	31.129	30.973	30.758
1833	Northern Africa and Western Asia	0-14 / 15-59	48.998	48.347	47.618	46.811	45.948	45.044	44.121	43.194	42.283	41.466	40.746	40.088	39.485	38.939	38.461	38.106	37.876	37.647	37.446	37.309	37.174	37.034	36.893	36.736	36.581	36.446	36.263	36.052	35.828	35.538	35.226	34.918	34.613	34.307	33.978	33.653	33.328	32.949	32.557	32.242	31.923	31.561	31.268	31.012	30.733	30.482	30.271	30.103	29.961	29.799	29.668	29.597	29.529	29.441	29.352	29.265	29.159	29.043	28.964	28.904	28.795	28.666	28.553	28.422	28.266	28.101	27.965	27.826	27.659	27.509	27.413	27.302	27.117	26.975	26.887	26.786	26.717	26.64	26.519
1831	Central and Southern Asia	0-14 / 15-59	43.537	42.634	41.711	40.795	39.9	39.022	38.155	37.351	36.595	35.841	35.163	34.53	33.9	33.323	32.788	32.314	31.91	31.541	31.211	30.894	30.57	30.29	30.052	29.851	29.7	29.52	29.267	29.049	28.854	28.625	28.431	28.254	28.074	27.865	27.68	27.563	27.443	27.293	27.153	27.048	26.96	26.877	26.809	26.699	26.567	26.463	26.385	26.326	26.275	26.264	26.244	26.196	26.165	26.17	26.141	26.081	26.012	25.98	25.948	25.84	25.757	25.73	25.663	25.586	25.506	25.401	25.332	25.275	25.243	25.209	25.173	25.143	25.087	25.038	25.03	24.993	24.936	24.894	24.844
1832	Eastern and South-Eastern Asia	0-14 / 15-59	30.63	30.05	29.442	28.782	28.107	27.338	26.556	25.818	25.113	24.423	23.672	23.054	22.611	22.273	22.058	21.931	21.861	21.839	21.868	21.941	22.03	22.115	22.27	22.443	22.573	22.746	22.916	23.052	23.216	23.356	23.402	23.4	23.376	23.293	23.194	23.062	22.88	22.705	22.548	22.349	22.18	22.055	21.882	21.756	21.709	21.698	21.717	21.785	21.875	21.989	22.153	22.348	22.564	22.802	23.089	23.378	23.592	23.759	23.927	24.019	23.992	23.95	23.929	23.897	23.886	23.831	23.731	23.641	23.531	23.416	23.289	23.201	23.13	23.057	22.983	22.866	22.77	22.74	22.764
1830	Latin America and the Caribbean	0-14 / 15-59	37.658	37.005	36.345	35.68	35.015	34.374	33.76	33.164	32.557	31.986	31.457	30.931	30.456	30.057	29.71	29.429	29.209	28.985	28.758	28.517	28.306	28.116	27.896	27.714	27.557	27.365	27.185	27.041	26.887	26.737	26.618	26.516	26.408	26.294	26.189	26.089	25.97	25.861	25.778	25.745	25.694	25.624	25.595	25.55	25.508	25.48	25.445	25.392	25.332	25.265	25.226	25.207	25.183	25.184	25.15	25.098	25.048	25.01	25.004	24.995	24.947	24.906	24.883	24.852	24.801	24.742	24.673	24.582	24.52	24.481	24.45	24.412	24.382	24.38	24.39	24.411	24.438	24.466	24.484
1835	Oceania (excluding Australia and New Zealand)	0-14 / 15-59	56.521	55.322	54.101	52.856	51.599	50.368	49.153	47.95	46.769	45.594	44.472	43.41	42.369	41.337	40.351	39.706	39.328	38.944	38.599	38.358	38.15	37.877	37.523	37.194	36.981	36.708	36.371	36.105	35.848	35.526	35.179	34.809	34.534	34.265	33.935	33.691	33.403	33.01	32.641	32.294	32.004	31.803	31.599	31.411	31.251	31.036	30.773	30.571	30.419	30.283	30.154	30.022	29.861	29.748	29.683	29.583	29.45	29.336	29.275	29.195	29.088	28.936	28.739	28.562	28.397	28.21	28.038	27.862	27.717	27.6	27.492	27.442	27.375	27.219	27.058	26.934	26.821	26.733	26.681
1836	Australia/New Zealand	0-14 / 15-59	31.603	31.223	30.822	30.399	29.958	29.497	29.04	28.61	28.194	27.772	27.381	27.021	26.65	26.283	25.935	25.631	25.351	25.081	24.867	24.691	24.506	24.36	24.293	24.251	24.217	24.234	24.237	24.212	24.249	24.333	24.378	24.353	24.343	24.364	24.35	24.313	24.265	24.21	24.144	24.017	23.867	23.773	23.687	23.53	23.388	23.308	23.237	23.183	23.118	23.102	23.127	23.112	23.093	23.141	23.216	23.247	23.267	23.308	23.327	23.275	23.264	23.338	23.373	23.395	23.456	23.47	23.407	23.34	23.289	23.247	23.27	23.297	23.294	23.256	23.168	23.1	23.04	22.995	22.972
1829	Europe and Northern America	0-14 / 15-59	28.816	28.53	28.221	27.921	27.611	27.271	26.921	26.571	26.23	25.907	25.616	25.395	25.227	25.122	25.065	25.033	25.034	25.064	25.13	25.209	25.312	25.426	25.516	25.61	25.703	25.793	25.886	25.949	26.013	26.048	26.048	26.052	26.016	25.939	25.846	25.73	25.594	25.453	25.317	25.189	25.082	24.979	24.882	24.824	24.793	24.789	24.816	24.857	24.889	24.948	25.063	25.168	25.247	25.329	25.38	25.421	25.455	25.474	25.473	25.454	25.451	25.456	25.439	25.383	25.305	25.224	25.159	25.105	25.041	25.001	24.985	24.967	24.938	24.925	24.929	24.93	24.939	24.943	24.936
901	More developed regions	0-14 / 15-59	28.302	28.02	27.72	27.431	27.13	26.806	26.485	26.168	25.855	25.562	25.313	25.126	25.008	24.96	24.936	24.925	24.934	24.97	25.024	25.088	25.182	25.291	25.414	25.542	25.64	25.713	25.777	25.854	25.924	25.95	25.971	25.963	25.896	25.828	25.754	25.636	25.516	25.395	25.271	25.163	25.073	24.996	24.915	24.856	24.833	24.85	24.877	24.903	24.933	24.988	25.085	25.172	25.238	25.333	25.423	25.468	25.489	25.498	25.498	25.483	25.502	25.492	25.434	25.408	25.387	25.336	25.264	25.171	25.093	25.047	25.014	24.991	24.975	24.987	24.976	24.96	24.955	24.958	24.972
902	Less developed regions	0-14 / 15-59	44.435	43.876	43.286	42.662	42.025	41.343	40.67	40.057	39.488	38.929	38.355	37.849	37.419	37.044	36.724	36.457	36.254	36.059	35.875	35.725	35.601	35.483	35.352	35.236	35.152	35.079	35	34.899	34.773	34.637	34.48	34.287	34.075	33.864	33.649	33.441	33.248	33.049	32.813	32.567	32.371	32.19	31.977	31.751	31.585	31.466	31.345	31.251	31.164	31.082	31.023	30.964	30.904	30.834	30.77	30.729	30.66	30.579	30.465	30.303	30.169	30.064	29.935	29.799	29.657	29.513	29.358	29.183	29.025	28.882	28.747	28.623	28.531	28.42	28.292	28.197	28.104	28.005	27.913
941	Least developed countries	0-14 / 15-59	71.248	70.404	69.548	68.663	67.777	66.916	66.046	65.155	64.256	63.317	62.38	61.438	60.466	59.503	58.54	57.638	56.781	55.921	55.083	54.272	53.543	52.82	52.087	51.399	50.749	50.095	49.421	48.758	48.139	47.556	46.984	46.458	45.887	45.292	44.766	44.212	43.613	43.091	42.615	42.177	41.771	41.297	40.824	40.384	39.961	39.571	39.183	38.795	38.401	38.044	37.707	37.399	37.123	36.769	36.392	36.042	35.692	35.405	35.172	34.908	34.576	34.236	33.95	33.692	33.422	33.13	32.854	32.63	32.434	32.216	31.999	31.814	31.607	31.383	31.157	30.954	30.792	30.605	30.432
934	Less developed regions, excluding least developed countries	0-14 / 15-59	39.785	39.168	38.522	37.842	37.144	36.398	35.67	35.006	34.381	33.773	33.171	32.65	32.214	31.839	31.531	31.287	31.079	30.91	30.778	30.674	30.596	30.54	30.499	30.432	30.371	30.329	30.302	30.267	30.235	30.209	30.128	29.992	29.821	29.648	29.443	29.231	29.044	28.862	28.684	28.508	28.323	28.168	28.041	27.896	27.768	27.689	27.637	27.606	27.62	27.631	27.668	27.73	27.745	27.729	27.73	27.753	27.792	27.819	27.769	27.671	27.581	27.5	27.412	27.295	27.169	27.051	26.923	26.832	26.74	26.637	26.551	26.484	26.423	26.35	26.288	26.21	26.15	26.097	26.025
948	Less developed regions, excluding China	0-14 / 15-59	49.471	48.829	48.159	47.474	46.78	46.083	45.416	44.783	44.163	43.57	43.007	42.472	41.982	41.514	41.051	40.631	40.274	39.954	39.66	39.406	39.164	38.875	38.573	38.288	38.031	37.788	37.54	37.297	37.052	36.791	36.521	36.266	35.995	35.718	35.473	35.269	35.057	34.818	34.56	34.297	34.066	33.841	33.619	33.405	33.196	33.02	32.866	32.707	32.55	32.427	32.294	32.132	31.971	31.82	31.673	31.523	31.357	31.188	31.03	30.868	30.723	30.614	30.509	30.348	30.187	30.049	29.887	29.702	29.523	29.358	29.208	29.092	29.011	28.941	28.836	28.712	28.603	28.503	28.406
