country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14 / 15-59	42.097	41.759	41.401	41.034	40.668	40.273	39.898	39.571	39.278	39	38.729	38.527	38.396	38.346	38.349	38.374	38.387	38.34	38.29	38.278	38.311	38.327	38.307	38.319	38.346	38.38	38.398	38.396	38.387	38.356	38.286	38.184	38.067	37.916	37.746	37.591	37.457	37.318	37.207	37.103	36.951	36.816	36.713	36.603	36.519	36.487	36.451	36.408	36.407	36.42	36.437	36.453	36.463	36.485	36.515	36.516	36.489	36.436	36.359	36.288	36.224	36.161	36.091	36.017	35.918	35.835	35.748	35.648	35.556	35.491	35.429	35.38	35.378	35.344	35.305	35.261	35.194	35.175	35.175
1834	Sub-Saharan Africa	0-14 / 15-59	79.705	78.98	78.215	77.428	76.647	75.897	75.182	74.482	73.808	73.161	72.533	71.91	71.277	70.673	70.056	69.358	68.659	68.006	67.336	66.665	65.965	65.24	64.502	63.746	63.061	62.42	61.804	61.193	60.546	59.907	59.213	58.566	57.988	57.386	56.799	56.222	55.634	54.993	54.403	53.939	53.447	52.943	52.496	52.052	51.621	51.234	50.918	50.602	50.275	49.951	49.578	49.198	48.869	48.539	48.214	47.925	47.594	47.219	46.847	46.546	46.224	45.916	45.622	45.39	45.299	45.129	44.84	44.57	44.365	44.143	43.91	43.664	43.446	43.277	43.062	42.906	42.79	42.665	42.516
1833	Northern Africa and Western Asia	0-14 / 15-59	49.132	48.75	48.306	47.799	47.229	46.627	46.027	45.425	44.824	44.311	43.927	43.637	43.408	43.234	43.126	43.029	42.947	42.884	42.867	42.891	42.87	42.805	42.77	42.748	42.696	42.613	42.49	42.391	42.237	42.03	41.805	41.569	41.34	41.101	40.864	40.631	40.381	40.127	39.893	39.665	39.458	39.235	39.03	38.852	38.684	38.542	38.404	38.279	38.174	38.089	38.009	37.938	37.946	37.967	37.954	37.918	37.838	37.772	37.728	37.664	37.594	37.461	37.305	37.271	37.222	37.082	36.973	36.866	36.759	36.69	36.614	36.492	36.362	36.263	36.12	35.983	35.934	35.947	35.913
1831	Central and Southern Asia	0-14 / 15-59	43.706	43.153	42.601	42.083	41.597	41.121	40.669	40.307	40.031	39.745	39.505	39.315	39.157	39.076	38.996	38.901	38.742	38.532	38.348	38.152	37.928	37.709	37.518	37.332	37.136	36.961	36.775	36.648	36.548	36.409	36.331	36.277	36.225	36.149	36.034	35.971	35.959	35.934	35.907	35.905	35.923	35.941	35.974	35.993	35.968	35.909	35.947	36.04	36.077	36.09	36.079	36.115	36.117	36.056	36.025	35.991	35.937	35.887	35.767	35.586	35.494	35.446	35.373	35.288	35.174	35.086	35.056	35.047	35.045	35.065	35.066	35.05	35.028	35.05	35.102	35.134	35.227	35.302	35.306
1832	Eastern and South-Eastern Asia	0-14 / 15-59	30.73	30.357	29.965	29.538	29.099	28.574	28.054	27.588	27.168	26.769	26.304	25.985	25.838	25.786	25.899	26.057	26.161	26.264	26.415	26.597	26.805	27.05	27.316	27.596	27.872	28.154	28.39	28.615	28.888	29.095	29.217	29.247	29.186	29.087	28.945	28.768	28.557	28.306	28.09	27.916	27.75	27.583	27.447	27.41	27.418	27.462	27.515	27.608	27.781	27.977	28.242	28.563	28.885	29.248	29.637	29.981	30.244	30.475	30.665	30.723	30.713	30.704	30.674	30.597	30.531	30.469	30.361	30.231	30.091	29.99	29.864	29.736	29.662	29.592	29.516	29.437	29.426	29.462	29.525
1830	Latin America and the Caribbean	0-14 / 15-59	37.752	37.297	36.85	36.414	36.003	35.626	35.27	34.936	34.616	34.324	34.069	33.856	33.698	33.588	33.544	33.507	33.434	33.38	33.294	33.149	33.006	32.866	32.725	32.604	32.498	32.385	32.267	32.159	32.053	31.936	31.853	31.761	31.651	31.569	31.51	31.48	31.441	31.428	31.446	31.462	31.476	31.507	31.586	31.627	31.632	31.676	31.712	31.688	31.645	31.617	31.625	31.664	31.686	31.677	31.639	31.6	31.566	31.53	31.513	31.523	31.545	31.55	31.554	31.512	31.434	31.369	31.335	31.342	31.353	31.35	31.351	31.353	31.365	31.393	31.426	31.46	31.467	31.464	31.484
1835	Oceania (excluding Australia and New Zealand)	0-14 / 15-59	57.074	56.983	56.864	56.697	56.48	56.269	56.06	55.828	55.582	55.381	55.239	55.093	54.974	54.902	54.87	54.535	53.924	53.44	52.985	52.589	52.208	51.778	51.364	50.991	50.63	50.279	50.03	49.742	49.468	49.267	48.993	48.786	48.721	48.541	48.313	48.185	48.007	47.808	47.617	47.453	47.351	47.286	47.113	46.802	46.523	46.282	46.032	45.804	45.623	45.437	45.176	44.903	44.691	44.498	44.246	43.988	43.765	43.539	43.377	43.222	43.032	42.885	42.756	42.544	42.338	42.15	41.875	41.645	41.457	41.243	41.093	40.995	40.884	40.79	40.619	40.348	40.177	40.075	39.925
1836	Australia/New Zealand	0-14 / 15-59	31.716	31.568	31.413	31.257	31.105	30.956	30.82	30.707	30.611	30.552	30.545	30.556	30.553	30.555	30.592	30.602	30.558	30.476	30.42	30.4	30.388	30.392	30.432	30.478	30.51	30.613	30.742	30.866	31.008	31.171	31.31	31.377	31.452	31.557	31.632	31.689	31.704	31.703	31.693	31.661	31.622	31.553	31.521	31.513	31.486	31.475	31.532	31.606	31.669	31.746	31.796	31.819	31.826	31.879	31.964	32.014	32.083	32.148	32.18	32.209	32.257	32.3	32.331	32.376	32.392	32.361	32.359	32.392	32.399	32.413	32.436	32.42	32.439	32.419	32.408	32.452	32.474	32.483	32.441
1829	Europe and Northern America	0-14 / 15-59	28.867	28.689	28.503	28.341	28.18	27.997	27.822	27.667	27.521	27.401	27.317	27.301	27.368	27.51	27.678	27.842	28.023	28.215	28.384	28.542	28.744	28.971	29.176	29.385	29.569	29.728	29.879	30.008	30.136	30.248	30.307	30.304	30.275	30.229	30.161	30.08	29.989	29.897	29.825	29.753	29.703	29.666	29.628	29.629	29.662	29.722	29.819	29.93	30.031	30.164	30.31	30.44	30.576	30.723	30.86	30.972	31.051	31.096	31.127	31.16	31.177	31.164	31.142	31.095	31.031	30.967	30.913	30.874	30.827	30.77	30.729	30.709	30.692	30.686	30.712	30.749	30.79	30.815	30.85
901	More developed regions	0-14 / 15-59	28.35	28.169	27.985	27.828	27.666	27.488	27.33	27.197	27.074	26.977	26.93	26.95	27.038	27.196	27.392	27.589	27.771	27.936	28.103	28.28	28.453	28.644	28.865	29.083	29.263	29.41	29.553	29.689	29.798	29.85	29.886	29.907	29.867	29.809	29.74	29.662	29.603	29.536	29.458	29.404	29.351	29.307	29.308	29.347	29.398	29.473	29.562	29.666	29.786	29.917	30.04	30.136	30.247	30.373	30.507	30.633	30.71	30.753	30.792	30.822	30.832	30.81	30.785	30.753	30.702	30.66	30.622	30.565	30.501	30.462	30.433	30.398	30.364	30.352	30.363	30.404	30.439	30.486	30.549
