country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	68782.662	62398.155	62804.729	63959.358	65214.345	66446.718	67600.36	68788.007	70002.412	71217.036	72531.471	73873.692	75120.709	76659.415	77821.379	79088.308	80636.152	81808.166	83214.222	84525.097	85904.167	87235.282	88529.406	89684.578	90950.836	92134.496	93366.889	94589.808	95674.88	96846.308	98035.158	99143.828	100379.604	101559.101	102549.814	103619.479	104655.145	105498.76	106719.32	107682.096	108681.02	109332.459	110076.347	110950.235	111720.096	112528.184	113479.04	114070.761	114845.597	115610.996	116212.011	116939.159	117613.554	118129.418	118731.451	119583.342	120200.831	121016.588	121534.561	122053.376	122673.173	122979.855	123352.524	123850.728	124020.638	124193.39	124359.124	124608.027	124924	125138.501	125560.074	125627.858	126082.907	126520.353	126850.282	127148.586	127461.06	127735.963	127885.588
1834	Sub-Saharan Africa	10742.897	10546.451	10449.487	10658.49	10851.586	11078.464	11298.538	11507.082	11719.176	11921.978	12178.4	12400.491	12621.395	12846.479	13036.96	13300.555	13588.162	13836.717	14075.322	14294.751	14573.19	14847.792	15084.278	15394.781	15649.307	15921.076	16158.836	16446.032	16742.184	17059.514	17389.162	17674.012	17999.947	18270.814	18633.394	18975.43	19305.968	19663.535	20025.493	20361.068	20718.773	21055.754	21396.437	21792.275	22142.313	22568.258	22944.339	23341.637	23740.004	24175.969	24589.151	25077.384	25556.487	25964.599	26432.132	26919.879	27314.949	27775.433	28140.799	28588.1	28965.768	29591.585	30149.42	30541.266	31035.176	31590.423	32077.186	32522.047	32925.932	33437.394	33938.018	34365.746	34865.496	35375.645	35799.162	36438.032	36938.676	37361.517	37849.072
1833	Northern Africa and Western Asia	3135.562	3083.614	3021.13	3097.039	3182.521	3272.176	3345.68	3439.717	3525.672	3614.049	3708.584	3809.487	3906.87	4008.217	4095.396	4202.858	4312.891	4404.81	4520.284	4628.046	4735.671	4851.896	4961.924	5088.297	5206.25	5319.484	5449.081	5570.633	5695.605	5812.565	5935.621	6072.488	6198.444	6325.828	6451.826	6572.37	6708.267	6844.54	6964.661	7079.24	7209.254	7339.301	7439.203	7546.23	7656.324	7784.396	7890.725	7995.306	8081.215	8168.207	8258.117	8339.485	8414.545	8497.174	8554.628	8631.932	8679.617	8751.56	8818.277	8892.23	8953.159	9003.856	9094.178	9134.726	9195.569	9253.789	9319.303	9347.229	9442.119	9513.604	9597.139	9666.53	9748.663	9830.127	9933.248	10002.551	10071.368	10176.838	10263.286
1831	Central and Southern Asia	18429.819	14428.702	14785.118	15164.632	15481.172	15850.873	16213.04	16591.272	16927.523	17282.113	17607.069	18027.995	18419.705	18738.517	19125.179	19576.878	19991.466	20239.264	20691.035	21029.581	21436.628	21708.617	22025.764	22364.046	22740.05	23182.245	23454.212	23872.632	24186.003	24664.527	25025.445	25363.681	25590.218	25908.382	26357.987	26732.482	27081.859	27447.894	28033.766	28264.321	28597.14	28807.624	29058.106	29534.109	29874.117	30214.889	30712.075	30939.073	31247.91	31305.325	31590.835	31845.177	32077.901	32383.965	32535.08	32905.692	33216.964	33365.257	33614.245	33904.18	33790.51	34031.411	34078.999	34160.698	34191.302	34281.796	34424.049	34559.029	34573.157	34567.054	34627.957	34793.976	34818.286	34735.437	34872.584	34901.196	34849.633	34844.632	34781.557
1832	Eastern and South-Eastern Asia	19336.652	19232.781	19653.314	20088.261	20560.653	21013.483	21431.886	21816.315	22346.683	22828.287	23375.567	23900.035	24464.701	24973.47	25499.102	26046.455	26476.816	26997.279	27333.276	27812.387	28298.843	28634.797	29003.595	29327.924	29618.848	29990.887	30277.864	30697.854	31042.47	31245.834	31619.001	31834.039	32072.335	32496.54	32636.139	32754.935	32866.825	33007.262	33028.957	33194.528	33145.061	33159.332	33215.317	33142.252	32997.058	32835.142	32793.669	32633.288	32485.583	32285.282	32254.709	32217.568	32142.317	32060.587	31935.791	31866.214	31768.681	31805.237	31551.182	31538.736	31351.068	31173.648	30758.886	30442.25	30200.83	29917.372	29536.463	29213.391	28948.098	28699.521	28349.097	28139.594	27942.478	27724.55	27607.743	27476.21	27274.586	27169.606	27047.784
1830	Latin America and the Caribbean	5214.513	4590.697	4653.397	4743.353	4841.985	4940.233	5039.682	5136.494	5246.72	5339.875	5441.313	5542.1	5640.038	5759.785	5858.389	5976.698	6092.24	6206.085	6326.292	6447.721	6580.944	6671.707	6777.266	6872.267	6959.996	7068.547	7190.777	7295.895	7381.781	7466.075	7578.392	7659.427	7756.811	7821.399	7920.774	8001.976	8101.843	8166.882	8272.474	8356.739	8443.158	8514.287	8617.009	8712.621	8782.434	8867.347	8938.406	9005.26	9066.509	9115.94	9161.763	9226.595	9284.595	9344.414	9382.829	9415.129	9462.959	9491.451	9519.913	9557.609	9585.714	9590.596	9623.517	9616.623	9610.123	9618.217	9610.646	9577.507	9592.8	9553.812	9522.923	9486.168	9447.532	9422.032	9390.17	9373.713	9355.576	9340.231	9277.106
1835	Oceania (excluding Australia and New Zealand)	94.811	97.911	100.105	103.155	106.421	109.698	112.88	115.784	118.556	121.927	124.472	127.253	131.753	134.513	138.053	141.887	145.491	148.808	151.302	155.044	159.242	162.353	165.489	169.609	172.721	177.153	179.14	183.463	186.126	189.546	192.266	196.978	199.302	203.417	205.507	209.991	212.994	216.018	220.533	222.214	225.52	229.375	233.449	235.862	238.869	242.049	244.946	249.177	251.884	254.527	258.39	260.041	262.408	265.493	268.985	271.132	273.286	275.458	278.245	279.345	281.846	284.762	287.483	290.353	294.318	298.039	299.521	298.769	304.393	305.56	307.754	309.147	311.362	312.896	315.706	318.337	322.068	322.616	325.631
1836	Australia/New Zealand	223.124	228.375	233.807	239.187	245.978	251.577	257.442	263.977	270.615	276.313	283.269	291.183	298.476	305.378	311.525	318.899	324.168	330.576	337.088	343.221	348.883	354.491	359.097	364.915	368.388	372.267	377.852	381.662	385.209	388.128	390.798	395.71	399.476	404.779	408.322	411.753	414.636	415.99	419.494	421.763	423.895	426.576	429.456	432.708	437.029	439.522	442.646	446.133	448.662	454.069	458.979	464.435	470.716	474.636	477.869	481.199	487.147	490.047	496.296	498.552	500.907	505.509	505.887	505.521	507.6	511.67	511.063	511.554	508.946	507.722	507.029	508.36	506.229	506.382	507.769	507.352	506.115	505.441	506.111
1829	Europe and Northern America	13204.126	11775.43	11655.488	11787.723	11919.347	12032.443	12167.831	12288.716	12423.507	12539.697	12686.037	12791.899	12930.205	13082.51	13235.3	13372.314	13525.373	13632.731	13731.396	13828.431	13956.408	14058.143	14170.236	14260.114	14337.338	14380.621	14457.57	14504.649	14555.38	14592.726	14614.562	14609.505	14634.193	14638.512	14630.199	14621.289	14622.426	14602.941	14591.497	14544.686	14523.046	14488.6	14467.277	14424.774	14394.201	14368.759	14338.686	14315.22	14297.873	14255.425	14259.78	14238.646	14211.84	14192.892	14149.623	14120.569	14085.794	14016.783	13983.944	13924.509	13861.718	13828.424	13779.96	13714.986	13662.409	13606.888	13524.139	13472.314	13442.36	13353.547	13344.129	13298.798	13293.026	13275.969	13248.431	13202.076	13175.892	13159.323	13136.085
901	More developed regions	14991.528	13591.738	13476.564	13618.03	13766.147	13886.271	14038.439	14183.62	14313.399	14468.344	14607.198	14747.414	14849.8	15026.244	15191.197	15313.212	15484.817	15595.715	15719.079	15811.381	15935.642	16026.499	16133.014	16211.079	16281.172	16310.281	16380.105	16396.584	16428.081	16465.517	16472.253	16480.311	16484.968	16487.148	16503.712	16517.395	16510.793	16481.431	16463.496	16464.161	16425.823	16399.067	16360.112	16321.011	16308.558	16285.929	16237.586	16217.269	16166.826	16119.744	16101.675	16074.021	16025.993	15954.41	15906.362	15866.387	15807.519	15723.922	15683.884	15594.684	15554.398	15502.656	15424.806	15354.475	15267.437	15223.801	15126.202	15051.894	15025.092	14930.508	14902.103	14860.626	14819.976	14810.616	14774.271	14701.536	14685.934	14682.849	14640.195
