country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	64614.194	58428.424	58392.699	59152.766	60004.49	60809.322	61743.082	62786.499	63585.412	64467.53	65503.625	66412.881	67523.777	68661.888	69794.062	70874.108	72063.142	73200.746	74324.634	75485.543	76581.556	77881.903	79046.882	80406.276	81245.044	82479.619	83699.02	84853.24	85685.981	86862.07	88121.373	88982.32	89965.449	91051.99	92040.97	93111.92	94071.922	95111.277	96117.668	97147.122	97960.44	98624.848	99679.73	100422.891	101181.274	101845.329	102406.397	103263.213	103966.114	104533.43	105344.796	106344.937	106588.602	107617.563	108331.131	108851.662	109463.877	109991.211	110358.36	110936.282	111701.042	112078.462	112352.259	112830.201	113102.196	113154.655	113596.602	113717.152	113942.855	113992.989	114514.539	114582.922	114802.823	115335.545	115522.14	115745.705	115963.876	115857.868	115882.719
1834	Sub-Saharan Africa	9912.506	9599.653	9408.487	9486.186	9599.967	9716.457	9799.144	9938.95	10066.1	10168.058	10323.585	10442.675	10603.658	10709.907	10830.052	11029.587	11164.548	11332.956	11469.146	11625.54	11818.711	11986.511	12161.675	12372.826	12492.788	12753.898	12933.102	13164.201	13395.071	13629.715	13858.358	14037.964	14334.992	14596.731	14807.315	15030.538	15282.025	15584.078	15879.755	16164.698	16429.626	16725.781	17030.033	17343.411	17627.697	17927.521	18240.164	18551.018	18919.48	19272.01	19654.131	19983.356	20455.856	20772.483	21199.501	21544.93	21905.533	22283.155	22672.223	22997.392	23380.242	23801.536	24253.305	24683.948	25092.322	25510.173	25910.973	26218.835	26618.01	27106.505	27513.856	27934.448	28241.413	28541.742	28849.373	29136.72	29447.709	29732.254	30082.861
1833	Northern Africa and Western Asia	2864.066	2783.112	2717.957	2758.088	2812.469	2863.846	2918.382	2983.86	3055.296	3126.591	3193.173	3258.399	3335.07	3411.51	3483.73	3586.444	3670.864	3754.296	3851.786	3942.151	4030.718	4123.118	4219.035	4304.965	4423.192	4526.064	4629.828	4731.28	4837.86	4944.907	5042.467	5146.747	5267.52	5376.884	5475.746	5587.803	5694.582	5819.567	5919.331	6042.07	6166.35	6276.402	6356.688	6470.631	6603.173	6689.108	6805.947	6871.5	6976.277	7041.438	7150.622	7208.084	7277.374	7358.726	7406.635	7454.533	7503.198	7578.427	7615.706	7691.855	7736.678	7802.405	7856.602	7911.736	7949.484	7984.228	8049.289	8069.302	8144.453	8201.477	8238.675	8265.795	8372.994	8436.758	8529.775	8589.478	8633.457	8714.184	8789.982
1831	Central and Southern Asia	15332.446	12161.689	12097.733	12289.153	12385.216	12512.279	12646.773	12890.232	12944.413	13146.714	13322.861	13535.425	13802.577	13899.93	14185.794	14495.897	14677.448	14865.441	15158.553	15497.322	15788.766	15895.422	16250.497	16574.745	16681.172	16924.798	17179.625	17554.885	17843.756	18150.111	18421.14	18550.856	18906.497	19147.858	19536.473	19803.24	20059.066	20429.974	20721.267	21062.729	21382.072	21747.749	22060.41	22463.331	22619.846	22984.247	23528.706	23618.28	23958.153	24040.482	24710.442	24890.288	25042.304	25516.978	25788.704	26044.533	26299.449	26506.993	26755.543	26904.708	27029.16	27251.063	27369.667	27457.812	27600.755	27572.453	27797.224	28002.913	27964.783	27952.394	28135.74	28126.35	28031.441	28209.345	28329.36	28178.449	28196.555	28035.239	28117.189
1832	Eastern and South-Eastern Asia	16907.843	16436.417	16517.992	16756.153	16932.221	17213.445	17425.961	17728.61	17914.047	18368.592	18603.922	18920.595	19237.762	19539.201	19923.311	20396.139	20533.907	21065.276	21546.194	21872.056	22341.875	22650.949	22848.63	23033.051	23431.048	23795.25	24186.053	24471.256	24746.986	25097.83	25388.287	25484.485	25701.085	26027.146	26292.013	26568.313	26784.358	26853.736	27046.539	27325.412	27463.151	27427.923	27319.786	27492.167	27429.959	27446.184	27118.315	26952.784	26979.352	26813.294	26584.966	26587.409	26525.768	26500.711	26364.842	26372.805	26201.323	26184.934	26101.061	25861.867	25890.918	25828.568	25572.738	25437.255	25083.885	24766.971	24536.529	24449.756	24084.624	23724.361	23485.938	23308.388	23127.408	23153.725	23050.263	22758.943	22656.39	22579.36	22340.007
1830	Latin America and the Caribbean	4702.363	4146.934	4161.828	4215.956	4263.256	4321.885	4368.686	4445.24	4519.785	4602.087	4654.046	4740.351	4801.467	4886.79	4980.224	5074.257	5197.112	5273.055	5352.933	5448.973	5551.775	5638.817	5740.395	5830.03	5915.257	6022.835	6123.144	6222.473	6292.044	6389.009	6483.112	6548.82	6647.141	6719.853	6798.147	6900.075	7002.203	7085.247	7139.487	7241.688	7299.304	7380.68	7444.692	7539.856	7638.554	7702.503	7793.579	7864.084	7929.698	7974.674	8054.387	8074.413	8115.219	8163.351	8213.658	8288.005	8330.105	8357.877	8411.474	8447.443	8466.893	8486.29	8495.054	8496.054	8503.396	8548.425	8535.921	8514.821	8508.922	8473.1	8456.612	8439.448	8406.338	8374.032	8341.156	8316.773	8280.51	8236.261	8212.528
1835	Oceania (excluding Australia and New Zealand)	78.082	78.558	78.53	79.195	80.312	80.846	82.03	84.112	84.444	85.699	87.002	89.154	90.439	91.733	93.976	95.576	98.98	100.581	102.626	104.395	106.197	107.555	108.715	112.044	114.442	116.767	116.806	120.748	122.658	123.859	127.352	128.254	129.681	132.699	135.26	137.757	140.3	141.831	143.896	146.626	149.303	150.247	153.95	154.755	157.783	160.902	161.741	164.744	166.416	169.803	171.74	173.636	175.533	177.46	180.469	183.562	186.82	188.153	189.265	191.682	192.715	193.272	194.132	196.186	196.798	199.891	200.122	202.949	205.33	207.042	210.265	212.092	214.207	213.555	213.624	214.834	215.865	216.545	214.714
1836	Australia/New Zealand	191.661	191.637	192.851	195.358	196.558	199.501	201.718	206.799	208.685	211.436	214.612	218.147	223.304	225.904	231.716	236.806	240.38	245.563	249.85	255.133	261.352	263.829	267.628	272.361	274.801	275.813	280.166	282.624	284.029	288.234	289.478	292.958	294.956	298.999	300.354	301.448	304.966	307.116	309.14	311.098	315.394	311.993	313.803	315.032	316.148	317.769	321.374	320.754	319.57	323.864	328.608	331.777	330.55	337.594	341.231	344.292	349.97	350.147	354.138	360.627	362.421	365.782	365.662	367.261	367.25	372.944	375.842	376.683	372.025	370.686	374.017	375.931	373.713	373.848	371.277	372.643	372.222	371.909	372.14
1829	Europe and Northern America	12527.754	10978.278	10774.281	10832.909	10885.014	10939.155	11010.35	11085.401	11180.219	11244.584	11294.543	11401.429	11518.406	11641.582	11726.293	11861.675	12019.473	12101.977	12214.22	12318.195	12437.761	12545.786	12669.414	12774.61	12815.042	12888.622	12939.838	13008.224	13028.497	13063.843	13151.353	13174.065	13208.786	13221.296	13226.96	13198.187	13196.148	13149.644	13163.689	13080.567	13042.32	13044.775	13002.333	12990.314	12939.687	12920.487	12864.704	12788.884	12820.815	12724.258	12746.598	12712.274	12699.094	12699.978	12661.689	12609.1	12553.948	12510.314	12462.498	12421.882	12400.232	12380.748	12331.493	12254.974	12186.42	12116.819	12045.952	11997.489	11943.987	11849.648	11830.526	11823.05	11770.003	11795.549	11713.261	11671.481	11661.253	11639.214	11586.399
901	More developed regions	14261.84	12736.302	12531.52	12585.857	12658.994	12709.227	12782.794	12889.406	13008.503	13110.242	13168.404	13264.984	13359.092	13504.727	13613.51	13743.968	13914.874	14004.414	14127.801	14241.242	14368.508	14438.468	14557.787	14636.781	14741.735	14756.876	14785.142	14844.84	14868.902	14881.844	14950.551	14960.342	14958.145	15008.513	15000.465	14994.544	15000.913	14974.051	14988.718	14941.927	14874.365	14898.998	14849.136	14813.489	14772.654	14758.811	14726.333	14627.488	14629.057	14543.571	14502.094	14467.957	14457.105	14431.968	14361.192	14315.153	14226.077	14167.381	14098.545	14054.604	14023.224	13970.904	13890.554	13833.955	13751.696	13675.947	13596.413	13522.275	13481.201	13397.341	13368.684	13304.46	13285.993	13271.46	13216.848	13151.739	13127.452	13128.881	13053.195
