country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	60+ / 15-59	22.834	23.368	23.98	24.554	25.1	25.606	26.139	26.706	27.274	27.834	28.36	28.869	29.355	29.81	30.242	30.647	31.039	31.456	31.907	32.386	32.894	33.395	33.886	34.392	34.928	35.505	36.068	36.62	37.196	37.715	38.149	38.531	38.867	39.173	39.473	39.749	40	40.235	40.469	40.726	40.979	41.234	41.476	41.715	41.986	42.295	42.621	42.958	43.303	43.638	44.016	44.416	44.788	45.12	45.449	45.791	46.071	46.281	46.445	46.575	46.709	46.807	46.874	46.997	47.173	47.327	47.445	47.574	47.72	47.883	48.066	48.258	48.461	48.697	48.939	49.177	49.437	49.669	49.885
1834	Sub-Saharan Africa	60+ / 15-59	8.957	8.943	8.969	9.02	9.081	9.146	9.216	9.292	9.371	9.453	9.536	9.62	9.703	9.792	9.892	10.001	10.121	10.255	10.401	10.553	10.708	10.865	11.026	11.191	11.358	11.523	11.692	11.86	12.025	12.189	12.35	12.514	12.68	12.854	13.033	13.212	13.394	13.586	13.788	14	14.225	14.461	14.708	14.966	15.236	15.522	15.816	16.121	16.434	16.741	17.056	17.376	17.697	18	18.289	18.588	18.893	19.207	19.522	19.828	20.145	20.463	20.784	21.114	21.442	21.781	22.136	22.489	22.841	23.183	23.527	23.873	24.226	24.615	24.982	25.315	25.664	26.002	26.334
1833	Northern Africa and Western Asia	60+ / 15-59	14.063	14.398	14.781	15.184	15.593	15.996	16.426	16.864	17.283	17.725	18.185	18.665	19.165	19.685	20.233	20.803	21.395	22.014	22.646	23.277	23.908	24.541	25.164	25.782	26.392	26.974	27.525	28.047	28.539	28.988	29.396	29.778	30.13	30.459	30.751	31.016	31.267	31.495	31.704	31.928	32.151	32.339	32.535	32.769	33.053	33.36	33.684	34.057	34.474	34.94	35.433	35.931	36.437	36.937	37.388	37.808	38.212	38.604	38.986	39.317	39.627	39.991	40.34	40.6	40.86	41.141	41.42	41.706	41.989	42.268	42.594	42.969	43.358	43.728	44.117	44.511	44.871	45.226	45.555
1831	Central and Southern Asia	60+ / 15-59	15.671	15.926	16.291	16.651	17.008	17.367	17.734	18.108	18.482	18.871	19.278	19.687	20.107	20.533	20.978	21.438	21.899	22.382	22.891	23.417	23.978	24.566	25.164	25.778	26.422	27.099	27.761	28.416	29.093	29.777	30.458	31.111	31.783	32.478	33.17	33.834	34.492	35.164	35.831	36.528	37.241	37.919	38.583	39.233	39.815	40.383	40.953	41.475	41.939	42.368	42.805	43.209	43.537	43.843	44.189	44.542	44.853	45.105	45.285	45.447	45.719	46.062	46.373	46.675	46.979	47.274	47.602	47.858	48.086	48.404	48.685	49.031	49.343	49.631	49.995	50.353	50.708	50.956	51.148
1832	Eastern and South-Eastern Asia	60+ / 15-59	28.135	29.363	30.712	31.963	33.177	34.29	35.51	36.866	38.248	39.619	40.869	42.074	43.211	44.196	45.076	45.831	46.49	47.208	48.028	48.926	49.97	50.98	51.895	52.874	53.995	55.327	56.673	58.008	59.452	60.674	61.535	62.248	62.873	63.401	63.814	64.139	64.367	64.533	64.753	64.95	65.073	65.226	65.392	65.634	65.97	66.35	66.849	67.486	68.17	68.844	69.659	70.57	71.496	72.28	72.936	73.74	74.321	74.623	74.672	74.367	74.069	73.835	73.565	73.272	73.056	72.837	72.666	72.502	72.291	72.242	72.323	72.336	72.318	72.346	72.34	72.372	72.493	72.713	72.881
1830	Latin America and the Caribbean	60+ / 15-59	21.17	21.705	22.304	22.908	23.513	24.118	24.72	25.322	25.929	26.553	27.2	27.865	28.539	29.228	29.948	30.697	31.47	32.257	33.062	33.893	34.739	35.594	36.454	37.33	38.21	39.089	39.974	40.866	41.755	42.648	43.545	44.423	45.305	46.181	47.062	47.949	48.805	49.643	50.478	51.3	52.059	52.792	53.51	54.196	54.898	55.589	56.27	56.945	57.589	58.251	58.891	59.496	60.1	60.681	61.183	61.618	62.067	62.457	62.768	63.045	63.326	63.651	63.962	64.236	64.526	64.864	65.198	65.515	65.805	66.092	66.399	66.705	67.072	67.502	67.88	68.131	68.36	68.693	69.087
1835	Oceania (excluding Australia and New Zealand)	60+ / 15-59	11.032	11.329	11.629	11.927	12.221	12.505	12.777	13.046	13.315	13.58	13.84	14.096	14.342	14.586	14.833	15.08	15.329	15.578	15.833	16.093	16.334	16.569	16.815	17.065	17.329	17.602	17.868	18.121	18.367	18.61	18.834	19.053	19.28	19.486	19.69	19.902	20.095	20.289	20.483	20.659	20.823	21.014	21.219	21.411	21.608	21.777	21.941	22.185	22.419	22.601	22.809	23.009	23.192	23.392	23.592	23.807	23.99	24.144	24.303	24.464	24.689	24.942	25.211	25.477	25.749	26.024	26.286	26.612	26.939	27.219	27.51	27.782	28.078	28.431	28.707	29.01	29.353	29.553	29.763
1836	Australia/New Zealand	60+ / 15-59	37.927	38.657	39.314	39.877	40.377	40.857	41.359	41.89	42.459	43.085	43.712	44.254	44.691	45.056	45.367	45.633	45.892	46.177	46.517	46.935	47.407	47.927	48.501	49.095	49.708	50.353	51.026	51.765	52.547	53.304	54.05	54.816	55.556	56.269	56.923	57.475	57.977	58.395	58.722	58.944	59.127	59.352	59.536	59.768	60.11	60.489	60.881	61.254	61.65	62.021	62.342	62.651	62.927	63.168	63.417	63.62	63.719	63.763	63.79	63.801	63.902	63.995	63.991	64.062	64.19	64.306	64.382	64.381	64.313	64.338	64.43	64.48	64.548	64.617	64.651	64.685	64.739	64.814	64.9
1829	Europe and Northern America	60+ / 15-59	43.725	44.543	45.445	46.311	47.09	47.798	48.489	49.181	49.895	50.604	51.247	51.841	52.44	53.064	53.677	54.262	54.859	55.496	56.179	56.863	57.515	58.179	58.833	59.493	60.179	60.852	61.514	62.166	62.801	63.379	63.859	64.211	64.442	64.571	64.671	64.762	64.821	64.872	64.969	65.098	65.201	65.296	65.418	65.591	65.795	66.074	66.436	66.806	67.134	67.453	67.801	68.135	68.454	68.795	69.132	69.299	69.371	69.447	69.437	69.328	69.204	69.107	69.043	69.019	68.97	68.942	68.92	68.898	68.963	69.032	69.028	69.076	69.226	69.378	69.541	69.74	69.928	70.1	70.263
901	More developed regions	60+ / 15-59	45.748	46.529	47.392	48.23	48.961	49.645	50.361	51.076	51.812	52.557	53.261	53.926	54.602	55.293	55.952	56.585	57.2	57.831	58.51	59.184	59.82	60.455	61.104	61.766	62.415	63.044	63.673	64.281	64.882	65.431	65.861	66.18	66.422	66.602	66.735	66.83	66.903	66.997	67.1	67.189	67.268	67.352	67.475	67.635	67.837	68.137	68.528	68.884	69.212	69.542	69.832	70.106	70.388	70.677	70.965	71.189	71.255	71.233	71.133	71.012	70.948	70.866	70.825	70.804	70.738	70.677	70.642	70.615	70.606	70.64	70.703	70.765	70.834	70.932	71.134	71.313	71.378	71.52	71.786
