country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	60+ / 15-59	22.86	23.442	24.102	24.728	25.33	25.894	26.49	27.126	27.766	28.396	28.997	29.584	30.154	30.688	31.201	31.693	32.167	32.675	33.218	33.785	34.403	35.025	35.627	36.257	36.929	37.648	38.375	39.085	39.808	40.471	41.046	41.585	42.091	42.555	43.007	43.452	43.875	44.288	44.694	45.099	45.516	45.95	46.392	46.868	47.36	47.883	48.462	49.072	49.732	50.403	51.074	51.772	52.474	53.162	53.845	54.532	55.152	55.692	56.185	56.646	57.053	57.377	57.699	58.099	58.536	58.976	59.367	59.683	60.115	60.518	60.896	61.309	61.707	62.203	62.651	63.008	63.427	63.94	64.457
1834	Sub-Saharan Africa	60+ / 15-59	8.968	8.972	9.011	9.074	9.149	9.227	9.311	9.4	9.494	9.591	9.691	9.792	9.892	9.997	10.112	10.24	10.384	10.544	10.719	10.905	11.1	11.3	11.507	11.722	11.946	12.18	12.417	12.65	12.883	13.115	13.351	13.591	13.835	14.098	14.372	14.649	14.936	15.243	15.564	15.9	16.263	16.647	17.049	17.47	17.907	18.363	18.844	19.346	19.862	20.398	20.951	21.517	22.08	22.64	23.226	23.833	24.455	25.103	25.759	26.411	27.035	27.607	28.192	28.827	29.448	30.033	30.595	31.145	31.71	32.291	32.916	33.564	34.215	34.841	35.448	36.049	36.621	37.258	37.913
1833	Northern Africa and Western Asia	60+ / 15-59	14.085	14.463	14.887	15.332	15.785	16.236	16.715	17.201	17.676	18.177	18.696	19.234	19.797	20.386	20.999	21.637	22.299	22.989	23.706	24.43	25.165	25.908	26.644	27.386	28.131	28.852	29.556	30.241	30.894	31.512	32.089	32.642	33.182	33.706	34.213	34.683	35.101	35.519	35.965	36.407	36.833	37.278	37.715	38.169	38.698	39.26	39.837	40.512	41.263	42.059	42.955	43.904	44.862	45.833	46.798	47.718	48.578	49.383	50.171	50.968	51.718	52.434	53.185	53.939	54.606	55.291	56.019	56.734	57.509	58.211	58.877	59.604	60.433	61.251	61.914	62.674	63.497	64.221	64.918
1831	Central and Southern Asia	60+ / 15-59	15.735	16.089	16.53	16.973	17.42	17.879	18.352	18.836	19.335	19.858	20.405	20.959	21.527	22.12	22.733	23.366	24.006	24.656	25.353	26.118	26.928	27.734	28.57	29.447	30.334	31.267	32.209	33.145	34.124	35.136	36.153	37.158	38.175	39.278	40.38	41.471	42.557	43.641	44.787	45.983	47.224	48.432	49.645	50.882	52.094	53.347	54.615	55.778	56.973	58.211	59.456	60.685	61.816	62.924	64.136	65.349	66.499	67.66	68.829	69.987	71.11	72.182	73.151	74.106	75.058	75.908	76.77	77.638	78.57	79.504	80.262	81.126	82.042	82.785	83.559	84.467	85.335	86.085	86.629
1832	Eastern and South-Eastern Asia	60+ / 15-59	28.194	29.545	31.029	32.431	33.812	35.101	36.505	38.045	39.629	41.226	42.716	44.164	45.561	46.823	47.98	49.03	50.024	51.094	52.253	53.508	54.914	56.253	57.518	58.921	60.506	62.283	64.094	65.983	68.027	69.837	71.226	72.437	73.582	74.653	75.605	76.447	77.19	77.809	78.437	79.158	79.862	80.536	81.131	81.779	82.728	83.837	85.025	86.28	87.672	89.13	90.782	92.677	94.502	96.333	98.324	100.587	102.626	104.177	105.42	106.245	106.817	107.181	107.177	107.219	107.398	107.538	107.607	107.691	108.001	108.374	108.479	108.703	109.096	109.455	109.743	110.259	111.155	111.739	112.03
1830	Latin America and the Caribbean	60+ / 15-59	21.21	21.815	22.475	23.144	23.821	24.5	25.18	25.87	26.568	27.282	28.023	28.789	29.569	30.374	31.216	32.096	32.999	33.911	34.854	35.827	36.826	37.849	38.904	39.97	41.043	42.144	43.246	44.359	45.5	46.645	47.789	48.944	50.143	51.369	52.602	53.813	55.052	56.285	57.491	58.716	59.888	61.047	62.251	63.448	64.623	65.764	66.854	67.996	69.165	70.359	71.595	72.817	74.077	75.352	76.605	77.91	79.237	80.511	81.676	82.784	83.84	84.838	85.78	86.61	87.254	87.972	88.755	89.297	89.888	90.534	91.137	92.002	93.009	93.762	94.5	95.23	95.705	96.217	96.855
1835	Oceania (excluding Australia and New Zealand)	60+ / 15-59	11.053	11.393	11.739	12.086	12.432	12.775	13.113	13.446	13.781	14.12	14.465	14.814	15.164	15.517	15.865	16.232	16.62	17.011	17.427	17.867	18.31	18.768	19.262	19.782	20.302	20.836	21.378	21.912	22.477	23.054	23.63	24.206	24.785	25.358	25.923	26.476	27.025	27.607	28.189	28.795	29.439	30.12	30.837	31.566	32.318	33.056	33.835	34.665	35.452	36.294	37.176	38.079	39.008	40.035	41.157	42.256	43.341	44.426	45.539	46.639	47.478	48.067	48.639	49.142	49.65	50.087	50.66	51.337	51.97	52.756	53.643	54.473	55.198	55.94	56.583	57.178	57.962	58.844	59.551
1836	Australia/New Zealand	60+ / 15-59	37.995	38.867	39.679	40.405	41.075	41.736	42.423	43.157	43.937	44.777	45.63	46.404	47.084	47.681	48.208	48.707	49.232	49.802	50.424	51.103	51.834	52.64	53.489	54.372	55.306	56.256	57.215	58.239	59.399	60.625	61.811	62.973	64.121	65.22	66.23	67.165	68.135	69.109	70.043	70.846	71.431	72.173	72.995	73.779	74.646	75.556	76.58	77.633	78.7	79.784	80.952	82.124	83.24	84.443	85.675	86.814	87.845	88.628	89.237	90.036	91.1	92.109	92.973	93.81	94.698	95.553	96.096	96.545	97.176	97.857	98.41	98.918	99.426	99.879	100.313	100.836	101.256	101.614	102.352
1829	Europe and Northern America	60+ / 15-59	43.764	44.663	45.656	46.618	47.497	48.315	49.13	49.952	50.8	51.645	52.426	53.154	53.892	54.663	55.43	56.181	56.942	57.748	58.605	59.475	60.325	61.184	62.038	62.917	63.85	64.787	65.702	66.608	67.497	68.339	69.066	69.624	70.071	70.462	70.815	71.15	71.499	71.874	72.243	72.6	72.905	73.237	73.649	74.094	74.594	75.174	75.86	76.671	77.443	78.192	79.039	79.83	80.613	81.465	82.312	83.044	83.661	84.22	84.683	85.054	85.393	85.708	85.992	86.334	86.679	86.9	87.132	87.434	87.805	88.197	88.468	88.663	88.855	89.2	89.681	90.191	90.614	91.006	91.55
901	More developed regions	60+ / 15-59	45.787	46.646	47.597	48.532	49.364	50.152	50.98	51.819	52.679	53.549	54.388	55.202	56.028	56.874	57.694	58.478	59.252	60.031	60.851	61.683	62.491	63.302	64.129	65.001	65.867	66.723	67.602	68.454	69.301	70.106	70.78	71.338	71.795	72.17	72.561	72.916	73.249	73.635	74.026	74.349	74.669	75.053	75.431	75.829	76.313	76.903	77.566	78.235	78.925	79.604	80.301	81.065	81.794	82.542	83.327	84.046	84.644	85.139	85.498	85.842	86.244	86.58	86.899	87.21	87.526	87.817	88.057	88.349	88.647	88.846	89.088	89.394	89.649	89.904	90.251	90.664	91.048	91.5	92.031
902	Less developed regions	60+ / 15-59	18.769	19.36	20.025	20.657	21.277	21.863	22.478	23.138	23.797	24.449	25.076	25.688	26.276	26.821	27.334	27.828	28.313	28.826	29.391	29.983	30.627	31.271	31.879	32.543	33.258	33.986	34.705	35.44	36.207	36.871	37.425	37.987	38.541	39.054	39.54	40.008	40.463	40.925	41.405	41.868	42.336	42.817	43.287	43.762	44.257	44.796	45.378	45.996	46.639	47.327	48.066	48.8	49.537	50.282	50.973	51.63	52.258	52.815	53.323	53.8	54.237	54.646	55.042	55.385	55.742	56.144	56.523	56.97	57.489	57.93	58.341	58.769	59.162	59.538	59.986	60.45	60.899	61.391	61.887
941	Least developed countries	60+ / 15-59	10.332	10.414	10.521	10.645	10.78	10.926	11.081	11.242	11.407	11.574	11.749	11.926	12.097	12.266	12.441	12.622	12.808	13.011	13.237	13.481	13.736	14.002	14.273	14.554	14.848	15.156	15.464	15.771	16.086	16.404	16.739	17.088	17.439	17.81	18.192	18.559	18.944	19.352	19.765	20.187	20.618	21.06	21.513	21.978	22.464	22.975	23.473	23.962	24.463	24.96	25.477	26.008	26.557	27.14	27.722	28.325	28.959	29.591	30.225	30.87	31.493	32.099	32.729	33.325	33.906	34.498	35.067	35.625	36.197	36.806	37.414	38.018	38.634	39.216	39.802	40.403	40.983	41.566	42.114
