country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	60+ / 15-59	22.845	23.397	24.029	24.625	25.195	25.727	26.287	26.883	27.482	28.074	28.633	29.175	29.699	30.189	30.653	31.095	31.525	31.981	32.476	32.999	33.555	34.106	34.643	35.205	35.801	36.43	37.057	37.675	38.306	38.88	39.362	39.797	40.2	40.582	40.939	41.272	41.588	41.894	42.212	42.538	42.853	43.167	43.49	43.828	44.183	44.566	44.983	45.425	45.878	46.339	46.827	47.324	47.812	48.287	48.753	49.214	49.623	49.967	50.251	50.478	50.684	50.891	51.102	51.315	51.533	51.756	51.986	52.224	52.471	52.726	52.993	53.27	53.557	53.853	54.157	54.471	54.794	55.126	55.464
1834	Sub-Saharan Africa	60+ / 15-59	8.962	8.956	8.988	9.045	9.112	9.184	9.261	9.343	9.429	9.516	9.605	9.694	9.785	9.881	9.986	10.102	10.232	10.376	10.532	10.698	10.868	11.042	11.219	11.4	11.586	11.776	11.967	12.159	12.349	12.54	12.734	12.929	13.127	13.333	13.548	13.767	13.989	14.223	14.471	14.734	15.011	15.302	15.608	15.93	16.27	16.622	16.988	17.366	17.751	18.143	18.539	18.935	19.334	19.736	20.141	20.55	20.966	21.39	21.821	22.256	22.694	23.134	23.576	24.021	24.469	24.92	25.376	25.837	26.301	26.767	27.238	27.711	28.186	28.663	29.14	29.616	30.095	30.573	31.052
1833	Northern Africa and Western Asia	60+ / 15-59	14.073	14.427	14.826	15.246	15.669	16.09	16.539	16.998	17.44	17.904	18.39	18.894	19.417	19.965	20.544	21.147	21.769	22.414	23.077	23.748	24.422	25.098	25.772	26.439	27.092	27.722	28.327	28.905	29.451	29.964	30.45	30.912	31.347	31.749	32.118	32.462	32.785	33.091	33.384	33.676	33.963	34.243	34.537	34.854	35.205	35.606	36.054	36.544	37.081	37.664	38.285	38.94	39.619	40.304	40.956	41.566	42.15	42.706	43.236	43.741	44.22	44.684	45.136	45.579	46.014	46.443	46.87	47.297	47.725	48.157	48.599	49.055	49.524	50.004	50.491	50.987	51.489	51.997	52.51
1831	Central and Southern Asia	60+ / 15-59	15.697	15.99	16.382	16.771	17.161	17.558	17.966	18.384	18.813	19.254	19.712	20.183	20.669	21.169	21.682	22.206	22.739	23.295	23.885	24.511	25.166	25.844	26.552	27.285	28.043	28.817	29.594	30.384	31.179	31.979	32.786	33.589	34.393	35.204	36.013	36.822	37.638	38.461	39.3	40.164	41.039	41.902	42.748	43.569	44.359	45.135	45.907	46.678	47.442	48.19	48.926	49.65	50.335	50.982	51.625	52.24	52.827	53.382	53.887	54.369	54.843	55.314	55.783	56.252	56.719	57.185	57.65	58.11	58.571	59.03	59.488	59.949	60.409	60.868	61.325	61.779	62.231	62.679	63.121
1832	Eastern and South-Eastern Asia	60+ / 15-59	28.16	29.442	30.85	32.166	33.448	34.632	35.928	37.366	38.832	40.28	41.618	42.929	44.183	45.286	46.282	47.178	48.004	48.888	49.868	50.933	52.142	53.307	54.386	55.574	56.917	58.447	60.007	61.567	63.254	64.707	65.749	66.627	67.397	68.082	68.673	69.162	69.558	69.885	70.243	70.592	70.866	71.132	71.438	71.818	72.282	72.859	73.565	74.385	75.272	76.206	77.32	78.521	79.72	80.891	82.055	83.326	84.347	85.021	85.389	85.396	85.261	85.116	84.972	84.825	84.678	84.537	84.411	84.303	84.219	84.163	84.138	84.143	84.175	84.241	84.347	84.497	84.702	84.955	85.249
1830	Latin America and the Caribbean	60+ / 15-59	21.186	21.75	22.374	23.006	23.638	24.272	24.907	25.545	26.191	26.855	27.539	28.24	28.957	29.696	30.467	31.267	32.089	32.933	33.799	34.684	35.592	36.517	37.453	38.399	39.354	40.318	41.293	42.277	43.269	44.265	45.258	46.256	47.264	48.277	49.291	50.301	51.313	52.322	53.317	54.292	55.24	56.154	57.048	57.936	58.811	59.669	60.511	61.349	62.19	63.032	63.861	64.666	65.468	66.274	67.043	67.765	68.457	69.089	69.653	70.16	70.629	71.086	71.538	71.988	72.44	72.893	73.344	73.799	74.259	74.723	75.184	75.646	76.108	76.572	77.035	77.498	77.951	78.395	78.835
1835	Oceania (excluding Australia and New Zealand)	60+ / 15-59	11.045	11.367	11.692	12.015	12.335	12.647	12.95	13.249	13.543	13.832	14.121	14.41	14.697	14.981	15.268	15.559	15.852	16.149	16.452	16.759	17.071	17.391	17.72	18.057	18.399	18.743	19.092	19.447	19.805	20.161	20.512	20.86	21.202	21.534	21.858	22.178	22.496	22.821	23.154	23.489	23.83	24.18	24.536	24.9	25.277	25.665	26.065	26.479	26.911	27.357	27.809	28.267	28.732	29.2	29.666	30.126	30.582	31.035	31.483	31.927	32.364	32.79	33.205	33.617	34.029	34.437	34.843	35.254	35.666	36.087	36.518	36.953	37.389	37.827	38.271	38.72	39.176	39.634	40.096
1836	Australia/New Zealand	60+ / 15-59	37.951	38.732	39.445	40.067	40.63	41.175	41.745	42.357	43.019	43.736	44.44	45.062	45.587	46.033	46.426	46.784	47.133	47.51	47.945	48.453	49.032	49.673	50.352	51.059	51.792	52.553	53.355	54.205	55.102	56.009	56.898	57.781	58.678	59.557	60.341	61.021	61.643	62.232	62.763	63.198	63.559	63.903	64.262	64.659	65.129	65.675	66.253	66.838	67.43	68.013	68.584	69.139	69.659	70.162	70.64	71.039	71.367	71.679	71.958	72.198	72.44	72.679	72.91	73.138	73.364	73.586	73.801	74	74.187	74.367	74.541	74.711	74.884	75.06	75.24	75.435	75.641	75.856	76.079
1829	Europe and Northern America	60+ / 15-59	43.741	44.589	45.524	46.424	47.242	47.992	48.73	49.478	50.248	51.011	51.711	52.356	53.008	53.69	54.359	55.007	55.666	56.361	57.119	57.882	58.611	59.352	60.096	60.846	61.611	62.373	63.129	63.875	64.612	65.29	65.85	66.284	66.617	66.888	67.11	67.293	67.459	67.626	67.816	68.002	68.163	68.354	68.588	68.856	69.18	69.589	70.079	70.592	71.075	71.548	72.042	72.532	73.022	73.522	74.005	74.417	74.716	74.914	75.02	75.085	75.153	75.219	75.286	75.352	75.416	75.481	75.551	75.629	75.714	75.811	75.924	76.055	76.203	76.367	76.55	76.753	76.97	77.199	77.439
901	More developed regions	60+ / 15-59	45.763	46.574	47.471	48.345	49.113	49.836	50.592	51.355	52.144	52.942	53.7	54.425	55.158	55.903	56.615	57.292	57.967	58.665	59.41	60.15	60.853	61.569	62.289	63.012	63.743	64.469	65.194	65.905	66.604	67.25	67.791	68.215	68.555	68.84	69.076	69.277	69.461	69.643	69.846	70.043	70.207	70.393	70.613	70.861	71.163	71.549	72.011	72.495	72.953	73.399	73.862	74.325	74.786	75.257	75.71	76.086	76.346	76.509	76.585	76.627	76.672	76.718	76.767	76.817	76.868	76.922	76.983	77.052	77.129	77.219	77.324	77.447	77.587	77.743	77.917	78.11	78.317	78.537	78.767
