country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	60+ / 15-59	25.336	25.921	26.588	27.215	27.813	28.368	28.949	29.567	30.186	30.794	31.366	31.922	32.457	32.952	33.421	33.862	34.288	34.733	35.212	35.722	36.266	36.804	37.325	37.862	38.43	39.03	39.621	40.196	40.773	41.294	41.726	42.096	42.42	42.727	43.018	43.274	43.491	43.694	43.897	44.116	44.346	44.561	44.776	45.006	45.243	45.491	45.766	46.071	46.394	46.726	47.087	47.442	47.761	48.072	48.386	48.703	48.983	49.197	49.353	49.463	49.539	49.613	49.725	49.865	50	50.167	50.337	50.51	50.739	50.956	51.13	51.311	51.485	51.681	51.912	52.177	52.504	52.796	53.1
1834	Sub-Saharan Africa	60+ / 15-59	9.898	9.889	9.918	9.972	10.034	10.1	10.17	10.246	10.323	10.401	10.478	10.556	10.634	10.719	10.814	10.919	11.039	11.175	11.322	11.479	11.641	11.807	11.977	12.152	12.332	12.516	12.7	12.885	13.067	13.245	13.421	13.602	13.782	13.966	14.162	14.358	14.553	14.756	14.971	15.193	15.433	15.69	15.958	16.234	16.521	16.82	17.135	17.469	17.803	18.123	18.45	18.791	19.132	19.462	19.772	20.086	20.421	20.756	21.098	21.438	21.764	22.113	22.47	22.819	23.178	23.523	23.882	24.276	24.663	25.047	25.435	25.815	26.203	26.601	27.002	27.38	27.754	28.13	28.476
1833	Northern Africa and Western Asia	60+ / 15-59	15.908	16.233	16.606	16.997	17.388	17.773	18.182	18.597	18.989	19.406	19.845	20.298	20.77	21.259	21.782	22.334	22.897	23.48	24.077	24.69	25.314	25.945	26.578	27.206	27.832	28.436	29.015	29.573	30.101	30.603	31.086	31.539	31.955	32.337	32.681	33	33.303	33.583	33.841	34.104	34.37	34.627	34.909	35.205	35.511	35.869	36.296	36.762	37.219	37.694	38.198	38.731	39.288	39.839	40.353	40.816	41.231	41.619	42.008	42.308	42.617	43.016	43.408	43.733	44.012	44.304	44.607	44.911	45.223	45.551	45.902	46.241	46.629	47.078	47.493	47.856	48.214	48.634	49.045
1831	Central and Southern Asia	60+ / 15-59	16.783	17.071	17.468	17.857	18.247	18.646	19.054	19.468	19.889	20.325	20.778	21.237	21.703	22.189	22.69	23.198	23.71	24.243	24.809	25.405	26.024	26.678	27.355	28.053	28.785	29.514	30.242	30.99	31.725	32.452	33.194	33.943	34.695	35.425	36.133	36.821	37.495	38.17	38.862	39.577	40.294	40.988	41.65	42.299	42.894	43.445	44.018	44.592	45.139	45.628	46.023	46.408	46.817	47.221	47.57	47.854	48.162	48.483	48.725	48.955	49.244	49.61	49.942	50.158	50.353	50.528	50.751	51.016	51.244	51.541	51.849	52.168	52.551	52.939	53.306	53.627	53.971	54.284	54.552
1832	Eastern and South-Eastern Asia	60+ / 15-59	31.372	32.758	34.281	35.707	37.098	38.381	39.788	41.35	42.931	44.487	45.918	47.312	48.642	49.793	50.823	51.747	52.579	53.455	54.429	55.464	56.633	57.745	58.737	59.834	61.091	62.525	63.994	65.458	67.035	68.321	69.14	69.83	70.447	70.928	71.269	71.521	71.699	71.754	71.807	71.877	71.859	71.805	71.867	71.99	72.093	72.324	72.677	73.19	73.773	74.328	75.061	75.831	76.547	77.222	77.889	78.686	79.253	79.478	79.431	79.102	78.68	78.353	78.149	77.853	77.518	77.228	76.988	76.864	76.74	76.713	76.752	76.781	76.815	76.844	76.985	77.237	77.449	77.648	77.844
1830	Latin America and the Caribbean	60+ / 15-59	23.271	23.881	24.556	25.238	25.921	26.603	27.283	27.963	28.65	29.355	30.086	30.832	31.594	32.379	33.195	34.034	34.886	35.756	36.645	37.562	38.503	39.464	40.42	41.366	42.317	43.269	44.232	45.216	46.216	47.196	48.136	49.072	50.022	50.978	51.902	52.804	53.707	54.597	55.45	56.289	57.095	57.862	58.627	59.367	60.073	60.76	61.444	62.133	62.807	63.444	64.07	64.675	65.29	65.893	66.403	66.896	67.391	67.782	68.056	68.265	68.498	68.736	69.069	69.418	69.66	69.933	70.223	70.502	70.827	71.155	71.435	71.737	72.059	72.447	72.827	73.146	73.433	73.69	73.962
1835	Oceania (excluding Australia and New Zealand)	60+ / 15-59	11.176	11.527	11.885	12.249	12.616	12.978	13.337	13.697	14.053	14.405	14.759	15.113	15.463	15.812	16.164	16.51	16.848	17.197	17.55	17.898	18.239	18.58	18.935	19.282	19.623	19.967	20.306	20.634	20.95	21.262	21.551	21.814	22.069	22.317	22.571	22.81	23.006	23.216	23.439	23.643	23.837	24.039	24.26	24.462	24.656	24.854	25.059	25.274	25.508	25.748	25.974	26.171	26.345	26.581	26.836	27.04	27.248	27.441	27.629	27.826	28.062	28.39	28.763	29.112	29.431	29.756	30.146	30.558	30.9	31.262	31.612	31.93	32.214	32.524	32.939	33.344	33.72	34.033	34.284
1836	Australia/New Zealand	60+ / 15-59	39.914	40.718	41.452	42.091	42.666	43.229	43.821	44.456	45.14	45.874	46.578	47.182	47.673	48.073	48.409	48.717	49.03	49.349	49.7	50.122	50.629	51.2	51.822	52.493	53.186	53.902	54.657	55.431	56.231	57.024	57.779	58.495	59.193	59.882	60.458	60.943	61.394	61.768	62.071	62.325	62.532	62.672	62.811	62.969	63.167	63.474	63.841	64.25	64.644	64.996	65.342	65.664	65.921	66.169	66.373	66.468	66.569	66.673	66.739	66.784	66.83	66.941	67.038	67.099	67.238	67.356	67.382	67.347	67.348	67.364	67.342	67.343	67.307	67.337	67.471	67.662	67.767	67.811	67.965
1829	Europe and Northern America	60+ / 15-59	49.34	50.223	51.189	52.112	52.941	53.689	54.415	55.144	55.895	56.639	57.324	57.959	58.597	59.267	59.921	60.542	61.174	61.837	62.555	63.278	63.955	64.641	65.305	65.969	66.67	67.37	68.051	68.69	69.294	69.837	70.271	70.562	70.722	70.804	70.828	70.809	70.776	70.751	70.74	70.705	70.686	70.735	70.815	70.938	71.103	71.309	71.567	71.859	72.179	72.514	72.845	73.134	73.393	73.672	73.967	74.196	74.299	74.282	74.155	73.978	73.792	73.642	73.556	73.505	73.419	73.336	73.32	73.318	73.287	73.324	73.412	73.546	73.743	73.871	73.95	74.101	74.294	74.487	74.643
901	More developed regions	60+ / 15-59	51.499	52.344	53.272	54.17	54.948	55.673	56.427	57.182	57.962	58.747	59.496	60.213	60.94	61.682	62.385	63.051	63.716	64.395	65.097	65.785	66.444	67.104	67.763	68.412	69.059	69.711	70.352	70.97	71.57	72.102	72.485	72.729	72.881	72.981	73.046	73.058	73.048	73.051	73.087	73.131	73.156	73.2	73.249	73.336	73.488	73.701	74	74.306	74.55	74.779	75.052	75.328	75.578	75.825	76.041	76.18	76.224	76.191	76.085	75.948	75.801	75.69	75.594	75.482	75.404	75.394	75.416	75.393	75.331	75.317	75.327	75.342	75.439	75.546	75.6	75.729	75.954	76.177	76.384
