country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	60+ / 15-59	20.415	20.898	21.459	21.983	22.482	22.944	23.426	23.942	24.461	24.975	25.455	25.916	26.365	26.778	27.164	27.532	27.896	28.285	28.704	29.15	29.629	30.104	30.557	31.042	31.571	32.119	32.669	33.207	33.751	34.251	34.673	35.061	35.412	35.731	36.032	36.316	36.592	36.854	37.133	37.424	37.701	37.952	38.207	38.506	38.818	39.13	39.467	39.84	40.217	40.59	40.962	41.358	41.76	42.128	42.497	42.868	43.178	43.424	43.62	43.751	43.826	43.902	44.007	44.118	44.226	44.34	44.459	44.608	44.792	44.932	45.081	45.253	45.431	45.632	45.825	46.049	46.286	46.514	46.726
1834	Sub-Saharan Africa	60+ / 15-59	8.007	7.987	8.009	8.058	8.118	8.184	8.255	8.332	8.414	8.5	8.587	8.676	8.765	8.859	8.963	9.076	9.199	9.332	9.475	9.62	9.767	9.917	10.068	10.218	10.37	10.525	10.679	10.832	10.982	11.126	11.267	11.415	11.569	11.728	11.894	12.059	12.226	12.406	12.599	12.798	13.008	13.229	13.46	13.705	13.961	14.224	14.497	14.777	15.057	15.342	15.627	15.917	16.204	16.487	16.772	17.066	17.363	17.651	17.94	18.223	18.516	18.815	19.112	19.423	19.726	20.019	20.319	20.637	20.963	21.292	21.599	21.881	22.179	22.526	22.859	23.173	23.526	23.848	24.139
1833	Northern Africa and Western Asia	60+ / 15-59	12.376	12.716	13.105	13.517	13.935	14.35	14.795	15.252	15.693	16.154	16.633	17.133	17.655	18.199	18.773	19.366	19.975	20.613	21.259	21.899	22.543	23.181	23.808	24.413	24.985	25.532	26.046	26.529	26.975	27.382	27.752	28.081	28.385	28.652	28.877	29.105	29.326	29.516	29.682	29.841	30	30.144	30.28	30.439	30.637	30.873	31.176	31.544	31.936	32.351	32.784	33.241	33.707	34.16	34.589	34.985	35.365	35.712	36.032	36.338	36.644	36.934	37.208	37.49	37.773	38.066	38.399	38.717	39.006	39.292	39.53	39.799	40.119	40.472	40.868	41.224	41.552	41.911	42.29
1831	Central and Southern Asia	60+ / 15-59	14.613	14.836	15.172	15.501	15.825	16.15	16.479	16.812	17.148	17.488	17.84	18.202	18.571	18.943	19.33	19.724	20.12	20.55	21.021	21.512	22.018	22.521	23.045	23.603	24.199	24.805	25.395	25.995	26.589	27.187	27.807	28.417	29.012	29.62	30.232	30.862	31.481	32.114	32.791	33.478	34.154	34.792	35.423	36.058	36.647	37.188	37.694	38.201	38.698	39.151	39.583	40.044	40.456	40.734	40.998	41.31	41.606	41.85	42.092	42.268	42.498	42.811	43.103	43.369	43.612	43.892	44.132	44.412	44.63	44.778	45.034	45.394	45.867	46.267	46.493	46.712	47.007	47.281	47.546
1832	Eastern and South-Eastern Asia	60+ / 15-59	25.059	26.142	27.333	28.424	29.474	30.428	31.479	32.651	33.84	35.003	36.075	37.107	38.075	38.913	39.627	40.235	40.776	41.364	42.047	42.822	43.762	44.667	45.463	46.359	47.412	48.622	49.838	51.102	52.475	53.61	54.445	55.148	55.711	56.2	56.703	57.15	57.46	57.739	58.113	58.406	58.603	58.827	59.07	59.405	59.843	60.332	60.923	61.658	62.437	63.225	64.151	65.153	66.06	66.918	67.806	68.749	69.494	69.838	69.886	69.693	69.385	69.144	68.924	68.675	68.478	68.243	67.971	67.82	67.734	67.608	67.508	67.48	67.42	67.466	67.549	67.57	67.681	67.812	67.966
1830	Latin America and the Caribbean	60+ / 15-59	19.034	19.494	20.017	20.545	21.07	21.595	22.119	22.641	23.167	23.705	24.264	24.844	25.439	26.053	26.692	27.356	28.04	28.741	29.458	30.189	30.929	31.69	32.477	33.278	34.074	34.865	35.668	36.49	37.335	38.162	38.967	39.778	40.605	41.439	42.28	43.117	43.92	44.733	45.545	46.318	47.092	47.829	48.501	49.179	49.852	50.512	51.14	51.774	52.425	53.085	53.719	54.311	54.9	55.464	56.004	56.481	56.867	57.229	57.585	57.898	58.192	58.493	58.793	59.139	59.52	59.838	60.141	60.44	60.708	60.958	61.287	61.737	62.119	62.526	62.958	63.304	63.706	64.094	64.349
1835	Oceania (excluding Australia and New Zealand)	60+ / 15-59	10.893	11.138	11.381	11.616	11.838	12.044	12.236	12.417	12.594	12.77	12.939	13.096	13.246	13.394	13.536	13.68	13.826	13.976	14.134	14.297	14.448	14.591	14.749	14.907	15.082	15.269	15.448	15.624	15.822	16.02	16.204	16.384	16.561	16.746	16.917	17.089	17.254	17.427	17.616	17.786	17.951	18.125	18.312	18.515	18.702	18.86	19.026	19.226	19.413	19.565	19.75	19.939	20.102	20.294	20.508	20.65	20.758	20.9	21.004	21.108	21.273	21.484	21.687	21.915	22.123	22.334	22.589	22.769	22.987	23.264	23.54	23.769	24.033	24.333	24.623	24.914	25.116	25.272	25.478
1836	Australia/New Zealand	60+ / 15-59	35.937	36.594	37.178	37.664	38.08	38.469	38.869	39.306	39.787	40.314	40.838	41.292	41.664	41.968	42.222	42.443	42.658	42.907	43.212	43.575	43.996	44.486	44.998	45.527	46.101	46.708	47.319	47.962	48.69	49.438	50.14	50.842	51.593	52.345	53.04	53.605	54.091	54.597	55.042	55.346	55.581	55.813	56.01	56.221	56.523	56.915	57.342	57.758	58.151	58.549	58.892	59.214	59.521	59.785	60.055	60.24	60.375	60.45	60.473	60.475	60.514	60.572	60.645	60.709	60.676	60.675	60.669	60.749	60.908	60.974	60.993	60.957	60.949	61.036	61.098	61.153	61.343	61.44	61.416
1829	Europe and Northern America	60+ / 15-59	38.14	38.897	39.739	40.547	41.275	41.941	42.599	43.264	43.946	44.621	45.23	45.779	46.334	46.914	47.48	48.029	48.59	49.189	49.835	50.494	51.121	51.751	52.4	53.058	53.724	54.392	55.062	55.729	56.385	56.98	57.477	57.868	58.168	58.407	58.599	58.777	58.932	59.102	59.309	59.483	59.623	59.781	59.959	60.179	60.458	60.812	61.219	61.64	62.066	62.45	62.838	63.222	63.581	63.97	64.316	64.562	64.719	64.772	64.746	64.679	64.581	64.499	64.47	64.485	64.536	64.598	64.626	64.649	64.668	64.696	64.771	64.868	64.948	65.034	65.233	65.393	65.533	65.716	65.875
901	More developed regions	60+ / 15-59	40.04	40.761	41.565	42.346	43.029	43.669	44.346	45.026	45.722	46.422	47.083	47.713	48.352	48.986	49.588	50.175	50.752	51.343	51.986	52.633	53.247	53.87	54.487	55.115	55.764	56.402	57.035	57.657	58.268	58.824	59.307	59.701	59.999	60.242	60.434	60.607	60.774	60.944	61.138	61.325	61.485	61.628	61.768	61.948	62.187	62.516	62.925	63.346	63.755	64.125	64.473	64.819	65.168	65.533	65.888	66.131	66.237	66.255	66.199	66.12	66.075	66.091	66.113	66.105	66.114	66.139	66.13	66.089	66.071	66.108	66.199	66.26	66.332	66.404	66.447	66.585	66.753	66.916	67.122
