country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	60+ / 15-59	20.441	20.975	21.588	22.168	22.729	23.259	23.819	24.415	25.014	25.604	26.169	26.728	27.274	27.781	28.26	28.725	29.19	29.676	30.193	30.747	31.337	31.931	32.511	33.119	33.765	34.457	35.144	35.808	36.51	37.173	37.748	38.282	38.764	39.23	39.689	40.115	40.546	40.974	41.406	41.859	42.324	42.792	43.261	43.752	44.271	44.815	45.396	46.023	46.674	47.327	47.998	48.691	49.398	50.13	50.845	51.493	52.111	52.701	53.182	53.558	53.915	54.288	54.689	55.051	55.419	55.801	56.141	56.461	56.752	57.039	57.364	57.724	58.15	58.582	58.947	59.388	59.853	60.251	60.614
1834	Sub-Saharan Africa	60+ / 15-59	8.017	8.016	8.052	8.113	8.187	8.266	8.352	8.444	8.539	8.64	8.745	8.849	8.955	9.067	9.186	9.318	9.464	9.623	9.794	9.976	10.163	10.352	10.542	10.738	10.943	11.158	11.375	11.591	11.807	12.023	12.242	12.467	12.696	12.93	13.178	13.435	13.697	13.98	14.284	14.596	14.924	15.279	15.652	16.039	16.458	16.885	17.325	17.788	18.267	18.77	19.291	19.816	20.347	20.879	21.417	21.97	22.543	23.134	23.735	24.348	24.942	25.491	26.032	26.608	27.168	27.697	28.221	28.71	29.215	29.781	30.338	30.858	31.405	31.965	32.507	33.062	33.662	34.251	34.792
1833	Northern Africa and Western Asia	60+ / 15-59	12.396	12.779	13.209	13.663	14.126	14.592	15.094	15.609	16.109	16.633	17.181	17.745	18.332	18.951	19.604	20.273	20.961	21.681	22.424	23.169	23.915	24.675	25.424	26.15	26.867	27.582	28.265	28.897	29.498	30.064	30.608	31.123	31.605	32.067	32.484	32.873	33.262	33.645	34.007	34.374	34.732	35.07	35.418	35.801	36.253	36.732	37.257	37.865	38.553	39.32	40.095	40.883	41.797	42.727	43.556	44.377	45.205	45.973	46.713	47.492	48.244	48.895	49.553	50.239	50.854	51.486	52.196	52.891	53.567	54.165	54.757	55.495	56.224	56.93	57.592	58.173	58.84	59.592	60.355
1831	Central and Southern Asia	60+ / 15-59	14.677	15.001	15.415	15.83	16.246	16.674	17.12	17.578	18.04	18.521	19.023	19.534	20.065	20.621	21.204	21.805	22.412	23.038	23.685	24.377	25.121	25.866	26.638	27.442	28.296	29.199	30.094	31.008	31.95	32.938	33.932	34.902	35.907	36.949	38.001	39.025	40.075	41.188	42.374	43.631	44.854	46.069	47.32	48.531	49.695	50.914	52.137	53.372	54.569	55.657	56.741	57.869	59.039	60.184	61.334	62.465	63.61	64.849	66.147	67.315	68.312	69.459	70.567	71.492	72.369	73.064	73.642	74.327	75.173	76.003	76.595	77.191	77.964	78.658	79.214	79.987	80.954	81.776	82.507
1832	Eastern and South-Eastern Asia	60+ / 15-59	25.12	26.332	27.671	28.929	30.163	31.318	32.58	33.976	35.42	36.868	38.211	39.522	40.787	41.909	42.951	43.918	44.815	45.769	46.83	47.993	49.284	50.525	51.692	52.983	54.463	56.143	57.873	59.682	61.591	63.245	64.567	65.755	66.869	67.931	68.909	69.765	70.528	71.226	72.032	72.868	73.553	74.234	74.847	75.654	76.695	77.718	78.984	80.525	82.145	83.72	85.449	87.352	89.278	91.313	93.371	95.375	97.203	98.76	99.906	100.633	101.223	101.87	102.315	102.359	102.3	102.383	102.525	102.625	102.711	102.82	103.012	103.287	103.421	103.53	103.921	104.429	104.723	104.948	105.175
1830	Latin America and the Caribbean	60+ / 15-59	19.074	19.602	20.185	20.777	21.375	21.979	22.584	23.195	23.818	24.459	25.122	25.808	26.518	27.252	28.012	28.803	29.622	30.46	31.32	32.212	33.134	34.078	35.048	36.045	37.052	38.072	39.112	40.165	41.269	42.401	43.52	44.628	45.753	46.919	48.093	49.242	50.387	51.559	52.724	53.896	55.085	56.196	57.221	58.298	59.408	60.499	61.555	62.617	63.732	64.902	66.059	67.141	68.27	69.462	70.655	71.784	72.911	74.01	75.052	76.07	77.054	77.967	78.958	79.899	80.765	81.636	82.391	83.136	83.779	84.409	85.024	85.614	86.325	87.151	87.902	88.725	89.565	90.242	90.653
1835	Oceania (excluding Australia and New Zealand)	60+ / 15-59	10.918	11.214	11.511	11.804	12.09	12.364	12.627	12.887	13.145	13.402	13.665	13.925	14.179	14.441	14.701	14.969	15.262	15.553	15.847	16.17	16.517	16.869	17.24	17.654	18.091	18.507	18.935	19.395	19.838	20.306	20.799	21.282	21.792	22.298	22.793	23.309	23.844	24.382	24.951	25.55	26.138	26.723	27.39	28.085	28.738	29.401	30.107	30.806	31.539	32.378	33.291	34.221	35.054	35.902	36.83	37.774	38.772	39.742	40.637	41.47	42.108	42.759	43.552	44.224	44.762	45.26	45.63	45.94	46.487	47.14	47.859	48.682	49.474	50.273	50.894	51.403	52.038	52.703	53.548
1836	Australia/New Zealand	60+ / 15-59	36.009	36.818	37.564	38.222	38.825	39.398	39.993	40.642	41.338	42.086	42.842	43.552	44.175	44.72	45.23	45.698	46.151	46.642	47.189	47.791	48.471	49.25	50.077	50.909	51.749	52.619	53.546	54.571	55.674	56.79	57.902	59.039	60.193	61.341	62.47	63.558	64.62	65.571	66.375	67.092	67.766	68.433	69.173	70.067	71.026	72.014	73.047	74.165	75.261	76.33	77.468	78.635	79.792	80.92	81.971	82.981	84.068	85.03	85.854	86.688	87.598	88.519	89.423	90.229	90.85	91.497	92.053	92.542	93.115	93.694	94.314	95.001	95.637	96.307	96.954	97.451	98.052	98.713	99.256
1829	Europe and Northern America	60+ / 15-59	38.173	39.002	39.933	40.84	41.674	42.455	43.238	44.045	44.873	45.695	46.452	47.146	47.849	48.586	49.321	50.051	50.788	51.552	52.368	53.221	54.068	54.904	55.753	56.637	57.539	58.459	59.392	60.296	61.179	62.014	62.753	63.374	63.888	64.343	64.774	65.239	65.671	66.087	66.539	66.935	67.271	67.63	68.041	68.524	69.134	69.811	70.553	71.318	72.048	72.777	73.507	74.251	75.056	75.864	76.631	77.375	78.139	78.829	79.312	79.691	80.051	80.396	80.748	81.185	81.531	81.764	82.091	82.342	82.574	82.878	83.188	83.451	83.68	84.052	84.476	84.848	85.224	85.726	86.209
901	More developed regions	60+ / 15-59	40.073	40.866	41.756	42.635	43.423	44.175	44.969	45.779	46.617	47.461	48.266	49.04	49.827	50.62	51.389	52.131	52.866	53.629	54.435	55.245	56.043	56.846	57.654	58.47	59.302	60.158	61.027	61.898	62.757	63.548	64.247	64.878	65.452	65.94	66.382	66.807	67.184	67.525	67.903	68.317	68.673	69.047	69.478	69.946	70.478	71.093	71.818	72.571	73.291	74.002	74.72	75.452	76.23	77.022	77.767	78.416	78.991	79.5	79.881	80.229	80.551	80.886	81.237	81.623	81.966	82.269	82.606	82.851	83.009	83.223	83.547	83.937	84.277	84.5	84.713	85.006	85.386	85.825	86.389
