country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14	25.238	24.95	24.638	24.32	23.995	23.658	23.326	23.008	22.705	22.404	22.108	21.838	21.604	21.408	21.235	21.078	20.94	20.812	20.693	20.587	20.48	20.372	20.27	20.171	20.068	19.969	19.87	19.752	19.629	19.502	19.37	19.235	19.089	18.947	18.809	18.687	18.573	18.437	18.297	18.159	18.035	17.925	17.79	17.655	17.53	17.409	17.303	17.22	17.144	17.058	16.971	16.877	16.779	16.693	16.618	16.542	16.477	16.424	16.354	16.266	16.192	16.124	16.044	15.965	15.886	15.794	15.714	15.636	15.539	15.443	15.348	15.257	15.179	15.098	15.011	14.922	14.839	14.755	14.679
1834	Sub-Saharan Africa	0-14	41.805	41.473	41.11	40.728	40.334	39.933	39.528	39.125	38.726	38.321	37.912	37.495	37.067	36.638	36.204	35.781	35.373	34.974	34.601	34.247	33.878	33.49	33.118	32.752	32.39	32.039	31.675	31.309	30.94	30.581	30.206	29.824	29.476	29.133	28.784	28.452	28.131	27.795	27.446	27.098	26.77	26.463	26.163	25.876	25.614	25.349	25.067	24.803	24.56	24.317	24.043	23.753	23.513	23.285	23.028	22.772	22.526	22.298	22.079	21.866	21.665	21.458	21.236	21.026	20.833	20.619	20.396	20.204	20.036	19.863	19.706	19.546	19.377	19.216	19.05	18.902	18.748	18.59	18.452
1833	Northern Africa and Western Asia	0-14	30.462	30.1	29.696	29.254	28.782	28.285	27.776	27.26	26.756	26.288	25.857	25.453	25.071	24.711	24.376	24.102	23.879	23.656	23.444	23.257	23.087	22.916	22.728	22.545	22.374	22.209	22.041	21.864	21.688	21.478	21.245	21.024	20.814	20.599	20.383	20.177	19.969	19.755	19.544	19.354	19.16	18.955	18.759	18.572	18.39	18.212	18.052	17.91	17.782	17.649	17.496	17.359	17.236	17.111	17.012	16.908	16.79	16.68	16.544	16.389	16.264	16.158	16.058	15.964	15.845	15.715	15.601	15.49	15.373	15.262	15.14	15.026	14.941	14.84	14.723	14.606	14.504	14.429	14.338
1831	Central and Southern Asia	0-14	27.12	26.67	26.193	25.718	25.249	24.782	24.318	23.88	23.455	23.03	22.635	22.254	21.885	21.539	21.192	20.88	20.626	20.373	20.12	19.89	19.646	19.399	19.176	18.975	18.797	18.612	18.383	18.134	17.931	17.753	17.573	17.39	17.199	17.018	16.843	16.687	16.519	16.329	16.166	16.014	15.854	15.679	15.532	15.391	15.249	15.127	15.003	14.901	14.798	14.67	14.556	14.47	14.378	14.293	14.22	14.136	14.032	13.933	13.841	13.74	13.653	13.582	13.494	13.403	13.329	13.249	13.179	13.126	13.048	12.967	12.903	12.832	12.749	12.69	12.649	12.595	12.563	12.566	12.545
1832	Eastern and South-Eastern Asia	0-14	18.892	18.479	18.044	17.597	17.145	16.662	16.167	15.676	15.204	14.746	14.268	13.856	13.53	13.281	13.122	13.003	12.921	12.865	12.81	12.757	12.706	12.673	12.658	12.633	12.618	12.614	12.599	12.567	12.52	12.47	12.411	12.357	12.291	12.211	12.106	11.988	11.865	11.725	11.612	11.515	11.402	11.285	11.186	11.101	11.024	10.973	10.939	10.895	10.84	10.804	10.801	10.814	10.839	10.864	10.87	10.886	10.916	10.925	10.912	10.902	10.902	10.903	10.898	10.898	10.882	10.846	10.815	10.788	10.756	10.734	10.717	10.667	10.596	10.548	10.516	10.465	10.421	10.389	10.355
1830	Latin America and the Caribbean	0-14	23.215	22.83	22.433	22.032	21.632	21.241	20.861	20.491	20.12	19.763	19.414	19.08	18.768	18.48	18.221	17.997	17.797	17.594	17.387	17.184	16.993	16.804	16.622	16.443	16.257	16.067	15.894	15.731	15.562	15.403	15.252	15.099	14.954	14.824	14.693	14.546	14.398	14.269	14.153	14.037	13.932	13.839	13.74	13.646	13.555	13.454	13.351	13.253	13.169	13.093	13.006	12.92	12.842	12.757	12.678	12.62	12.554	12.478	12.413	12.354	12.309	12.264	12.207	12.139	12.079	12.031	11.982	11.932	11.88	11.825	11.774	11.726	11.669	11.622	11.597	11.564	11.521	11.497	11.479
1835	Oceania (excluding Australia and New Zealand)	0-14	33.408	32.869	32.317	31.749	31.168	30.592	30.031	29.466	28.898	28.33	27.78	27.246	26.702	26.185	25.701	25.333	25.089	24.862	24.633	24.458	24.31	24.131	23.925	23.708	23.508	23.3	23.089	22.917	22.722	22.491	22.255	22.025	21.846	21.65	21.428	21.224	21.012	20.796	20.551	20.29	20.065	19.863	19.676	19.491	19.319	19.184	19.027	18.855	18.706	18.58	18.461	18.336	18.206	18.075	17.979	17.835	17.657	17.518	17.385	17.27	17.152	17.028	16.898	16.758	16.629	16.5	16.349	16.219	16.102	15.971	15.886	15.81	15.718	15.625	15.528	15.404	15.274	15.158	15.052
1836	Australia/New Zealand	0-14	18.241	17.988	17.732	17.475	17.212	16.948	16.684	16.428	16.176	15.922	15.688	15.47	15.252	15.041	14.842	14.665	14.508	14.345	14.191	14.056	13.937	13.82	13.707	13.611	13.549	13.518	13.469	13.414	13.362	13.312	13.263	13.195	13.113	13.042	12.969	12.873	12.791	12.713	12.623	12.532	12.439	12.347	12.23	12.14	12.07	11.973	11.892	11.831	11.761	11.668	11.588	11.545	11.508	11.478	11.446	11.419	11.416	11.405	11.396	11.399	11.411	11.41	11.387	11.383	11.377	11.351	11.317	11.277	11.254	11.229	11.201	11.172	11.135	11.072	11.015	10.986	10.926	10.86	10.817
1829	Europe and Northern America	0-14	16.392	16.182	15.955	15.736	15.518	15.292	15.069	14.845	14.62	14.405	14.215	14.063	13.942	13.846	13.764	13.694	13.644	13.607	13.575	13.556	13.55	13.54	13.532	13.528	13.518	13.503	13.491	13.481	13.46	13.429	13.383	13.332	13.278	13.223	13.163	13.086	13.014	12.942	12.87	12.805	12.739	12.673	12.607	12.553	12.506	12.459	12.425	12.402	12.383	12.365	12.355	12.363	12.373	12.363	12.341	12.331	12.326	12.308	12.278	12.248	12.231	12.224	12.214	12.198	12.162	12.122	12.099	12.085	12.054	12.012	11.982	11.954	11.934	11.922	11.911	11.903	11.873	11.829	11.805
901	More developed regions	0-14	15.974	15.771	15.554	15.345	15.14	14.928	14.715	14.506	14.295	14.098	13.926	13.788	13.68	13.602	13.539	13.481	13.432	13.396	13.373	13.366	13.366	13.358	13.354	13.352	13.342	13.324	13.302	13.28	13.259	13.233	13.203	13.163	13.109	13.053	12.993	12.928	12.856	12.787	12.718	12.642	12.577	12.516	12.455	12.421	12.39	12.355	12.331	12.303	12.29	12.289	12.295	12.285	12.271	12.28	12.283	12.292	12.295	12.277	12.255	12.238	12.23	12.232	12.22	12.193	12.158	12.118	12.086	12.047	12.007	11.983	11.972	11.954	11.917	11.88	11.864	11.852	11.818	11.78	11.754
902	Less developed regions	0-14	27.001	26.677	26.328	25.971	25.609	25.232	24.854	24.496	24.156	23.823	23.495	23.197	22.919	22.676	22.48	22.296	22.129	21.97	21.819	21.683	21.547	21.413	21.282	21.157	21.037	20.917	20.793	20.652	20.506	20.363	20.215	20.062	19.908	19.756	19.605	19.461	19.309	19.149	19.006	18.873	18.737	18.606	18.474	18.335	18.19	18.042	17.916	17.817	17.729	17.643	17.546	17.433	17.316	17.209	17.122	17.044	16.951	16.858	16.779	16.696	16.611	16.521	16.428	16.352	16.27	16.174	16.075	15.968	15.858	15.76	15.666	15.562	15.461	15.371	15.287	15.21	15.13	15.049	14.969
941	Least developed countries	0-14	38.708	38.412	38.103	37.781	37.455	37.13	36.797	36.454	36.112	35.755	35.378	35.007	34.625	34.237	33.849	33.478	33.121	32.755	32.39	32.025	31.685	31.364	31.033	30.693	30.368	30.047	29.725	29.408	29.082	28.779	28.493	28.205	27.904	27.603	27.304	26.998	26.699	26.405	26.127	25.865	25.602	25.338	25.07	24.801	24.54	24.291	24.057	23.839	23.599	23.354	23.126	22.9	22.678	22.449	22.217	21.984	21.744	21.526	21.337	21.144	20.942	20.733	20.529	20.33	20.128	19.933	19.755	19.591	19.42	19.244	19.084	18.944	18.786	18.626	18.487	18.351	18.191	18.007	17.847
934	Less developed regions, excluding least developed countries	0-14	24.634	24.261	23.862	23.455	23.045	22.616	22.19	21.787	21.398	21.019	20.641	20.298	20.007	19.756	19.544	19.361	19.201	19.054	18.907	18.777	18.659	18.529	18.409	18.294	18.183	18.064	17.945	17.831	17.726	17.625	17.514	17.389	17.24	17.081	16.944	16.801	16.643	16.496	16.345	16.197	16.047	15.91	15.799	15.693	15.592	15.497	15.401	15.308	15.226	15.151	15.093	15.03	14.957	14.894	14.848	14.801	14.751	14.699	14.632	14.563	14.503	14.438	14.374	14.301	14.208	14.13	14.061	13.987	13.921	13.858	13.794	13.728	13.673	13.624	13.563	13.492	13.426	13.364	13.307
948	Less developed regions, excluding China	0-14	29.747	29.427	29.085	28.734	28.379	28.021	27.671	27.338	27.009	26.69	26.384	26.078	25.793	25.523	25.247	24.994	24.771	24.551	24.348	24.157	23.96	23.764	23.555	23.347	23.153	22.964	22.776	22.582	22.376	22.178	21.986	21.802	21.62	21.431	21.254	21.081	20.898	20.714	20.523	20.342	20.184	20.02	19.853	19.697	19.554	19.415	19.276	19.133	18.991	18.853	18.721	18.588	18.442	18.305	18.18	18.045	17.898	17.769	17.66	17.544	17.419	17.304	17.189	17.073	16.979	16.882	16.77	16.664	16.549	16.433	16.335	16.214	16.095	16.003	15.902	15.81	15.727	15.637	15.539
1636	Land-locked Developing Countries (LLDC)	0-14	39.068	38.743	38.401	38.028	37.637	37.229	36.813	36.39	35.96	35.524	35.107	34.695	34.26	33.799	33.328	32.903	32.525	32.162	31.808	31.461	31.122	30.776	30.441	30.141	29.852	29.563	29.252	28.93	28.605	28.287	27.996	27.709	27.418	27.128	26.833	26.529	26.228	25.906	25.559	25.225	24.919	24.63	24.344	24.063	23.781	23.489	23.207	22.955	22.715	22.459	22.213	21.964	21.728	21.511	21.291	21.1	20.901	20.699	20.502	20.306	20.13	19.94	19.739	19.545	19.359	19.156	18.954	18.778	18.608	18.433	18.257	18.117	17.979	17.809	17.651	17.525	17.413	17.303	17.168
1637	Small Island Developing States (SIDS)	0-14	25.007	24.724	24.421	24.106	23.783	23.463	23.148	22.832	22.512	22.197	21.901	21.606	21.31	21.039	20.782	20.555	20.373	20.205	20.043	19.887	19.721	19.557	19.409	19.259	19.117	18.975	18.832	18.702	18.578	18.451	18.324	18.192	18.057	17.93	17.799	17.662	17.531	17.41	17.278	17.14	16.995	16.862	16.747	16.619	16.49	16.362	16.24	16.139	16.039	15.927	15.824	15.754	15.696	15.619	15.55	15.495	15.445	15.39	15.304	15.223	15.161	15.083	14.998	14.911	14.814	14.725	14.644	14.561	14.471	14.391	14.325	14.274	14.232	14.159	14.073	14.014	13.969	13.907	13.839
1503	High-income countries	0-14	16.038	15.818	15.612	15.412	15.216	15.02	14.829	14.646	14.468	14.293	14.128	13.988	13.879	13.787	13.706	13.639	13.583	13.528	13.468	13.413	13.373	13.345	13.328	13.309	13.274	13.239	13.206	13.173	13.134	13.097	13.053	13.002	12.961	12.905	12.838	12.778	12.727	12.681	12.624	12.561	12.503	12.452	12.399	12.353	12.328	12.301	12.271	12.251	12.234	12.217	12.208	12.205	12.199	12.194	12.193	12.194	12.184	12.159	12.139	12.126	12.102	12.095	12.087	12.061	12.047	12.02	11.985	11.951	11.926	11.908	11.867	11.841	11.832	11.805	11.783	11.764	11.74	11.718	11.683
