country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14	25.281	25.083	24.865	24.648	24.434	24.215	24.008	23.817	23.643	23.482	23.326	23.201	23.119	23.068	23.043	23.011	22.967	22.915	22.863	22.817	22.762	22.723	22.682	22.629	22.566	22.516	22.485	22.425	22.341	22.247	22.144	22.037	21.949	21.872	21.795	21.728	21.659	21.579	21.517	21.458	21.39	21.317	21.232	21.15	21.072	21.021	20.985	20.974	20.973	20.956	20.924	20.876	20.846	20.808	20.758	20.713	20.681	20.665	20.649	20.643	20.661	20.654	20.62	20.58	20.563	20.579	20.587	20.598	20.59	20.559	20.521	20.491	20.501	20.506	20.499	20.483	20.482	20.522	20.57
1834	Sub-Saharan Africa	0-14	41.874	41.686	41.476	41.257	41.029	40.805	40.606	40.416	40.228	40.054	39.889	39.716	39.527	39.349	39.185	38.999	38.773	38.519	38.253	37.992	37.754	37.473	37.188	36.961	36.727	36.48	36.231	35.976	35.733	35.496	35.208	34.943	34.725	34.503	34.279	34.046	33.808	33.581	33.363	33.131	32.914	32.705	32.486	32.265	32.066	31.876	31.708	31.57	31.416	31.226	31.012	30.834	30.721	30.619	30.495	30.373	30.241	30.135	30	29.849	29.702	29.592	29.548	29.453	29.326	29.178	29.032	28.933	28.876	28.799	28.706	28.646	28.612	28.568	28.49	28.406	28.328	28.267	28.207
1833	Northern Africa and Western Asia	0-14	30.533	30.314	30.061	29.776	29.467	29.145	28.818	28.484	28.156	27.876	27.635	27.436	27.28	27.138	27.021	26.915	26.801	26.684	26.557	26.433	26.325	26.223	26.108	25.988	25.878	25.767	25.652	25.549	25.438	25.317	25.198	25.057	24.932	24.822	24.694	24.561	24.434	24.326	24.217	24.08	23.95	23.866	23.78	23.658	23.556	23.454	23.371	23.317	23.246	23.184	23.133	23.071	22.995	22.926	22.875	22.797	22.706	22.664	22.623	22.541	22.461	22.403	22.348	22.301	22.227	22.139	22.069	22.047	21.987	21.865	21.757	21.685	21.644	21.604	21.53	21.418	21.362	21.324	21.28
1831	Central and Southern Asia	0-14	27.22	26.976	26.714	26.469	26.248	26.05	25.873	25.727	25.593	25.465	25.373	25.312	25.254	25.2	25.154	25.051	24.917	24.769	24.585	24.423	24.272	24.132	23.971	23.778	23.623	23.483	23.305	23.105	22.928	22.774	22.615	22.458	22.371	22.32	22.214	22.127	22.056	21.984	21.947	21.892	21.834	21.802	21.758	21.674	21.634	21.636	21.609	21.585	21.536	21.482	21.458	21.414	21.354	21.258	21.125	21.022	20.989	20.953	20.851	20.78	20.751	20.708	20.669	20.628	20.582	20.578	20.6	20.641	20.693	20.717	20.729	20.726	20.69	20.644	20.633	20.636	20.682	20.702	20.667
1832	Eastern and South-Eastern Asia	0-14	18.957	18.677	18.38	18.083	17.791	17.468	17.131	16.808	16.512	16.231	15.936	15.705	15.558	15.495	15.53	15.594	15.631	15.641	15.651	15.686	15.729	15.786	15.839	15.883	15.923	15.934	15.941	15.953	15.951	15.92	15.886	15.852	15.788	15.711	15.608	15.494	15.386	15.251	15.134	15.047	14.972	14.904	14.846	14.797	14.768	14.776	14.799	14.834	14.866	14.898	14.948	15.014	15.078	15.162	15.261	15.332	15.374	15.425	15.483	15.528	15.56	15.603	15.645	15.636	15.605	15.564	15.499	15.45	15.454	15.472	15.457	15.423	15.371	15.334	15.347	15.365	15.379	15.401	15.428
1830	Latin America and the Caribbean	0-14	23.273	23.009	22.745	22.491	22.245	22.007	21.785	21.585	21.397	21.224	21.082	20.949	20.813	20.719	20.663	20.604	20.52	20.413	20.292	20.148	19.988	19.833	19.686	19.57	19.44	19.269	19.13	18.995	18.84	18.701	18.578	18.465	18.375	18.295	18.212	18.129	18.038	17.956	17.882	17.816	17.755	17.695	17.649	17.632	17.626	17.612	17.585	17.572	17.568	17.552	17.511	17.474	17.43	17.349	17.312	17.31	17.288	17.238	17.202	17.198	17.187	17.165	17.131	17.099	17.058	17.012	16.993	16.982	16.942	16.89	16.876	16.876	16.884	16.92	16.954	16.965	16.949	16.94	16.925
1835	Oceania (excluding Australia and New Zealand)	0-14	33.68	33.678	33.67	33.665	33.651	33.639	33.63	33.603	33.582	33.582	33.561	33.542	33.528	33.538	33.583	33.458	33.2	32.978	32.748	32.543	32.344	32.157	31.972	31.756	31.559	31.389	31.242	31.109	31.005	30.902	30.811	30.751	30.703	30.654	30.57	30.485	30.429	30.378	30.289	30.168	30.056	30.018	29.965	29.837	29.729	29.629	29.459	29.249	29.086	29.006	28.893	28.75	28.663	28.575	28.504	28.374	28.203	28.062	27.942	27.832	27.708	27.602	27.544	27.499	27.398	27.248	27.132	27.038	26.892	26.731	26.589	26.464	26.359	26.328	26.311	26.199	26.095	26.039	25.98
1836	Australia/New Zealand	0-14	18.307	18.193	18.089	17.991	17.897	17.814	17.749	17.695	17.637	17.581	17.547	17.544	17.559	17.573	17.599	17.618	17.595	17.551	17.511	17.462	17.414	17.389	17.378	17.349	17.34	17.382	17.397	17.412	17.437	17.435	17.433	17.437	17.444	17.427	17.383	17.351	17.34	17.356	17.341	17.328	17.344	17.339	17.31	17.271	17.277	17.28	17.27	17.272	17.254	17.205	17.155	17.137	17.145	17.142	17.149	17.194	17.227	17.239	17.266	17.312	17.345	17.341	17.319	17.327	17.337	17.367	17.374	17.354	17.365	17.362	17.346	17.307	17.267	17.266	17.292	17.316	17.351	17.404	17.419
1829	Europe and Northern America	0-14	16.423	16.278	16.122	15.982	15.855	15.726	15.607	15.502	15.397	15.299	15.233	15.213	15.218	15.256	15.323	15.385	15.447	15.493	15.53	15.582	15.638	15.66	15.683	15.73	15.752	15.771	15.81	15.841	15.838	15.816	15.8	15.78	15.763	15.755	15.743	15.69	15.632	15.595	15.567	15.547	15.544	15.55	15.551	15.58	15.605	15.603	15.617	15.659	15.694	15.716	15.753	15.801	15.852	15.916	15.963	16.006	16.033	16.032	16.041	16.051	16.061	16.054	16.036	16.023	16.004	15.985	15.985	15.984	15.976	15.973	15.971	15.985	15.996	16.001	16.027	16.065	16.104	16.141	16.165
901	More developed regions	0-14	16.003	15.861	15.713	15.581	15.461	15.341	15.23	15.13	15.031	14.945	14.887	14.873	14.892	14.94	15.011	15.085	15.146	15.18	15.212	15.272	15.326	15.36	15.39	15.416	15.439	15.439	15.442	15.466	15.485	15.476	15.455	15.444	15.419	15.388	15.356	15.322	15.296	15.262	15.239	15.229	15.23	15.247	15.249	15.256	15.265	15.264	15.29	15.338	15.375	15.41	15.46	15.506	15.54	15.574	15.62	15.655	15.681	15.72	15.737	15.748	15.754	15.751	15.751	15.755	15.766	15.755	15.73	15.709	15.692	15.692	15.704	15.709	15.707	15.721	15.754	15.784	15.814	15.854	15.879
902	Less developed regions	0-14	27.051	26.826	26.582	26.34	26.101	25.856	25.614	25.394	25.196	25.014	24.838	24.68	24.563	24.491	24.463	24.434	24.371	24.295	24.209	24.134	24.062	23.978	23.909	23.853	23.781	23.692	23.6	23.5	23.415	23.344	23.247	23.129	23.008	22.916	22.826	22.719	22.629	22.556	22.482	22.396	22.318	22.255	22.184	22.108	22.003	21.93	21.9	21.853	21.805	21.785	21.764	21.703	21.635	21.594	21.576	21.534	21.486	21.455	21.448	21.465	21.462	21.437	21.373	21.334	21.326	21.302	21.317	21.319	21.282	21.252	21.236	21.238	21.266	21.254	21.214	21.198	21.199	21.243	21.285
941	Least developed countries	0-14	38.77	38.602	38.431	38.255	38.08	37.91	37.751	37.592	37.429	37.269	37.097	36.919	36.744	36.569	36.4	36.209	35.995	35.78	35.559	35.313	35.073	34.868	34.672	34.45	34.206	33.965	33.748	33.538	33.339	33.151	32.962	32.784	32.611	32.456	32.293	32.112	31.916	31.707	31.518	31.369	31.206	31.035	30.847	30.682	30.573	30.438	30.277	30.144	30.018	29.882	29.72	29.587	29.52	29.425	29.281	29.138	29.017	28.907	28.815	28.74	28.678	28.606	28.551	28.493	28.432	28.396	28.37	28.359	28.333	28.291	28.246	28.197	28.156	28.117	28.056	28.039	28.05	28.002	27.925
934	Less developed regions, excluding least developed countries	0-14	24.69	24.432	24.156	23.879	23.598	23.311	23.033	22.773	22.544	22.337	22.129	21.966	21.856	21.782	21.761	21.724	21.681	21.641	21.56	21.489	21.425	21.348	21.283	21.224	21.164	21.098	21.03	20.965	20.887	20.795	20.713	20.638	20.534	20.442	20.355	20.266	20.184	20.105	20.039	19.965	19.89	19.821	19.751	19.698	19.655	19.595	19.558	19.526	19.486	19.464	19.46	19.457	19.445	19.419	19.4	19.392	19.387	19.381	19.35	19.315	19.306	19.29	19.268	19.243	19.182	19.12	19.1	19.078	19.043	19.01	18.985	18.97	18.961	18.974	18.997	19.011	19.005	19.032	19.087
948	Less developed regions, excluding China	0-14	29.798	29.584	29.354	29.125	28.899	28.68	28.471	28.279	28.097	27.925	27.777	27.643	27.521	27.416	27.316	27.201	27.081	26.954	26.813	26.673	26.517	26.378	26.251	26.109	25.976	25.846	25.708	25.569	25.438	25.316	25.179	25.022	24.886	24.758	24.626	24.524	24.44	24.317	24.202	24.097	23.986	23.896	23.806	23.717	23.621	23.533	23.466	23.409	23.327	23.235	23.177	23.106	23.012	22.924	22.852	22.795	22.747	22.713	22.667	22.602	22.55	22.521	22.472	22.392	22.316	22.285	22.292	22.275	22.255	22.234	22.204	22.169	22.142	22.114	22.074	22.056	22.06	22.078	22.093
1636	Land-locked Developing Countries (LLDC)	0-14	39.145	38.978	38.804	38.609	38.395	38.182	37.976	37.765	37.554	37.346	37.156	36.965	36.757	36.548	36.352	36.113	35.827	35.57	35.338	35.094	34.839	34.585	34.327	34.101	33.882	33.639	33.389	33.161	32.967	32.77	32.559	32.33	32.112	31.904	31.715	31.541	31.328	31.102	30.906	30.724	30.561	30.388	30.199	29.999	29.825	29.685	29.485	29.315	29.182	28.998	28.838	28.713	28.565	28.406	28.266	28.164	28.075	27.982	27.87	27.757	27.672	27.571	27.486	27.39	27.312	27.25	27.126	27.06	27.026	26.941	26.838	26.757	26.739	26.695	26.589	26.524	26.484	26.407	26.386
1637	Small Island Developing States (SIDS)	0-14	25.089	24.969	24.84	24.709	24.571	24.437	24.321	24.218	24.114	24.012	23.924	23.833	23.74	23.685	23.639	23.569	23.459	23.324	23.205	23.084	22.966	22.868	22.791	22.709	22.607	22.5	22.385	22.287	22.19	22.112	22.064	22.012	21.955	21.885	21.808	21.728	21.662	21.618	21.584	21.549	21.501	21.439	21.367	21.298	21.264	21.251	21.21	21.202	21.209	21.172	21.136	21.117	21.098	21.064	21.003	20.935	20.901	20.871	20.822	20.754	20.69	20.628	20.566	20.504	20.438	20.388	20.366	20.355	20.333	20.298	20.297	20.294	20.233	20.172	20.157	20.174	20.135	20.056	19.989
1503	High-income countries	0-14	16.066	15.907	15.771	15.649	15.538	15.439	15.349	15.273	15.205	15.146	15.103	15.086	15.089	15.108	15.151	15.198	15.235	15.262	15.286	15.307	15.313	15.316	15.328	15.331	15.326	15.317	15.312	15.307	15.294	15.275	15.241	15.222	15.204	15.171	15.145	15.125	15.118	15.119	15.109	15.097	15.109	15.127	15.143	15.17	15.2	15.214	15.216	15.237	15.273	15.317	15.352	15.39	15.451	15.497	15.518	15.54	15.562	15.574	15.586	15.591	15.607	15.634	15.626	15.597	15.572	15.544	15.51	15.486	15.479	15.462	15.452	15.464	15.486	15.513	15.556	15.593	15.605	15.626	15.65
1517	Middle-income countries	0-14	25.158	24.921	24.656	24.393	24.132	23.856	23.583	23.334	23.11	22.901	22.7	22.527	22.389	22.314	22.29	22.262	22.219	22.178	22.122	22.051	21.984	21.923	21.878	21.83	21.762	21.684	21.618	21.563	21.488	21.386	21.282	21.192	21.121	21.053	20.963	20.883	20.809	20.721	20.64	20.558	20.47	20.397	20.352	20.295	20.233	20.18	20.129	20.095	20.077	20.046	20.016	19.984	19.963	19.989	19.959	19.859	19.819	19.838	19.815	19.752	19.712	19.702	19.667	19.584	19.516	19.492	19.457	19.425	19.413	19.386	19.383	19.409	19.434	19.431	19.393	19.372	19.378	19.378	19.361
1502	Upper-middle-income countries	0-14	19.663	19.371	19.055	18.735	18.417	18.063	17.702	17.351	17.015	16.699	16.376	16.116	15.947	15.87	15.877	15.898	15.901	15.893	15.877	15.88	15.911	15.954	15.974	15.982	16.021	16.052	16.054	16.046	16.029	16.009	15.977	15.918	15.842	15.761	15.673	15.58	15.474	15.355	15.233	15.121	15.027	14.936	14.85	14.787	14.74	14.72	14.734	14.758	14.799	14.863	14.931	14.993	15.069	15.161	15.231	15.26	15.288	15.323	15.347	15.371	15.401	15.421	15.434	15.421	15.389	15.355	15.314	15.292	15.265	15.228	15.191	15.13	15.099	15.091	15.074	15.068	15.058	15.061	15.064
1501	Lower-middle-income countries	0-14	29.212	29	28.746	28.497	28.265	28.046	27.832	27.643	27.466	27.292	27.143	27.003	26.886	26.808	26.739	26.637	26.505	26.365	26.231	26.091	25.942	25.818	25.707	25.577	25.428	25.282	25.145	25.014	24.877	24.731	24.601	24.482	24.342	24.201	24.105	24.021	23.938	23.832	23.721	23.632	23.536	23.443	23.347	23.239	23.13	23.048	22.979	22.929	22.901	22.844	22.763	22.676	22.576	22.491	22.419	22.337	22.245	22.155	22.058	21.979	21.917	21.827	21.748	21.7	21.63	21.572	21.555	21.523	21.452	21.374	21.334	21.329	21.295	21.249	21.221	21.195	21.152	21.141	21.138
1500	Low-income countries	0-14	41.865	41.658	41.434	41.207	40.993	40.786	40.6	40.428	40.259	40.1	39.95	39.784	39.603	39.431	39.248	39.045	38.795	38.514	38.258	38.014	37.755	37.494	37.21	36.93	36.666	36.381	36.091	35.807	35.541	35.309	35.082	34.855	34.632	34.409	34.202	34.023	33.875	33.703	33.52	33.333	33.152	32.982	32.803	32.632	32.473	32.327	32.208	32.1	31.962	31.859	31.731	31.568	31.437	31.274	31.126	31.044	30.94	30.813	30.724	30.616	30.526	30.48	30.45	30.41	30.349	30.232	30.121	30.083	30.045	29.976	29.875	29.81	29.725	29.622	29.598	29.634	29.677	29.67	29.584
1518	No income group available	0-14	27.612	27.036	26.512	26.08	25.738	25.495	25.356	25.288	25.278	25.31	25.391	25.564	25.801	26.053	26.32	26.52	26.548	26.495	26.414	26.293	26.125	25.907	25.665	25.371	25.049	24.792	24.588	24.388	24.179	23.95	23.748	23.599	23.469	23.366	23.299	23.261	23.184	23.101	23.079	23.064	23.046	23.029	22.99	22.976	22.974	22.892	22.769	22.708	22.656	22.577	22.489	22.339	22.165	21.996	21.841	21.725	21.6	21.492	21.45	21.431	21.38	21.322	21.293	21.264	21.248	21.252	21.23	21.222	21.231	21.202	21.233	21.297	21.306	21.249	21.186	21.234	21.314	21.337	21.314
903	Africa	0-14	40.172	39.997	39.795	39.581	39.352	39.118	38.896	38.684	38.471	38.265	38.069	37.882	37.705	37.528	37.356	37.169	36.946	36.724	36.523	36.325	36.117	35.881	35.648	35.425	35.188	34.962	34.743	34.545	34.363	34.131	33.882	33.673	33.45	33.19	32.945	32.741	32.552	32.364	32.152	31.944	31.753	31.538	31.326	31.117	30.916	30.735	30.57	30.411	30.216	30.02	29.887	29.776	29.681	29.591	29.47	29.331	29.214	29.094	28.991	28.904	28.764	28.622	28.522	28.448	28.382	28.295	28.188	28.085	27.99	27.9	27.849	27.83	27.815	27.793	27.757	27.669	27.55	27.454	27.371
910	Eastern Africa	0-14	41.427	41.175	40.921	40.667	40.417	40.184	39.97	39.784	39.609	39.416	39.223	39.038	38.828	38.608	38.409	38.172	37.896	37.62	37.352	37.059	36.735	36.436	36.142	35.839	35.548	35.271	34.972	34.655	34.355	34.099	33.843	33.58	33.333	33.088	32.862	32.634	32.375	32.141	31.945	31.75	31.542	31.308	31.079	30.85	30.633	30.424	30.196	30.027	29.868	29.662	29.466	29.269	29.09	28.889	28.672	28.493	28.318	28.152	27.964	27.792	27.666	27.508	27.302	27.104	26.96	26.824	26.674	26.578	26.489	26.354	26.221	26.106	26.036	25.983	25.895	25.8	25.666	25.502	25.333
108	Burundi	0-14	45.929	45.618	45.241	44.795	44.334	43.905	43.506	43.166	42.891	42.711	42.642	42.653	42.718	42.774	42.847	42.872	42.788	42.671	42.559	42.48	42.358	42.196	42.049	41.863	41.696	41.519	41.258	40.95	40.683	40.48	40.229	39.962	39.726	39.524	39.265	38.954	38.725	38.58	38.401	38.196	38.012	37.794	37.606	37.426	37.217	37.056	36.933	36.723	36.542	36.455	36.349	36.276	36.148	36.012	35.925	35.786	35.606	35.411	35.24	35.131	35.026	34.888	34.723	34.606	34.468	34.222	33.985	33.779	33.56	33.435	33.379	33.254	33.064	32.928	32.875	32.799	32.745	32.647	32.52
174	Comoros	0-14	38.166	38.151	38.093	38.004	37.881	37.755	37.621	37.471	37.351	37.251	37.154	37.058	36.961	36.881	36.781	36.599	36.364	36.166	35.964	35.744	35.55	35.342	35.133	34.952	34.735	34.461	34.253	34.133	33.973	33.828	33.725	33.586	33.425	33.266	33.162	33.075	32.963	32.801	32.618	32.439	32.238	32.103	32.062	31.926	31.76	31.63	31.484	31.334	31.17	31.03	30.876	30.721	30.658	30.672	30.589	30.478	30.387	30.265	30.181	30.038	29.944	29.955	29.903	29.738	29.539	29.462	29.436	29.364	29.234	29.138	29.079	29.034	29.008	28.89	28.746	28.658	28.571	28.47	28.396
262	Djibouti	0-14	30.626	30.724	30.831	30.947	31.068	31.229	31.407	31.611	31.811	31.95	32.092	32.229	32.305	32.404	32.521	32.403	32.037	31.69	31.379	31.05	30.755	30.501	30.177	29.849	29.657	29.431	29.082	28.802	28.619	28.489	28.342	28.166	28.037	27.911	27.821	27.755	27.744	27.752	27.706	27.682	27.735	27.753	27.689	27.682	27.69	27.628	27.525	27.448	27.36	27.264	27.159	27.002	26.821	26.642	26.456	26.268	26.106	25.941	25.869	25.803	25.682	25.592	25.481	25.369	25.29	25.217	25.22	25.271	25.299	25.253	25.183	25.21	25.166	25.103	25.121	25.135	25.138	25.141	25.122
232	Eritrea	0-14	39.435	39.368	39.288	39.22	39.198	39.25	39.365	39.522	39.705	39.892	40.085	40.31	40.561	40.774	40.89	40.79	40.568	40.341	40.034	39.671	39.317	38.951	38.598	38.275	38.003	37.766	37.53	37.249	36.954	36.721	36.451	36.182	35.966	35.724	35.499	35.369	35.248	35.047	34.896	34.792	34.668	34.55	34.43	34.315	34.188	34.095	33.983	33.786	33.535	33.344	33.158	32.922	32.7	32.427	32.215	32.04	31.763	31.492	31.301	31.178	31.039	30.883	30.738	30.592	30.452	30.335	30.237	30.144	29.968	29.761	29.604	29.412	29.195	29.037	28.926	28.826	28.805	28.736	28.532
