country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14	25.254	25.001	24.727	24.451	24.177	23.895	23.614	23.346	23.09	22.843	22.606	22.397	22.223	22.081	21.968	21.869	21.774	21.683	21.594	21.508	21.423	21.34	21.256	21.171	21.084	20.996	20.903	20.807	20.706	20.6	20.49	20.376	20.257	20.137	20.014	19.89	19.766	19.642	19.519	19.4	19.284	19.173	19.068	18.968	18.873	18.784	18.7	18.621	18.546	18.474	18.406	18.339	18.276	18.213	18.149	18.084	18.017	17.95	17.882	17.814	17.744	17.673	17.602	17.529	17.455	17.38	17.304	17.228	17.152	17.078	17.005	16.933	16.863	16.795	16.729	16.665	16.602	16.541	16.482
1834	Sub-Saharan Africa	0-14	41.834	41.562	41.264	40.951	40.63	40.308	39.992	39.681	39.371	39.061	38.75	38.435	38.114	37.79	37.462	37.133	36.806	36.478	36.152	35.825	35.496	35.165	34.832	34.499	34.166	33.832	33.5	33.168	32.837	32.508	32.181	31.856	31.533	31.213	30.896	30.584	30.275	29.967	29.663	29.365	29.072	28.783	28.498	28.219	27.944	27.675	27.411	27.15	26.894	26.641	26.393	26.15	25.912	25.678	25.446	25.215	24.988	24.766	24.548	24.336	24.127	23.921	23.72	23.525	23.333	23.143	22.957	22.775	22.597	22.423	22.255	22.091	21.929	21.77	21.613	21.458	21.307	21.158	21.013
1833	Northern Africa and Western Asia	0-14	30.491	30.188	29.848	29.474	29.073	28.655	28.223	27.787	27.358	26.964	26.61	26.287	25.994	25.729	25.49	25.275	25.077	24.894	24.723	24.562	24.409	24.262	24.116	23.971	23.827	23.681	23.527	23.366	23.201	23.029	22.852	22.671	22.487	22.299	22.11	21.92	21.731	21.546	21.364	21.184	21.008	20.838	20.674	20.516	20.365	20.222	20.086	19.957	19.834	19.716	19.603	19.494	19.388	19.284	19.182	19.079	18.977	18.874	18.772	18.67	18.568	18.463	18.358	18.252	18.144	18.034	17.925	17.818	17.711	17.605	17.501	17.402	17.305	17.21	17.118	17.027	16.939	16.854	16.773
1831	Central and Southern Asia	0-14	27.159	26.788	26.398	26.017	25.646	25.286	24.936	24.608	24.302	24.001	23.715	23.444	23.19	22.959	22.739	22.524	22.313	22.104	21.896	21.691	21.49	21.291	21.094	20.9	20.708	20.518	20.329	20.143	19.959	19.778	19.6	19.425	19.253	19.088	18.929	18.774	18.625	18.481	18.342	18.208	18.08	17.958	17.843	17.732	17.625	17.521	17.422	17.326	17.231	17.136	17.041	16.948	16.858	16.769	16.681	16.594	16.504	16.416	16.33	16.245	16.163	16.085	16.009	15.935	15.864	15.796	15.731	15.669	15.609	15.551	15.495	15.442	15.391	15.342	15.295	15.248	15.198	15.149	15.101
1832	Eastern and South-Eastern Asia	0-14	18.916	18.555	18.173	17.786	17.4	16.98	16.552	16.138	15.742	15.36	14.965	14.636	14.391	14.219	14.131	14.082	14.044	14.016	13.998	13.988	13.985	13.989	13.995	14.004	14.01	14.014	14.011	14.001	13.98	13.947	13.9	13.838	13.762	13.674	13.575	13.466	13.351	13.233	13.114	12.999	12.89	12.79	12.702	12.628	12.568	12.523	12.492	12.475	12.473	12.483	12.505	12.535	12.57	12.609	12.648	12.684	12.717	12.746	12.77	12.789	12.799	12.802	12.797	12.782	12.759	12.726	12.686	12.64	12.59	12.537	12.483	12.431	12.38	12.334	12.293	12.257	12.229	12.209	12.196
1830	Latin America and the Caribbean	0-14	23.237	22.899	22.554	22.212	21.876	21.549	21.233	20.924	20.619	20.331	20.062	19.807	19.573	19.364	19.175	18.999	18.827	18.657	18.487	18.317	18.148	17.979	17.812	17.647	17.484	17.325	17.168	17.012	16.859	16.708	16.561	16.419	16.283	16.15	16.022	15.901	15.785	15.673	15.564	15.459	15.358	15.262	15.17	15.083	14.999	14.919	14.841	14.766	14.695	14.629	14.564	14.499	14.437	14.376	14.317	14.258	14.201	14.146	14.092	14.039	13.989	13.94	13.893	13.847	13.801	13.758	13.718	13.681	13.645	13.61	13.575	13.542	13.51	13.478	13.449	13.422	13.394	13.366	13.338
1835	Oceania (excluding Australia and New Zealand)	0-14	33.519	33.2	32.867	32.524	32.175	31.825	31.473	31.123	30.779	30.447	30.13	29.824	29.524	29.235	28.958	28.693	28.444	28.208	27.978	27.753	27.535	27.322	27.109	26.898	26.69	26.48	26.271	26.064	25.857	25.648	25.439	25.231	25.025	24.818	24.61	24.409	24.212	24.019	23.829	23.636	23.446	23.261	23.083	22.913	22.746	22.583	22.425	22.272	22.128	21.992	21.854	21.715	21.58	21.449	21.32	21.19	21.061	20.931	20.799	20.673	20.547	20.419	20.291	20.161	20.027	19.897	19.769	19.643	19.52	19.404	19.296	19.192	19.088	18.984	18.879	18.775	18.674	18.575	18.479
1836	Australia/New Zealand	0-14	18.267	18.068	17.87	17.671	17.478	17.287	17.101	16.925	16.751	16.581	16.434	16.309	16.188	16.076	15.975	15.876	15.778	15.683	15.594	15.509	15.432	15.362	15.302	15.25	15.203	15.162	15.125	15.087	15.048	15.009	14.968	14.926	14.883	14.837	14.787	14.735	14.68	14.621	14.561	14.502	14.445	14.391	14.34	14.292	14.248	14.206	14.165	14.128	14.096	14.065	14.033	14.004	13.982	13.963	13.947	13.932	13.919	13.909	13.902	13.896	13.89	13.884	13.876	13.869	13.862	13.855	13.845	13.83	13.813	13.796	13.778	13.76	13.74	13.718	13.695	13.674	13.651	13.629	13.606
1829	Europe and Northern America	0-14	16.404	16.219	16.02	15.831	15.65	15.466	15.286	15.11	14.936	14.77	14.631	14.528	14.459	14.421	14.399	14.383	14.373	14.367	14.366	14.371	14.38	14.392	14.406	14.419	14.429	14.436	14.437	14.432	14.419	14.399	14.37	14.334	14.293	14.247	14.197	14.141	14.083	14.024	13.966	13.911	13.859	13.814	13.777	13.746	13.724	13.708	13.7	13.697	13.699	13.706	13.719	13.734	13.751	13.768	13.785	13.8	13.812	13.82	13.824	13.825	13.821	13.813	13.801	13.786	13.766	13.742	13.716	13.688	13.659	13.63	13.601	13.573	13.547	13.523	13.503	13.486	13.47	13.457	13.446
901	More developed regions	0-14	15.985	15.806	15.615	15.434	15.262	15.087	14.918	14.753	14.59	14.436	14.31	14.22	14.162	14.133	14.118	14.109	14.104	14.103	14.107	14.115	14.127	14.14	14.154	14.168	14.179	14.186	14.187	14.181	14.169	14.149	14.121	14.087	14.047	14.003	13.954	13.901	13.846	13.79	13.736	13.684	13.637	13.597	13.564	13.537	13.519	13.507	13.502	13.503	13.509	13.52	13.535	13.553	13.572	13.592	13.611	13.627	13.641	13.65	13.656	13.659	13.657	13.65	13.639	13.626	13.608	13.585	13.561	13.535	13.507	13.48	13.453	13.427	13.402	13.38	13.361	13.346	13.332	13.32	13.311
