country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14	24.643	24.457	24.255	24.055	23.856	23.655	23.461	23.284	23.122	22.977	22.841	22.729	22.65	22.602	22.582	22.554	22.509	22.461	22.411	22.37	22.324	22.286	22.242	22.194	22.145	22.102	22.052	21.985	21.914	21.829	21.725	21.618	21.533	21.459	21.385	21.313	21.247	21.176	21.109	21.05	20.985	20.918	20.843	20.771	20.697	20.627	20.576	20.545	20.547	20.539	20.496	20.451	20.429	20.393	20.323	20.266	20.244	20.223	20.218	20.234	20.244	20.233	20.187	20.146	20.153	20.167	20.161	20.156	20.158	20.132	20.083	20.062	20.06	20.048	20.05	20.061	20.08	20.117	20.158
1834	Sub-Saharan Africa	0-14	41.279	41.095	40.891	40.679	40.458	40.242	40.048	39.863	39.684	39.519	39.361	39.194	39.015	38.847	38.691	38.504	38.281	38.036	37.78	37.527	37.279	37.007	36.743	36.509	36.261	36.018	35.775	35.526	35.28	35.041	34.759	34.489	34.276	34.054	33.822	33.592	33.347	33.123	32.911	32.676	32.457	32.242	32.024	31.817	31.616	31.415	31.236	31.091	30.933	30.745	30.537	30.367	30.232	30.104	29.983	29.859	29.723	29.598	29.462	29.324	29.174	29.062	29.025	28.952	28.824	28.656	28.5	28.411	28.361	28.265	28.175	28.149	28.133	28.026	27.911	27.867	27.786	27.698	27.665
1833	Northern Africa and Western Asia	0-14	30.639	30.407	30.143	29.848	29.526	29.196	28.859	28.513	28.178	27.885	27.638	27.434	27.261	27.106	26.975	26.865	26.739	26.599	26.467	26.342	26.227	26.12	25.997	25.869	25.74	25.62	25.504	25.379	25.262	25.135	25.007	24.875	24.742	24.619	24.477	24.332	24.195	24.08	23.967	23.833	23.696	23.59	23.487	23.35	23.218	23.119	23.066	23.024	22.946	22.864	22.81	22.745	22.657	22.584	22.514	22.425	22.339	22.297	22.255	22.187	22.117	22.045	21.987	21.939	21.866	21.782	21.718	21.661	21.596	21.521	21.429	21.35	21.31	21.254	21.175	21.062	20.996	20.971	20.959
1831	Central and Southern Asia	0-14	26.799	26.564	26.315	26.084	25.876	25.683	25.52	25.39	25.272	25.159	25.076	25.023	24.974	24.927	24.878	24.78	24.645	24.503	24.32	24.152	23.996	23.844	23.686	23.497	23.336	23.187	22.996	22.796	22.612	22.437	22.278	22.154	22.061	21.98	21.852	21.741	21.682	21.62	21.583	21.524	21.455	21.408	21.347	21.291	21.274	21.255	21.217	21.183	21.149	21.123	21.082	21.002	20.944	20.854	20.703	20.611	20.579	20.511	20.425	20.363	20.274	20.201	20.181	20.158	20.118	20.125	20.153	20.189	20.285	20.333	20.335	20.32	20.255	20.212	20.206	20.193	20.184	20.178	20.176
1832	Eastern and South-Eastern Asia	0-14	18.159	17.904	17.634	17.366	17.103	16.808	16.505	16.214	15.943	15.694	15.429	15.22	15.09	15.038	15.084	15.151	15.191	15.21	15.22	15.25	15.311	15.379	15.436	15.474	15.502	15.528	15.552	15.567	15.57	15.553	15.507	15.443	15.383	15.314	15.227	15.135	15.031	14.919	14.799	14.675	14.589	14.538	14.485	14.432	14.407	14.418	14.442	14.467	14.495	14.539	14.6	14.665	14.736	14.807	14.888	14.951	14.994	15.06	15.138	15.192	15.203	15.223	15.218	15.208	15.207	15.173	15.152	15.125	15.109	15.084	15.045	15.045	15.048	15.035	15.005	14.992	15.014	15.055	15.083
1830	Latin America and the Caribbean	0-14	22.481	22.22	21.961	21.713	21.469	21.235	21.021	20.825	20.641	20.471	20.324	20.193	20.067	19.971	19.911	19.86	19.77	19.652	19.543	19.412	19.256	19.105	18.958	18.847	18.72	18.551	18.425	18.299	18.148	18.009	17.879	17.783	17.717	17.645	17.553	17.465	17.406	17.327	17.247	17.18	17.121	17.073	17.048	17.056	17.035	16.997	16.989	16.988	16.959	16.935	16.928	16.908	16.865	16.807	16.741	16.716	16.71	16.68	16.645	16.617	16.608	16.617	16.603	16.584	16.575	16.547	16.525	16.516	16.478	16.429	16.431	16.446	16.46	16.481	16.504	16.527	16.504	16.468	16.468
1835	Oceania (excluding Australia and New Zealand)	0-14	33.31	33.3	33.282	33.27	33.25	33.225	33.199	33.165	33.131	33.109	33.081	33.048	33.017	33.007	33.022	32.89	32.625	32.398	32.169	31.953	31.729	31.523	31.328	31.103	30.92	30.75	30.582	30.44	30.331	30.23	30.118	30.037	30.016	29.953	29.86	29.793	29.709	29.621	29.514	29.446	29.398	29.327	29.258	29.127	28.979	28.852	28.695	28.527	28.374	28.227	28.097	28.007	27.92	27.812	27.711	27.584	27.449	27.318	27.175	26.992	26.851	26.819	26.78	26.672	26.55	26.443	26.347	26.224	26.094	25.956	25.775	25.625	25.529	25.477	25.421	25.339	25.262	25.206	25.166
1836	Australia/New Zealand	0-14	17.695	17.588	17.491	17.396	17.311	17.237	17.174	17.121	17.07	17.023	17.004	17.012	17.02	17.024	17.047	17.056	17.039	17.022	16.978	16.928	16.888	16.855	16.838	16.827	16.824	16.841	16.869	16.9	16.923	16.937	16.95	16.95	16.933	16.927	16.917	16.89	16.872	16.843	16.838	16.866	16.87	16.862	16.863	16.857	16.841	16.838	16.828	16.806	16.775	16.766	16.745	16.736	16.77	16.773	16.788	16.794	16.776	16.791	16.873	16.918	16.909	16.925	16.919	16.897	16.892	16.922	16.984	17.033	17.019	16.99	16.969	16.94	16.901	16.883	16.937	17.011	17.053	17.057	17.04
1829	Europe and Northern America	0-14	15.599	15.462	15.317	15.187	15.069	14.949	14.837	14.739	14.645	14.553	14.489	14.474	14.49	14.534	14.594	14.651	14.712	14.762	14.807	14.868	14.919	14.943	14.966	14.999	15.041	15.079	15.103	15.131	15.148	15.148	15.134	15.126	15.113	15.096	15.08	15.046	14.997	14.956	14.936	14.929	14.932	14.949	14.971	14.994	15.018	15.02	15.04	15.078	15.119	15.159	15.195	15.241	15.296	15.358	15.404	15.43	15.467	15.517	15.541	15.553	15.55	15.525	15.52	15.53	15.512	15.497	15.494	15.476	15.463	15.458	15.461	15.46	15.471	15.498	15.535	15.571	15.602	15.651	15.676
901	More developed regions	0-14	15.207	15.073	14.934	14.811	14.699	14.587	14.481	14.39	14.299	14.214	14.165	14.154	14.169	14.221	14.296	14.365	14.423	14.466	14.515	14.569	14.605	14.638	14.673	14.706	14.734	14.748	14.761	14.786	14.811	14.809	14.796	14.784	14.763	14.736	14.709	14.689	14.68	14.657	14.623	14.62	14.635	14.65	14.672	14.672	14.669	14.667	14.691	14.735	14.772	14.823	14.876	14.912	14.962	15.025	15.084	15.12	15.138	15.17	15.187	15.202	15.212	15.213	15.217	15.22	15.234	15.239	15.219	15.202	15.193	15.186	15.189	15.198	15.195	15.202	15.238	15.284	15.334	15.352	15.358
