country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14	24.616	24.377	24.12	23.861	23.604	23.34	23.076	22.824	22.583	22.352	22.128	21.932	21.768	21.634	21.528	21.434	21.344	21.257	21.171	21.088	21.006	20.925	20.843	20.759	20.675	20.587	20.496	20.4	20.3	20.196	20.087	19.974	19.856	19.737	19.616	19.493	19.37	19.247	19.125	19.007	18.892	18.782	18.678	18.578	18.484	18.396	18.312	18.233	18.158	18.085	18.016	17.949	17.885	17.821	17.757	17.691	17.623	17.555	17.487	17.418	17.347	17.276	17.203	17.13	17.055	16.979	16.903	16.826	16.75	16.674	16.6	16.528	16.457	16.388	16.321	16.255	16.19	16.128	16.068
1834	Sub-Saharan Africa	0-14	41.239	40.972	40.68	40.374	40.06	39.747	39.438	39.135	38.832	38.53	38.228	37.921	37.608	37.291	36.972	36.65	36.329	36.007	35.686	35.364	35.038	34.71	34.381	34.05	33.719	33.387	33.056	32.726	32.395	32.067	31.74	31.415	31.092	30.771	30.453	30.141	29.83	29.521	29.216	28.916	28.621	28.33	28.043	27.761	27.484	27.213	26.946	26.683	26.425	26.169	25.918	25.672	25.432	25.195	24.96	24.726	24.496	24.271	24.051	23.836	23.624	23.415	23.211	23.012	22.817	22.625	22.436	22.25	22.069	21.893	21.722	21.555	21.39	21.228	21.069	20.911	20.757	20.607	20.459
1833	Northern Africa and Western Asia	0-14	30.597	30.281	29.929	29.545	29.134	28.705	28.263	27.817	27.379	26.974	26.611	26.278	25.976	25.702	25.453	25.228	25.021	24.828	24.647	24.477	24.315	24.158	24.003	23.849	23.697	23.541	23.379	23.21	23.035	22.855	22.67	22.482	22.29	22.094	21.898	21.701	21.505	21.313	21.124	20.938	20.756	20.579	20.41	20.246	20.09	19.942	19.8	19.666	19.539	19.417	19.3	19.188	19.078	18.971	18.866	18.762	18.657	18.553	18.449	18.346	18.242	18.137	18.031	17.925	17.817	17.707	17.598	17.491	17.384	17.278	17.175	17.076	16.98	16.886	16.794	16.703	16.616	16.532	16.451
1831	Central and Southern Asia	0-14	26.738	26.378	26.003	25.636	25.28	24.934	24.596	24.281	23.987	23.697	23.421	23.16	22.913	22.688	22.474	22.263	22.055	21.847	21.64	21.435	21.233	21.032	20.833	20.635	20.44	20.246	20.054	19.864	19.675	19.49	19.309	19.129	18.953	18.784	18.62	18.461	18.307	18.159	18.017	17.879	17.747	17.622	17.503	17.389	17.279	17.172	17.07	16.971	16.874	16.776	16.679	16.584	16.492	16.401	16.312	16.223	16.133	16.044	15.957	15.872	15.789	15.711	15.635	15.56	15.489	15.421	15.355	15.292	15.232	15.174	15.117	15.063	15.012	14.962	14.915	14.867	14.817	14.767	14.719
1832	Eastern and South-Eastern Asia	0-14	18.12	17.786	17.434	17.079	16.724	16.338	15.944	15.562	15.198	14.845	14.48	14.176	13.951	13.795	13.718	13.676	13.646	13.625	13.611	13.605	13.606	13.613	13.622	13.632	13.64	13.645	13.643	13.634	13.615	13.583	13.538	13.479	13.406	13.32	13.224	13.119	13.007	12.893	12.777	12.666	12.561	12.465	12.381	12.31	12.253	12.21	12.181	12.165	12.164	12.174	12.196	12.225	12.26	12.298	12.335	12.37	12.402	12.429	12.452	12.469	12.478	12.48	12.474	12.459	12.435	12.402	12.362	12.316	12.265	12.212	12.158	12.105	12.053	12.006	11.963	11.925	11.895	11.873	11.857
1830	Latin America and the Caribbean	0-14	22.446	22.113	21.776	21.442	21.113	20.793	20.485	20.183	19.884	19.602	19.338	19.088	18.859	18.654	18.469	18.297	18.13	17.963	17.797	17.632	17.466	17.303	17.141	16.981	16.823	16.669	16.517	16.368	16.22	16.075	15.934	15.798	15.668	15.542	15.42	15.305	15.195	15.089	14.986	14.887	14.792	14.701	14.615	14.533	14.455	14.379	14.307	14.237	14.172	14.11	14.05	13.99	13.933	13.877	13.821	13.768	13.715	13.664	13.614	13.567	13.52	13.475	13.432	13.39	13.348	13.309	13.272	13.238	13.206	13.174	13.143	13.113	13.084	13.055	13.029	13.004	12.979	12.953	12.928
1835	Oceania (excluding Australia and New Zealand)	0-14	33.151	32.824	32.484	32.134	31.778	31.418	31.056	30.696	30.341	29.998	29.669	29.349	29.038	28.737	28.448	28.172	27.912	27.665	27.425	27.191	26.963	26.742	26.521	26.302	26.087	25.871	25.656	25.443	25.23	25.017	24.803	24.59	24.379	24.168	23.957	23.752	23.551	23.354	23.161	22.965	22.771	22.582	22.401	22.228	22.057	21.892	21.73	21.573	21.426	21.285	21.144	21.001	20.862	20.727	20.594	20.46	20.328	20.194	20.059	19.93	19.801	19.67	19.54	19.407	19.272	19.14	19.01	18.883	18.759	18.642	18.533	18.427	18.322	18.218	18.113	18.01	17.909	17.811	17.715
1836	Australia/New Zealand	0-14	17.656	17.467	17.278	17.088	16.901	16.718	16.54	16.37	16.204	16.042	15.903	15.784	15.669	15.562	15.466	15.372	15.278	15.188	15.103	15.023	14.95	14.885	14.829	14.781	14.738	14.701	14.667	14.633	14.599	14.564	14.527	14.489	14.451	14.408	14.363	14.315	14.264	14.21	14.154	14.1	14.047	13.996	13.949	13.904	13.864	13.825	13.786	13.752	13.721	13.692	13.663	13.636	13.614	13.597	13.582	13.568	13.556	13.547	13.541	13.536	13.532	13.527	13.519	13.513	13.508	13.502	13.493	13.479	13.464	13.447	13.43	13.413	13.394	13.372	13.35	13.33	13.307	13.285	13.263
1829	Europe and Northern America	0-14	15.581	15.406	15.219	15.042	14.872	14.699	14.53	14.365	14.2	14.045	13.914	13.818	13.753	13.718	13.7	13.687	13.679	13.676	13.679	13.687	13.7	13.715	13.732	13.749	13.764	13.776	13.782	13.782	13.775	13.76	13.738	13.709	13.674	13.635	13.592	13.544	13.493	13.441	13.39	13.342	13.297	13.259	13.228	13.203	13.186	13.175	13.172	13.174	13.18	13.192	13.208	13.226	13.247	13.268	13.288	13.306	13.32	13.331	13.339	13.342	13.341	13.336	13.327	13.314	13.297	13.276	13.252	13.226	13.199	13.172	13.145	13.119	13.094	13.072	13.053	13.037	13.022	13.01	13.001
901	More developed regions	0-14	15.189	15.02	14.84	14.67	14.507	14.344	14.183	14.028	13.874	13.729	13.61	13.526	13.472	13.445	13.433	13.426	13.423	13.425	13.432	13.443	13.458	13.474	13.492	13.509	13.524	13.536	13.541	13.54	13.533	13.518	13.497	13.468	13.435	13.397	13.354	13.307	13.259	13.21	13.161	13.116	13.075	13.041	13.013	12.992	12.978	12.971	12.971	12.977	12.986	13.001	13.02	13.041	13.064	13.087	13.109	13.129	13.145	13.158	13.167	13.172	13.173	13.169	13.161	13.15	13.135	13.115	13.092	13.068	13.043	13.018	12.992	12.968	12.945	12.924	12.907	12.892	12.88	12.869	12.861
