country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14	25.869	25.566	25.238	24.902	24.559	24.205	23.854	23.519	23.199	22.881	22.574	22.296	22.053	21.844	21.662	21.504	21.359	21.222	21.098	20.994	20.885	20.77	20.669	20.571	20.469	20.368	20.258	20.142	20.015	19.881	19.749	19.614	19.483	19.343	19.201	19.081	18.967	18.825	18.681	18.557	18.435	18.307	18.162	18.033	17.917	17.796	17.692	17.604	17.525	17.438	17.338	17.253	17.159	17.072	16.999	16.932	16.868	16.793	16.719	16.648	16.575	16.508	16.446	16.374	16.282	16.186	16.105	16.018	15.919	15.827	15.744	15.668	15.582	15.493	15.4	15.308	15.221	15.144	15.082
1834	Sub-Saharan Africa	0-14	42.403	42.067	41.697	41.306	40.902	40.492	40.081	39.672	39.268	38.854	38.431	38.004	37.572	37.136	36.688	36.254	35.845	35.439	35.058	34.707	34.331	33.935	33.556	33.195	32.841	32.482	32.116	31.745	31.381	31.029	30.657	30.277	29.925	29.585	29.23	28.9	28.581	28.242	27.883	27.532	27.224	26.927	26.638	26.354	26.084	25.82	25.538	25.282	25.04	24.794	24.524	24.246	24.008	23.769	23.527	23.275	23.023	22.807	22.593	22.385	22.179	21.966	21.748	21.534	21.333	21.128	20.932	20.746	20.58	20.417	20.249	20.099	19.95	19.784	19.621	19.463	19.294	19.132	18.994
1833	Northern Africa and Western Asia	0-14	30.361	30.012	29.619	29.187	28.723	28.238	27.739	27.233	26.74	26.279	25.859	25.466	25.089	24.738	24.411	24.147	23.934	23.717	23.516	23.335	23.173	23.018	22.835	22.651	22.492	22.343	22.183	22.013	21.838	21.635	21.405	21.181	20.977	20.784	20.585	20.377	20.172	19.969	19.768	19.571	19.387	19.194	18.994	18.815	18.641	18.47	18.316	18.179	18.06	17.933	17.793	17.649	17.507	17.398	17.307	17.197	17.078	16.97	16.844	16.708	16.59	16.48	16.368	16.262	16.153	16.04	15.915	15.786	15.678	15.556	15.428	15.312	15.202	15.103	15.01	14.904	14.816	14.735	14.638
1831	Central and Southern Asia	0-14	27.523	27.062	26.572	26.083	25.599	25.119	24.644	24.188	23.748	23.312	22.909	22.52	22.139	21.787	21.441	21.125	20.86	20.597	20.343	20.119	19.874	19.622	19.409	19.216	19.039	18.865	18.646	18.39	18.181	18.005	17.814	17.641	17.469	17.297	17.133	16.972	16.801	16.624	16.452	16.286	16.127	15.963	15.823	15.697	15.564	15.443	15.325	15.229	15.156	15.063	14.947	14.814	14.704	14.633	14.547	14.444	14.35	14.264	14.163	14.066	13.977	13.894	13.837	13.753	13.641	13.557	13.502	13.453	13.385	13.297	13.216	13.146	13.069	13.008	12.973	12.945	12.932	12.922	12.91
1832	Eastern and South-Eastern Asia	0-14	19.67	19.23	18.765	18.287	17.801	17.285	16.755	16.229	15.726	15.237	14.731	14.294	13.952	13.686	13.5	13.374	13.285	13.22	13.159	13.101	13.057	13.023	12.993	12.969	12.955	12.944	12.933	12.906	12.858	12.804	12.744	12.684	12.622	12.532	12.421	12.3	12.184	12.064	11.937	11.82	11.699	11.576	11.475	11.395	11.322	11.264	11.218	11.163	11.112	11.078	11.069	11.081	11.112	11.129	11.134	11.161	11.191	11.204	11.204	11.187	11.175	11.201	11.199	11.175	11.16	11.124	11.087	11.067	11.047	11.022	10.998	10.955	10.895	10.863	10.817	10.74	10.711	10.702	10.666
1830	Latin America and the Caribbean	0-14	24.03	23.639	23.233	22.823	22.416	22.015	21.625	21.246	20.869	20.5	20.143	19.805	19.485	19.189	18.92	18.686	18.485	18.281	18.072	17.86	17.661	17.471	17.279	17.097	16.912	16.713	16.528	16.349	16.178	16.021	15.865	15.704	15.556	15.42	15.276	15.116	14.962	14.831	14.697	14.576	14.47	14.362	14.257	14.167	14.074	13.977	13.867	13.755	13.659	13.562	13.474	13.394	13.311	13.238	13.156	13.075	13.006	12.932	12.861	12.803	12.761	12.702	12.637	12.58	12.518	12.461	12.418	12.362	12.297	12.249	12.191	12.124	12.069	12.016	11.984	11.954	11.919	11.902	11.882
1835	Oceania (excluding Australia and New Zealand)	0-14	33.758	33.227	32.682	32.12	31.546	30.976	30.423	29.871	29.307	28.745	28.204	27.676	27.139	26.625	26.149	25.805	25.575	25.358	25.14	24.971	24.829	24.647	24.445	24.256	24.077	23.864	23.655	23.477	23.283	23.071	22.852	22.628	22.444	22.251	22.027	21.822	21.626	21.404	21.139	20.877	20.67	20.499	20.32	20.141	19.995	19.861	19.702	19.533	19.367	19.218	19.085	18.957	18.856	18.741	18.625	18.493	18.32	18.16	18.055	17.952	17.814	17.687	17.579	17.457	17.327	17.213	17.084	16.951	16.813	16.707	16.645	16.552	16.448	16.367	16.257	16.126	16.004	15.927	15.843
1836	Australia/New Zealand	0-14	18.86	18.594	18.327	18.061	17.788	17.513	17.241	16.977	16.716	16.452	16.205	15.975	15.747	15.531	15.328	15.149	14.985	14.809	14.647	14.503	14.387	14.266	14.135	14.049	13.994	13.946	13.891	13.817	13.75	13.704	13.654	13.573	13.48	13.4	13.323	13.24	13.15	13.065	12.978	12.887	12.796	12.7	12.602	12.502	12.407	12.337	12.262	12.174	12.08	11.995	11.939	11.866	11.815	11.784	11.756	11.721	11.691	11.691	11.685	11.688	11.712	11.729	11.71	11.678	11.658	11.65	11.621	11.569	11.54	11.542	11.537	11.504	11.449	11.384	11.332	11.261	11.195	11.168	11.141
1829	Europe and Northern America	0-14	17.259	17.037	16.796	16.563	16.331	16.091	15.852	15.615	15.378	15.152	14.949	14.782	14.656	14.558	14.465	14.391	14.341	14.298	14.263	14.237	14.224	14.213	14.204	14.191	14.175	14.162	14.143	14.125	14.096	14.055	14.014	13.962	13.887	13.811	13.743	13.671	13.597	13.518	13.436	13.352	13.274	13.198	13.13	13.075	13.012	12.963	12.935	12.908	12.884	12.865	12.857	12.85	12.835	12.831	12.832	12.82	12.797	12.773	12.758	12.737	12.703	12.676	12.658	12.643	12.614	12.581	12.555	12.535	12.501	12.451	12.405	12.382	12.379	12.365	12.35	12.327	12.284	12.255	12.24
901	More developed regions	0-14	16.811	16.598	16.368	16.145	15.928	15.705	15.481	15.258	15.034	14.825	14.646	14.501	14.387	14.302	14.229	14.166	14.113	14.075	14.056	14.043	14.033	14.02	14.007	14	13.99	13.972	13.945	13.916	13.884	13.853	13.823	13.774	13.711	13.656	13.588	13.508	13.43	13.354	13.277	13.198	13.116	13.039	12.987	12.946	12.906	12.858	12.818	12.797	12.789	12.791	12.788	12.777	12.763	12.75	12.745	12.752	12.754	12.739	12.717	12.696	12.688	12.695	12.686	12.666	12.627	12.587	12.547	12.499	12.463	12.428	12.397	12.379	12.346	12.305	12.281	12.265	12.242	12.206	12.172
902	Less developed regions	0-14	27.529	27.192	26.827	26.454	26.077	25.684	25.289	24.916	24.563	24.216	23.873	23.563	23.281	23.034	22.831	22.642	22.461	22.3	22.154	22.013	21.876	21.744	21.612	21.492	21.374	21.245	21.12	20.989	20.845	20.7	20.554	20.403	20.257	20.103	19.947	19.802	19.65	19.497	19.357	19.215	19.081	18.947	18.801	18.668	18.534	18.399	18.278	18.179	18.091	17.988	17.875	17.768	17.664	17.553	17.46	17.373	17.279	17.204	17.14	17.068	16.979	16.892	16.801	16.716	16.638	16.545	16.448	16.354	16.256	16.16	16.062	15.973	15.877	15.773	15.674	15.591	15.516	15.431	15.358
941	Least developed countries	0-14	39.429	39.136	38.829	38.506	38.178	37.848	37.513	37.167	36.818	36.451	36.068	35.688	35.303	34.913	34.522	34.14	33.772	33.403	33.033	32.668	32.324	31.998	31.667	31.323	30.981	30.661	30.344	30.005	29.68	29.392	29.107	28.806	28.502	28.206	27.906	27.601	27.294	26.999	26.721	26.45	26.201	25.944	25.663	25.395	25.14	24.9	24.668	24.431	24.184	23.937	23.705	23.487	23.277	23.046	22.809	22.575	22.33	22.13	21.957	21.757	21.539	21.325	21.136	20.936	20.736	20.561	20.392	20.229	20.059	19.886	19.73	19.581	19.422	19.254	19.103	18.972	18.823	18.648	18.482
