country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-4	665967.154	665367.252	667418.954	672260.242	679651.213	686310.585	691563.426	696877.365	702043.594	706793.634	711200.069	714839.701	718766.706	722629.789	725117.398	729608.492	734667.041	737638.911	741012.103	743941.708	746303.992	749061	751411.597	754384.399	756832.91	758212.179	759565.214	759619.867	759297.515	758656.559	757568.022	757702.446	758296.178	758356.23	758553.876	760708.297	764960.8	767543.668	768401.498	769344.94	771468.04	773876.102	776655.113	780447.297	781953.387	783294.146	786427.904	788988.901	789658.813	790586.167	792547.902	794938.602	798414.13	801049.22	803111.998	805253.106	806949.483	807749.332	808177.664	810494.268	812462.757	813625.345	816127.392	818191.541	818997.205	821708.978	826709.756	831835.148	836824.558	841156.945	842774.63	840724.155	839833.507	842322.089	846956.795	853806.889	860606.921	863832.968	864047.365
1834	Sub-Saharan Africa	0-4	182090.319	186869.905	191677.506	196589.467	201499.215	205938.511	209998.608	214108.695	218325.565	222374.021	226422.566	230506.009	234199.545	238017.296	241892.465	245590.276	249056.119	252531.585	255905.37	259036.899	262416.541	265997.367	269851.191	273724.275	277539.142	281283.897	284643.024	287449.611	290453.796	293728.485	296919.286	300047.007	303639.815	307925.937	311667.701	315064.346	318419.407	321641.219	325396.795	329440.457	332994.65	336319.975	339090.792	342346.365	346029.577	349584.161	353576.594	357500.545	361325.623	364490.455	367865.742	372290.511	377210.647	382441.703	386806.563	390202.143	394287.932	398453.882	400910.393	404432.454	409786.212	415649.301	420605.568	424154.169	428232.949	433457.917	440202.283	446333.076	449849.706	455613.581	464769.116	472200.194	479985.507	486580.572	488101.524	488532.447	493076.22	500511.226	508428.317
1833	Northern Africa and Western Asia	0-4	57328.748	57764.525	58295.416	58898.079	59606.796	60222.657	60611.984	60998.629	61454.29	61959.519	62552.967	63220.71	63887.22	64560.54	65195.729	65893.776	66589.807	67058.057	67417.428	67834.05	68251.306	68530.101	68842.236	69284.483	69695.326	70034.929	70431.259	70858.02	71304.895	71614.963	71763.363	72011.417	72377.797	72719.072	73117.522	73621.242	73925.261	74127.7	74248.873	74435.73	74702.27	75006.699	75379.603	75786.852	76464.09	77153.384	77571.101	77819.129	77846.683	77850.558	78277.313	78868.341	79354.108	79807.433	80241.67	80525.964	80758.262	81009.107	81225.304	81492.244	81550.483	81567.711	81756.765	82059.644	82759.025	83373.043	83328.308	83419.182	83558.888	83402.189	83343.311	83547.493	83902.19	84420.862	85026.797	85493.952	85970.17	86284.15	86471.803
1831	Central and Southern Asia	0-4	186680.21	189281.827	192209.275	195908.123	200390.608	203628.202	205563.686	207578.022	208875.213	209803.157	211018.083	212180.772	213025.244	213457.546	213572.327	213558.994	213461.286	212753.05	212267.395	212202.441	211857.262	211153.683	210582.422	210836.598	210853.205	210454.857	210059.179	209756.005	209954.947	210208.393	210850.448	211434.748	212580.719	213934.693	214884.666	216092.263	217349.431	218295.322	218616.183	219194.965	220241.416	221138.498	221230.983	221684.693	223016.244	224448.937	224977.142	225150.88	224842.187	224667.656	224532.447	222737.48	221981.138	221938.135	221710.925	222120.786	222121.349	222820.468	223701.221	224126.833	225637.238	226599.425	226673.234	227912.788	230155.331	232359.679	234133.917	235350.756	235775.751	235468.732	234729.723	234947.07	235735.322	236495.678	237475.39	238204	239526.305	241118.781	241241.999
1832	Eastern and South-Eastern Asia	0-4	132252.817	127961.916	125554.491	124766.482	125914.205	126872.86	127007.868	127014.618	126907.411	126827.151	126609.109	126578.817	126679.916	126788.772	126955.06	127367.24	128133.566	128703.659	128874.087	128983.407	129481.12	129947.326	129952.096	130032.918	129902.071	129105.126	128141.543	127132.161	125679.928	123952.244	122113.677	120413.002	118931.661	117366.641	115742.939	113976.712	112592.258	111458.086	110508.418	110065.442	109603.959	109180.862	109027.044	109064.946	109298.896	109721.287	109974.164	110091.925	110340.323	110521.855	110654.343	110937.016	111064.461	110933.456	110777.658	110343.651	110034.938	109659.236	108945.444	108391.599	107677.032	106577.041	105367.574	104578.548	103950.103	103306.546	102578.638	101507.987	100540.986	99869.738	99380.187	98947.974	98642.062	98635.749	98678.842	98657.668	98925.861	99238.08	99321.297
1830	Latin America and the Caribbean	0-4	49346.489	49302.552	49468.892	49856.877	50398.128	50816.505	51049.798	51238.369	51409.838	51482.936	51475.12	51447.189	51404.149	51412.243	51406.159	51389.186	51230.914	50904.25	50592.576	50287.834	49997.591	49706.91	49460.361	49202.149	49008.251	48833.287	48599.6	48515.379	48426.82	48368.087	48306.428	48043.472	47751.758	47521.063	47333.064	47190.702	47277.402	47481.648	47493.478	47566.968	47671.624	47596.251	47569.317	47501.725	47405.08	47412.152	47282.253	47146.243	46978.472	46791.502	46644.055	46497.019	46320.519	46186.591	46057.249	45963.956	45966.859	45876.361	45637.277	45383.541	45137.54	44949.424	44981.013	45040.927	45014.304	45008.46	45036.232	45117.185	45115.681	44980.642	44849.772	44642.396	44433.824	44392.792	44502.745	44557.14	44472.75	44375.834	44432.851
1835	Oceania (excluding Australia and New Zealand)	0-4	1624.283	1696.013	1770.876	1850.075	1931.124	1983.152	2001.446	2016.243	2036.667	2058.516	2077.826	2094.266	2107.073	2118.86	2138.613	2165.15	2186.964	2206.032	2227.064	2244.709	2261.67	2283.567	2310.824	2338.999	2363.114	2397.769	2445.647	2488.72	2515.406	2541.314	2575.507	2605.663	2630.073	2655.366	2685.15	2717.992	2741.624	2766.77	2800.149	2827.096	2849.041	2868.385	2895.017	2919.885	2940.387	2966.222	2990.459	3008.854	3030.52	3061.854	3099.355	3132.872	3151.363	3166.28	3169.651	3142.157	3133.951	3159.145	3185.154	3220.785	3265.811	3302.123	3334.595	3378.607	3412.763	3427.939	3434.986	3449.73	3473.34	3526.185	3580.264	3599.86	3605.628	3613.828	3651.216	3676.514	3678.049	3690.152	3725.444
1836	Australia/New Zealand	0-4	1855.628	1888.703	1928.887	1972.426	2020.427	2062.465	2087.6	2104.007	2115.589	2127.047	2138.385	2146.746	2154.606	2158.992	2166.216	2178.945	2193.661	2210.45	2220.272	2231.793	2249.354	2265.754	2281.586	2297.416	2315.781	2332.366	2347.874	2365.501	2382.09	2395.587	2405.83	2408.853	2411.821	2414.919	2426.626	2449.972	2469.93	2485.917	2499.723	2515.379	2530.866	2544.999	2565.132	2580.016	2588.155	2600.591	2606.721	2615.257	2627.147	2641.789	2649.28	2654.316	2662.699	2669.453	2686.739	2703.568	2721.513	2745.404	2762.997	2780.236	2800.653	2814.59	2828.12	2849.985	2875.671	2888.534	2893.524	2915.126	2937.534	2949.571	2967.863	2989.391	3005.547	3016.211	3031.748	3042.471	3040.819	3042.244	3062.583
1829	Europe and Northern America	0-4	56610.589	56256.934	56267.621	56652.74	57240.002	57656.69	57894.379	58087.714	58234.42	58388.509	58656.384	58920.725	59206.093	59525.666	59750.749	59941.521	60105.728	60285.876	60476.813	60677.586	60778.514	60811.913	60908.272	60962.963	60899.486	60819.715	60724.327	60543.016	60286.672	59928.819	59616.917	59417.838	59216.472	59078.685	59024.067	58890.06	58703.918	58586.033	58633.921	58758.184	58882.662	59104.099	59405.209	59653.962	59925.705	60157.376	60357.107	60705.116	60846.395	60853.646	61011.639	61135.262	61263.053	61436.894	61573.472	61622.309	61629.88	61599.562	61577.324	61472.818	61352.799	61325.95	61242.019	61089.418	61006.786	61141.295	61363.548	61395.234	61164.06	61115.944	61323.653	61521.769	61824.733	62039.745	62295.471	62829.21	63244.385	63442.286	63615.174
901	More developed regions	0-4	62643.845	62267.75	62321.591	62763.797	63393.35	63870.163	64130.22	64336.118	64574.94	64794.909	64990.152	65246.873	65545.937	65840.258	66123.456	66311.407	66378.493	66497.51	66762.791	66932.273	66974.734	67003.065	67024.822	67122.195	67129.075	67003.151	66850.159	66629.814	66265.432	65747.908	65379.297	65236.89	65025.531	64811.458	64578.473	64376.487	64321.539	64232.032	64198.734	64240.078	64355.863	64531.959	64706.916	65030.861	65318.946	65544.917	65909.19	66113.357	66072.584	66263.92	66450.557	66666.153	66823.991	66896.821	67025.271	66997.666	67108.482	67158.667	66964.578	66892.202	66797.48	66585.681	66487.551	66416.256	66362.574	66358.368	66414.727	66661.529	66852.02	66893.112	66995.222	67197.062	67530.393	67753.535	67910.45	68241.443	68451.726	68543.806	68737.886
