country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-4	663106.299	656640.181	652672.215	651054.027	651616.888	652986.546	654451.74	655935.539	657495.201	659105.924	660786.495	662514.885	664241.144	665965.647	667668.415	669317.112	670946.173	672478.562	673820.162	675019.868	676003.962	676648.443	676989.445	677030.777	676695.464	675966.66	674826.971	673236.444	671237.86	668849.48	666204.015	663423.624	660587.516	657811.718	655196.972	652726.317	650395.823	648203.194	646153.206	644352.593	642796.394	641426.429	640278.377	639219.1	638050.826	636852.554	635617.5	634283.16	632882.911	631441.996	629885.184	628233.776	626466.21	624550.224	622458.331	620084.01	617476.96	614795.59	612059.038	609265.326	606532.921	603843.592	601084.802	598248.566	595336.392	592331.676	589336.647	586367.204	583421.116	580552.54	577768.457	574986.427	572279.52	569711.639	567222.253	564752.383	562294.157	559871.693	557424.412
1834	Sub-Saharan Africa	0-4	181251.707	184284.771	187188.819	189961.372	192669.092	195372.568	198083.941	200809.076	203529.471	206202.108	208813.119	211338.108	213776.724	216142.42	218399.095	220548.355	222629.252	224608.944	226493.432	228341.833	230096.113	231753.589	233360.722	234887.38	236316.2	237700.404	239029.015	240261.252	241420.672	242478.577	243449.542	244351.424	245170.234	245929.38	246682.771	247408.82	248050.298	248602.825	249096.704	249573.562	250049.725	250492.582	250952.66	251380.037	251683.82	251927.697	252142.528	252270.81	252327.778	252348.344	252302.05	252224.403	252110.239	251948.996	251734.126	251402.73	251024.476	250681.504	250352.389	250053.072	249793.363	249494.03	249131.506	248738.923	248271.007	247735.455	247191.853	246590.44	245925.732	245271.311	244636.788	243977.884	243343.19	242718.409	242047.18	241323.374	240563.949	239801.068	239034.152
1833	Northern Africa and Western Asia	0-4	56993.248	56736.643	56541.515	56403.074	56331.605	56330.078	56372.1	56454.064	56576.777	56734.198	56940.372	57205.553	57517.538	57862.356	58227.034	58590.589	58927.628	59231.739	59506.019	59758.099	59975.905	60154.712	60283.891	60366.244	60415.723	60431.794	60403.863	60344.833	60269.045	60142.489	59985.804	59830.44	59659.226	59469.519	59294.726	59125.834	58951.988	58796.652	58657.958	58524.587	58396.31	58276.649	58164.682	58057.385	57961.06	57881.538	57817.868	57761.256	57700.462	57641.2	57577.173	57491.794	57384.695	57272.032	57133.626	56950.26	56741.298	56524.633	56296.85	56070.392	55863.598	55664.867	55458.262	55241.18	55007.436	54761.4	54513.874	54270.262	54029.678	53787.093	53540.611	53301.3	53071.678	52844.375	52632.648	52431.315	52230.845	52029.485	51828.511
1831	Central and Southern Asia	0-4	184930.706	183873.684	183090.749	182751.011	182550.678	182354.23	182135.658	181835.34	181498.59	181135.364	180752.573	180337.384	179901.51	179427.392	178913.602	178354.005	177775.744	177158.346	176463.863	175742.263	175009.919	174219.84	173376.773	172532.932	171672.565	170745.548	169793.123	168833.506	167836.833	166838.279	165882.209	164913.63	163974.704	163138.198	162348.577	161582.991	160875.778	160186.105	159451.274	158697.275	157944.574	157210.078	156487.883	155751.162	154972.433	154155.379	153288.786	152406.146	151509.049	150571.278	149593.869	148629.698	147658.134	146664.766	145711.893	144769.537	143747.828	142708.076	141708.944	140684.062	139717.39	138887.56	138097.599	137293.456	136508.325	135700.198	134878.02	134090.591	133322.813	132560.553	131779.642	130925.379	130031.053	129170.622	128321.606	127475.466	126636.203	125791.09	124928.153
1832	Eastern and South-Eastern Asia	0-4	131103.417	124456.003	119658.715	116416.828	114958.648	114178.52	113451.476	112762.924	112126.793	111564.473	111079.507	110667.761	110293.805	109983.22	109766.625	109638.226	109622.474	109709.612	109830.984	109933.998	109997.475	109943.636	109765.511	109446.462	108936.809	108222.252	107279.114	106085.912	104668.825	103066.257	101309.197	99487.537	97649.579	95821.947	94063.669	92408.383	90887.849	89532.624	88366.005	87418.62	86664.462	86053.778	85574.297	85197.07	84863.819	84577.633	84311.77	84047.599	83811.549	83589.265	83359.94	83112.413	82840.071	82508.928	82077.711	81543.622	80934.527	80248.31	79479.616	78669.158	77820.717	76910.198	75954.787	74977.432	73984.387	72987.538	72022.084	71095.774	70218.218	69391.322	68631.131	67942.25	67325.223	66783.823	66307.714	65880.511	65497.485	65153.769	64806.118
1830	Latin America and the Caribbean	0-4	49036.637	48374.732	47836.578	47444.099	47184.728	46996.943	46817.896	46638.475	46461.028	46267.956	46061.488	45851.298	45628.794	45385.787	45128.422	44863.663	44578.39	44269.488	43946.757	43604.796	43242.886	42877.961	42520.786	42176.962	41849.625	41541.256	41242.138	40936.166	40616.012	40288.796	39961.616	39644.623	39339.925	39040.012	38741.876	38447.572	38158.393	37869.106	37590.402	37328.419	37071.398	36814.682	36565.806	36316.405	36054.359	35787.743	35519.64	35251.64	34988.562	34736.432	34483.309	34218.222	33947.664	33670.295	33390.1	33117.041	32854.806	32601.145	32350.693	32097.805	31842.245	31594.611	31353.128	31114.147	30883.353	30659.537	30436.555	30213.906	29994.274	29770.8	29545.425	29321.895	29095.434	28869.344	28653.953	28446.221	28234.605	28024.58	27816.868
1835	Oceania (excluding Australia and New Zealand)	0-4	1591.418	1596.122	1599.495	1602.766	1606.446	1610.207	1614.742	1620.639	1626.702	1633.178	1640.908	1648.959	1656.38	1663.686	1670.551	1676.706	1682.838	1688.778	1694.258	1699.137	1702.798	1705.796	1707.649	1708.702	1710.133	1711.517	1712.12	1712.685	1712.82	1711.295	1709.293	1707.384	1705.425	1702.778	1699.644	1697.137	1694.742	1691.738	1688.999	1686.38	1682.74	1678.516	1675.592	1673.658	1671.479	1669.66	1668.187	1666.062	1663.957	1662.643	1660.545	1657.26	1653.199	1647.961	1641.483	1634.086	1626.771	1619.741	1612.649	1606.513	1601.223	1595.765	1590.07	1583.884	1576.57	1569.106	1561.483	1553.481	1546.338	1540.164	1534.841	1530.188	1525.424	1519.587	1513.095	1505.564	1497.456	1489.986	1482.619
1836	Australia/New Zealand	0-4	1840.559	1841.536	1843.179	1847.352	1854.441	1859.403	1862.297	1862.762	1861.062	1857.961	1853.38	1848.209	1844.528	1842.356	1841.401	1843.166	1847.024	1851.677	1857.778	1865.045	1872.733	1881.185	1889.954	1897.824	1904.537	1909.553	1912.072	1912.522	1911.641	1909.632	1907.218	1906.058	1905.802	1905.412	1905.418	1906.427	1906.865	1906.432	1906.397	1907.09	1907.507	1907.711	1908.697	1910.318	1912.197	1913.49	1915.521	1919.195	1923.054	1925.974	1928.983	1932.199	1934.994	1938.355	1942.803	1947.432	1951.646	1955.378	1959.03	1962.574	1965.687	1968.17	1970.169	1972.245	1973.515	1974.223	1974.657	1974.004	1972.433	1971.63	1971.631	1972.691	1975.062	1976.848	1978.892	1981.396	1982.282	1983.259	1985.597
1829	Europe and Northern America	0-4	56358.606	55476.69	54913.166	54627.526	54461.249	54284.597	54113.629	53952.26	53814.778	53710.685	53645.149	53617.612	53621.866	53658.429	53721.684	53802.402	53882.822	53959.978	54027.072	54074.697	54106.132	54111.726	54084.159	54014.269	53889.871	53704.337	53455.526	53149.569	52802.014	52414.155	51999.136	51582.527	51182.623	50804.471	50460.291	50149.154	49869.908	49617.712	49395.467	49216.659	49079.677	48992.432	48948.762	48933.065	48931.659	48939.414	48953.2	48960.452	48958.501	48966.862	48979.314	48967.788	48937.213	48898.89	48826.588	48719.302	48595.606	48456.803	48298.868	48121.75	47928.7	47728.39	47529.28	47327.3	47131.8	46944.22	46758.121	46578.746	46411.631	46259.668	46128.387	46014.84	45912.455	45828.631	45767.164	45708.534	45651.332	45598.454	45542.394
901	More developed regions	0-4	62382.449	61445.281	60859.629	60568.197	60399.211	60226.374	60059.96	59899.982	59762.647	59657.3	59585.557	59549.688	59546.829	59575.623	59628.198	59697.635	59766.343	59830.109	59884.204	59920.043	59938.295	59925.808	59874.816	59776.253	59617.977	59394.09	59103.622	58753.058	58358.557	57922.807	57461.426	57002.522	56561.213	56141.235	55758.685	55412.888	55101.622	54822.208	54578.744	54384.27	54235.697	54138.606	54087.129	54065.808	54058.932	54059.769	54069.534	54076.378	54074.115	54080.124	54088.247	54068.428	54026.847	53977.463	53892.009	53770.466	53631.374	53473.878	53294.824	53097.812	52883.66	52660.408	52439.526	52216.65	51997.935	51786.35	51578.172	51376.126	51186.942	51016.342	50868.746	50741.122	50628.047	50535.049	50465.168	50400.671	50338.756	50281.13	50220.304
