country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-4	321580.186	316942.419	313257.708	310395.947	308241.487	306750.083	306432.542	306509.514	306478.846	306538.031	306443.054	306290.476	306389.056	306673.275	307021.493	307506.671	307746.303	307618.42	308073.517	308520.843	308254.341	308025.678	308027.037	307709.982	307011.172	306182.225	304920.552	303509.214	301989.088	300470.437	298594.816	296059.795	294095.22	292500.115	290637.59	288769.279	286982.109	285377.427	283824.124	282275.695	280965.926	279759.904	277998.332	276681.126	275290.96	273513.65	272335.393	271129.03	270062.021	268730.188	267194.379	266017.381	264702.897	263138.289	261434.644	259664.43	257923.779	256217.016	254930.863	253481.482	251782.031	249987.948	247782.756	245329.987	243237.622	241087.413	238351.728	235418.759	232813.383	231131.141	229941.583	227935.835	225536.993	223967.204	222521.898	220909.01	219286.83	217323.637	215080.987
1834	Sub-Saharan Africa	0-4	89235.086	90120.578	90870.628	91501.372	92009.789	92659.576	93548.462	94404.184	95259.041	96183.506	97104.96	98016.688	98771.883	99374.695	100023.898	100742.047	101323.548	101785.287	102375.284	102967.998	103440.161	103954.124	104366.883	104507.227	104654.185	104768.119	104940.679	105150.241	105286.228	105294.462	105210.91	105186.857	105031.546	104821.455	104466.285	104131.24	103864.524	103595.017	103359.654	103169.32	103142.167	102979.559	102656.472	102428.925	102177.078	102026.17	102012.827	101525.644	100955.938	100597.224	100159.421	99923.066	99618.463	99053.912	98581.74	97936.294	97334.647	96870.699	96122.199	95436.267	94875.512	94305.837	93928.699	93646.724	93113.661	92535.484	92019.753	91208.17	90257.876	89324.231	88378.109	87617.351	87032.759	86288.294	85524.605	84978.086	84124.584	83318.011	82665.049
1833	Northern Africa and Western Asia	0-4	27706.553	27353.69	27006.676	26659.49	26330.125	26113.224	25997.979	25922.262	25884.94	25870.688	25906.591	25953.031	26029.976	26141.164	26248.724	26361.653	26466.776	26538.984	26584.058	26636.669	26642.503	26632.589	26602.322	26546.226	26500.706	26406.933	26309.233	26222.406	26135.823	26008.279	25813.356	25614.526	25404.984	25220.777	25092.688	24967.657	24791.538	24601.39	24469.331	24323.378	24168.573	24027.128	23873.456	23756.228	23690.203	23650.744	23561.746	23425.766	23288.141	23162.968	23062.491	22898.303	22694.021	22569.046	22468.369	22283.049	22034.199	21830.173	21673.673	21555.985	21417.846	21218.871	21054.977	20866.76	20635.597	20410.13	20195.546	20013.203	19815.049	19635.53	19407.198	19161.302	18974.485	18828.324	18723.41	18570.928	18418.233	18261.534	18115.856
1831	Central and Southern Asia	0-4	88848.454	87304.489	85794.054	84358.918	82917.843	81758.707	81022.437	80528.102	80042.129	79528.87	79079.77	78572.871	78104.79	77647.148	77120.937	76558.985	76172.178	75784.585	75331.473	75119.968	74661.609	73872.567	73278.192	72700.021	71952.749	71427.979	70922.138	70233.114	69357.151	68455.634	67817.722	67239.506	66602.202	65817.295	64982.267	64306.162	63823.508	63362.024	62809.75	62325.215	61813.982	61195.285	60557.963	59873.954	59145.791	58641.891	58241.536	57641.991	57103.359	56706.619	56242.316	55949.605	55566.843	54883.614	54327.361	53777.503	53143.136	52532.961	51943.762	51285.15	50799.885	50429.433	49825.652	49156.312	48594.665	48110.936	47540.208	47063.055	46648.754	46063.24	45521.66	45082.457	44814.497	44507.292	43968.715	43374.642	42681.682	41959.681	41554.775
1832	Eastern and South-Eastern Asia	0-4	62201.595	58448.246	55512.386	53223.847	51738.01	50826.359	50202.804	49674.161	49199.368	48791.048	48411.661	48123.968	47937.444	47704.206	47405.839	47175.469	47012.395	46912.473	46804.093	46688.878	46675.346	46537	46332.877	46135.694	45805.422	45384.49	44906.1	44327.379	43700.742	43055.534	42267	41415.078	40651.767	39891.863	39044.969	38157.493	37359.796	36657.128	36059.239	35600.355	35148.251	34675.411	34318.105	34065.441	33766.534	33501.438	33198.515	32823.396	32598.793	32489.429	32340.427	32188.343	32054.418	31819.945	31556.102	31284.193	30935.31	30643.025	30417.047	30053.673	29595.506	29108.545	28635.655	28250.71	27887.7	27502.155	27023.029	26473.687	25994.873	25680.382	25373.138	24927.748	24538.164	24228.901	23998.008	23820.88	23570.628	23336.824	23165.887
1830	Latin America and the Caribbean	0-4	23941.548	23415.676	22931.584	22494.787	22103.848	21824.585	21637.94	21456.056	21257.638	21077.73	20913.633	20753.414	20585.32	20401.777	20222.351	20067.949	19918.317	19735.518	19547.744	19358.731	19144.228	18932.147	18729.642	18518.952	18322.172	18139.437	17979.335	17850.885	17683.562	17511.109	17339.087	17139.921	16959.553	16790.669	16643.898	16463.227	16274.554	16119.474	15957.986	15788.618	15628.128	15464.247	15316.186	15165.629	14973.101	14786.848	14620.866	14468.69	14311.625	14158.612	14005.079	13845.519	13699.187	13575.008	13426.575	13267.494	13138.046	13001.85	12843.198	12702.411	12586.631	12463.814	12338.985	12203.197	12071.496	11956.059	11814.215	11647.605	11494.55	11371.188	11265.546	11151.327	11052.217	10947.754	10827.83	10746.045	10664.673	10558.708	10479.883
1835	Oceania (excluding Australia and New Zealand)	0-4	757.513	737.651	717.01	695.471	673.415	661.976	661.216	662.585	663.14	662.942	664.022	663.996	664.562	665.749	666.973	667.892	669.204	669.758	669.675	670.379	671.416	672.322	670.961	667.103	665.316	665.133	661.8	656.957	653.695	650.225	645.276	639.764	633.899	628.068	622.786	616.363	610.416	606.747	602.1	597.735	594.534	593.162	592.232	590.376	588.069	586.816	584.854	581.619	580.135	575.771	569.459	564.867	562.25	560.265	556.49	551.521	544.435	537.075	531.894	528.096	524.378	520.848	517.217	512.5	506.857	501.173	495.349	490.492	486.354	481.677	477.463	473.748	468.377	464.701	462.467	457.644	453.048	450.076	446.645
1836	Australia/New Zealand	0-4	890.363	881.024	871.635	862.561	853.437	844.58	836.572	829.682	823.592	816.512	808.744	801.427	795.171	790.211	786.716	783.356	781.374	780.901	780.444	781.079	783.468	787.095	789.355	790.476	791.605	790.308	788.653	787.07	784.715	781.519	778.364	775.302	772.535	769.615	766.083	760.985	754.895	750.073	746.279	742.271	737.693	733.204	728.675	724.177	718.426	715.422	714.655	714.918	716.211	715.491	712.554	708.401	706.043	706.407	707.493	708.197	708.978	709.171	708.04	707.72	706.038	703.22	701.084	698.121	696.137	696.728	695.463	692.915	692.856	691.541	687.476	685.541	684.107	680.86	678.386	674.689	670.645	665.877	662.234
1829	Europe and Northern America	0-4	27392.7	26795.571	26336.465	25994.268	25687.418	25397.956	25115.969	24861.959	24704.121	24581.698	24464.087	24356.1	24282.705	24255.819	24228.174	24216.034	24222.355	24228.932	24234.468	24218.907	24167.113	24115.784	24063.13	23967.172	23886.147	23779.143	23649.535	23508.737	23295.335	23061.65	22839.698	22627.677	22425.672	22185.058	21941.701	21756.273	21565.871	21366.361	21206.012	21028.976	20879.887	20785.576	20720.263	20697.811	20628.856	20549.119	20490.897	20436.948	20434.793	20425.14	20353.451	20260.951	20178.739	20104.149	20049.202	19977.547	19864.127	19761.682	19656.081	19512.459	19318.497	19159.745	19091.19	19016.952	18904.306	18794.117	18678.041	18567.7	18430.16	18276.701	18184.829	18092.496	17996.995	17904.03	17797.032	17682.404	17634.523	17629.644	17563.122
901	More developed regions	0-4	30325.871	29691.338	29217.436	28866.907	28552.039	28248.24	27964.224	27709.387	27517.035	27374.913	27277.406	27177.247	27100.396	27068.395	27013.31	26955.016	26961.389	26992.637	26994.469	26958.3	26883.979	26841.221	26771.803	26638.503	26556.834	26471.724	26335.113	26171.628	25951.841	25673.872	25398.976	25189.295	24967.217	24708.308	24472.868	24282.717	24109.464	23876.424	23636.945	23453.949	23314.487	23239.364	23171.69	23095.495	23039.735	22960.295	22850.491	22764.945	22757.597	22753.849	22727.242	22666.567	22549.68	22471.39	22379.017	22292.63	22239.045	22110.857	21960.845	21804.149	21649.819	21534.183	21430.089	21322.427	21182.644	21018.905	20865.422	20759.028	20651.105	20509.421	20381.821	20307.429	20236.805	20133.588	20049.446	19993.151	19895.364	19788.353	19711.705
