country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-4	322432.29	319557.714	317870.545	317304.313	317772.032	318620.036	319504.952	320386.225	321291.863	322209.818	323147.788	324093.714	325025.827	325945.326	326843.766	327709.111	328559.198	329355.172	330052.527	330675.821	331187.946	331530.449	331722.954	331766.017	331621.396	331283.653	330743.716	329981.35	329019.733	327868.442	326591.055	325246.812	323874.713	322530.383	321263.397	320065.92	318935.51	317869.937	316872.178	315994.376	315233.449	314561.856	313998.361	313477.433	312902.638	312313.977	311707.699	311052.117	310363.835	309654.904	308887.853	308074.203	307203.646	306260.145	305230.522	304062.558	302780.536	301462.889	300119.705	298748.779	297407.254	296086.876	294731.619	293337.277	291906.056	290429.34	288956.175	287495.369	286045.664	284633.627	283264.054	281895.803	280564.719	279301.373	278074.941	276856.483	275642.63	274445.527	273236.898
1834	Sub-Saharan Africa	0-4	89528.928	91021.712	92456.896	93834.761	95184.666	96532.409	97883.532	99240.071	100592.29	101920.121	103217.735	104472.622	105684.816	106861.109	107983.009	109051.565	110086.343	111070.524	112007.306	112926.333	113798.284	114621.894	115420.804	116179.684	116889.794	117578.261	118238.751	118850.717	119426.54	119952.032	120434.394	120882.76	121289.98	121666.956	122040.458	122399.864	122717.41	122991.152	123236.171	123472.85	123708.813	123927.71	124154.743	124365.27	124514.415	124634.262	124740.349	124803.608	124831.269	124840.905	124817.209	124777.23	124718.824	124636.951	124527.809	124360.652	124170.286	123997.175	123831.269	123680.478	123548.569	123396.839	123213.574	123014.796	122778.856	122509.495	122235.544	121932.764	121598.756	121269.655	120950.366	120619.303	120300.575	119986.248	119648.799	119285.538	118904.432	118521.806	118137.726
1833	Northern Africa and Western Asia	0-4	27819.691	27698.404	27607.148	27542.963	27510.81	27512.625	27535.238	27577.09	27638.643	27716.847	27818.743	27949.278	28102.525	28271.789	28450.723	28628.969	28794.228	28943.416	29077.936	29201.53	29308.435	29396.348	29460.073	29500.988	29525.861	29534.304	29521.141	29492.708	29455.876	29393.99	29317.348	29241.361	29157.409	29064.38	28978.833	28896.092	28810.725	28734.349	28665.999	28600.016	28536.377	28476.98	28421.256	28367.803	28319.855	28280.212	28248.42	28220.255	28190.09	28160.573	28128.711	28086.425	28033.64	27978.198	27910.194	27820.102	27717.222	27610.387	27497.906	27385.981	27283.809	27185.733	27083.903	26977.118	26862.19	26741.178	26619.541	26499.722	26381.234	26261.742	26140.339	26022.213	25908.772	25796.657	25692.162	25592.683	25493.845	25394.713	25295.693
1831	Central and Southern Asia	0-4	89378.076	88941.952	88642.546	88556.362	88536.09	88515.501	88478.381	88394.598	88287.83	88163.06	88022.13	87858.672	87679.716	87476.967	87251.462	87001.925	86741.272	86458.799	86136.048	85797.015	85449.549	85071.924	84667.378	84260.764	83843.872	83393.298	82929.03	82460.196	81973.755	81487.243	81021.498	80549.478	80091.992	79683.707	79297.851	78924.247	78578.866	78240.791	77879.957	77508.872	77136.821	76773.394	76416.47	76052.579	75668.653	75266.888	74840.69	74406.121	73964.86	73503.398	73021.883	72547.345	72069.493	71580.666	71111.879	70648.728	70146.937	69636.808	69147.246	68644.647	68169.979	67762.15	67373.017	66976.245	66589.516	66191.811	65786.952	65399.825	65022.419	64647.512	64264.478	63845.98	63408.238	62987.558	62571.772	62156.262	61743.447	61326.944	60901.867
1832	Eastern and South-Eastern Asia	0-4	62537.143	59482.446	57290.56	55827.444	55202.806	54897.492	54615.166	54347.326	54099.542	53881.511	53694.044	53534.356	53386.14	53262.749	53179.609	53135.36	53142.912	53197.81	53267.428	53326.609	53364.969	53345.05	53263.724	53112.906	52868.196	52523.293	52067.223	51489.146	50801.986	50025.094	49173.006	48288.766	47396.536	46509.549	45656.041	44852.136	44113.712	43455.312	42887.964	42426.883	42059.799	41762.409	41528.678	41344.444	41181.579	41041.701	40911.724	40782.713	40667.414	40558.641	40446.257	40325.101	40191.909	40030.27	39820.322	39560.386	39263.748	38929.645	38555.643	38161.304	37748.635	37306.057	36841.846	36367.04	35884.586	35400.284	34930.974	34480.598	34054.065	33652.293	33283.1	32948.812	32649.431	32386.512	32155.019	31947.221	31760.891	31593.591	31424.542
1830	Latin America and the Caribbean	0-4	24033.505	23705.586	23440.764	23249.627	23123.475	23032.141	22944.599	22856.559	22769.495	22674.718	22573.264	22469.975	22360.706	22241.327	22114.778	21984.619	21844.3	21692.278	21533.476	21365.147	21187.045	21007.607	20831.961	20662.794	20501.785	20350.158	20203.107	20052.751	19895.427	19734.595	19573.677	19417.731	19267.844	19120.369	18973.81	18829.188	18687.175	18545.143	18408.324	18279.793	18153.738	18027.712	17905.506	17783.09	17654.427	17523.491	17391.915	17260.4	17131.285	17007.574	16883.398	16753.342	16620.632	16484.656	16347.319	16213.46	16084.917	15960.592	15837.814	15713.872	15588.649	15467.261	15348.89	15231.724	15118.458	15008.573	14899.199	14790.082	14682.473	14573.038	14462.701	14353.246	14242.314	14131.552	14026.094	13924.382	13820.703	13717.804	13616.044
1835	Oceania (excluding Australia and New Zealand)	0-4	768.654	771.082	772.836	774.532	776.413	778.324	780.601	783.526	786.523	789.715	793.5	797.432	801.057	804.62	807.974	810.994	814.008	816.93	819.628	822.032	823.838	825.322	826.247	826.784	827.5	828.188	828.489	828.768	828.835	828.08	827.087	826.146	825.181	823.884	822.36	821.132	819.939	818.44	817.072	815.76	813.951	811.866	810.419	809.452	808.368	807.457	806.701	805.618	804.547	803.859	802.782	801.132	799.11	796.513	793.315	789.68	786.098	782.656	779.176	776.15	773.524	770.816	767.997	764.948	761.365	757.724	753.999	750.076	746.568	743.524	740.888	738.574	736.208	733.324	730.131	726.442	722.478	718.819	715.209
1836	Australia/New Zealand	0-4	895.274	896.024	897.064	899.216	902.765	905.261	906.732	907.017	906.241	904.776	902.593	900.122	898.362	897.332	896.888	897.753	899.646	901.938	904.93	908.488	912.256	916.392	920.678	924.536	927.83	930.284	931.512	931.729	931.302	930.319	929.143	928.592	928.476	928.274	928.259	928.732	928.924	928.696	928.671	929.018	929.236	929.354	929.86	930.676	931.609	932.254	933.255	935.049	936.932	938.362	939.838	941.4	942.752	944.381	946.537	948.782	950.839	952.664	954.452	956.189	957.704	958.899	959.854	960.843	961.44	961.766	961.965	961.644	960.877	960.488	960.501	961.03	962.188	963.065	964.074	965.308	965.757	966.253	967.412
1829	Europe and Northern America	0-4	27471.02	27040.51	26762.73	26619.408	26535.007	26446.281	26360.703	26280.038	26211.298	26159.071	26125.778	26111.255	26112.503	26129.433	26159.323	26197.927	26236.486	26273.476	26305.776	26328.667	26343.57	26345.912	26332.09	26297.562	26236.559	26145.868	26024.462	25875.336	25706.012	25517.088	25314.902	25111.979	24917.296	24733.263	24565.785	24414.53	24278.761	24156.053	24048.02	23961.185	23894.715	23852.431	23831.427	23824.12	23823.732	23827.712	23834.645	23838.353	23837.439	23841.59	23847.775	23842.228	23827.285	23808.507	23773.147	23720.769	23660.489	23592.961	23516.199	23430.158	23336.384	23239.121	23142.536	23044.56	22949.645	22858.508	22768.002	22680.659	22599.272	22525.376	22461.681	22406.645	22356.994	22316.458	22286.891	22258.647	22231.075	22205.596	22178.405
901	More developed regions	0-4	30409.358	29950.781	29661.285	29514.871	29429.388	29342.719	29259.513	29179.639	29111.055	29058.299	29022.103	29003.648	29001.524	29014.75	29039.497	29072.607	29105.457	29135.934	29161.893	29179.029	29187.503	29181.032	29155.789	29107.311	29029.833	28920.482	28778.806	28607.966	28415.774	28203.508	27978.719	27755.162	27540.287	27335.839	27149.599	26981.389	26829.961	26693.932	26575.513	26481.031	26408.919	26361.848	26337.053	26327.014	26323.958	26324.562	26329.521	26333.016	26331.943	26334.942	26339.011	26329.416	26309.113	26284.964	26243.201	26183.872	26116.101	26039.463	25952.379	25856.624	25752.561	25644.094	25536.88	25428.725	25322.497	25219.644	25118.368	25019.97	24927.806	24844.817	24773.174	24711.268	24656.381	24611.355	24577.688	24546.596	24516.743	24488.961	24459.475
