country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-4	342159.393	341606.872	342392.255	344616.532	348250.768	351480.536	353964.075	356473.803	359010.745	361407.796	363454.361	365262.885	367177.625	368957.587	370297.22	372650.528	375085.426	376480.921	378216.799	379672.259	380687.268	381906.544	383248.436	384818.719	385912.382	386678.904	387394.966	387381.701	387006.292	386630.735	386115.627	386169.212	386444.294	386455.267	386595.901	387622.618	389742.096	391059.683	391548.996	392076.889	393224.455	394344.053	395597.855	397475.382	398350.33	398961.652	400500.757	401843.635	402424.051	403095.404	403775.422	404877.922	406452.997	407795.129	409243.165	410225.869	411011.205	411446.155	411723.75	412678.167	413354.331	414289.258	416122.039	417182.49	417153.759	418668.47	421135.375	423402.832	425877.198	427852.858	428671.078	427804.872	427528.072	428668.243	430655.778	434168.712	437240.657	438954.678	439196.055
1834	Sub-Saharan Africa	0-4	92144.562	94564.973	97006.304	99480.067	101951.827	104212.429	106237.588	108302.583	110450.282	112477.528	114511.294	116548.723	118395.417	120308.382	122271.958	124142.334	125862.886	127629.317	129387.338	130981.342	132634.926	134458.308	136421.599	138348.888	140318.351	142211.666	143865.571	145313.284	146837.162	148392.077	150013.364	151638.667	153408.614	155490.269	157485.753	159252.51	160849.173	162487.398	164333.05	166462.772	168282.812	169863.996	171316.346	172950.536	174837.179	176702.169	178630.051	180510.356	182480.443	184121.092	185581.801	187535.185	189936.393	192712.955	195356.01	197296.904	199034.007	201145.523	202569.004	204103.371	206685.002	209511.888	212107.858	213943.984	216134.209	218953.564	222409.516	225737.659	227477.955	230152.34	234539.874	238002.97	241878.264	245544.961	246493.36	246902.53	249324.013	253110.167	256865.811
1833	Northern Africa and Western Asia	0-4	29345.606	29564.059	29831.481	30141.704	30500.24	30804.737	31008.67	31207.77	31440.921	31698.51	31989.443	32329.205	32678.488	33010.613	33336.235	33693.667	34046.573	34272.582	34440.436	34685.276	34906.306	35055.613	35217.193	35409.458	35603.135	35800.585	36017.564	36227.561	36453.676	36608.205	36678.181	36798.873	36987.574	37176.453	37402.834	37639.466	37770.697	37888.536	37958.071	38054.731	38191.083	38345.541	38524.694	38756.542	39148.174	39493.292	39664.367	39767.302	39807.363	39831.92	40041.14	40342.902	40597.084	40814.273	41027.787	41182.261	41296.593	41438.438	41582.154	41723.446	41711.433	41695.178	41806.394	41925.265	42246.207	42573.653	42580.691	42708.208	42799.884	42689.72	42650.571	42720.704	42937.321	43206.418	43533.909	43808.267	44025.6	44194.345	44244.66
1831	Central and Southern Asia	0-4	96459.619	97719.216	99148.609	101002.183	103227.601	104793.124	105693.966	106643.575	107318.676	107732.562	108233.419	108798.454	109229.01	109343.113	109337.239	109305.705	109229.938	108906.914	108685.643	108675.603	108470.755	108082.438	107732.884	107789.312	107896.551	107743.548	107514.696	107405.173	107522.008	107661.257	107818.513	108135.895	108800.823	109427.168	109911.141	110590.961	111245.501	111690.825	111833.243	112042.1	112591.7	113178.391	113347.234	113533.737	114195.49	114927.078	114955.545	115040.03	115088.434	115005.878	114820.388	113913.962	113665.107	113629.473	113541.891	113771.01	113807.87	114134.413	114516.693	114776.995	115500.046	116092.755	116185.17	116713.569	117746.093	118860.359	119812.404	120470.059	120754.664	120574.301	120195.77	120220.519	120592.237	121162.804	121511.235	121782.412	122641.083	123458.187	123410.084
1832	Eastern and South-Eastern Asia	0-4	69166.71	66805.779	65435.276	64947.607	65492.279	65911.37	65898.198	65829.791	65699.396	65577.763	65420.28	65366.872	65370.283	65379.182	65438.004	65644.784	66011.338	66288.398	66377.76	66414.639	66649.787	66896.911	66913.094	66914.857	66836.901	66481	65981.774	65444.26	64694.298	63793.367	62850.389	61961.765	61181.073	60363.617	59522.783	58651.778	57976.671	57379.984	56879.639	56629.987	56381.52	56205.525	56112.841	56118.241	56242.818	56474.616	56656.588	56705.487	56794.173	56874.319	56952.658	57109.713	57161.508	57061.731	56980.167	56796.711	56642.854	56447.608	56105.935	55815.137	55424.501	54875.367	54269.23	53815.408	53488.246	53167.472	52792.557	52308.89	51799.311	51347.838	51129.422	50949.033	50754.492	50780.621	50847.958	50842.55	50938.043	51089.607	51109.769
1830	Latin America and the Caribbean	0-4	25161.378	25141.751	25227.724	25424.825	25698.106	25912.28	26034.02	26132.039	26222.595	26262.102	26255.107	26229.533	26204.612	26220.327	26220.191	26208.267	26122.106	25952.707	25798.369	25642.412	25496.994	25348.542	25221.11	25090.041	24989.598	24908.676	24797.42	24750.038	24709.867	24685.371	24650.677	24512.858	24368.15	24251.355	24153.031	24081.942	24119.306	24223.741	24238.407	24278.108	24331.879	24288.819	24271.469	24242.247	24182.966	24187.834	24130.588	24057.878	23974.486	23876.903	23808.705	23738.236	23653.463	23588.058	23509.264	23467.377	23470.396	23420.44	23300.646	23169.499	23041.136	22937.321	22955.257	22991.047	22979.258	22971.875	22983.892	23030.626	23025.848	22960.921	22899.196	22789.637	22677.806	22653.29	22710.709	22749.329	22713.17	22664.35	22687.437
1835	Oceania (excluding Australia and New Zealand)	0-4	839.78	876.643	915.122	956.005	998.172	1025.189	1034.593	1042.78	1052.657	1063.103	1072.858	1081.434	1087.952	1093.382	1103.086	1116.934	1129.457	1140.132	1149.65	1158.633	1168.231	1179.091	1193.721	1209.176	1220.952	1237.985	1261.167	1283.129	1298.949	1313.997	1332.62	1348.025	1359.732	1372.701	1387.832	1401.771	1413.869	1427.108	1441.348	1454.43	1465.103	1474.077	1493.284	1511.416	1521.531	1533.274	1545.092	1553.221	1563.665	1582.671	1602.245	1617.453	1628.415	1635.477	1635.707	1625.168	1621.173	1632.293	1646.465	1666.2	1692.103	1711.273	1726.749	1746.767	1764.494	1773.086	1776.747	1786.867	1798.7	1825.647	1853.965	1863.98	1868.38	1871.729	1885.275	1898.115	1904.616	1909.553	1924.932
1836	Australia/New Zealand	0-4	953.02	969.717	990.095	1012.377	1036.982	1058.427	1071.143	1079.555	1085.569	1091.246	1096.973	1101.159	1105.117	1107.489	1111.18	1117.615	1124.999	1133.61	1138.747	1144.641	1153.562	1162.078	1170.271	1178.317	1187.785	1196.338	1204.124	1213.146	1221.887	1228.689	1233.843	1235.517	1236.808	1238.443	1244.794	1256.531	1266.663	1274.967	1282.042	1290.129	1298.14	1305.265	1315.634	1323.136	1327.338	1333.757	1336.666	1341.03	1347.117	1354.813	1358.612	1361.126	1365.581	1369.028	1377.774	1386.506	1395.651	1407.854	1417.201	1426.038	1436.364	1443.566	1450.477	1461.878	1475.15	1481.62	1484.107	1495.329	1506.839	1513.044	1522.545	1533.493	1541.815	1547.352	1555.088	1560.436	1559.404	1559.927	1570.59
1829	Europe and Northern America	0-4	29017.048	28836.548	28844.808	29046.003	29349.976	29568.234	29690.816	29790.746	29868.715	29946.945	30085.787	30225.464	30374.061	30536.568	30648.108	30745.476	30834.465	30930.31	31031.53	31131.603	31183.496	31202.18	31250.146	31279.225	31246.036	31208.819	31162.034	31067.198	30934.74	30747.794	30586.146	30488.841	30389.969	30319.457	30287.947	30216.342	30120.975	30062.249	30090.362	30156.038	30219.31	30332.21	30477.248	30602.956	30748.388	30863.909	30966.579	31144.792	31216.176	31217.359	31294.843	31362.457	31433.115	31522.354	31591.356	31615.052	31623.304	31606.07	31589.891	31540.088	31479.978	31464.432	31417.764	31338.732	31295.682	31366.368	31473.587	31484.615	31373.72	31349.188	31447.655	31556.297	31722.357	31819.221	31949.329	32234.017	32440.976	32536.671	32635.754
901	More developed regions	0-4	32107.106	31916.08	31946.68	32178.047	32504.397	32752.102	32888.713	32998.014	33121.431	33233.46	33333.779	33463.086	33618.778	33770.6	33917.197	34017.495	34052.988	34114.337	34248.738	34334.813	34357.857	34374.18	34384.116	34433.832	34440.313	34376.954	34297.72	34184.327	33999.736	33734.43	33542.911	33466.587	33361.752	33250.882	33126.724	33026.288	32999.693	32953.013	32937.611	32961.164	33020.65	33108.451	33190.173	33354.208	33508.642	33624.014	33807.608	33916.077	33898.673	33995.211	34087.254	34199.019	34283.969	34319.497	34381.975	34364.215	34422.331	34454.14	34354.293	34314.909	34267.273	34159.251	34104.401	34066.29	34041.845	34037.455	34059.058	34184.418	34291.824	34314.977	34361.485	34466.848	34639.421	34754.078	34836.625	35005.938	35113.47	35157.962	35260.821
