country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14	2012260.89	2005915.608	1997938.188	1988699.314	1978340.609	1966156.762	1953587.254	1941725.85	1930644.375	1919301.033	1907362.989	1897475.08	1889534.988	1883434.488	1880817.288	1880201.624	1878843.771	1878186.94	1879192.524	1880128.476	1879660.686	1879504.491	1879904.55	1879927.387	1879385.207	1877529.876	1876461.333	1875344.922	1870769.622	1863946.683	1856586.256	1848808.323	1842342.672	1835187.852	1825519.932	1815675.003	1805008.506	1795207.895	1787885.526	1778509.414	1768013.981	1757775.254	1747025.435	1736937.656	1727529.689	1717770.191	1707279.676	1697230.111	1687771.728	1679654.075	1673276.906	1665415.756	1655560.024	1645678.507	1636654.705	1629375.022	1621200.405	1612570.263	1605793.27	1598719.266	1591344.236	1583087.422	1573150.74	1562606.784	1549671.818	1534618.041	1519826.63	1508647.205	1499871.085	1487413.882	1472965.386	1459740.18	1447001.602	1433138.202	1419860.719	1407273.842	1393568.354	1381424.69	1370289.039
1834	Sub-Saharan Africa	0-14	487482.826	495343.956	502875.728	510086.831	516970.589	523665.649	530336.844	536801.356	543005.691	549052.699	554819.997	560378.346	565598.121	570457.573	575211.7	579625.354	584132.497	588895.322	593517.908	597589.371	601439.63	605299.718	608371.248	611090.277	614186.236	617151.178	619830.51	621804.913	623567.17	625409.96	626289.167	627230.387	628644.867	629489.368	629615.26	629763.456	629681.681	629395.483	628786.216	627381.31	626032.48	624006.243	621599.238	620491.378	619389.761	619173.508	618756.23	617264.711	615569.122	613537.685	612456.093	611908.303	610332.233	607554.417	604539.924	601516.494	599693.14	597744.644	595392.042	592991.274	589713.175	586079.326	582698.112	579551.536	575934.011	572232.844	569107.328	565716.902	561911.741	559551.365	557213.244	553292.851	549547.364	544643.297	539426.443	535035.304	530320.952	525894.608	520658.606
1833	Northern Africa and Western Asia	0-14	168585.48	169011.706	169132.008	168936.307	168467.889	167763.256	166839.197	165775.931	164679.913	163747.04	162959.008	162280.622	161652.044	161098.475	160718.33	160625.821	160812.283	160965.309	161151.796	161541.08	161913.354	162137.082	162332.448	162366.287	162456.28	162624.609	162540.509	162470.552	162316.975	161971.103	161559.21	160991.006	160433.28	159780.158	158782.655	157765.516	156756.061	155735.769	154937.64	154042.578	152963.75	151976.541	151165.389	150430.379	149565.817	148582.741	147801.664	147066.66	146108.318	145299.249	144669.35	144039.628	143319.257	142630.782	142028.675	141215.354	140302.35	139315.316	138353.525	137430.774	136416.231	135592.195	134704.223	133556.392	132303.294	130887.435	129641.495	128616.691	127435.653	126352.332	125223.665	123903.838	122821.913	121687.66	120431.227	119203.726	118003.485	116994.783	115970.405
1831	Central and Southern Asia	0-14	565036.891	560651.426	555985.985	550954.727	545741.222	540390.092	534747.424	529295.845	523895.008	518360.128	513269.016	508374.316	503215.571	498528.997	493970.626	489671.9	485987.966	482771.054	480055.139	476732.925	472875.78	469258.648	466613.631	464040.624	460819.377	456958.796	453623.759	450601.398	446272.049	442291.393	438631.507	434843.718	431082.126	427017.444	423114.969	419540.274	415291.015	410840.5	406943.47	403145.346	399761.229	395741.638	391521.791	387976.573	384079.209	379910.338	375841.306	372001.566	368719.46	365324.108	361897.077	358328.913	355408.397	353138.045	350394.717	347849.866	345221.338	341817.955	338147.934	334678.413	331167.285	328148.441	325451.761	322597.723	318810.834	315177.833	311918.417	308462.706	305393.316	302302.364	298660.974	295024.619	291794.109	288225.213	284720.182	281641.215	279079.686	276337.06	272886.878
1832	Eastern and South-Eastern Asia	0-14	442749.825	433719.739	424070.466	414012.196	403779.734	392689.466	381211.503	369829.635	358710.848	347896.358	336594.598	326831.074	319121.333	312948.361	308377.743	304980.629	302160.924	299732.831	297953.223	296833.668	295656.299	293906.78	292614.885	291596.248	290442.969	288944.855	287505.979	285639.635	282826.014	280158.938	277422.698	274417.746	271393.465	267891.509	264205.131	260220.114	255809.888	251319.473	246924.576	242806.736	238633.885	234355.636	230301.279	226553.054	223134.881	219985.998	217147.301	214810.729	212528.434	210402.19	208644.163	206914.419	205401.526	203860.646	202327.481	201009.352	199715.298	198324.08	196956.797	195338.505	192802.193	190314.05	188164.445	185936.325	183635.787	181130.444	178617.957	176426.296	174232.26	171862.524	169524.289	167160.675	164588.578	162042.397	159884.675	157908.12	155825.969	153731.317	151729.635
1830	Latin America and the Caribbean	0-14	153233.498	151675.476	150058.941	148357.267	146596.92	144860.206	143138.065	141381.202	139527.322	137714.082	135985.406	134190.266	132529.684	131097.428	129718.887	128594.142	127688.306	126600.614	125446.768	124269.844	123117.031	122057.625	120808.744	119527.127	118421.704	117305.757	116223.902	115143.139	113893.206	112730.323	111613.472	110460.554	109401.816	108429.277	107441.157	106335.216	105098.513	103846.478	102687.028	101614.682	100621.239	99795.241	98876.996	97769.544	96754.048	95874.871	94983.117	93874.298	92722.596	91676.61	90533.289	89413.523	88596.733	87845.568	86959.373	86035.966	85167.241	84168.844	83178.702	82433.059	81619.663	80630.422	79747.662	78960.726	78149.996	77338.615	76526.473	75596.936	74617.648	73832.554	73104.17	72413.507	71583.35	70584.482	69754.456	69023.751	68345.9	67662.902	67034.879
1835	Oceania (excluding Australia and New Zealand)	0-14	4560.831	4548.485	4531.868	4509.698	4483.977	4455.276	4423.238	4389.067	4354.808	4321.506	4286.551	4250.778	4213.034	4173.094	4133.203	4114.13	4112.224	4113.263	4116.733	4119.954	4127.118	4136.961	4136.15	4131.281	4124.214	4113.139	4109.812	4103.7	4100.951	4096.539	4084.168	4067.757	4048.637	4018.184	3987.75	3964.061	3931.926	3903.095	3878.038	3863.335	3839.902	3803.242	3779.508	3757.345	3735.196	3712.584	3692.396	3680.933	3674.078	3666	3649.878	3626.216	3604.207	3574.793	3540.182	3521.128	3506.569	3484.998	3461.39	3437.04	3407.85	3377.454	3348.093	3311.821	3274.483	3252.874	3235.047	3205.161	3169.941	3141.553	3113.688	3078.892	3049.267	3026.269	3000.645	2975.442	2954.469	2928.056	2897.633
1836	Australia/New Zealand	0-14	5718.834	5690.794	5660.45	5627	5590.275	5548.317	5502.873	5458.712	5416.01	5367.175	5317.486	5277.041	5234.744	5190.074	5150.339	5116.583	5087.824	5059.468	5030.659	5007.164	4990.419	4973.11	4959.572	4956.131	4951.693	4950.474	4955.555	4952.634	4940.578	4934.035	4937.185	4929.183	4914.205	4904.374	4889.887	4878.97	4876.4	4860.538	4831.744	4800.908	4769.283	4746.373	4721.486	4696.706	4670.86	4630.569	4597.952	4580.956	4564.89	4548.32	4528.357	4514.518	4509.74	4501.518	4491.57	4471.52	4453.347	4455.087	4463.524	4472.342	4478.447	4474.65	4469.196	4467.83	4461.154	4450.647	4437.594	4416.122	4398.645	4390.536	4381.334	4370.266	4356.203	4341.317	4337.536	4330.809	4307.39	4280.725	4249.183
1829	Europe and Northern America	0-14	183633.53	181342.826	178973.877	176688.818	174411.23	172023.923	169562.677	167048.22	164566.614	162183.63	160059.551	158304.57	156799.131	155622.032	154730.883	154013.071	153372.541	152782.089	152339.262	152053.006	151870.294	151643.974	151354.711	151033.518	150690.136	150317.337	149942.865	149495.947	148839.315	148069.33	147337.978	146605.635	145751.289	144741.943	143685.041	142674.196	141590.845	140228.442	138743.207	137493.232	136378.244	135264.779	134274.784	133303.65	132307.906	131464.69	130727.953	130183.365	129684.212	129200.904	128922.842	128597.503	128100.157	127723.627	127469.094	127053.525	126479.485	125780.819	125089.444	124338.507	123924.867	123627.337	122984.668	122200.901	121374.641	120687.349	120118.692	119611.885	118924.512	118111.711	117320.156	116505.489	115846.289	115263.184	114540.281	113884.788	113204.415	112409.671	111779.559
901	More developed regions	0-14	203757.173	201174.723	198537.699	195987.323	193460.633	190812.482	188113.78	185405.193	182712.853	180135.522	177871.811	176013.744	174465.728	173386.818	172497.496	171586.86	170849.668	170253.361	169734.483	169288.111	168942.298	168676.3	168452.478	168161.239	167807.855	167460.525	166939.024	166261.695	165538.492	164784.001	163934.269	162904.411	161887.811	160789.876	159511.796	158285.965	157042.172	155791.455	154443.041	152979.103	151850.986	150920.805	149820.9	148725.012	147613.993	146507.424	145784.174	145245.946	144605.568	144096.787	143693.441	143160.695	142595.33	142146.99	141823.643	141375.579	140909.951	140458.966	139902.273	139386.824	138826.674	138121.034	137412.485	136763.692	136021.795	135177.044	134371.94	133658.051	132945.481	132107.278	131167.801	130258.931	129593.018	129143.731	128746.294	128185.356	127435.506	126627.395	125908.384
902	Less developed regions	0-14	1808387.236	1804326.266	1798754.162	1791923.238	1783994.437	1774206.766	1763644.661	1753883.94	1745131.099	1735824.375	1725411.605	1717263.7	1710942.685	1706073.852	1703658.387	1702757.115	1703639.929	1704583.092	1704831.504	1705056.157	1704407.03	1703675.643	1704365.002	1703699.175	1702171.951	1702438.091	1702153.626	1699797.403	1696103.234	1691239.544	1686105.039	1680576.1	1672662.67	1664256.302	1656626.416	1648041.536	1638440.413	1628967.653	1619409.066	1610935.195	1602714.213	1594214.857	1586360.992	1577978.733	1568526.622	1558572.421	1549824.776	1541965.541	1533075.796	1523685.503	1515973.248	1508381.277	1500042.431	1490884.848	1482030.831	1473992.462	1466978.04	1459917.355	1452305.127	1445267.073	1436581.971	1427285.963	1415920.985	1403256.167	1390929.953	1379395.641	1369400.716	1359944.39	1350236.923	1339136.406	1326816.348	1312785.577	1299737.866	1288865.076	1278323.728	1264572.458	1250635.827	1238784.958	1227208.461
941	Least developed countries	0-14	435335.016	441592.926	447716.277	453537.657	459184.556	464855.318	470412.477	475644.224	480630.891	485331.283	489838.417	493975.82	497568.663	501139.547	504527.261	507835.702	511192.884	513973.315	516567.6	519464.82	522299.737	524458.766	526527.296	529330.745	532083.679	534042.914	535593.142	537105.111	538901.786	540690.296	541749.066	542542.578	543069.132	543667.728	544171.4	544297.1	544479.587	544158.951	543649.751	543270.705	542440.278	540735.995	539865.705	539705.32	538994.258	538709.957	538901.595	538923.893	537853.931	536114.913	534706.878	533626.57	532382.15	530946.514	528857.868	525876.892	523284.872	521317.36	518882.844	516013.048	512365.997	508584.178	506231.18	503393.606	499659.564	496056.171	492563.928	489870.506	486977.889	483161.059	479347.383	476148.972	472423.032	467878.905	464140.535	460360.683	455220.307	450003.901	445492.851
934	Less developed regions, excluding least developed countries	0-14	1372741.914	1361852.13	1349547.472	1336276.341	1321940.361	1306022.536	1289764.6	1274141.179	1259155.407	1244339.552	1229466.997	1216520.166	1205652.602	1196524.772	1189331.297	1183392.827	1178581.487	1174192.863	1170106.824	1166780.596	1163416.346	1160578.65	1157321.107	1153336.183	1149063.612	1144451.126	1141696.327	1138325.991	1132547.155	1126475.011	1119746.63	1112430.492	1105661.084	1097286.5	1087098.056	1077069.769	1067438.421	1057430.919	1048139.534	1039650.204	1030244.429	1020815.473	1011950.42	1002990.379	994596.646	985924.806	976394.156	966911.441	959195.24	953080.584	947228.204	941900.763	935871.457	928990.817	921387.05	913199.128	906399.01	900797.906	893692.009	885299.942	877568.779	869791.226	862471.968	855784.733	847930.245	839904.114	831414.527	823475.856	816385.22	808463.08	800721.724	792268.502	784172.6	777412.762	770003.682	763012.455	755958.002	748495.989	741076.238
948	Less developed regions, excluding China	0-14	1558618.516	1561653.737	1563760.553	1564731.682	1564703.312	1563764.782	1562952.354	1562354.429	1561328.837	1560270.248	1559186.447	1558321.126	1558216.836	1557799.456	1556542.502	1555348.323	1556047.316	1557577.583	1558712.112	1560319.727	1560698.143	1561718.042	1561584.228	1559502.954	1558436.453	1558157.241	1557373.399	1555064.067	1552800.655	1549688.034	1546087.002	1541973.186	1536868.878	1531719.092	1525804.122	1519853.719	1515186.562	1510174.241	1504832.461	1499626.594	1492984.222	1484812.54	1476739.955	1469438.231	1462498.404	1456108.597	1449498.092	1443197.794	1436952.649	1430060.068	1423647.612	1416063.645	1406738.586	1396876.992	1387161.269	1377605.038	1369374.57	1361945.587	1353623.372	1345481.83	1338824.089	1330714.114	1320688.932	1310748.689	1301583.768	1292059.101	1281600.035	1271211.223	1260153.209	1249737.318	1239557.572	1229675.143	1220082.871	1210645.551	1201277.944	1191521.048	1180079.844	1169007.239	1159413.243
1636	Land-locked Developing Countries (LLDC)	0-14	220137.735	223106.309	225864.505	228394.777	230737.377	232935.591	234993.726	236846.021	238553.964	240194.243	241877.219	243469.269	244723.764	245714.658	246606.253	247627.147	248815.968	250091.681	251406.568	252786.366	254127.776	255149.137	256066.674	257219.883	258276.883	259169.042	260040.585	260739.901	261315.065	261651.886	261843.707	262134.189	262375.366	262439.427	262286.611	261982.342	261475.122	260689.1	259928.206	258979.556	258259.087	257824.917	257093.22	256157.067	255156.146	254287.406	253481.939	252481.027	251141.996	249923.469	248966.461	247840.258	246652.855	245778.24	244619.252	242930.658	241495.53	239850.164	238145.736	237196.617	235875.775	234060.608	232322.579	230229.198	227843.941	225713.49	223724.407	221911.794	220260.992	218303.545	216238.332	214387.538	212448.311	210553.572	208723.148	206699.696	204768.132	202628.729	200848.774
