country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14	2016869.504	2019993.05	2022224.07	2024185.55	2026107.216	2026892.244	2027736.27	2029761.01	2033697.438	2039285.732	2044897.991	2051136.207	2059945.395	2072999.598	2088023.292	2102430.391	2116359.325	2128584.195	2138013.241	2148351.505	2160238.998	2172328.642	2184265.955	2193232.819	2202128.977	2211472.329	2220604.614	2227496.304	2230867.319	2235440.96	2240423.578	2244507.848	2246621.543	2250851.956	2257426.866	2260614.026	2263047.303	2264886.62	2268279.08	2271528.07	2273364.089	2277663.735	2284474.359	2289999.161	2294223.445	2298256.275	2301388.528	2306996.635	2315160.557	2325603.184	2335689.082	2342417.384	2347487.125	2353191.848	2360578.344	2368338.034	2375463.062	2378723.656	2384708.092	2395687.174	2403317.098	2410000.093	2412712.597	2409993.244	2411347.301	2418807.912	2429202.672	2439868.7	2447927.434	2456393.137	2465390.793	2473563.618	2480948.856	2489975.534	2502251.335	2512174.015	2513085.53	2509495.606	2513707.388
1834	Sub-Saharan Africa	0-14	488927.628	499785.494	510618.328	521554.831	532429.052	543498.27	555010.241	566809.839	578816.764	591174.605	603640.463	615980.867	628614.287	641433.709	653968.514	665869.238	677451.275	688830.524	700031.495	710891.955	721412.233	732414.855	742956.625	753574.411	764331.546	775098.873	785750.784	795511.071	805722.626	816090.431	827183.259	838912.294	848900.507	859421.03	870607.06	880358.981	889622.441	899587.098	910567.691	921475.363	931977.148	942602.339	953266.028	962439.842	971808.943	982223.178	992075.017	1002551.099	1013487.059	1021968.185	1032096.767	1044651.886	1056360.228	1068631.481	1081305.19	1094059.32	1109405.15	1123530.029	1135766.94	1148240.379	1161794.451	1173461.297	1179687.795	1188670.935	1200881.309	1214529.343	1230632.273	1246433.171	1265501.863	1282498.137	1292992.706	1308404.6	1331392.764	1350603.491	1365184.702	1384521.916	1403794.497	1420513.726	1437413.144
1833	Northern Africa and Western Asia	0-14	169154.099	170745.947	172130.604	173257.824	174150.5	174910.349	175527.56	176063.691	176637.456	177435.816	178491.726	179785.987	181314.161	183019.629	184720.979	186433.279	188192.23	189819.659	191338.757	192929.444	194413.466	195801.518	197462.716	198908.635	200216.212	201694.015	203144.886	204602.16	205975.812	207047.949	208009.985	208955.995	210053.434	211307.798	212497.441	213898.763	214995.069	215606.43	216219.742	217138.862	218462.239	219655.379	220443.378	221234.632	222170.561	222818.702	223434.654	224658.469	226039.046	227667.242	228906.222	229708.409	231325.37	233191.051	234395.866	234884.356	235387.849	236240.891	236868.918	237584.728	239024.536	240147.218	240981.779	241729.704	242079.051	242853.95	243324.66	243815.524	244758.534	245634.751	246666.623	247758.919	249232.298	250591.231	251187.786	251781.817	252963.741	253919.721	254137.659
1831	Central and Southern Asia	0-14	567883.096	569481.041	571000.321	572773.257	575192.137	577685.191	580463.717	584280.775	588678.421	592702.41	597238.234	602008.276	606616.879	611425.859	615771.992	619500.893	621676.267	623054.062	624272.057	625694.795	627092.55	627677.209	628024.336	629176.544	630405.247	630476.716	629754.417	628389.585	627303.412	625829.224	624997.237	624799.5	625633.07	627179.654	628870.736	631637.145	634577.961	638705.236	641985.957	643203.327	644279.534	646026.065	648387.47	651446.101	652787.267	653055.671	654668.3	655478.426	656854.85	658906.289	660059.999	661525.859	664465.798	666979.798	666828.482	666676.17	667050.215	667613.071	668208.76	668391.639	668410.404	667077.597	665966.562	667127.878	671015.467	675290.054	679418.54	684402.036	688530.402	691357.687	692037.148	691202.352	691741.274	692863.447	695145.743	698947.489	702299.994	706869.649	707132.613
1832	Eastern and South-Eastern Asia	0-14	444604.733	439409.816	433697.759	427815.514	422000.517	415231.751	408126.792	401333.782	394983.408	389176.08	382762.061	377740.275	375112.522	374473.634	375330.046	376024.842	376626.869	377397.996	378156.164	379012.089	379801.437	380711.361	381603.871	382224.253	382863.953	383425.84	383464.394	382574.188	381295.412	379761.535	377433.759	374783.156	371756.754	368495.231	365408.669	361832.165	357501.697	353064.56	349154.359	345389.004	341956.93	339282.45	336692.592	333955.645	331751.45	330318.832	329407.313	329059.965	329119.571	329274.998	329445.465	328895.365	328575.71	329056.082	329550.568	329730.065	329516.264	329087.766	328676.96	327873.895	326346.792	324966.351	323553.461	321465.728	319199.244	317086.445	315263.805	313876.114	312780.213	310790.637	308864.216	307729.658	305742.532	303357.958	301773.556	300715.414	299311.504	297750.074	296342.366
1830	Latin America and the Caribbean	0-14	153731.469	153197.576	152734.154	152309.883	151889.107	151485.626	151258.163	151111.305	150943.575	150789.228	150651.681	150752.884	150927.787	151221.993	151740.728	152139.958	152310.007	152261.754	152053.12	151763.871	151454.596	151229.092	150572.786	149647.487	149377.578	149374.454	148919.407	148306.322	147463.882	146432.752	145776.164	145349.41	144830.21	144311.43	143987.062	143666.552	143236.79	142774.292	142541.369	142404.192	142012.772	141820.679	141780.379	141501.545	141243.946	141195.786	141257.687	140970.92	140710.594	140808.798	140806.587	140668.148	140564.968	140124.58	139407.096	138936.954	138597.952	138124.522	137674.225	137581.318	137308.216	136671.123	136176.435	135738.987	135320.266	135064.89	134810.65	134607.254	134279.433	133998.624	134011.766	134088.091	133956.153	133514.178	133344.533	133179.447	132925.207	132949.813	133113.617
1835	Oceania (excluding Australia and New Zealand)	0-14	4616.677	4717.183	4818.452	4920.594	5022.093	5125.546	5228.122	5329.833	5432.858	5538.386	5638.251	5735.113	5834.891	5939.528	6052.412	6140.655	6201.025	6268.997	6325.428	6380.406	6447.214	6505.634	6564.657	6626.317	6682.956	6749.846	6832.601	6910.807	6972.875	7047.018	7132.38	7213.983	7311.041	7421.806	7537.065	7620.778	7700.474	7788.856	7862.432	7945.853	8018.828	8078.986	8158.081	8245.982	8333.265	8403.465	8478.5	8579.458	8693.066	8797.96	8856.922	8887.592	8949.489	9046.388	9131.231	9208.943	9261.584	9290.49	9320.372	9337.28	9378.054	9462.889	9519.523	9528.358	9608.166	9754.789	9865.418	9940.028	10023.306	10114.788	10214.732	10299.32	10348.071	10417.81	10530.394	10623.978	10708.95	10806.688	10850.144
1836	Australia/New Zealand	0-14	5744.021	5768.796	5798.351	5827.187	5857.463	5894.708	5932.726	5969.617	6006.414	6044.323	6091.707	6145.925	6203.047	6267.878	6334.46	6389.431	6433.153	6460.648	6487.715	6522.69	6551.096	6590.515	6639.085	6683.515	6722.8	6772.241	6822.078	6871.462	6913.465	6955.868	7008.835	7046.321	7079.451	7108.534	7150.858	7205.971	7263	7306.436	7360.268	7410.023	7424.34	7475.67	7540.305	7580.382	7620.671	7654.304	7671.125	7700.166	7752.009	7782.74	7802.061	7835.452	7865.99	7889.865	7912.279	7963.371	8001.111	8026.997	8078.625	8125.577	8172.336	8228.267	8283.481	8328.044	8379.144	8434.368	8477.064	8517.53	8592.787	8652.729	8675.986	8717.892	8772.713	8826.575	8897.002	8957.338	8993.827	9040.492	9080.992
1829	Europe and Northern America	0-14	184045.386	182625.596	181206.127	179998.503	178926.54	177816.84	176807.159	175867.224	174932.847	174071.616	173498.726	173351.628	173673.032	174450.185	175545.569	176616.873	177422.457	178226.856	178884.768	179395.95	180055.984	180548.935	180834.885	181168.24	181301.278	181377.03	181630.208	181803.155	181721.205	181481.832	181284.869	181182.313	181050.786	180623.832	180119.626	179622.865	179108.371	178598.36	178105.012	177772.157	177466.762	177362.971	177355.807	177495.48	177863.115	178259.139	178570.292	178955.843	179471.856	179827.017	180283.346	180972.317	181626.408	182133.096	182598.83	183159.455	183684.831	183949.183	184056.468	184191.029	184300.081	184652.165	185193.575	185146.574	185113.231	185077.031	184635.04	184508.725	184550.037	184630.14	184863.288	184840.815	184922.963	185325.514	185701.826	186255.248	186744.045	187082.593	187274.125
901	More developed regions	0-14	204190.239	202529.486	200912.335	199513.938	198252.951	196977.483	195823.17	194774.472	193693.097	192725.489	192126.872	192127.239	192526.822	193279.76	194377.092	195343.918	196248.183	197043.801	197698.28	198327.03	198773.233	199134.295	199538.413	199843.876	200048.374	200211.918	200197.421	200252.965	200232.331	200160.314	200085.469	199594.017	198894.222	198371.72	197849.161	197393.788	196818.165	196178.844	195830.252	195479.72	195054.372	194791.592	194660.639	194486.534	194512.342	194753.018	194966.145	195272.997	195613.66	196044.041	196657.373	197346.598	198080.588	199031.13	199932.684	200148.057	200394.063	200883.322	201133.252	201339.473	201424.433	201484.958	201405.076	201196.625	201191.374	201230.517	201368.882	201451.083	201290.539	201377.926	201544.99	201452.621	201574.094	202046.275	202487.486	202741.932	203105.04	203510.34	204152.686
902	Less developed regions	0-14	1812882.387	1818075.751	1822305.656	1826208.055	1830186.459	1833374.391	1835862.172	1839140.271	1844604.232	1850846.071	1856424.223	1863340.34	1873584.281	1887165.66	1902352.178	1915940.447	1929689.285	1942794.04	1954298.614	1965842.667	1975124.434	1984764.23	1996625.052	2007608.112	2017353.289	2025322.573	2031366.569	2036236.502	2041619.885	2049780.087	2056139.68	2059719.361	2060886.361	2063477.728	2069072.892	2075842.296	2080675.333	2085380.459	2091027.807	2095054.114	2100821.416	2105341.102	2108423.474	2112903.625	2118041.825	2121663.246	2125931.912	2132579.048	2140582.072	2150137.817	2159786.418	2166924.296	2174559.022	2178362.871	2178671.107	2182102.2	2186950.627	2194239.6	2201569.825	2212511.166	2221264.708	2230778.282	2246271.637	2253480.907	2254513.746	2259121.11	2268064.923	2279422.131	2288551.454	2299345.932	2313915.663	2320052.858	2319681.972	2323922.062	2335309.607	2346496.237	2357115.156	2365340.503	2369151.648
941	Least developed countries	0-14	436492.769	445170.8	453972.964	462801.281	471697.598	480752.042	490007.744	499376.244	508695.642	518103.886	527472.83	536533.096	545456.889	554626.695	563939.248	572812.562	581272.773	589830.723	598293.078	606466.329	614714.083	622835.315	630696.582	638810.308	646753.501	654381.623	662830.363	671770.175	680581.114	689834.472	698985.922	708188.256	716847.442	725579.54	734418.221	743186.034	752170.136	759406.44	766165.144	773935.064	782992.627	791630.424	799441.66	808827.444	819267.273	828476.602	837249.231	846515.623	853671.212	860419.796	869453.456	878567.803	888155.425	898556.942	908725.74	918751.199	928168.671	937426.794	946513.988	955385.514	964290.969	974230.208	988603.565	1003493.304	1015825.199	1027692.807	1038727.023	1051923.878	1066760.2	1079933.787	1092641.207	1108384.588	1124585.315	1137926.737	1151842.007	1168932.466	1187433.111	1206591.962	1226098.392
