country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14	975540.507	973002.82	969707.571	965819.723	961429.165	956172.689	950674.45	945657.109	940999.424	936070.433	930843.303	926450.059	923129.598	920858.891	919786.029	919702.831	919541.714	919493.663	919985.44	920520.667	920550.705	920632.412	921180.96	921608.318	921702.02	920753.609	920199.57	919581.938	917476.824	914529.32	911215.786	907399.451	903435.594	899616.289	895140.411	890552.058	885596.647	880722.25	877023.534	872683.533	867255.8	862066.087	857204.561	852547.432	848057.528	843253.994	838089.682	832826.351	828128.558	824493.505	821196.384	817127.787	812435.684	807775.208	803247.801	799207.634	795441.535	791355.67	787274.762	784060.724	781127.096	777135.309	771977.891	766330.224	759525.98	752310.608	745169.019	739407.022	735423.422	729389.438	721961.918	715423.88	709446.853	702972.998	696556.128	690527.458	684011.266	677948.773	672687.77
1834	Sub-Saharan Africa	0-14	241133.286	244990.543	248698.467	252264.91	255649.518	258931.362	262226.955	265437.831	268512.295	271472.927	274309.936	277089.18	279702.018	282196.139	284643.961	286801.712	288939.599	291364.529	293603.63	295578.576	297600.596	299609.377	301154.236	302511.485	304220.592	305793.897	307173.564	308101.62	308714.576	309633.192	310284.266	310715.815	311218.741	311531.295	311678.245	311960.884	311908.883	311885.085	311705.462	310917.39	310141.966	309170.241	308181.797	307302.573	306751.357	306810.146	306452.712	305788.062	305178.31	304144.723	303380.453	303184.824	302602.059	301116.14	299422.303	298078.945	297382.505	296330.52	294887.952	293791.467	292250.619	290191.386	288378.808	286801.493	284995.843	283307.203	282081.438	280579.225	278663.722	277490.738	276165.5	274124.912	272223.534	269922.265	267374.931	265005.831	262834.125	260509.724	257839.695
1833	Northern Africa and Western Asia	0-14	82266.743	82482.574	82551.589	82468.769	82253.119	81919.486	81482.393	80974.827	80446.025	80000.868	79624.563	79307.764	78999.06	78728.71	78557.957	78528.755	78627.088	78704.062	78798.081	78992.261	79190.893	79306.458	79379.355	79363.212	79396.967	79466.099	79498.508	79492.352	79353.556	79202.745	79001.784	78727.258	78433.294	78099.08	77625.484	77096.54	76605.679	76110.608	75710.353	75309.389	74805.451	74363.046	73938.246	73544.308	73180.984	72689.663	72245.323	71839.396	71395.225	71003.072	70723.058	70450.702	70043.124	69647.333	69351.03	68957.213	68524.554	68082.293	67591.976	67150.713	66686.553	66216.066	65764.578	65240.549	64633.724	63951.372	63325.088	62775.096	62227.38	61713.34	61097.55	60490.011	60027.276	59407.536	58739.021	58196.16	57649.408	57067.532	56537.301
1831	Central and Southern Asia	0-14	272223.114	270281.026	268212.177	265977.854	263671.999	261249.444	258699.849	256288.808	253863.875	251371.738	249093.397	246891.967	244507.069	242382.421	240319.068	238503.532	236941.612	235312.303	234058.908	232628.294	230842.396	229144.757	227849.176	226458.36	224950.744	223289.27	221560.626	219995.583	218084.018	216290.121	214306.115	212253.073	210541.921	208655.795	206588.851	204706.018	202810.669	200867.551	198963.598	197000.133	195302.559	193453.97	191434.184	189563.941	187634.815	185590.376	183532.087	181629.225	179963.981	178483.949	177016.515	175053.743	173414.243	172340.545	171053.621	169866.566	168591.279	167034.872	165312.473	163387.507	161560.075	160201.186	158842.831	157367.085	155665.946	153857.337	152073.144	150378.027	148927.332	147401.848	145690.498	143930.21	142242.305	140519.731	138813.364	137405.608	136157.098	134666.213	132974.865
1832	Eastern and South-Eastern Asia	0-14	209713.669	205660.315	201319.118	196794.444	192183.834	187167.62	181990.042	176844.944	171818.983	166855.843	161662.732	157237.104	153698.471	150865.993	148837.616	147378.29	146149.232	145090.818	144330.712	143841.135	143293.308	142480.09	141926.593	141465.759	140898.387	140204.548	139486.935	138589.219	137288.352	135987.768	134644.892	133185.372	131699.324	130063.646	128285.169	126337.875	124252.607	122039.264	119880.085	117860.2	115735.712	113713.183	111871.734	109942.781	108258.866	106826.934	105450.734	104308.646	103177.395	102158.536	101331.815	100493.899	99685.382	98947.057	98270.394	97507.264	96779.787	96203.868	95580.624	94741.763	93584.763	92361.627	91221.909	90172.246	89078.418	87815.519	86639.327	85639.502	84541.611	83425.128	82266.231	80966.073	79716.568	78597.966	77582.822	76624.613	75598.154	74534.899	73597.062
1830	Latin America and the Caribbean	0-14	75130.505	74367.383	73575.529	72743.192	71881.72	71027.159	70181.879	69326.076	68420.873	67521.161	66670.175	65798.875	64972.998	64267.113	63601.73	63054.554	62607.461	62070.1	61501.008	60923.329	60357.542	59819.841	59208	58593.087	58076.026	57530.713	56968.461	56425.958	55803.041	55221.534	54690.65	54146.773	53645.767	53147.832	52647.632	52139.299	51510.7	50874.242	50309.988	49773.636	49295.109	48892.62	48441.132	47894.971	47386.188	46966.446	46543.199	45983.579	45399.229	44889.542	44343.84	43804.562	43402.329	43035.854	42610.925	42148.564	41703.611	41221.502	40747.986	40383.451	39979.528	39502.372	39063.064	38679.149	38282.146	37862.848	37471.07	37049.229	36584.187	36166.937	35797.276	35463.326	35051.214	34577.101	34185.353	33807.693	33458.88	33143.949	32826.731
1835	Oceania (excluding Australia and New Zealand)	0-14	2197.76	2192.857	2185.904	2176.481	2165.297	2152.6	2137.609	2121.159	2104.991	2088.838	2072.597	2055.123	2037.232	2018.594	1998.005	1988.994	1989.917	1990.785	1991.3	1992.661	1997.226	2002.58	2001.123	1996.626	1994.933	1993.023	1991.712	1987.991	1986.157	1984.8	1977.724	1970.014	1961.404	1948.064	1931.921	1917.802	1904.492	1891.056	1878.991	1870.069	1857.111	1842.49	1830.358	1817.921	1808.629	1796.839	1784.38	1779.116	1778.78	1775.037	1767.202	1754.815	1741.721	1728.639	1713.519	1702.086	1693.417	1683.238	1674.781	1663.975	1648.507	1636.008	1621.587	1601.998	1583.425	1574.153	1564.636	1546.463	1531.037	1517.916	1503.655	1490.585	1476.544	1462.431	1450.394	1437.641	1424.212	1411.707	1397.933
1836	Australia/New Zealand	0-14	2783.659	2770.103	2755.482	2739.135	2721.135	2700.788	2678.606	2657.217	2636.747	2613.248	2589.317	2569.985	2549.818	2528.283	2509.316	2492.988	2478.855	2465.136	2451.214	2440.069	2431.78	2423.231	2416.64	2415.03	2412.949	2412.292	2415.253	2413.848	2408.172	2405.148	2406.436	2402.943	2395.858	2391.105	2383.609	2377.734	2376.463	2368.787	2354.981	2339.891	2324.398	2313.562	2301.329	2288.908	2276.355	2256.447	2240.519	2232.698	2224.899	2216.863	2207.431	2200.797	2198.85	2194.802	2189.808	2180.235	2170.88	2171.756	2176.36	2180.602	2183.229	2181.255	2178.618	2177.69	2174.498	2169.412	2162.848	2152.292	2144.017	2140.351	2135.765	2130.646	2123.523	2116.288	2115.252	2112.003	2100.068	2086.772	2071.508
1829	Europe and Northern America	0-14	89488.034	88372.893	87220.693	86107.935	84998.731	83837.026	82635.327	81407.261	80195.805	79035.014	77995.475	77133.293	76398.756	75821.23	75378.816	75017.802	74703.835	74420.691	74205.47	74064.246	73961.426	73846.92	73711.606	73547.421	73373.7	73192.782	73013.362	72794.15	72469.19	72087.335	71728.377	71383.505	70971.282	70475.074	69948.497	69458.594	68939.177	68274.156	67548.84	66934.678	66397.708	65847.936	65362.71	64892.883	64413.86	64010.841	63649.155	63384.811	63140.874	62910.243	62772.02	62613.917	62373.494	62185.422	62070.385	61861.652	61573.565	61241.534	60913.591	60552.736	60348.688	60195.782	59877.75	59510.056	59109.042	58769.107	58500.613	58247.466	57905.405	57518.994	57143.335	56746.556	56417.303	56127.822	55781.031	55455.07	55109.605	54734.906	54446.951
901	More developed regions	0-14	99309.011	98050.037	96764.811	95521.834	94291.255	93001.282	91686.922	90366.267	89049.724	87793.846	86683.528	85770.487	85017.74	84479.293	84031.425	83586.744	83228.583	82939.478	82680.051	82456.709	82284.261	82154.028	82046.251	81901.012	81730.606	81561.699	81310.557	80973.996	80612.039	80244.08	79832.619	79337.302	78837.823	78297.139	77675.69	77077.384	76472.102	75861.576	75204.979	74483.749	73927.107	73495.082	72972.364	72433.123	71896.43	71360.413	70995.859	70726.766	70417.161	70175.896	69987.911	69734.578	69451.465	69214.169	69058.11	68855.709	68639.658	68418.405	68132.629	67880.533	67610.884	67258.226	66924.301	66619.041	66249.45	65840.398	65451.656	65092.614	64741.682	64349.11	63892.68	63444.127	63118.309	62895.618	62702.463	62431.124	62055.162	61664.811	61334.62
