country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14	977232.231	978165.185	978696.95	979239.468	979730.573	979745.631	979804.666	980210.117	980970.689	981707.316	982705.689	984922.974	988523.903	993626.818	999147.808	1005071.879	1011291.967	1016323.368	1020243.807	1024531.482	1029135.867	1033249.768	1037505.758	1042107.994	1046165.531	1049716.17	1053213.783	1055960.326	1057889.677	1059447.541	1060733.02	1062091.064	1062684.823	1062260.637	1061361.174	1059545.727	1058474.815	1059019.303	1059929.492	1059881.311	1058917.824	1058077.883	1058617.88	1059506.545	1060843.9	1062281.492	1063074.531	1064836.12	1065646.61	1065625.405	1066173.346	1067325.347	1068703.174	1070185.653	1071364.579	1071642.636	1073075.32	1074559.002	1075013.064	1075524.882	1075432.637	1075717.794	1075888.594	1075048.317	1074455.259	1074845.31	1075432.882	1076268.046	1077560.988	1079251.13	1080635.477	1080510.458	1080654.957	1080791.847	1081053.804	1081310.472	1079676.299	1078145.063	1079194.325
1834	Sub-Saharan Africa	0-14	241702.81	246747.609	251751.107	256742.187	261789.533	266957.385	272185.515	277399.457	282675.341	288113.755	293576.226	299038.69	304547.104	310091.515	315494.005	320486.478	325494.55	330702.064	335752.101	340705.382	345725.641	350382.258	354396.325	358615.569	363269.663	367718.555	371880.901	375874.362	380082.953	384377	388357.216	392160.674	396009.609	400033.531	403646.616	406770.276	410193.093	414237.14	418162.67	421447.703	424220.382	427157.765	430567.441	433995.814	437864.206	441728.842	444873.829	448287.007	452199.443	455784.93	458974.269	461619.96	464431.264	467794.606	470671.689	473129.218	475905.045	478840.279	481616.492	484138.068	486059.163	488373.718	491675.69	494601.021	496823.216	499232.904	502204.578	505504.307	508490.966	511769.994	515136.992	516934.088	518503.62	520695.946	523167.614	526380.733	529165.853	531196.38	533026.47
1833	Northern Africa and Western Asia	0-14	82494.247	83173.065	83747.822	84213.23	84549.223	84806.545	85010.626	85166.653	85298.29	85508.286	85860.769	86325.962	86860.213	87442.947	88082.906	88752.137	89388.941	90004.084	90707.234	91440.93	92115.324	92756.219	93361.991	93920.036	94496.312	95061.656	95609.45	96070.532	96363.806	96665.643	97000.971	97300.196	97571.79	97821.457	98004.532	98166.146	98359.505	98526.1	98660.818	98935.997	99165.2	99373.222	99736.737	100111.591	100374.595	100607.772	100928.752	101141.526	101349.733	101617.03	101841.232	101969.391	102094.369	102343.414	102647.149	102838.391	103034.142	103318.35	103633.701	104020.695	104222.335	104164.013	104114.763	104192.408	104258.135	104314.812	104449.255	104671.407	104746.999	104769.279	104814.425	104712.708	104809.608	104967.981	104890.053	104887.807	105087.964	105340.298	105523.216
1831	Central and Southern Asia	0-14	273289.244	273592.829	273975.005	274433.098	274976.419	275406.327	275833.043	276597.66	277751.49	278859.186	279992.592	281132.534	282332.7	284200.763	285889.293	287094.412	288174.7	288721.216	289147.033	289537.822	289509.997	289215.861	288834.866	288132.968	287506.976	287326.735	286800.803	286062.658	285833.945	285760.284	285773.912	285826.282	285799.039	285754.489	285737.462	285737.938	285648.527	285513.234	285146.545	284828.343	285068.496	285687.034	286042.86	286186.634	285541.112	284504.936	284160.806	284104.034	283928.805	283577.645	283531.63	283290.711	282745.19	282628.505	282354.236	282162.25	282153.967	281996.897	281531.718	280806.731	280671.02	281049.647	280964.178	280552.553	280467.295	280332.208	279963.834	280039.221	280485.918	280622.82	279965.856	279093.968	278909.503	278853.401	278493.02	278216.402	278135.601	278029.628	277948.592
1832	Eastern and South-Eastern Asia	0-14	210399.047	207768.023	204921.051	201980.184	199025.299	195723.876	192310.496	188972.404	185863.16	182877.403	179607.558	177138.284	175614.265	174772.878	174737.216	175016.24	175231.608	175341.933	175396.132	175493.749	175574.269	175758.11	176287.01	176547.836	176640.788	176628.768	176326.688	175968.252	175294.775	174356.187	173136.077	171912.081	170715.478	169204.18	167638.953	165877.754	163957.529	162049.663	159983.224	158068.164	156301.818	154555.677	152871.374	151274.451	150085.551	149155.619	148284.634	147591.868	147110.457	146729.025	146607.548	146659.487	146496.85	146246.558	146116.708	145953.296	145820.475	145670.5	145372.03	144711.685	143922.807	143311.065	142581.522	141633.044	140653.903	139613.633	138365.804	137238.534	136078.101	134858.188	133572.384	132321.43	131099.468	129822.158	128873.569	128213.141	127592.984	126862.544	126238.07
1830	Latin America and the Caribbean	0-14	75320.486	74958.237	74600.063	74240.488	73907.973	73590.048	73299.965	73026.501	72735.845	72473.359	72219.566	72016.096	71890.08	71802.294	71829.019	71865.06	71773.25	71668.977	71551.246	71280.738	70950.239	70683.669	70357.194	69914.502	69537.723	69254.22	68919.973	68567.831	68172.602	67734.734	67346.127	66996.289	66659.891	66304.444	65921.21	65492.431	65058.458	64823.45	64680.085	64531.636	64344.263	64137.464	64040.988	63886.519	63711.334	63532.501	63288.328	62996.934	62701.333	62443.354	62134.467	61859.83	61643.024	61384.385	61111.26	60773.061	60408.635	60075.267	59745.832	59452.617	59171.984	58927.22	58746.123	58553.962	58244.971	58058.136	58019.055	57828.124	57568.957	57360.207	57254.588	57158.883	57005.134	56789.817	56563.158	56265.034	55927.855	55709.636	55573.229
1835	Oceania (excluding Australia and New Zealand)	0-14	2219.526	2259.406	2297.917	2334.467	2370.379	2406.474	2441.359	2473.659	2505.197	2539.84	2576.068	2610.783	2645.434	2677.172	2709.714	2736.575	2755.782	2779.046	2803.381	2825.073	2847.311	2868.51	2888.435	2908.651	2928.256	2950.269	2976.121	3001.266	3025.984	3056.633	3082.129	3104.565	3128.748	3152.296	3176.323	3195.699	3214.477	3235.586	3259.169	3285.065	3303.468	3320.208	3343.86	3368.206	3390.102	3414.304	3434.241	3450.596	3470.247	3490.82	3507.786	3516.348	3526.452	3535.762	3544.833	3561.636	3580.624	3594.611	3608.467	3630.014	3639.909	3642.963	3656.472	3669.483	3681.701	3701.304	3714.372	3720.516	3738.94	3753.388	3751.455	3749.419	3753.98	3767.008	3782.35	3791.154	3800.165	3811.886	3820.797
1836	Australia/New Zealand	0-14	2793.573	2800.53	2808.11	2816.086	2825.296	2834.333	2842.879	2852.313	2862.515	2874.993	2889.793	2906.694	2922.43	2938.257	2958.398	2977.308	2991.079	3002.839	3015.828	3027.047	3038.12	3050.536	3065.185	3080.124	3091.33	3105.445	3122.565	3140.835	3156.381	3170.612	3189.346	3205.204	3217.45	3230.205	3243.397	3256.888	3268.176	3276.465	3284.444	3292.528	3301.591	3315.48	3325.594	3333.517	3341.398	3346.748	3359.803	3375.616	3388.671	3397.43	3403.818	3414.372	3430.763	3450.135	3468.252	3482.972	3497.062	3514.782	3537.468	3559.702	3577.169	3591.363	3602.585	3613.704	3627.183	3641.284	3652.179	3660.722	3671.171	3682.583	3697.77	3717.037	3734.058	3745.905	3758.388	3772.205	3780.438	3790.824	3808.375
1829	Europe and Northern America	0-14	89645.605	88864.306	88095.161	87408.096	86758.099	86078.743	85406.209	84779.998	84175.012	83615.183	83166.031	82931.563	82909.99	83042.263	83253.355	83466.944	83690.853	83888.865	84036.008	84165.091	84340.853	84616.472	84882.204	85098.197	85252.773	85269.795	85300.085	85328.406	85265.675	85124.698	84917.88	84681.62	84448.437	84214.097	83929.337	83610.734	83299.459	82951.838	82600.572	82380.576	82164.805	81954.192	81799.981	81691.807	81619.066	81612.263	81627.297	81661.154	81703.255	81807.724	81987.577	82044.531	82132.848	82270.539	82391.641	82538.125	82689.171	82718.963	82702.995	82731.208	82796.913	82824.851	82753.317	82762.941	82683.546	82607.363	82623.201	82482.119	82272.548	82113.646	82003.273	81907.332	81786.393	81694.528	81697.132	81766.406	81865.218	81878.692	81853.37
901	More developed regions	0-14	99476.379	98571.917	97692.101	96904.162	96150.255	95372.162	94625.003	93932.008	93269.801	92668.213	92210.331	91953.017	91902.702	92060.857	92314.32	92545.634	92771.526	92960.995	93074.061	93213.69	93414.044	93621.12	93803.303	94002.815	94181.626	94278.296	94267.147	94195.999	94040.732	93878.781	93692.513	93367.893	93049.933	92663.913	92237.12	91861.368	91475.572	91147.645	90802.909	90457.02	90208.4	90047.99	89983.013	89906.256	89865.105	89885.114	89843.036	89824.65	89845.41	89895.718	90007.177	90092.828	90140.81	90248.314	90490.918	90709.703	90802.451	90850.126	90887.464	90892.183	90830.357	90752.394	90630.189	90569.73	90536.071	90469.469	90390.235	90152.647	90002.022	90004.293	89874.786	89710.937	89573.161	89401.946	89310.797	89293.982	89241.083	89199.478	89190.408
