country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14	1036722.849	1032914.346	1028210.351	1022836.838	1016884.222	1009938.946	1002811.941	996075.821	989713.004	983276.131	976662.311	971045.985	966372.045	962955.46	961357.399	960716.604	959526.353	958721.322	959121.231	959142.934	958891.678	958870.664	958898.108	958760.731	958397.893	957639.306	956705.99	955465.275	953141.663	949980.359	946357.261	942508.552	938878.086	934917.217	930302.147	925371.068	919749.047	914423.925	910321.017	905743.2	900800.028	895785.998	889610.116	883886.417	879356.527	874593.906	869666.12	865057.206	859767.001	855193.588	852033.835	847785.809	843171.647	838256.245	833491.2	829780.61	825332.502	820701.267	817260.243	814292.629	810911.952	806206.35	801395.896	796390.943	789943.744	782022.879	774315.056	769271.476	764612.859	758136.298	750684.048	743501.142	737280.238	730890.783	723599.813	716837.801	710132.667	703769.649	698224.404
1834	Sub-Saharan Africa	0-14	246349.046	250352.048	254187.749	257848.334	261349.713	264719.879	268082.269	271395.205	274528.16	277580.197	280470.043	283212.39	285856.096	288319.673	290686.21	292857.481	295068.744	297422.836	299813.846	301970.916	303731.633	305518.562	307172.982	308526.53	310022.163	311579.183	312691.281	313653.41	314755.463	315703.123	315969.867	316248.085	317186.052	317810.046	317836.854	317980.241	318061.446	317706.892	317217.922	316402.22	315628.623	314784.249	313830.742	313335.54	312765.56	312449.961	312003.217	311199.02	310454.471	309600.518	309091.346	308672.922	307566.839	306271.503	304776.287	303181.643	302510.041	301581.685	300322.336	299125.461	297511.673	295653.643	293847.298	292283.695	290822.757	289176.546	287144.02	284877.536	283279.071	282374.299	281162.605	279482.047	277278.947	274630.2	272238.661	270079.801	267740.461	265249.475	262686.709
1833	Northern Africa and Western Asia	0-14	86318.895	86527.74	86579.708	86470.642	86215.664	85846.371	85362.364	84805.481	84242.54	83746.878	83345.914	82992.922	82645.28	82357.407	82172.481	82110.791	82184.131	82257.252	82351.85	82546.958	82739.989	82852.813	82930.364	82958.879	83040.949	83162.534	83137.407	83102.404	82986.368	82746.623	82539.194	82259.978	81961.081	81645.629	81149.247	80619.594	80061.025	79552.147	79172.362	78736.418	78215.415	77659.326	77208.929	76885.545	76476.315	75980.683	75528.635	75152.612	74729.222	74309.942	73966.456	73640.097	73329.527	72994.086	72642.752	72220.476	71785.917	71326.957	70778.845	70250.132	69754.752	69334.814	68883.163	68326.689	67657.749	66939.188	66372.4	65794.129	65178.399	64656.185	64105.709	63441.709	62828.606	62262.314	61690.886	61056.801	60414.652	59830.52	59232.972
1831	Central and Southern Asia	0-14	292815.464	290372.577	287782.779	285004.312	282088.749	279119.761	276029.681	273018.916	270035.441	266948.215	264154.659	261455.735	258599.887	256092.52	253659.517	251272.426	249257.408	247478.663	245942.093	244093.829	241920.615	240076.725	238816.571	237452.708	235794.511	233874.523	232117.621	230310.515	228021.961	226199.972	224353.894	222333.74	220368.532	218247.386	216355.338	214562.027	212505.942	210399.759	208246.528	206203.257	204418.566	202267.299	200190.155	198459.232	196428.22	194298.984	192291.321	190370.498	188662.503	186774.871	185004.918	183394.259	181939.229	180690.598	179417.716	178202.665	176738.008	175004.626	173126.726	171326.981	169622.439	167948.585	166476.078	165279.05	163512.541	161547.364	159846.499	158005.967	156356.552	154867.721	153047.937	151239.001	149665.675	147778.226	145765.839	144234.595	142918.717	141421.114	139784.625
1832	Eastern and South-Eastern Asia	0-14	233037.77	228067.21	222760.683	217231.931	211595.979	205509.537	199226.867	193005.733	186932.318	181023.953	174881.012	169578.204	165395.771	161998.641	159490.334	157639.401	156077.941	154711.906	153700.974	153067.875	152371.085	151410.871	150713.982	150174.204	149522.154	148696.974	147950.192	146969.034	145528.077	144161.934	142765.029	141196.648	139650.638	137827.644	135914.754	133901.507	131620.187	129342.285	127066.026	124932.911	122871.915	120675.713	118530.122	116561.807	114764.846	113149.408	111688.345	110474.015	109421.206	108349.903	107336.483	106464.91	105728.563	104916.854	104070.366	103430.369	102789.55	102033.199	101285.079	100456.909	99229.711	97986.24	96901.022	95727.66	94493.981	93278.138	92043.454	90817	89685.99	88589.267	87373.401	86092.479	84738.827	83435.626	82397.876	81376.117	80292.647	79224.13	78151.563
1830	Latin America and the Caribbean	0-14	78103.003	77308.654	76482.971	75615.669	74719.377	73829.99	72949.747	72059.603	71121.176	70197.568	69306.142	68388.486	67546.985	66811.829	66111.388	65553.214	65092.596	64527.579	63940.911	63345.98	62765.835	62223.611	61576.283	60930.421	60371.155	59805.832	59258.181	58710.565	58077.899	57496.172	56915.888	56306.643	55750.12	55262.332	54777.704	54203.637	53596.686	52966.292	52358.004	51811.135	51311.246	50892.859	50432.787	49860.38	49338.077	48900.431	48440.464	47893.598	47320.034	46784.032	46200.821	45626.033	45202.103	44805.67	44344.955	43894.427	43463.104	42940.429	42438.45	42051.077	41646.463	41151.094	40695.698	40303.031	39882.042	39463.504	39053.157	38566.186	38052.341	37682.156	37330.584	36954.002	36525.644	36016.109	35588.981	35233.344	34891.128	34531.868	34222.039
1835	Oceania (excluding Australia and New Zealand)	0-14	2363.074	2355.544	2345.664	2332.817	2318.706	2303.236	2285.954	2267.605	2249.696	2231.917	2212.966	2194.3	2175.522	2155.377	2133.723	2123.149	2121.703	2122.549	2125.957	2127.438	2131.305	2136.381	2134.008	2130.094	2126.873	2121.028	2119.809	2120.636	2117.779	2113.567	2106.639	2098.134	2088.42	2074.988	2057.596	2040.716	2025.922	2011.987	2001.242	1992.933	1978.244	1960.567	1949.823	1939.301	1926.622	1913.211	1902.498	1895.304	1892.635	1890.523	1881.634	1869.34	1858.532	1846.477	1831.274	1818.694	1809.993	1796.945	1784.018	1771.757	1755.682	1740.004	1726.082	1709.001	1691.698	1679.999	1668.559	1653.887	1637.385	1623.439	1605.475	1588.639	1577.157	1566.099	1553.437	1539.485	1526.217	1514.109	1500.83
1836	Australia/New Zealand	0-14	2935.18	2920.701	2904.967	2887.752	2869.018	2847.576	2824.391	2801.583	2779.386	2754.083	2728.338	2707.171	2684.864	2661.644	2641.081	2623.665	2609.087	2594.615	2579.459	2567.018	2558.387	2549.742	2543.054	2541.038	2538.223	2537.511	2540.022	2538.473	2532.454	2529.178	2530.726	2526.34	2518.939	2513.896	2506.351	2501.117	2500.024	2492.123	2477.177	2461.066	2444.535	2432.554	2420.177	2407.441	2394.084	2373.929	2357.12	2348.069	2339.659	2331.047	2320.696	2313.682	2311.049	2306.762	2301.663	2291.408	2282.844	2284.315	2288.566	2292.405	2295.18	2293.414	2290.774	2290.264	2286.788	2281.139	2274.508	2263.634	2254.551	2250.264	2245.42	2239.483	2232.762	2225.393	2222.637	2219.243	2207.508	2193.547	2177.443
1829	Europe and Northern America	0-14	94145.566	92970.348	91754.413	90581.037	89412.079	88186.921	86926.002	85643.075	84371.685	83145.806	82069.633	81176.871	80401.851	79804.637	79358.42	78998.436	78673.445	78373.882	78139.179	77987.893	77906.466	77787.464	77635.955	77479.263	77304.852	77118.151	76923.696	76683.537	76355.205	75984.478	75610.525	75224.921	74778.709	74259.831	73731.745	73222.394	72658.348	71950.125	71193.54	70559.987	69985.181	69415.246	68901.063	68395.559	67888.924	67450.097	67075.596	66799.841	66538.547	66290.57	66144.986	65977.179	65737.179	65553.283	65399.173	65184.554	64905.808	64542.905	64178.501	63788.737	63582.22	63429.781	63100.966	62694.563	62267.859	61927.832	61635.717	61369.787	61017.768	60598.635	60191.93	59769.581	59432.837	59136.532	58769	58430.343	58084.675	57673	57331.898
901	More developed regions	0-14	104448.163	103124.702	101774.467	100466.551	99167.742	97809.203	96427.568	95041.349	93664.4	92343.191	91187.591	90240.664	89452.867	88908.977	88456.715	87994.593	87616.34	87313.956	87056.028	86828.693	86647.352	86515.148	86416.109	86263.554	86076.558	85905.617	85633.34	85292.597	84929.062	84531.92	84098.784	83571.422	83048.25	82489.149	81833.496	81204.121	80564.435	79922.518	79228.036	78490.19	77922.071	77431.113	76861.686	76298.611	75726.276	75163.455	74792.222	74511.424	74183.681	73914.315	73700.039	73425.349	73147.82	72938.954	72768.407	72526.85	72285.301	72050.206	71773.324	71514.505	71219.53	70855.506	70481.67	70151.494	69771.874	69330.711	68926.622	68570.87	68204.443	67755.625	67273.369	66822.597	66481.927	66242.34	66034.455	65744.673	65371.016	64954.187	64559.555
