country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-14	1039103.292	1040202.303	1040739.75	1041122.455	1041458.023	1041200.474	1040922.506	1041315.379	1042839.944	1044897.863	1047078.471	1049919.043	1053873.034	1059890.77	1067337.597	1074462.929	1081057.273	1087075.617	1091510.524	1096128.845	1102035.428	1108193.524	1113925.168	1118423.213	1123071.516	1127738.315	1132072.5	1135469.814	1137051.121	1139131.25	1141412.353	1143809.241	1145605.604	1147071.07	1149852.468	1151520.304	1152205.97	1153018.382	1154678.66	1156422.366	1157896.95	1160376.824	1163577.72	1166318.515	1168487.405	1169764.232	1170934.192	1174106.976	1178152.889	1183493.539	1187947.96	1191247.151	1194823.868	1198147.06	1202272.082	1205600.72	1208429.898	1210712.619	1214174.205	1219552.017	1223627.821	1227152.752	1228271.212	1226225.782	1226955.412	1230080.619	1234730.223	1241399.141	1245963.995	1250690.199	1254746.365	1258093.656	1262374.486	1264494.988	1270927.451	1275955.107	1275183.213	1276733.884	1279665.124
1834	Sub-Saharan Africa	0-14	247078.215	252595.93	258115.254	263673.607	269199.731	274758.558	280569.972	286576.643	292638.493	298926.478	305262.841	311450.343	317676.395	324120.195	330606.73	336587.09	342282.836	348087.411	353754.943	359322.359	364708.725	370060.224	375410.342	380508.656	385865.358	391452.792	396501.314	401377.037	406683.095	412167.465	417687.753	423191.919	428613.148	434018.596	439531.611	444287.763	448810.526	453634.109	458635.134	464114.448	469608.56	474974.405	480331.825	485708.856	490395.917	495220.416	500412.176	505595.263	510923.696	515215.848	520234.195	526435.215	532360.503	538892.388	545079.2	551022.503	558670.9	565415.829	570521.278	577224.758	584704.492	590670.626	595065.615	599522.227	605432.955	612334.166	620198	628802.95	638875.95	646746.7	652262.472	661983.881	672777.37	681034.293	688415.034	697943.204	707574.451	715593.213	723414.787
1833	Northern Africa and Western Asia	0-14	86610.461	87418.51	88116.444	88680.159	89124.188	89499.036	89801.33	90066.368	90357.068	90744.656	91295.747	91975.506	92720.739	93580.765	94467.286	95289.836	96172.927	97021.103	97753.545	98517.816	99340.245	100111.094	100870.856	101604.015	102352.054	103123.112	103848.464	104573.073	105264.585	105823.888	106304.533	106775.081	107343.506	107994.014	108634.757	109320.583	109851.975	110146.144	110483.197	110975.437	111587.302	112226.576	112550.01	112926.571	113610.786	113938.981	114159.471	114687.746	115389.923	116301.845	116973.752	117411.753	118146.636	119106.385	119628.376	119734.8	120084.12	120563.002	120984.609	121502.311	122154.449	122761.122	123171.087	123554.582	123799.866	124089.957	124335.84	124597.487	125130.791	125666.189	126235.269	126611.738	127151.888	127897.327	128294.089	128620.463	129196.855	129743.931	130027.257
1831	Central and Southern Asia	0-14	294286.969	294936.533	295543.964	296283.265	297321.3	298359.037	299553.293	301416.015	303502.287	305330.183	307448.148	309626.466	311863.619	314249.686	316455.482	318106.216	318838.726	319379.659	319976.891	320511.758	320981.2	321324.297	321536.174	322150.5	322570.884	322577.289	322144.852	321272.782	320831.389	320485.302	320050.797	319952.303	320578.214	320928.366	321885.883	323411.329	324710.957	326717.465	328513.759	329227.157	329641.237	330471.103	331425.29	332845.539	333753.493	334117.439	334915.55	335270.671	335997.808	336871.751	337159.954	338243.078	340006.029	341333.331	341552.063	341260.934	341136.654	341713.043	342354.861	342164.725	341981.443	341210.113	340554.203	341317.941	343223.948	345393.977	347594.134	350120.69	352039.815	353455.654	354335.398	354334.413	354572.023	354785.903	355529.145	357301.73	359131.626	361329.095	361780.644
1832	Eastern and South-Eastern Asia	0-14	234008.373	231039.086	227769.65	224424.46	221104.624	217243.958	213240.539	209366.346	205718.152	202405.304	198844.733	196013.512	194413.301	193900.827	194209.067	194469.794	194605.073	194782.228	195136.859	195563.928	195813.667	196186.868	196604.964	196912.565	197151.086	197329.739	197357.677	196908.439	196238.522	195413.394	194231.875	192844.081	191276.747	189570.041	188001.949	186183.802	183918.039	181766.21	179748.502	177708.05	175981.029	174662.4	173217.809	171693.124	170604.105	169989.976	169483.098	169247.921	169356.284	169379.316	169455.297	169300.016	169206.354	169475.998	169699.879	169719.749	169580.041	169427.448	169230.364	168768.175	168035.703	167411.919	166542.313	165390.668	164302.86	163188.982	162191.798	161423.554	160969.128	160059.926	159020.968	158384.79	157386.349	156093.005	155177.037	154576.548	153942.624	153301.543	152497.505
1830	Latin America and the Caribbean	0-14	78357.028	78084.925	77848.622	77634.889	77417.75	77207.215	77087.142	77015.848	76938.734	76864.341	76794.038	76840.535	76931.597	77068.925	77335.935	77562.871	77650.156	77620.007	77510.978	77368.656	77211.991	77104.462	76765.514	76295.011	76181.27	76169.748	75932.512	75621.955	75191.383	74676.824	74355.897	74114.922	73828.089	73592.556	73452.186	73277.374	73036.019	72783.466	72671.351	72619.382	72437.801	72357.628	72342.397	72194.394	72068.604	72058.647	72082.949	71955.525	71831.789	71877.347	71867.198	71781.942	71714.314	71485.743	71141.059	70922.787	70740.784	70477.559	70248.066	70186.038	70050.359	69736.834	69444.251	69213.876	69040.031	68929.746	68786.244	68676.939	68523.977	68392.374	68408.055	68427.175	68342.377	68138.52	68083.952	67996.719	67853.131	67848.305	67956.433
1835	Oceania (excluding Australia and New Zealand)	0-14	2391.939	2442.664	2493.85	2545.496	2597.596	2650.608	2701.983	2753.359	2805.399	2857.492	2909.112	2959.403	3011.798	3066.813	3124.661	3170.634	3201.172	3235.454	3264.491	3291.305	3325.937	3359.485	3388.705	3417.506	3448.68	3486.62	3529.982	3569.789	3602.572	3642.833	3688.472	3727.895	3776.437	3835.684	3890.686	3935.656	3978.012	4019.3	4058.366	4101.856	4141.582	4175.338	4216.079	4260.378	4299.869	4332.238	4373.966	4424.343	4477.471	4526.687	4567.239	4592.813	4623.61	4676.148	4721.582	4751.776	4766.943	4789.667	4813.808	4818.781	4828.313	4871.41	4901.243	4914.557	4970.59	5037.934	5087.622	5128.592	5173.69	5220.659	5267.682	5316.313	5349.441	5389.888	5453.745	5505.554	5543.906	5587.005	5609.049
1836	Australia/New Zealand	0-14	2948.112	2960.726	2975.706	2990.55	3006.282	3025.447	3045.003	3063.888	3082.508	3101.46	3125.39	3153.049	3182.081	3215.131	3248.944	3276.751	3299.247	3313.238	3326.747	3344.471	3358.987	3379.445	3404.501	3427.127	3447.079	3472.064	3497.508	3523.002	3544.584	3566.512	3593.23	3612.138	3629.465	3644.288	3665.508	3693.561	3723.744	3747.152	3774.244	3799.311	3806.499	3831.735	3864.738	3886.107	3906.327	3924.032	3933.805	3948.165	3974.14	3989.917	4000.278	4017.434	4032.302	4044.552	4056.264	4082.503	4102.216	4115.986	4142.912	4166.256	4190.168	4219.425	4247.79	4270.829	4296.252	4324.587	4347.376	4368.106	4406.661	4437.268	4449.144	4470.286	4498.407	4526.769	4562.761	4593.46	4611.886	4634.791	4655.511
1829	Europe and Northern America	0-14	94356.63	93628.024	92899.754	92279.078	91727.046	91157.532	90642.81	90168.877	89692.578	89248.407	88960.167	88890.028	89058.866	89470.097	90039.427	90591.041	91007.558	91416.529	91751.026	92014.156	92347.014	92599.776	92761.016	92938.554	93011.222	93064.104	93180.411	93257.879	93222.63	93089.915	92984.445	92949.072	92896.271	92678.2	92420.274	92168.932	91893.415	91609.82	91360.173	91211.437	91057.59	91005.87	91001.546	91061.941	91255.04	91463.529	91617.438	91810.836	92075.254	92257.566	92478.794	92820.007	93161.657	93435.596	93675.275	93945.912	94215.017	94367.066	94432.327	94483.62	94531.422	94723.605	94990.901	94963.409	94974.112	94954.5	94704.859	94644.754	94677.215	94708.703	94815.441	94821.786	94882.297	95050.616	95232.718	95523.592	95780.339	95976.56	96057.296
901	More developed regions	0-14	104670.302	103818.876	102989.612	102272.792	101625.053	100972.865	100387.315	99850.221	99294.23	98798.786	98494.094	98496.241	98706.368	99099.559	99676.459	100186.862	100656.524	101062.125	101393.905	101718.98	101948.179	102139.183	102353.648	102524.283	102632.865	102708.413	102696.201	102738.253	102736.183	102680.239	102623.091	102371.454	102015.655	101739.555	101478.757	101254.804	100951.533	100636.1	100468.954	100287.571	100080.847	99927.806	99843.453	99763.105	99773.106	99898.605	100008.456	100160.961	100337.084	100556.582	100880.966	101234.945	101607.798	102100.624	102562.481	102670.332	102800.61	103049.376	103180.913	103289.095	103325.46	103341.569	103279.817	103171.62	103183.187	103206.075	103275.682	103328.458	103240.164	103284.666	103369.926	103316.996	103375.937	103618.71	103861.15	103993.982	104179.832	104394.895	104713.697
902	Less developed regions	0-14	934522.171	936667.692	938290.457	939638.831	940983.324	941936.782	942493.586	943606.367	945774.678	948273.154	950552.727	953610.843	958179.5	964659.1	972073.817	978455.047	985210.098	991716.742	996765.35	1002409.975	1007434.245	1012147.622	1017911.971	1023193.747	1028211.542	1031974.219	1034237.75	1036983.049	1039892.271	1043307.221	1046544.269	1048781.225	1049540.863	1050255.35	1053097.29	1057087.579	1059684.511	1061879.241	1064775.505	1066661.133	1069269.126	1071935.226	1073305.307	1074929.156	1077636.893	1080097.832	1081391.769	1083824.477	1088506.114	1093739.697	1099044.15	1102983.355	1106227.875	1108306.142	1109345.521	1110971.331	1111871.017	1115061.669	1119266.339	1123774.451	1128643.833	1134446.051	1140689.184	1143668.369	1145304.287	1147415.731	1151960.098	1158999.725	1164263.627	1168410.054	1173357.176	1176130.476	1178705.853	1182369.826	1186211.865	1190935.377	1195718.087	1200264.807	1202790.089
941	Least developed countries	0-14	221126.626	225545.942	230025.073	234514.673	239033.102	243626.335	248290.64	253020.633	257682.378	262403.503	267219.383	271785.566	276274.345	280888.45	285538.599	290101.507	294356.976	298554.464	302758.823	306746.933	310861.312	315096.496	319118.595	323039.908	326883.854	330731.018	334875.79	339253.247	343882.393	348677.787	353077.549	357824.545	362421.981	366661.181	371215.367	375516.159	379734.49	383794.138	387435.05	391247.663	395681.815	399992.925	403984.526	408698.475	414107.884	418698.947	422993.122	427487.7	431348.349	434601.473	438652.557	443196.19	447985.917	453466.466	458413.621	463576.36	468645.414	473209.876	477937.392	482913.863	487894.992	493141.13	499417.45	506202.477	512587.049	518241.794	523690.686	529802.4	537348.642	545057.184	551315.446	558208.4	565634.512	572802.751	580347.666	588804.482	598849.171	609196.23	618821.489
934	Less developed regions, excluding least developed countries	0-14	713623.959	711878.794	709634.936	707244.548	704615.579	701441.741	698255.888	695396.269	693303.887	691442.935	689843.426	689655.783	690790.048	693396.405	697340.141	701013.862	704042.185	706150.931	707837.892	709673.752	710725.789	711825.323	713666.846	715723.261	717710.279	719278.05	720506.57	720329.994	719525.053	718467.749	716740.54	715903.973	715817.628	715773.538	715902.217	716204.138	716066.329	715758.951	715849.873	715402.144	714793.026	714945.025	715166.995	715010.21	714145.401	712751.958	710763.434	710168.889	711483.513	712867.29	713981.593	715410.81	716419.142	717375.406	719761.662	722315.017	723346.457	722896.795	722851.294	723311.168	724095.493	724421.859	725067.379	726434.721	727086.145	725771.933	723850.614	724686.141	726161.551	726518.366	726696.265	727972.562	727973.39	728205.893	728560.002	726554.65	725586.676	726927.819	728319.765
