country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	15-59/60+	4.376	4.27	4.154	4.051	3.956	3.871	3.785	3.699	3.615	3.535	3.463	3.395	3.332	3.275	3.222	3.174	3.128	3.081	3.032	2.981	2.929	2.879	2.832	2.785	2.736	2.684	2.635	2.589	2.543	2.503	2.469	2.439	2.412	2.386	2.362	2.34	2.319	2.299	2.278	2.257	2.236	2.216	2.197	2.177	2.157	2.134	2.112	2.088	2.064	2.04	2.016	1.99	1.966	1.943	1.92	1.897	1.877	1.859	1.843	1.829	1.817	1.806	1.796	1.786	1.775	1.765	1.755	1.745	1.734	1.725	1.715	1.705	1.696	1.685	1.672	1.661	1.65	1.64	1.629
1834	Sub-Saharan Africa	15-59/60+	11.154	11.153	11.107	11.032	10.946	10.855	10.759	10.659	10.557	10.454	10.351	10.249	10.148	10.043	9.932	9.812	9.681	9.537	9.385	9.228	9.073	8.919	8.766	8.614	8.462	8.311	8.162	8.018	7.878	7.741	7.604	7.469	7.339	7.209	7.078	6.952	6.829	6.704	6.576	6.447	6.316	6.183	6.048	5.912	5.775	5.639	5.503	5.369	5.237	5.107	4.981	4.86	4.743	4.631	4.527	4.423	4.318	4.215	4.113	4.015	3.926	3.845	3.767	3.687	3.61	3.539	3.471	3.404	3.341	3.277	3.212	3.149	3.089	3.032	2.979	2.93	2.881	2.834	2.79
1833	Northern Africa and Western Asia	15-59/60+	7.103	6.921	6.728	6.536	6.352	6.18	6.005	5.837	5.683	5.53	5.379	5.231	5.085	4.94	4.798	4.658	4.521	4.385	4.255	4.131	4.013	3.901	3.795	3.694	3.601	3.515	3.433	3.359	3.292	3.231	3.175	3.123	3.075	3.03	2.99	2.953	2.918	2.886	2.855	2.824	2.795	2.768	2.739	2.708	2.673	2.636	2.598	2.556	2.51	2.462	2.414	2.367	2.32	2.272	2.228	2.188	2.151	2.117	2.084	2.053	2.026	2.002	1.979	1.958	1.939	1.917	1.894	1.873	1.852	1.831	1.812	1.79	1.767	1.748	1.727	1.707	1.687	1.664	1.64
1831	Central and Southern Asia	15-59/60+	6.361	6.231	6.072	5.919	5.772	5.63	5.491	5.355	5.221	5.088	4.958	4.833	4.708	4.586	4.469	4.354	4.243	4.135	4.024	3.911	3.801	3.693	3.587	3.486	3.387	3.288	3.194	3.105	3.02	2.936	2.856	2.781	2.707	2.634	2.567	2.506	2.446	2.388	2.331	2.273	2.217	2.164	2.115	2.067	2.022	1.979	1.938	1.899	1.862	1.826	1.792	1.759	1.728	1.7	1.671	1.643	1.618	1.595	1.574	1.551	1.529	1.511	1.495	1.479	1.462	1.444	1.428	1.416	1.406	1.396	1.384	1.37	1.358	1.347	1.332	1.318	1.305	1.292	1.282
1832	Eastern and South-Eastern Asia	15-59/60+	3.55	3.391	3.23	3.093	2.969	2.862	2.754	2.644	2.54	2.444	2.361	2.285	2.216	2.157	2.107	2.063	2.024	1.983	1.941	1.897	1.85	1.807	1.768	1.728	1.685	1.638	1.593	1.549	1.504	1.467	1.44	1.418	1.399	1.381	1.365	1.351	1.34	1.331	1.321	1.312	1.304	1.295	1.286	1.277	1.264	1.25	1.234	1.215	1.197	1.179	1.158	1.137	1.116	1.096	1.077	1.058	1.041	1.029	1.02	1.016	1.014	1.012	1.011	1.012	1.011	1.009	1.008	1.008	1.008	1.006	1.004	1.004	1.003	1.001	0.999	0.997	0.995	0.991	0.987
1830	Latin America and the Caribbean	15-59/60+	4.717	4.589	4.457	4.33	4.21	4.096	3.987	3.883	3.784	3.687	3.591	3.497	3.407	3.318	3.231	3.145	3.06	2.979	2.899	2.821	2.745	2.672	2.602	2.535	2.469	2.407	2.347	2.29	2.235	2.182	2.131	2.082	2.036	1.99	1.945	1.902	1.861	1.822	1.784	1.748	1.716	1.684	1.655	1.627	1.6	1.574	1.548	1.523	1.499	1.476	1.453	1.431	1.41	1.389	1.369	1.35	1.332	1.315	1.299	1.285	1.272	1.259	1.247	1.237	1.228	1.218	1.209	1.2	1.192	1.184	1.176	1.166	1.156	1.146	1.137	1.127	1.119	1.112	1.106
1835	Oceania (excluding Australia and New Zealand)	15-59/60+	9.052	8.786	8.533	8.292	8.066	7.855	7.658	7.473	7.297	7.131	6.972	6.819	6.674	6.533	6.399	6.269	6.139	6.003	5.865	5.73	5.6	5.477	5.354	5.227	5.102	4.983	4.871	4.762	4.656	4.551	4.453	4.36	4.271	4.186	4.1	4.019	3.943	3.868	3.797	3.724	3.652	3.581	3.51	3.44	3.369	3.301	3.235	3.165	3.099	3.034	2.967	2.902	2.837	2.772	2.713	2.654	2.594	2.539	2.488	2.441	2.403	2.375	2.346	2.316	2.289	2.264	2.237	2.205	2.176	2.149	2.117	2.085	2.056	2.028	2.004	1.979	1.955	1.935	1.912
1836	Australia/New Zealand	15-59/60+	2.633	2.576	2.526	2.483	2.444	2.408	2.371	2.332	2.293	2.251	2.212	2.177	2.148	2.123	2.101	2.081	2.061	2.039	2.017	1.993	1.967	1.939	1.91	1.88	1.85	1.82	1.789	1.758	1.727	1.696	1.665	1.635	1.607	1.58	1.555	1.534	1.516	1.499	1.482	1.468	1.456	1.445	1.433	1.421	1.406	1.39	1.373	1.357	1.342	1.327	1.312	1.298	1.285	1.272	1.258	1.246	1.235	1.223	1.214	1.206	1.197	1.189	1.182	1.173	1.165	1.158	1.151	1.146	1.142	1.136	1.13	1.126	1.122	1.116	1.113	1.109	1.104	1.098	1.093
1829	Europe and Northern America	15-59/60+	2.286	2.241	2.193	2.149	2.109	2.075	2.041	2.009	1.976	1.944	1.916	1.89	1.865	1.839	1.815	1.791	1.768	1.745	1.72	1.695	1.672	1.649	1.627	1.605	1.583	1.563	1.542	1.523	1.504	1.486	1.472	1.461	1.452	1.444	1.438	1.433	1.427	1.422	1.416	1.411	1.405	1.399	1.392	1.384	1.376	1.366	1.353	1.341	1.33	1.319	1.307	1.295	1.285	1.273	1.261	1.251	1.243	1.236	1.231	1.227	1.223	1.219	1.217	1.213	1.21	1.207	1.204	1.201	1.197	1.194	1.192	1.19	1.186	1.183	1.179	1.174	1.169	1.164	1.159
901	More developed regions	15-59/60+	2.185	2.145	2.103	2.064	2.029	1.998	1.967	1.936	1.905	1.874	1.846	1.82	1.795	1.769	1.745	1.723	1.701	1.679	1.657	1.635	1.614	1.594	1.573	1.553	1.534	1.515	1.497	1.48	1.463	1.448	1.435	1.425	1.416	1.409	1.402	1.396	1.39	1.385	1.378	1.372	1.368	1.363	1.357	1.35	1.342	1.333	1.322	1.311	1.3	1.29	1.28	1.27	1.26	1.249	1.238	1.23	1.223	1.217	1.213	1.209	1.205	1.201	1.197	1.194	1.191	1.189	1.187	1.184	1.182	1.179	1.177	1.174	1.172	1.169	1.166	1.162	1.158	1.154	1.149
