country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	15-59/60+	4.381	4.284	4.176	4.08	3.994	3.917	3.839	3.759	3.682	3.609	3.544	3.482	3.426	3.376	3.33	3.288	3.248	3.207	3.164	3.119	3.073	3.029	2.986	2.944	2.9	2.855	2.812	2.771	2.73	2.694	2.665	2.641	2.619	2.6	2.581	2.564	2.549	2.536	2.521	2.506	2.491	2.479	2.466	2.45	2.435	2.419	2.403	2.386	2.369	2.353	2.336	2.318	2.301	2.287	2.276	2.265	2.255	2.249	2.246	2.245	2.245	2.244	2.24	2.233	2.228	2.227	2.223	2.22	2.217	2.213	2.208	2.199	2.189	2.182	2.176	2.168	2.16	2.15	2.141
1834	Sub-Saharan Africa	15-59/60+	11.168	11.192	11.166	11.108	11.038	10.964	10.884	10.8	10.716	10.631	10.541	10.452	10.364	10.273	10.175	10.07	9.953	9.825	9.691	9.555	9.42	9.292	9.163	9.032	8.906	8.78	8.654	8.537	8.429	8.322	8.216	8.116	8.017	7.916	7.818	7.722	7.63	7.533	7.428	7.327	7.226	7.12	7.009	6.894	6.777	6.659	6.541	6.427	6.316	6.215	6.118	6.025	5.934	5.849	5.773	5.692	5.612	5.535	5.455	5.387	5.324	5.254	5.18	5.109	5.044	4.973	4.903	4.84	4.78	4.721	4.659	4.596	4.535	4.477	4.429	4.379	4.322	4.275	4.223
1833	Northern Africa and Western Asia	15-59/60+	7.114	6.953	6.777	6.6	6.431	6.271	6.109	5.954	5.813	5.672	5.531	5.393	5.256	5.119	4.983	4.846	4.713	4.584	4.46	4.341	4.228	4.122	4.021	3.929	3.842	3.761	3.688	3.625	3.568	3.518	3.472	3.431	3.393	3.359	3.33	3.305	3.281	3.258	3.237	3.218	3.2	3.184	3.167	3.148	3.127	3.103	3.079	3.051	3.021	2.986	2.947	2.913	2.879	2.845	2.814	2.784	2.758	2.737	2.716	2.702	2.69	2.676	2.66	2.643	2.626	2.608	2.587	2.569	2.555	2.543	2.532	2.52	2.504	2.487	2.472	2.454	2.434	2.415	2.4
1831	Central and Southern Asia	15-59/60+	6.387	6.294	6.159	6.035	5.917	5.802	5.688	5.575	5.468	5.363	5.26	5.158	5.059	4.96	4.862	4.765	4.669	4.574	4.48	4.384	4.289	4.192	4.094	4	3.906	3.814	3.726	3.643	3.566	3.488	3.414	3.348	3.284	3.221	3.162	3.109	3.058	3.009	2.956	2.903	2.854	2.807	2.763	2.722	2.687	2.657	2.627	2.599	2.572	2.547	2.526	2.508	2.495	2.481	2.465	2.45	2.439	2.431	2.43	2.431	2.422	2.41	2.403	2.396	2.383	2.365	2.353	2.346	2.338	2.328	2.311	2.288	2.267	2.255	2.247	2.237	2.224	2.211	2.201
1832	Eastern and South-Eastern Asia	15-59/60+	3.557	3.413	3.266	3.141	3.029	2.934	2.837	2.736	2.64	2.552	2.478	2.409	2.348	2.298	2.256	2.221	2.191	2.158	2.125	2.09	2.049	2.011	1.978	1.943	1.904	1.86	1.819	1.782	1.741	1.706	1.683	1.667	1.653	1.641	1.632	1.626	1.623	1.62	1.616	1.613	1.611	1.609	1.607	1.604	1.599	1.592	1.58	1.567	1.554	1.541	1.527	1.513	1.496	1.48	1.468	1.454	1.442	1.436	1.434	1.44	1.448	1.454	1.459	1.466	1.472	1.476	1.479	1.481	1.485	1.488	1.487	1.485	1.484	1.483	1.482	1.482	1.482	1.479	1.475
1830	Latin America and the Caribbean	15-59/60+	4.726	4.613	4.492	4.376	4.266	4.163	4.064	3.97	3.881	3.792	3.705	3.62	3.537	3.456	3.375	3.295	3.214	3.138	3.065	2.992	2.921	2.851	2.785	2.723	2.662	2.604	2.548	2.495	2.444	2.395	2.348	2.303	2.261	2.22	2.18	2.141	2.103	2.068	2.034	2.002	1.973	1.946	1.922	1.901	1.879	1.858	1.84	1.824	1.808	1.792	1.776	1.763	1.751	1.739	1.729	1.72	1.712	1.706	1.701	1.697	1.694	1.689	1.685	1.681	1.677	1.671	1.666	1.661	1.655	1.648	1.641	1.635	1.628	1.622	1.619	1.612	1.607	1.603	1.595
1835	Oceania (excluding Australia and New Zealand)	15-59/60+	9.076	8.854	8.639	8.434	8.241	8.065	7.91	7.762	7.613	7.475	7.347	7.222	7.104	6.992	6.888	6.788	6.686	6.591	6.501	6.405	6.313	6.231	6.149	6.063	5.981	5.909	5.855	5.801	5.735	5.663	5.603	5.543	5.478	5.427	5.382	5.342	5.306	5.266	5.227	5.196	5.171	5.141	5.107	5.077	5.04	4.992	4.962	4.948	4.935	4.917	4.89	4.864	4.838	4.818	4.802	4.79	4.777	4.758	4.744	4.732	4.688	4.619	4.568	4.522	4.475	4.436	4.401	4.362	4.319	4.284	4.25	4.202	4.156	4.125	4.098	4.061	4.036	4.017	3.984
1836	Australia/New Zealand	15-59/60+	2.637	2.588	2.546	2.511	2.481	2.453	2.424	2.394	2.363	2.33	2.298	2.271	2.251	2.234	2.221	2.21	2.2	2.188	2.173	2.156	2.137	2.114	2.092	2.068	2.045	2.021	1.996	1.972	1.947	1.922	1.896	1.872	1.848	1.826	1.808	1.793	1.78	1.768	1.759	1.752	1.749	1.746	1.742	1.737	1.729	1.719	1.711	1.703	1.696	1.69	1.684	1.678	1.671	1.665	1.66	1.659	1.661	1.664	1.665	1.669	1.674	1.675	1.675	1.675	1.675	1.674	1.673	1.676	1.68	1.683	1.684	1.685	1.685	1.682	1.68	1.682	1.68	1.678	1.679
1829	Europe and Northern America	15-59/60+	2.288	2.247	2.203	2.162	2.128	2.097	2.068	2.04	2.011	1.983	1.96	1.938	1.917	1.896	1.875	1.856	1.837	1.816	1.795	1.774	1.754	1.736	1.718	1.7	1.682	1.665	1.648	1.632	1.616	1.603	1.593	1.586	1.581	1.578	1.576	1.575	1.574	1.573	1.571	1.571	1.57	1.568	1.567	1.565	1.561	1.556	1.551	1.545	1.539	1.531	1.523	1.517	1.512	1.508	1.504	1.502	1.501	1.504	1.507	1.511	1.514	1.516	1.519	1.521	1.523	1.524	1.523	1.523	1.525	1.525	1.525	1.527	1.527	1.525	1.523	1.52	1.518	1.514	1.508
901	More developed regions	15-59/60+	2.186	2.151	2.112	2.076	2.046	2.019	1.991	1.964	1.937	1.91	1.885	1.863	1.84	1.818	1.798	1.778	1.76	1.741	1.721	1.703	1.686	1.669	1.653	1.637	1.621	1.606	1.59	1.576	1.562	1.55	1.541	1.534	1.53	1.527	1.525	1.523	1.521	1.52	1.519	1.519	1.518	1.518	1.517	1.514	1.51	1.504	1.497	1.491	1.486	1.481	1.476	1.472	1.468	1.465	1.462	1.46	1.458	1.46	1.463	1.466	1.468	1.472	1.475	1.477	1.478	1.482	1.484	1.484	1.484	1.484	1.484	1.483	1.483	1.481	1.479	1.477	1.473	1.47	1.467
902	Less developed regions	15-59/60+	5.339	5.195	5.037	4.899	4.773	4.662	4.55	4.435	4.327	4.226	4.135	4.051	3.975	3.907	3.846	3.79	3.737	3.682	3.623	3.563	3.501	3.443	3.39	3.334	3.275	3.217	3.162	3.108	3.054	3.009	2.973	2.94	2.91	2.883	2.857	2.834	2.812	2.791	2.77	2.749	2.73	2.712	2.692	2.672	2.654	2.635	2.614	2.591	2.57	2.55	2.53	2.51	2.49	2.472	2.457	2.442	2.432	2.424	2.418	2.416	2.415	2.413	2.406	2.399	2.393	2.388	2.384	2.377	2.371	2.363	2.354	2.344	2.334	2.324	2.314	2.305	2.296	2.287	2.279
941	Least developed countries	15-59/60+	9.692	9.641	9.568	9.481	9.386	9.286	9.181	9.075	8.969	8.867	8.761	8.654	8.555	8.459	8.36	8.261	8.162	8.056	7.941	7.826	7.709	7.592	7.479	7.365	7.246	7.132	7.023	6.915	6.808	6.706	6.603	6.501	6.402	6.306	6.215	6.119	6.024	5.938	5.852	5.761	5.674	5.596	5.518	5.44	5.366	5.289	5.217	5.154	5.09	5.03	4.974	4.917	4.858	4.805	4.753	4.702	4.653	4.604	4.556	4.515	4.474	4.425	4.376	4.331	4.285	4.244	4.207	4.168	4.13	4.091	4.052	4.014	3.973	3.931	3.894	3.857	3.829	3.801	3.769
934	Less developed regions, excluding least developed countries	15-59/60+	4.942	4.793	4.631	4.49	4.362	4.248	4.135	4.019	3.91	3.807	3.716	3.632	3.553	3.484	3.421	3.363	3.308	3.252	3.194	3.133	3.07	3.013	2.959	2.905	2.847	2.788	2.732	2.68	2.629	2.584	2.547	2.513	2.485	2.458	2.434	2.412	2.392	2.372	2.352	2.333	2.316	2.301	2.286	2.27	2.254	2.236	2.217	2.197	2.178	2.159	2.14	2.122	2.104	2.088	2.071	2.057	2.047	2.04	2.038	2.04	2.041	2.04	2.038	2.037	2.039	2.039	2.036	2.033	2.027	2.022	2.021	2.015	2.007	2.001	1.994	1.987	1.978	1.968	1.959
948	Less developed regions, excluding China	15-59/60+	6.379	6.27	6.139	6.012	5.892	5.777	5.666	5.558	5.453	5.349	5.249	5.153	5.061	4.972	4.884	4.797	4.711	4.628	4.543	4.456	4.372	4.291	4.211	4.135	4.057	3.983	3.913	3.849	3.789	3.729	3.673	3.623	3.574	3.526	3.481	3.437	3.394	3.355	3.319	3.281	3.245	3.212	3.179	3.147	3.114	3.082	3.054	3.024	2.994	2.969	2.942	2.916	2.89	2.868	2.85	2.835	2.82	2.805	2.791	2.78	2.769	2.755	2.739	2.723	2.705	2.687	2.669	2.654	2.641	2.631	2.616	2.599	2.581	2.564	2.549	2.531	2.51	2.494	2.482
1636	Land-locked Developing Countries (LLDC)	15-59/60+	9.653	9.608	9.534	9.452	9.376	9.305	9.236	9.168	9.097	9.025	8.954	8.884	8.814	8.739	8.655	8.567	8.477	8.383	8.281	8.173	8.062	7.947	7.829	7.703	7.57	7.433	7.299	7.172	7.048	6.925	6.804	6.688	6.581	6.483	6.389	6.301	6.215	6.122	6.036	5.953	5.87	5.792	5.706	5.619	5.537	5.459	5.38	5.301	5.223	5.149	5.076	5.003	4.935	4.871	4.803	4.736	4.673	4.612	4.553	4.497	4.439	4.38	4.328	4.279	4.231	4.181	4.138	4.098	4.048	3.996	3.949	3.906	3.869	3.83	3.786	3.747	3.713	3.675	3.637
1637	Small Island Developing States (SIDS)	15-59/60+	4.648	4.513	4.382	4.261	4.151	4.051	3.961	3.88	3.802	3.726	3.653	3.586	3.529	3.478	3.428	3.383	3.344	3.306	3.269	3.232	3.194	3.153	3.112	3.071	3.031	2.99	2.95	2.908	2.866	2.83	2.796	2.766	2.74	2.714	2.689	2.665	2.644	2.624	2.604	2.588	2.574	2.561	2.549	2.536	2.527	2.519	2.508	2.498	2.487	2.473	2.463	2.456	2.447	2.436	2.423	2.412	2.403	2.396	2.394	2.393	2.391	2.383	2.374	2.364	2.353	2.346	2.338	2.33	2.322	2.314	2.308	2.303	2.295	2.284	2.274	2.263	2.256	2.248	2.239
1503	High-income countries	15-59/60+	2.301	2.261	2.212	2.166	2.126	2.089	2.052	2.016	1.981	1.946	1.915	1.887	1.86	1.833	1.809	1.786	1.765	1.743	1.72	1.699	1.68	1.662	1.646	1.631	1.618	1.606	1.594	1.581	1.569	1.558	1.547	1.537	1.529	1.522	1.517	1.511	1.506	1.501	1.497	1.493	1.491	1.49	1.488	1.487	1.484	1.48	1.475	1.47	1.465	1.461	1.458	1.454	1.45	1.446	1.443	1.442	1.443	1.445	1.448	1.452	1.455	1.457	1.459	1.46	1.461	1.462	1.462	1.46	1.46	1.461	1.46	1.46	1.461	1.46	1.458	1.456	1.454	1.451	1.449
