country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	15-59/60+	3.944	3.85	3.749	3.657	3.574	3.498	3.423	3.347	3.273	3.203	3.14	3.08	3.025	2.974	2.928	2.885	2.845	2.804	2.761	2.718	2.672	2.628	2.586	2.545	2.502	2.458	2.416	2.375	2.336	2.301	2.272	2.247	2.224	2.203	2.183	2.164	2.146	2.129	2.113	2.097	2.08	2.063	2.047	2.03	2.012	1.995	1.976	1.957	1.937	1.917	1.896	1.875	1.854	1.833	1.812	1.791	1.773	1.757	1.744	1.732	1.72	1.71	1.699	1.689	1.679	1.669	1.658	1.648	1.637	1.627	1.618	1.609	1.599	1.588	1.577	1.565	1.553	1.543	1.532
1834	Sub-Saharan Africa	15-59/60+	10.094	10.088	10.046	9.982	9.911	9.836	9.758	9.676	9.594	9.513	9.432	9.353	9.274	9.19	9.101	9.003	8.891	8.768	8.638	8.502	8.364	8.224	8.085	7.948	7.808	7.668	7.53	7.395	7.265	7.138	7.014	6.893	6.772	6.65	6.529	6.411	6.299	6.187	6.071	5.954	5.834	5.711	5.588	5.464	5.337	5.211	5.088	4.964	4.842	4.722	4.605	4.494	4.388	4.284	4.184	4.088	3.993	3.898	3.807	3.72	3.639	3.559	3.485	3.415	3.344	3.276	3.215	3.155	3.094	3.034	2.974	2.915	2.858	2.806	2.758	2.712	2.663	2.618	2.576
1833	Northern Africa and Western Asia	15-59/60+	6.279	6.14	5.99	5.842	5.7	5.566	5.431	5.3	5.181	5.061	4.94	4.822	4.705	4.588	4.471	4.355	4.24	4.127	4.017	3.908	3.805	3.705	3.61	3.518	3.43	3.346	3.268	3.196	3.13	3.07	3.012	2.958	2.909	2.865	2.823	2.786	2.752	2.72	2.688	2.656	2.625	2.595	2.564	2.534	2.5	2.463	2.424	2.382	2.34	2.297	2.252	2.207	2.162	2.118	2.077	2.04	2.006	1.975	1.945	1.916	1.89	1.868	1.846	1.824	1.804	1.782	1.76	1.741	1.722	1.703	1.685	1.667	1.647	1.625	1.606	1.586	1.566	1.544	1.526
1831	Central and Southern Asia	15-59/60+	5.941	5.816	5.668	5.525	5.387	5.252	5.12	4.991	4.866	4.742	4.619	4.5	4.385	4.271	4.16	4.054	3.951	3.848	3.745	3.642	3.543	3.443	3.344	3.246	3.15	3.06	2.975	2.892	2.812	2.734	2.66	2.589	2.521	2.459	2.402	2.348	2.293	2.241	2.19	2.138	2.086	2.04	1.995	1.952	1.913	1.877	1.839	1.802	1.768	1.734	1.702	1.674	1.648	1.62	1.595	1.569	1.545	1.522	1.499	1.477	1.457	1.439	1.423	1.408	1.394	1.382	1.369	1.355	1.342	1.332	1.321	1.308	1.294	1.28	1.268	1.258	1.247	1.235	1.225
1832	Eastern and South-Eastern Asia	15-59/60+	3.184	3.041	2.897	2.773	2.661	2.565	2.467	2.368	2.274	2.188	2.113	2.045	1.983	1.931	1.885	1.845	1.809	1.772	1.734	1.695	1.655	1.617	1.583	1.547	1.509	1.468	1.428	1.39	1.351	1.319	1.296	1.278	1.261	1.247	1.236	1.225	1.217	1.209	1.202	1.195	1.19	1.185	1.178	1.171	1.163	1.152	1.14	1.126	1.111	1.096	1.079	1.061	1.044	1.028	1.012	0.994	0.978	0.967	0.959	0.955	0.954	0.954	0.952	0.952	0.953	0.953	0.953	0.952	0.952	0.951	0.949	0.947	0.946	0.945	0.942	0.939	0.937	0.933	0.93
1830	Latin America and the Caribbean	15-59/60+	4.292	4.172	4.05	3.933	3.822	3.717	3.616	3.521	3.429	3.34	3.252	3.167	3.085	3.004	2.926	2.848	2.772	2.698	2.626	2.556	2.488	2.422	2.359	2.299	2.241	2.186	2.133	2.082	2.033	1.985	1.939	1.896	1.854	1.814	1.776	1.739	1.703	1.669	1.636	1.605	1.576	1.549	1.523	1.498	1.473	1.45	1.428	1.407	1.386	1.364	1.343	1.323	1.304	1.285	1.267	1.251	1.235	1.22	1.206	1.193	1.181	1.171	1.162	1.153	1.144	1.135	1.127	1.12	1.112	1.106	1.098	1.09	1.081	1.073	1.063	1.055	1.048	1.041	1.033
1835	Oceania (excluding Australia and New Zealand)	15-59/60+	8.938	8.644	8.362	8.092	7.836	7.595	7.37	7.157	6.956	6.765	6.582	6.407	6.24	6.081	5.93	5.784	5.639	5.492	5.346	5.204	5.067	4.933	4.803	4.676	4.554	4.437	4.326	4.222	4.124	4.029	3.937	3.851	3.767	3.688	3.615	3.543	3.478	3.414	3.349	3.289	3.231	3.17	3.107	3.049	2.991	2.933	2.876	2.818	2.76	2.701	2.643	2.586	2.531	2.474	2.416	2.363	2.31	2.26	2.212	2.168	2.135	2.108	2.085	2.061	2.031	2.003	1.977	1.95	1.926	1.905	1.882	1.86	1.839	1.817	1.792	1.767	1.743	1.721	1.701
1836	Australia/New Zealand	15-59/60+	2.502	2.447	2.397	2.354	2.315	2.278	2.24	2.201	2.16	2.118	2.078	2.044	2.015	1.99	1.969	1.949	1.929	1.909	1.888	1.866	1.84	1.813	1.784	1.756	1.727	1.699	1.67	1.64	1.611	1.583	1.556	1.53	1.505	1.481	1.461	1.444	1.429	1.414	1.4	1.387	1.375	1.365	1.356	1.346	1.335	1.321	1.307	1.293	1.278	1.264	1.249	1.233	1.222	1.212	1.2	1.19	1.18	1.171	1.164	1.155	1.146	1.137	1.128	1.12	1.113	1.106	1.101	1.096	1.092	1.087	1.082	1.078	1.074	1.068	1.062	1.058	1.055	1.052	1.047
1829	Europe and Northern America	15-59/60+	2.025	1.987	1.947	1.91	1.877	1.848	1.82	1.793	1.766	1.74	1.716	1.694	1.672	1.65	1.629	1.61	1.59	1.57	1.549	1.528	1.509	1.49	1.472	1.453	1.435	1.417	1.4	1.384	1.368	1.354	1.343	1.334	1.327	1.322	1.318	1.314	1.311	1.308	1.305	1.302	1.299	1.294	1.288	1.282	1.275	1.267	1.258	1.248	1.239	1.229	1.219	1.21	1.2	1.191	1.181	1.173	1.166	1.16	1.156	1.153	1.15	1.147	1.144	1.141	1.138	1.135	1.133	1.131	1.129	1.126	1.123	1.119	1.116	1.113	1.11	1.106	1.101	1.096	1.091
901	More developed regions	15-59/60+	1.941	1.907	1.871	1.838	1.809	1.782	1.756	1.73	1.704	1.679	1.655	1.632	1.61	1.588	1.568	1.549	1.53	1.512	1.493	1.475	1.458	1.44	1.424	1.407	1.391	1.375	1.36	1.345	1.331	1.318	1.307	1.3	1.294	1.289	1.284	1.28	1.276	1.273	1.269	1.265	1.261	1.258	1.253	1.248	1.242	1.235	1.226	1.216	1.208	1.2	1.192	1.183	1.174	1.166	1.157	1.149	1.143	1.138	1.135	1.133	1.13	1.127	1.124	1.122	1.12	1.117	1.115	1.114	1.111	1.109	1.108	1.106	1.103	1.1	1.097	1.093	1.089	1.085	1.08
