country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	15-59/60+	4.899	4.786	4.661	4.55	4.448	4.359	4.269	4.177	4.089	4.004	3.929	3.859	3.793	3.735	3.682	3.633	3.585	3.536	3.484	3.431	3.376	3.322	3.273	3.222	3.168	3.114	3.062	3.012	2.964	2.92	2.885	2.853	2.825	2.799	2.776	2.754	2.734	2.714	2.694	2.673	2.653	2.636	2.618	2.598	2.577	2.557	2.535	2.512	2.488	2.466	2.443	2.42	2.397	2.376	2.356	2.335	2.319	2.306	2.296	2.29	2.287	2.283	2.278	2.273	2.268	2.262	2.257	2.25	2.241	2.235	2.228	2.22	2.212	2.204	2.195	2.185	2.175	2.165	2.156
1834	Sub-Saharan Africa	15-59/60+	12.489	12.52	12.485	12.409	12.318	12.219	12.114	12.003	11.885	11.765	11.646	11.528	11.411	11.29	11.16	11.021	10.875	10.72	10.559	10.4	10.244	10.089	9.938	9.793	9.649	9.507	9.37	9.239	9.112	8.995	8.883	8.768	8.651	8.535	8.416	8.3	8.187	8.068	7.945	7.821	7.696	7.567	7.437	7.305	7.171	7.039	6.906	6.776	6.65	6.528	6.409	6.293	6.182	6.077	5.975	5.873	5.774	5.681	5.591	5.507	5.422	5.338	5.258	5.176	5.099	5.026	4.954	4.88	4.807	4.736	4.672	4.615	4.556	4.489	4.427	4.371	4.309	4.254	4.206
1833	Northern Africa and Western Asia	15-59/60+	8.082	7.866	7.632	7.4	7.178	6.97	6.761	6.558	6.374	6.192	6.014	5.838	5.666	5.496	5.329	5.165	5.008	4.853	4.706	4.568	4.438	4.315	4.202	4.098	4.004	3.918	3.841	3.771	3.708	3.653	3.605	3.562	3.524	3.492	3.464	3.437	3.411	3.389	3.371	3.353	3.335	3.319	3.304	3.287	3.266	3.242	3.21	3.173	3.134	3.094	3.053	3.012	2.971	2.931	2.895	2.862	2.832	2.805	2.78	2.757	2.735	2.714	2.695	2.675	2.655	2.635	2.614	2.593	2.574	2.556	2.542	2.525	2.506	2.485	2.462	2.441	2.423	2.403	2.383
1831	Central and Southern Asia	15-59/60+	6.843	6.741	6.592	6.452	6.32	6.192	6.069	5.949	5.832	5.719	5.606	5.495	5.386	5.28	5.175	5.072	4.972	4.869	4.76	4.652	4.545	4.444	4.342	4.24	4.136	4.035	3.941	3.851	3.764	3.681	3.599	3.522	3.45	3.38	3.311	3.244	3.18	3.117	3.053	2.991	2.933	2.879	2.829	2.78	2.735	2.696	2.66	2.625	2.592	2.562	2.534	2.506	2.481	2.464	2.448	2.43	2.414	2.401	2.389	2.379	2.368	2.352	2.336	2.323	2.31	2.297	2.285	2.27	2.26	2.252	2.24	2.223	2.202	2.184	2.174	2.163	2.15	2.138	2.127
1832	Eastern and South-Eastern Asia	15-59/60+	3.992	3.828	3.66	3.519	3.394	3.287	3.178	3.064	2.956	2.858	2.773	2.696	2.627	2.57	2.524	2.486	2.453	2.418	2.379	2.336	2.286	2.24	2.2	2.158	2.11	2.058	2.007	1.958	1.906	1.866	1.837	1.814	1.795	1.78	1.764	1.75	1.741	1.732	1.721	1.712	1.707	1.7	1.693	1.683	1.671	1.657	1.641	1.622	1.602	1.582	1.559	1.535	1.514	1.494	1.475	1.454	1.439	1.432	1.431	1.435	1.441	1.446	1.45	1.456	1.46	1.465	1.471	1.474	1.477	1.48	1.482	1.483	1.485	1.485	1.483	1.483	1.481	1.478	1.476
1830	Latin America and the Caribbean	15-59/60+	5.254	5.131	4.997	4.868	4.747	4.631	4.522	4.418	4.317	4.219	4.122	4.026	3.932	3.839	3.747	3.656	3.567	3.48	3.396	3.314	3.234	3.157	3.08	3.006	2.936	2.869	2.805	2.742	2.68	2.622	2.567	2.515	2.464	2.414	2.367	2.321	2.278	2.237	2.197	2.161	2.125	2.093	2.064	2.036	2.008	1.982	1.958	1.934	1.91	1.887	1.865	1.844	1.825	1.806	1.789	1.774	1.762	1.751	1.74	1.731	1.723	1.714	1.706	1.696	1.686	1.677	1.669	1.661	1.653	1.647	1.638	1.627	1.617	1.607	1.596	1.588	1.578	1.569	1.563
1835	Oceania (excluding Australia and New Zealand)	15-59/60+	9.181	8.979	8.788	8.61	8.448	8.304	8.174	8.055	7.942	7.834	7.732	7.64	7.554	7.471	7.393	7.316	7.24	7.163	7.084	7.005	6.933	6.866	6.793	6.722	6.645	6.564	6.488	6.415	6.336	6.258	6.188	6.12	6.056	5.99	5.93	5.87	5.815	5.757	5.696	5.642	5.59	5.536	5.479	5.419	5.364	5.32	5.273	5.217	5.165	5.124	5.075	5.026	4.985	4.937	4.884	4.848	4.82	4.786	4.761	4.738	4.699	4.648	4.605	4.557	4.511	4.467	4.418	4.381	4.342	4.294	4.248	4.208	4.165	4.119	4.075	4.031	4.001	3.977	3.945
1836	Australia/New Zealand	15-59/60+	2.783	2.733	2.69	2.655	2.626	2.6	2.573	2.544	2.513	2.481	2.449	2.422	2.4	2.383	2.368	2.356	2.344	2.331	2.314	2.295	2.273	2.248	2.222	2.196	2.169	2.141	2.113	2.085	2.054	2.023	1.994	1.967	1.938	1.91	1.885	1.865	1.848	1.831	1.816	1.806	1.799	1.792	1.785	1.778	1.769	1.757	1.744	1.732	1.72	1.708	1.698	1.689	1.68	1.673	1.665	1.66	1.656	1.654	1.654	1.654	1.652	1.651	1.649	1.647	1.648	1.647	1.647	1.645	1.641	1.64	1.639	1.64	1.64	1.638	1.637	1.635	1.63	1.627	1.627
1829	Europe and Northern America	15-59/60+	2.622	2.571	2.517	2.466	2.423	2.384	2.348	2.312	2.276	2.241	2.211	2.184	2.158	2.132	2.106	2.082	2.058	2.033	2.007	1.981	1.956	1.933	1.909	1.885	1.862	1.839	1.816	1.795	1.774	1.755	1.74	1.728	1.719	1.712	1.707	1.701	1.697	1.692	1.686	1.681	1.677	1.673	1.668	1.662	1.654	1.645	1.634	1.622	1.611	1.601	1.591	1.582	1.573	1.563	1.555	1.549	1.545	1.543	1.544	1.546	1.548	1.55	1.55	1.55	1.549	1.547	1.547	1.546	1.546	1.545	1.543	1.541	1.539	1.537	1.532	1.529	1.525	1.521	1.518
901	More developed regions	15-59/60+	2.498	2.454	2.406	2.362	2.324	2.29	2.255	2.221	2.187	2.154	2.124	2.096	2.068	2.042	2.017	1.993	1.97	1.948	1.924	1.9	1.878	1.856	1.835	1.815	1.793	1.773	1.753	1.735	1.716	1.7	1.686	1.675	1.667	1.66	1.655	1.65	1.646	1.641	1.636	1.631	1.627	1.623	1.619	1.614	1.608	1.599	1.589	1.578	1.568	1.559	1.551	1.542	1.534	1.526	1.517	1.512	1.509	1.509	1.51	1.512	1.513	1.512	1.512	1.512	1.512	1.511	1.511	1.512	1.513	1.512	1.51	1.508	1.507	1.505	1.504	1.501	1.497	1.494	1.489
902	Less developed regions	15-59/60+	5.897	5.735	5.558	5.403	5.26	5.134	5.009	4.881	4.76	4.647	4.544	4.45	4.363	4.287	4.217	4.153	4.093	4.031	3.967	3.898	3.827	3.758	3.692	3.625	3.558	3.49	3.424	3.359	3.298	3.244	3.199	3.159	3.122	3.088	3.058	3.03	3.002	2.974	2.947	2.92	2.895	2.871	2.848	2.823	2.798	2.773	2.746	2.718	2.69	2.661	2.635	2.61	2.583	2.557	2.533	2.51	2.49	2.474	2.462	2.454	2.449	2.443	2.438	2.432	2.425	2.418	2.41	2.402	2.391	2.381	2.371	2.361	2.35	2.338	2.327	2.319	2.307	2.293	2.283
941	Least developed countries	15-59/60+	10.59	10.553	10.485	10.395	10.293	10.183	10.071	9.958	9.845	9.732	9.616	9.503	9.398	9.294	9.191	9.088	8.979	8.863	8.737	8.608	8.48	8.352	8.222	8.092	7.964	7.839	7.713	7.588	7.469	7.352	7.236	7.124	7.011	6.898	6.787	6.679	6.573	6.469	6.363	6.253	6.147	6.045	5.945	5.848	5.754	5.661	5.574	5.494	5.416	5.34	5.267	5.193	5.124	5.06	4.993	4.927	4.867	4.803	4.733	4.67	4.608	4.549	4.494	4.438	4.38	4.324	4.274	4.228	4.183	4.136	4.085	4.036	3.995	3.958	3.921	3.883	3.842	3.801	3.764
