country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	15-59/60+	4.893	4.769	4.633	4.512	4.4	4.3	4.199	4.096	3.998	3.906	3.822	3.742	3.667	3.6	3.539	3.481	3.426	3.37	3.312	3.252	3.191	3.131	3.075	3.019	2.961	2.902	2.845	2.792	2.738	2.69	2.649	2.612	2.579	2.548	2.519	2.492	2.466	2.44	2.414	2.388	2.362	2.336	2.311	2.284	2.258	2.23	2.201	2.171	2.141	2.111	2.081	2.052	2.022	1.992	1.964	1.939	1.915	1.893	1.876	1.862	1.849	1.836	1.822	1.809	1.797	1.784	1.773	1.762	1.752	1.743	1.732	1.721	1.708	1.694	1.682	1.669	1.655	1.643	1.632
1834	Sub-Saharan Africa	15-59/60+	12.473	12.476	12.421	12.326	12.215	12.098	11.974	11.843	11.71	11.574	11.435	11.299	11.165	11.027	10.883	10.729	10.563	10.388	10.206	10.02	9.835	9.655	9.48	9.307	9.131	8.955	8.784	8.619	8.46	8.308	8.159	8.012	7.867	7.724	7.579	7.434	7.291	7.144	6.992	6.842	6.692	6.536	6.38	6.226	6.068	5.914	5.763	5.613	5.466	5.318	5.173	5.035	4.903	4.777	4.656	4.538	4.421	4.306	4.195	4.087	3.987	3.898	3.815	3.73	3.651	3.58	3.512	3.45	3.389	3.321	3.258	3.201	3.143	3.085	3.031	2.978	2.921	2.868	2.822
1833	Northern Africa and Western Asia	15-59/60+	8.069	7.828	7.573	7.321	7.081	6.855	6.627	6.408	6.209	6.013	5.822	5.637	5.456	5.278	5.102	4.933	4.771	4.613	4.46	4.316	4.182	4.053	3.933	3.824	3.722	3.625	3.537	3.46	3.389	3.325	3.266	3.211	3.162	3.117	3.077	3.041	3.005	2.97	2.939	2.907	2.877	2.849	2.821	2.791	2.756	2.72	2.681	2.638	2.591	2.54	2.491	2.442	2.389	2.336	2.292	2.249	2.208	2.17	2.136	2.1	2.066	2.038	2.011	1.982	1.958	1.934	1.906	1.88	1.855	1.834	1.814	1.789	1.765	1.742	1.72	1.703	1.683	1.66	1.638
1831	Central and Southern Asia	15-59/60+	6.814	6.668	6.489	6.319	6.157	5.999	5.842	5.69	5.544	5.4	5.257	5.119	4.984	4.849	4.715	4.585	4.46	4.339	4.22	4.1	3.978	3.864	3.752	3.642	3.532	3.422	3.32	3.222	3.127	3.034	2.945	2.863	2.783	2.704	2.629	2.56	2.493	2.425	2.357	2.288	2.225	2.166	2.108	2.054	2.006	1.957	1.911	1.867	1.825	1.789	1.755	1.72	1.685	1.653	1.622	1.593	1.563	1.532	1.501	1.474	1.451	1.426	1.403	1.384	1.367	1.353	1.342	1.33	1.314	1.3	1.29	1.279	1.265	1.252	1.244	1.232	1.217	1.204	1.193
1832	Eastern and South-Eastern Asia	15-59/60+	3.982	3.8	3.616	3.458	3.317	3.194	3.071	2.944	2.824	2.713	2.617	2.531	2.452	2.386	2.328	2.277	2.231	2.185	2.135	2.083	2.029	1.979	1.934	1.887	1.836	1.781	1.728	1.675	1.624	1.581	1.549	1.521	1.495	1.472	1.451	1.433	1.418	1.404	1.388	1.372	1.36	1.347	1.336	1.322	1.304	1.287	1.266	1.242	1.218	1.195	1.171	1.145	1.12	1.096	1.071	1.049	1.029	1.013	1.001	0.994	0.988	0.982	0.978	0.978	0.978	0.977	0.976	0.975	0.973	0.972	0.97	0.967	0.965	0.964	0.959	0.954	0.951	0.949	0.946
1830	Latin America and the Caribbean	15-59/60+	5.244	5.103	4.955	4.814	4.679	4.551	4.429	4.312	4.199	4.089	3.981	3.875	3.771	3.67	3.57	3.472	3.376	3.283	3.193	3.104	3.018	2.934	2.853	2.774	2.698	2.626	2.556	2.489	2.422	2.358	2.297	2.24	2.185	2.13	2.078	2.03	1.983	1.938	1.895	1.854	1.813	1.777	1.746	1.713	1.681	1.65	1.622	1.594	1.566	1.538	1.511	1.486	1.461	1.436	1.412	1.39	1.368	1.348	1.329	1.31	1.293	1.277	1.261	1.246	1.232	1.218	1.207	1.196	1.187	1.178	1.169	1.161	1.15	1.139	1.129	1.118	1.107	1.098	1.093
1835	Oceania (excluding Australia and New Zealand)	15-59/60+	9.161	8.919	8.689	8.473	8.272	8.089	7.919	7.759	7.606	7.46	7.316	7.178	7.048	6.92	6.797	6.674	6.544	6.42	6.3	6.172	6.04	5.913	5.784	5.647	5.508	5.383	5.262	5.136	5.021	4.905	4.787	4.678	4.568	4.462	4.365	4.268	4.172	4.079	3.986	3.892	3.804	3.722	3.632	3.541	3.462	3.383	3.305	3.231	3.158	3.077	2.994	2.913	2.844	2.778	2.709	2.644	2.578	2.515	2.461	2.411	2.376	2.343	2.301	2.266	2.241	2.217	2.198	2.184	2.157	2.125	2.09	2.054	2.019	1.983	1.955	1.933	1.908	1.884	1.854
1836	Australia/New Zealand	15-59/60+	2.777	2.716	2.662	2.617	2.576	2.538	2.501	2.461	2.419	2.376	2.334	2.296	2.264	2.236	2.211	2.188	2.167	2.144	2.119	2.093	2.063	2.031	1.997	1.965	1.933	1.901	1.868	1.833	1.797	1.761	1.728	1.694	1.662	1.631	1.602	1.574	1.548	1.526	1.507	1.491	1.476	1.462	1.446	1.428	1.408	1.389	1.369	1.348	1.329	1.31	1.291	1.272	1.253	1.236	1.22	1.205	1.19	1.176	1.165	1.154	1.142	1.13	1.118	1.108	1.101	1.094	1.087	1.082	1.075	1.068	1.061	1.053	1.046	1.038	1.032	1.027	1.02	1.014	1.009
1829	Europe and Northern America	15-59/60+	2.62	2.564	2.505	2.449	2.4	2.356	2.313	2.271	2.229	2.189	2.153	2.121	2.09	2.058	2.028	1.998	1.969	1.94	1.91	1.879	1.849	1.821	1.794	1.766	1.738	1.71	1.684	1.658	1.634	1.612	1.593	1.578	1.565	1.554	1.544	1.533	1.522	1.513	1.502	1.494	1.486	1.478	1.47	1.459	1.446	1.432	1.417	1.402	1.388	1.374	1.36	1.347	1.333	1.318	1.305	1.293	1.28	1.269	1.261	1.256	1.25	1.245	1.239	1.233	1.227	1.224	1.219	1.215	1.212	1.207	1.203	1.199	1.196	1.191	1.184	1.179	1.174	1.167	1.161
901	More developed regions	15-59/60+	2.496	2.447	2.395	2.346	2.303	2.264	2.224	2.185	2.145	2.107	2.072	2.039	2.007	1.976	1.946	1.918	1.892	1.865	1.837	1.81	1.784	1.759	1.734	1.71	1.686	1.662	1.639	1.615	1.593	1.574	1.556	1.541	1.528	1.517	1.506	1.497	1.488	1.481	1.473	1.464	1.456	1.448	1.439	1.43	1.419	1.407	1.393	1.378	1.365	1.352	1.339	1.326	1.312	1.299	1.286	1.276	1.267	1.259	1.253	1.247	1.242	1.237	1.232	1.226	1.221	1.216	1.212	1.208	1.206	1.203	1.198	1.193	1.188	1.185	1.182	1.178	1.172	1.166	1.159
