country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	15-59/60+	4.896	4.779	4.649	4.534	4.428	4.335	4.24	4.143	4.05	3.962	3.883	3.809	3.74	3.677	3.62	3.567	3.517	3.465	3.41	3.353	3.295	3.238	3.186	3.132	3.077	3.02	2.966	2.914	2.862	2.817	2.779	2.746	2.715	2.687	2.66	2.636	2.613	2.591	2.568	2.546	2.524	2.503	2.482	2.46	2.437	2.413	2.388	2.362	2.336	2.31	2.284	2.257	2.232	2.208	2.185	2.163	2.144	2.128	2.115	2.105	2.096	2.087	2.079	2.07	2.061	2.052	2.043	2.034	2.025	2.015	2.006	1.996	1.985	1.975	1.964	1.954	1.943	1.931	1.92
1834	Sub-Saharan Africa	15-59/60+	12.482	12.5	12.455	12.37	12.268	12.16	12.045	11.924	11.8	11.674	11.547	11.422	11.298	11.169	11.035	10.891	10.737	10.575	10.406	10.235	10.067	9.903	9.744	9.588	9.434	9.282	9.135	8.993	8.856	8.723	8.592	8.463	8.336	8.207	8.076	7.947	7.82	7.69	7.556	7.419	7.28	7.139	6.997	6.853	6.708	6.563	6.419	6.278	6.139	6.005	5.875	5.751	5.631	5.515	5.403	5.295	5.189	5.085	4.984	4.886	4.792	4.701	4.613	4.528	4.445	4.365	4.287	4.211	4.138	4.066	3.997	3.929	3.864	3.8	3.739	3.679	3.622	3.566	3.511
1833	Northern Africa and Western Asia	15-59/60+	8.076	7.849	7.607	7.367	7.138	6.923	6.707	6.498	6.308	6.12	5.935	5.755	5.579	5.406	5.235	5.069	4.908	4.753	4.603	4.462	4.329	4.204	4.089	3.982	3.885	3.796	3.716	3.643	3.578	3.52	3.468	3.42	3.377	3.338	3.302	3.27	3.241	3.215	3.19	3.166	3.144	3.123	3.101	3.077	3.049	3.018	2.982	2.944	2.903	2.859	2.813	2.766	2.719	2.673	2.631	2.592	2.556	2.523	2.492	2.464	2.437	2.412	2.388	2.364	2.342	2.32	2.299	2.278	2.258	2.237	2.217	2.196	2.175	2.154	2.133	2.112	2.091	2.07	2.05
1831	Central and Southern Asia	15-59/60+	6.831	6.712	6.552	6.401	6.258	6.119	5.982	5.849	5.719	5.592	5.466	5.342	5.22	5.1	4.983	4.868	4.756	4.645	4.532	4.417	4.303	4.191	4.08	3.971	3.864	3.761	3.662	3.566	3.475	3.387	3.303	3.222	3.145	3.071	2.999	2.931	2.865	2.801	2.738	2.677	2.617	2.561	2.507	2.458	2.412	2.368	2.326	2.286	2.247	2.21	2.175	2.141	2.111	2.082	2.055	2.029	2.006	1.984	1.964	1.946	1.928	1.911	1.895	1.878	1.863	1.847	1.832	1.818	1.803	1.789	1.776	1.762	1.749	1.736	1.723	1.711	1.699	1.687	1.675
1832	Eastern and South-Eastern Asia	15-59/60+	3.988	3.816	3.641	3.493	3.36	3.247	3.132	3.013	2.9	2.796	2.707	2.626	2.552	2.491	2.439	2.394	2.353	2.312	2.266	2.219	2.167	2.118	2.075	2.029	1.979	1.925	1.872	1.822	1.77	1.727	1.697	1.672	1.65	1.631	1.614	1.6	1.589	1.579	1.568	1.557	1.548	1.539	1.53	1.518	1.505	1.49	1.472	1.452	1.432	1.411	1.388	1.363	1.34	1.318	1.297	1.275	1.258	1.247	1.24	1.24	1.241	1.243	1.245	1.247	1.249	1.251	1.253	1.255	1.256	1.258	1.258	1.259	1.259	1.259	1.258	1.256	1.254	1.251	1.248
1830	Latin America and the Caribbean	15-59/60+	5.25	5.119	4.98	4.846	4.719	4.598	4.484	4.374	4.268	4.164	4.062	3.962	3.865	3.77	3.675	3.581	3.489	3.399	3.311	3.226	3.143	3.062	2.984	2.909	2.837	2.767	2.7	2.635	2.572	2.512	2.454	2.399	2.346	2.294	2.245	2.198	2.152	2.108	2.067	2.027	1.991	1.956	1.923	1.892	1.862	1.833	1.806	1.78	1.754	1.729	1.705	1.682	1.66	1.639	1.619	1.6	1.583	1.568	1.554	1.542	1.531	1.52	1.51	1.499	1.489	1.479	1.47	1.46	1.45	1.44	1.431	1.421	1.412	1.403	1.394	1.385	1.376	1.368	1.36
1835	Oceania (excluding Australia and New Zealand)	15-59/60+	9.168	8.942	8.729	8.532	8.351	8.186	8.036	7.898	7.769	7.648	7.533	7.422	7.318	7.218	7.119	7.022	6.928	6.835	6.742	6.651	6.561	6.47	6.377	6.283	6.189	6.095	6.001	5.906	5.811	5.717	5.625	5.536	5.45	5.368	5.289	5.212	5.137	5.063	4.988	4.914	4.841	4.768	4.695	4.623	4.551	4.48	4.408	4.337	4.265	4.193	4.124	4.056	3.99	3.926	3.865	3.807	3.751	3.697	3.646	3.596	3.549	3.505	3.462	3.421	3.381	3.343	3.305	3.268	3.231	3.194	3.157	3.12	3.084	3.049	3.014	2.979	2.944	2.909	2.875
1836	Australia/New Zealand	15-59/60+	2.781	2.726	2.679	2.64	2.606	2.574	2.542	2.509	2.474	2.437	2.401	2.37	2.344	2.323	2.304	2.288	2.272	2.255	2.235	2.212	2.185	2.158	2.129	2.1	2.071	2.042	2.011	1.98	1.947	1.915	1.883	1.852	1.821	1.791	1.765	1.743	1.723	1.704	1.688	1.675	1.664	1.654	1.643	1.632	1.619	1.604	1.589	1.575	1.56	1.546	1.532	1.52	1.508	1.496	1.486	1.477	1.47	1.463	1.457	1.452	1.446	1.441	1.436	1.432	1.427	1.422	1.418	1.414	1.41	1.406	1.403	1.4	1.396	1.393	1.39	1.386	1.382	1.378	1.374
1829	Europe and Northern America	15-59/60+	2.621	2.569	2.512	2.46	2.414	2.373	2.334	2.296	2.257	2.221	2.188	2.16	2.131	2.103	2.075	2.049	2.023	1.996	1.967	1.939	1.913	1.887	1.861	1.836	1.811	1.786	1.762	1.739	1.717	1.696	1.679	1.666	1.655	1.645	1.637	1.63	1.624	1.617	1.61	1.604	1.598	1.591	1.584	1.576	1.567	1.556	1.543	1.53	1.518	1.506	1.494	1.483	1.472	1.46	1.45	1.44	1.434	1.429	1.426	1.424	1.422	1.42	1.419	1.417	1.415	1.413	1.412	1.41	1.408	1.406	1.404	1.401	1.398	1.395	1.391	1.387	1.383	1.379	1.374
901	More developed regions	15-59/60+	2.497	2.451	2.402	2.356	2.316	2.28	2.243	2.207	2.171	2.136	2.104	2.074	2.045	2.016	1.989	1.964	1.94	1.915	1.889	1.864	1.841	1.817	1.794	1.772	1.749	1.727	1.706	1.685	1.665	1.647	1.632	1.619	1.609	1.6	1.592	1.585	1.579	1.573	1.566	1.56	1.554	1.548	1.542	1.535	1.527	1.517	1.505	1.494	1.483	1.472	1.461	1.451	1.44	1.43	1.42	1.412	1.406	1.402	1.4	1.399	1.397	1.396	1.394	1.393	1.392	1.39	1.389	1.387	1.385	1.384	1.381	1.379	1.376	1.373	1.37	1.366	1.363	1.358	1.354
902	Less developed regions	15-59/60+	5.892	5.723	5.539	5.376	5.227	5.094	4.963	4.828	4.701	4.582	4.474	4.375	4.283	4.201	4.126	4.057	3.992	3.925	3.855	3.782	3.707	3.635	3.568	3.501	3.431	3.359	3.291	3.226	3.162	3.105	3.058	3.016	2.978	2.941	2.907	2.876	2.846	2.818	2.789	2.761	2.733	2.707	2.68	2.653	2.625	2.597	2.568	2.537	2.506	2.476	2.445	2.414	2.385	2.357	2.33	2.304	2.281	2.262	2.246	2.234	2.223	2.212	2.201	2.191	2.18	2.169	2.158	2.147	2.136	2.125	2.113	2.101	2.089	2.077	2.065	2.053	2.04	2.027	2.015
941	Least developed countries	15-59/60+	10.584	10.537	10.458	10.358	10.246	10.126	10.003	9.879	9.756	9.633	9.509	9.388	9.274	9.163	9.052	8.938	8.821	8.697	8.564	8.428	8.291	8.155	8.02	7.883	7.748	7.614	7.483	7.354	7.226	7.1	6.977	6.856	6.735	6.615	6.496	6.379	6.264	6.15	6.036	5.922	5.811	5.701	5.594	5.491	5.39	5.292	5.197	5.107	5.019	4.934	4.852	4.771	4.692	4.614	4.537	4.462	4.388	4.314	4.241	4.17	4.101	4.034	3.969	3.907	3.846	3.787	3.729	3.673	3.619	3.567	3.515	3.465	3.417	3.369	3.323	3.278	3.234	3.192	3.15
934	Less developed regions, excluding least developed countries	15-59/60+	5.473	5.297	5.107	4.941	4.789	4.655	4.522	4.386	4.258	4.138	4.029	3.929	3.835	3.752	3.675	3.604	3.538	3.47	3.398	3.326	3.25	3.178	3.111	3.044	2.975	2.904	2.836	2.771	2.708	2.652	2.606	2.565	2.527	2.492	2.459	2.428	2.4	2.373	2.346	2.32	2.294	2.27	2.245	2.22	2.195	2.169	2.141	2.113	2.084	2.055	2.026	1.997	1.969	1.943	1.919	1.895	1.874	1.858	1.845	1.836	1.828	1.821	1.814	1.807	1.8	1.792	1.785	1.778	1.771	1.763	1.755	1.747	1.739	1.73	1.722	1.713	1.704	1.694	1.685
948	Less developed regions, excluding China	15-59/60+	7.018	6.887	6.731	6.581	6.439	6.302	6.168	6.038	5.914	5.792	5.673	5.558	5.446	5.337	5.231	5.126	5.024	4.922	4.819	4.716	4.616	4.519	4.426	4.336	4.249	4.167	4.088	4.012	3.94	3.871	3.804	3.741	3.68	3.621	3.565	3.511	3.459	3.409	3.36	3.312	3.265	3.22	3.176	3.134	3.093	3.052	3.011	2.971	2.931	2.892	2.854	2.817	2.781	2.748	2.715	2.685	2.656	2.629	2.604	2.58	2.556	2.534	2.512	2.49	2.469	2.448	2.428	2.407	2.387	2.367	2.347	2.327	2.308	2.288	2.269	2.25	2.232	2.213	2.195
