country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0	26.159	24.763	24.036	23.632	22.904	22.356	21.912	21.425	20.914	20.425	19.985	19.521	19.06	18.635	18.217	17.827	17.366	16.929	16.491	16.172	15.789	15.487	15.174	14.799	14.51	14.315	14.107	13.905	13.651	13.438	13.218	13.009	12.768	12.523	12.316	12.097	11.906	11.716	11.586	11.355	11.144	10.96	10.786	10.535	10.358	10.186	10.022	9.813	9.634	9.468	9.313	9.19	9.127	8.954	8.81	8.626	8.567	8.424	8.294	8.212	8.09	7.923	7.854	7.732	7.586	7.552	7.416	7.346	7.286	7.148	7.069	7.03	6.943	6.827	6.774	6.617	6.499	6.406	6.375
1834	Sub-Saharan Africa	0	44.517	42.511	41.459	41.017	40.083	39.115	38.222	37.258	36.23	35.216	34.52	33.694	33.016	32.129	31.203	30.591	29.812	28.992	28.078	27.42	26.857	26.36	25.944	25.198	24.65	24.098	23.356	23.097	22.556	22.17	21.673	21.299	20.941	20.577	20.115	19.537	19.275	18.955	18.491	18.01	17.73	17.437	17.231	16.966	16.583	16.25	16.086	15.646	15.26	15.145	15.09	14.771	14.592	14.339	14.197	13.928	13.719	13.457	13.223	13.042	12.83	12.782	12.476	12.352	12.271	12.086	11.866	11.809	11.578	11.603	11.462	11.163	11.087	10.9	10.793	10.674	10.41	10.315	10.28
1833	Northern Africa and Western Asia	0	17.726	16.818	15.391	15.072	14.571	14.08	13.6	13.161	12.822	12.338	11.992	11.583	11.221	10.903	10.51	10.209	9.868	9.527	9.258	9.056	8.797	8.47	8.13	8.018	7.751	7.587	7.406	7.151	6.999	6.74	6.566	6.448	6.192	6.065	5.891	5.717	5.609	5.48	5.362	5.238	5.12	4.954	4.844	4.712	4.668	4.574	4.451	4.352	4.279	4.248	4.171	4.09	4.011	3.866	3.761	3.685	3.548	3.522	3.448	3.403	3.322	3.311	3.251	3.212	3.113	3.047	3.016	2.962	2.91	2.852	2.831	2.737	2.722	2.667	2.633	2.592	2.519	2.478	2.463
1831	Central and Southern Asia	0	26.225	22.73	21.242	20.431	19.23	18.237	17.59	16.693	16.119	15.391	14.638	14.13	13.623	13.055	12.427	12.141	11.5	11.172	10.717	10.274	9.732	9.487	9.159	8.816	8.605	8.429	8.093	7.883	7.492	7.298	7.116	6.94	6.708	6.517	6.347	6.098	5.951	5.821	5.607	5.475	5.232	5.108	4.922	4.832	4.595	4.478	4.471	4.329	4.221	4.155	4.051	4.01	3.962	3.889	3.766	3.718	3.597	3.48	3.399	3.347	3.247	3.102	3.056	3.001	2.949	2.873	2.888	2.798	2.739	2.69	2.619	2.599	2.529	2.452	2.421	2.37	2.348	2.298	2.24
1832	Eastern and South-Eastern Asia	0	10.485	9.701	9.264	8.941	8.555	8.222	7.98	7.589	7.315	7.096	6.783	6.591	6.358	6.153	5.911	5.712	5.531	5.33	5.189	5.021	4.902	4.757	4.592	4.462	4.363	4.313	4.201	4.147	4.007	3.992	3.861	3.755	3.688	3.616	3.586	3.536	3.443	3.345	3.319	3.234	3.189	3.138	3.078	3.034	2.992	2.938	2.853	2.796	2.762	2.705	2.658	2.59	2.576	2.542	2.483	2.431	2.418	2.398	2.367	2.336	2.298	2.295	2.242	2.238	2.225	2.224	2.193	2.178	2.164	2.091	2.044	2.009	2.014	1.952	1.938	1.901	1.9	1.84	1.808
1830	Latin America and the Caribbean	0	12.162	10.849	10.29	9.867	9.435	9.034	8.7	8.375	8.089	7.736	7.481	7.213	6.952	6.771	6.589	6.348	6.147	5.976	5.788	5.6	5.468	5.278	5.104	4.954	4.823	4.71	4.554	4.42	4.303	4.239	4.145	4.016	3.902	3.807	3.702	3.616	3.532	3.449	3.351	3.276	3.221	3.182	3.117	3.092	3.028	2.954	2.861	2.799	2.747	2.7	2.624	2.595	2.532	2.489	2.441	2.381	2.357	2.339	2.308	2.266	2.237	2.203	2.194	2.144	2.103	2.047	2.03	1.987	1.958	1.932	1.895	1.871	1.842	1.801	1.779	1.746	1.729	1.714	1.706
1835	Oceania (excluding Australia and New Zealand)	0	22.003	20.77	19.22	17.957	16.968	15.56	15.033	14.441	13.438	12.644	12.119	11.636	11.056	10.486	10.196	9.858	9.608	9.267	8.916	8.731	8.667	8.244	8.157	8.025	7.718	7.599	7.14	7.098	6.789	6.632	6.541	6.336	6.196	6.033	5.802	5.716	5.55	5.526	5.454	5.347	5.186	5.125	4.983	4.997	4.858	4.804	4.654	4.528	4.527	4.381	4.364	4.366	4.217	4.14	4.088	4.042	4.014	3.946	3.925	3.933	3.874	3.791	3.729	3.623	3.623	3.624	3.554	3.515	3.403	3.341	3.391	3.315	3.281	3.269	3.233	3.204	3.141	3.129	3.071
1836	Australia/New Zealand	0	2.473	2.328	2.221	2.136	2.039	1.959	1.849	1.798	1.721	1.656	1.597	1.523	1.478	1.434	1.387	1.328	1.298	1.248	1.214	1.154	1.142	1.115	1.074	1.04	1.004	0.978	0.938	0.914	0.868	0.838	0.82	0.794	0.77	0.734	0.707	0.673	0.658	0.635	0.613	0.595	0.572	0.557	0.531	0.522	0.515	0.483	0.464	0.442	0.429	0.408	0.389	0.371	0.376	0.359	0.332	0.316	0.305	0.299	0.275	0.268	0.271	0.26	0.247	0.236	0.22	0.214	0.197	0.193	0.178	0.165	0.161	0.162	0.16	0.143	0.14	0.136	0.129	0.124	0.12
1829	Europe and Northern America	0	3.843	3.3	3.111	2.978	2.874	2.76	2.655	2.581	2.506	2.425	2.321	2.273	2.201	2.132	2.065	2.008	1.952	1.897	1.843	1.797	1.752	1.719	1.664	1.628	1.59	1.543	1.507	1.475	1.447	1.411	1.39	1.361	1.331	1.296	1.267	1.24	1.221	1.201	1.187	1.16	1.138	1.12	1.089	1.076	1.05	1.029	1.002	0.985	0.967	0.949	0.928	0.918	0.901	0.884	0.871	0.855	0.831	0.809	0.796	0.784	0.784	0.766	0.757	0.74	0.728	0.72	0.704	0.682	0.664	0.653	0.648	0.631	0.626	0.613	0.6	0.589	0.571	0.566	0.541
901	More developed regions	0	3.662	3.175	2.991	2.864	2.771	2.665	2.561	2.483	2.416	2.342	2.251	2.193	2.125	2.071	2.01	1.961	1.902	1.849	1.808	1.752	1.71	1.679	1.622	1.585	1.546	1.518	1.475	1.445	1.417	1.376	1.358	1.327	1.307	1.276	1.241	1.222	1.194	1.18	1.158	1.136	1.117	1.091	1.073	1.047	1.028	1.006	0.984	0.968	0.947	0.931	0.913	0.905	0.883	0.869	0.852	0.834	0.811	0.794	0.777	0.766	0.758	0.74	0.737	0.725	0.704	0.694	0.676	0.666	0.647	0.639	0.631	0.619	0.606	0.596	0.581	0.568	0.559	0.545	0.527
