country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0	26.644	26.167	25.699	25.633	25.109	24.678	24.197	23.837	23.354	22.96	22.539	22.111	21.699	21.298	20.97	20.583	20.324	19.908	19.587	19.153	18.87	18.608	18.318	18.117	17.837	17.583	17.38	17.041	16.845	16.742	16.57	16.285	16.085	15.81	15.709	15.511	15.282	15.076	14.91	14.726	14.644	14.368	14.205	14.006	13.81	13.644	13.416	13.261	13.069	12.954	12.728	12.696	12.525	12.448	12.347	12.212	12.1	11.971	11.816	11.734	11.646	11.459	11.391	11.365	11.282	11.22	11.104	10.951	10.866	10.798	10.753	10.65	10.545	10.424	10.321	10.202	10.142	10.087	10.057
1834	Sub-Saharan Africa	0	45.948	45.069	44.738	44.91	44.265	43.704	43.205	42.528	41.768	41.169	40.529	40.041	39.507	38.817	38.205	37.732	37.344	36.739	36.261	35.802	35.258	34.854	34.258	33.746	33.244	32.728	32.253	31.813	31.378	30.935	30.554	29.931	29.505	29.293	28.94	28.544	28.158	27.848	27.51	27.028	26.816	26.482	26.1	25.815	25.313	25.063	24.745	24.262	24.006	23.747	23.563	23.366	23.085	22.757	22.545	22.296	22.127	21.863	21.63	21.413	21.158	20.747	20.68	20.565	20.429	20.284	19.925	19.73	19.587	19.341	19.186	19.147	19.008	18.69	18.607	18.465	18.253	18.014	18.037
1833	Northern Africa and Western Asia	0	18.666	18.896	18.146	18.008	17.719	17.479	17.166	16.898	16.591	16.36	16.124	15.834	15.552	15.225	15.028	14.776	14.51	14.222	13.952	13.659	13.407	13.158	12.948	12.801	12.577	12.405	12.242	11.962	11.834	11.69	11.5	11.27	11.105	11	10.877	10.647	10.52	10.383	10.231	10.172	10.018	9.959	9.767	9.635	9.467	9.394	9.367	9.221	9.133	9.011	8.888	8.817	8.679	8.506	8.468	8.37	8.373	8.277	8.2	8.05	8.075	7.98	7.854	7.796	7.728	7.706	7.594	7.539	7.492	7.364	7.334	7.242	7.199	7.158	7.172	7.116	7.121	7.086	6.99
1831	Central and Southern Asia	0	30.725	31.092	30.394	30.007	29.174	28.342	27.487	27.001	26.011	25.365	24.883	24.205	23.722	22.976	22.422	21.944	21.305	20.871	20.301	19.866	19.422	18.912	18.439	18.071	17.801	17.296	17.041	16.522	16.233	15.835	15.579	15.447	15.069	14.759	14.692	14.356	13.897	13.773	13.701	13.337	12.85	12.755	12.399	12.273	12.172	11.919	11.59	11.514	11.271	10.98	10.759	10.525	10.255	10.096	9.997	9.834	9.769	9.774	9.533	9.437	9.25	9.159	9.038	8.867	8.705	8.592	8.493	8.357	8.271	8.157	7.91	7.794	7.7	7.548	7.486	7.375	7.342	7.152	7.112
1832	Eastern and South-Eastern Asia	0	11.195	11.288	11.142	10.963	10.706	10.454	10.21	9.965	9.799	9.556	9.311	9.149	9.011	8.856	8.663	8.528	8.361	8.207	8.027	7.842	7.707	7.558	7.385	7.315	7.187	7.093	6.98	6.935	6.86	6.81	6.783	6.702	6.716	6.666	6.622	6.505	6.387	6.381	6.3	6.2	6.095	6.036	5.962	5.868	5.781	5.784	5.688	5.586	5.566	5.478	5.435	5.385	5.305	5.259	5.233	5.205	5.126	5.148	5.086	5.087	5.053	5.057	5.013	5.046	4.986	4.971	4.99	4.938	4.943	4.888	4.829	4.82	4.815	4.781	4.712	4.709	4.62	4.59	4.517
1830	Latin America and the Caribbean	0	12.237	11.716	11.281	11.001	10.7	10.374	10.129	9.863	9.58	9.297	9.032	8.842	8.602	8.42	8.221	8.071	7.851	7.731	7.52	7.386	7.209	7.055	6.922	6.775	6.641	6.515	6.365	6.29	6.165	6.053	5.953	5.859	5.719	5.634	5.57	5.468	5.377	5.305	5.215	5.112	5.014	4.964	4.858	4.814	4.775	4.696	4.637	4.566	4.508	4.471	4.385	4.368	4.32	4.263	4.211	4.116	4.056	4.016	3.982	3.941	3.866	3.823	3.801	3.775	3.714	3.682	3.6	3.575	3.559	3.53	3.461	3.407	3.409	3.374	3.3	3.297	3.256	3.214	3.191
1835	Oceania (excluding Australia and New Zealand)	0	31.048	31.402	31.495	31.366	31.57	31.61	31.76	31.51	31.195	31.061	31.197	31.302	30.748	30.319	30.2	29.978	30.209	30.045	29.524	29.261	29.128	28.743	28.286	27.907	27.923	27.628	26.936	26.571	26.418	25.872	25.838	25.034	24.739	24.38	24.226	23.913	23.308	23.22	22.845	22.657	22.35	22.309	22.308	21.699	21.239	21.148	20.841	20.965	20.645	20.001	19.716	19.568	18.848	18.545	18.34	18.518	18.273	17.855	18.032	17.619	17.62	17.618	17.131	17.237	17.081	16.96	16.795	16.566	16.636	16.734	16.204	16.119	15.854	15.884	15.947	15.926	15.65	15.551	15.397
1836	Australia/New Zealand	0	2.949	2.934	2.901	2.894	2.877	2.855	2.851	2.82	2.816	2.786	2.76	2.75	2.745	2.729	2.705	2.676	2.67	2.651	2.608	2.602	2.57	2.553	2.492	2.452	2.393	2.404	2.36	2.32	2.281	2.256	2.214	2.191	2.149	2.075	2.103	2.055	2.063	2.039	1.998	1.97	1.942	1.913	1.88	1.827	1.823	1.811	1.78	1.757	1.714	1.666	1.664	1.63	1.606	1.583	1.543	1.522	1.507	1.483	1.46	1.434	1.439	1.402	1.398	1.364	1.34	1.352	1.306	1.267	1.253	1.225	1.204	1.156	1.15	1.116	1.095	1.076	1.062	1.044	1.027
1829	Europe and Northern America	0	3.764	3.724	3.632	3.579	3.541	3.478	3.439	3.419	3.357	3.29	3.249	3.2	3.154	3.133	3.103	3.045	2.999	2.928	2.88	2.808	2.766	2.712	2.663	2.619	2.588	2.55	2.505	2.446	2.418	2.377	2.327	2.299	2.257	2.224	2.195	2.163	2.138	2.116	2.086	2.061	2.046	2.004	1.983	1.926	1.898	1.896	1.864	1.821	1.799	1.764	1.751	1.727	1.685	1.68	1.651	1.624	1.602	1.577	1.559	1.53	1.492	1.469	1.457	1.441	1.423	1.408	1.376	1.353	1.327	1.313	1.294	1.291	1.268	1.248	1.234	1.224	1.194	1.182	1.158
901	More developed regions	0	3.587	3.546	3.452	3.41	3.367	3.311	3.274	3.237	3.179	3.129	3.088	3.044	2.977	2.965	2.927	2.879	2.845	2.774	2.728	2.653	2.611	2.565	2.527	2.477	2.465	2.414	2.371	2.311	2.281	2.243	2.196	2.177	2.136	2.113	2.084	2.052	2.026	2.006	1.972	1.957	1.937	1.9	1.868	1.828	1.795	1.789	1.761	1.727	1.691	1.673	1.654	1.63	1.593	1.576	1.561	1.524	1.511	1.484	1.465	1.445	1.412	1.386	1.369	1.357	1.342	1.326	1.292	1.27	1.24	1.23	1.219	1.206	1.19	1.183	1.155	1.148	1.128	1.1	1.089
902	Less developed regions	0	28.956	28.454	27.923	27.837	27.244	26.777	26.259	25.841	25.343	24.922	24.436	23.924	23.512	23.065	22.71	22.278	21.98	21.578	21.212	20.753	20.424	20.113	19.819	19.629	19.341	18.997	18.793	18.49	18.207	18.174	17.889	17.582	17.341	17.054	16.978	16.752	16.513	16.26	16.163	15.894	15.737	15.494	15.31	15.162	14.952	14.717	14.528	14.365	14.166	13.967	13.772	13.669	13.585	13.494	13.342	13.245	13.101	12.971	12.792	12.673	12.678	12.44	12.333	12.3	12.263	12.16	11.988	11.864	11.775	11.65	11.669	11.538	11.44	11.296	11.231	11.242	11.026	10.933	10.906
941	Least developed countries	0	37.316	36.348	35.959	36.423	35.721	35.122	34.41	33.775	33.12	32.605	32.012	31.489	31.019	30.433	29.966	29.414	28.996	28.375	27.978	27.479	26.959	26.526	25.959	25.55	25.199	24.799	24.342	23.821	23.529	23.221	22.911	22.62	22.103	21.845	21.605	21.28	20.983	20.646	20.451	20.172	19.74	19.633	19.238	18.995	18.828	18.539	18.258	18.001	17.811	17.549	17.422	17.058	16.955	16.71	16.519	16.327	16.243	16.084	15.889	15.682	15.549	15.375	15.187	15.01	14.945	14.669	14.583	14.456	14.327	14.189	14.087	13.841	13.777	13.562	13.548	13.458	13.331	13.231	12.997
