country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0	25.759	24.774	24.137	23.867	23.317	22.783	22.26	21.756	21.261	20.794	20.336	19.897	19.468	19.043	18.62	18.214	17.819	17.439	17.075	16.716	16.369	16.053	15.744	15.45	15.166	14.907	14.67	14.43	14.205	13.991	13.77	13.554	13.346	13.146	12.954	12.75	12.544	12.348	12.155	11.965	11.778	11.582	11.404	11.216	11.032	10.872	10.694	10.525	10.353	10.195	10.058	9.913	9.776	9.629	9.5	9.368	9.25	9.13	9.018	8.908	8.808	8.692	8.597	8.5	8.396	8.309	8.219	8.125	8.037	7.953	7.87	7.782	7.7	7.61	7.529	7.451	7.372	7.286	7.214
1834	Sub-Saharan Africa	0	43.934	42.625	41.817	41.778	40.896	40.027	39.163	38.339	37.518	36.781	36.042	35.332	34.628	33.934	33.249	32.601	31.973	31.34	30.733	30.139	29.558	28.983	28.448	27.897	27.365	26.864	26.392	25.908	25.45	25	24.541	24.108	23.695	23.292	22.918	22.531	22.155	21.786	21.435	21.099	20.764	20.425	20.105	19.781	19.45	19.164	18.841	18.538	18.23	17.942	17.691	17.423	17.173	16.895	16.654	16.41	16.165	15.932	15.706	15.487	15.293	15.065	14.88	14.689	14.486	14.317	14.141	13.973	13.805	13.648	13.492	13.333	13.185	13.031	12.895	12.758	12.618	12.463	12.336
1833	Northern Africa and Western Asia	0	17.702	17.475	16.34	16.022	15.611	15.204	14.809	14.42	14.059	13.71	13.372	13.041	12.694	12.374	12.048	11.733	11.432	11.135	10.856	10.567	10.325	10.08	9.832	9.609	9.399	9.185	8.991	8.792	8.606	8.429	8.254	8.071	7.904	7.751	7.588	7.432	7.286	7.145	7.011	6.879	6.738	6.615	6.488	6.377	6.252	6.144	6.037	5.934	5.828	5.741	5.643	5.56	5.463	5.38	5.305	5.221	5.144	5.062	4.995	4.925	4.861	4.791	4.727	4.667	4.611	4.56	4.518	4.46	4.412	4.364	4.317	4.275	4.232	4.188	4.152	4.11	4.068	4.026	3.988
1831	Central and Southern Asia	0	28.571	26.698	25.677	24.782	23.876	23.006	22.186	21.39	20.654	19.917	19.233	18.583	17.94	17.347	16.774	16.209	15.65	15.15	14.659	14.164	13.708	13.291	12.879	12.497	12.13	11.784	11.453	11.125	10.825	10.556	10.287	10.005	9.745	9.501	9.263	9.015	8.786	8.579	8.376	8.162	7.97	7.788	7.606	7.423	7.256	7.107	6.964	6.821	6.678	6.555	6.431	6.306	6.195	6.079	5.972	5.858	5.764	5.668	5.576	5.488	5.402	5.315	5.231	5.147	5.068	5.001	4.927	4.855	4.787	4.717	4.655	4.586	4.523	4.457	4.389	4.338	4.277	4.226	4.17
1832	Eastern and South-Eastern Asia	0	10.45	10.114	9.787	9.497	9.209	8.914	8.643	8.381	8.124	7.88	7.631	7.429	7.231	7.032	6.842	6.655	6.476	6.302	6.137	5.983	5.841	5.713	5.576	5.463	5.356	5.26	5.177	5.1	5.028	4.962	4.894	4.832	4.772	4.709	4.654	4.591	4.525	4.466	4.4	4.329	4.266	4.198	4.133	4.077	4.018	3.964	3.912	3.861	3.811	3.765	3.726	3.691	3.647	3.614	3.579	3.548	3.519	3.494	3.468	3.441	3.419	3.395	3.374	3.352	3.332	3.313	3.295	3.274	3.252	3.229	3.205	3.176	3.154	3.125	3.097	3.07	3.04	3.012	2.987
1830	Latin America and the Caribbean	0	11.687	10.765	10.273	9.962	9.598	9.275	8.967	8.667	8.392	8.128	7.87	7.643	7.424	7.22	7.016	6.823	6.646	6.472	6.306	6.143	5.992	5.846	5.705	5.57	5.439	5.319	5.196	5.087	4.975	4.874	4.774	4.678	4.585	4.495	4.413	4.327	4.25	4.172	4.094	4.023	3.952	3.888	3.824	3.76	3.7	3.639	3.585	3.531	3.475	3.421	3.372	3.325	3.275	3.227	3.184	3.143	3.1	3.06	3.024	2.984	2.947	2.91	2.875	2.84	2.806	2.773	2.74	2.709	2.677	2.647	2.616	2.587	2.557	2.529	2.499	2.472	2.444	2.417	2.393
1835	Oceania (excluding Australia and New Zealand)	0	27.087	26.407	25.78	25.158	24.61	23.992	23.422	22.863	22.359	21.848	21.338	20.843	20.356	19.804	19.335	18.81	18.334	17.841	17.378	16.973	16.532	16.081	15.664	15.289	14.947	14.564	14.233	13.875	13.564	13.236	12.925	12.621	12.341	12.062	11.809	11.527	11.283	11.055	10.816	10.609	10.392	10.204	10.041	9.857	9.705	9.55	9.399	9.251	9.113	9.003	8.885	8.744	8.621	8.512	8.397	8.309	8.235	8.15	8.094	8.029	7.964	7.896	7.849	7.794	7.75	7.71	7.657	7.612	7.561	7.525	7.477	7.441	7.398	7.347	7.316	7.264	7.232	7.19	7.152
1836	Australia/New Zealand	0	2.697	2.643	2.579	2.527	2.477	2.418	2.37	2.315	2.271	2.219	2.171	2.126	2.076	2.034	1.988	1.946	1.903	1.861	1.824	1.786	1.748	1.71	1.672	1.637	1.602	1.568	1.535	1.502	1.469	1.436	1.401	1.374	1.34	1.314	1.288	1.257	1.231	1.203	1.175	1.147	1.126	1.099	1.074	1.045	1.026	0.999	0.976	0.954	0.933	0.909	0.889	0.866	0.847	0.823	0.806	0.783	0.766	0.747	0.729	0.709	0.692	0.675	0.657	0.639	0.622	0.606	0.59	0.574	0.558	0.542	0.526	0.512	0.497	0.483	0.468	0.455	0.441	0.426	0.413
1829	Europe and Northern America	0	3.668	3.42	3.287	3.203	3.126	3.045	2.972	2.904	2.836	2.77	2.707	2.646	2.581	2.527	2.469	2.412	2.357	2.304	2.252	2.201	2.153	2.106	2.057	2.017	1.974	1.934	1.895	1.856	1.821	1.785	1.754	1.719	1.69	1.66	1.631	1.598	1.573	1.544	1.515	1.49	1.465	1.438	1.412	1.387	1.362	1.339	1.312	1.288	1.266	1.243	1.221	1.199	1.177	1.157	1.135	1.116	1.096	1.078	1.059	1.04	1.024	1.006	0.99	0.973	0.956	0.941	0.926	0.91	0.895	0.879	0.866	0.85	0.834	0.821	0.807	0.792	0.78	0.765	0.751
901	More developed regions	0	3.5	3.271	3.146	3.066	2.991	2.914	2.843	2.777	2.712	2.649	2.589	2.531	2.469	2.417	2.362	2.309	2.256	2.205	2.155	2.108	2.062	2.017	1.971	1.932	1.892	1.853	1.816	1.779	1.744	1.71	1.679	1.646	1.618	1.589	1.562	1.529	1.505	1.477	1.449	1.424	1.4	1.374	1.349	1.325	1.301	1.278	1.252	1.229	1.208	1.186	1.164	1.143	1.122	1.102	1.082	1.063	1.043	1.026	1.007	0.989	0.974	0.957	0.941	0.924	0.908	0.893	0.878	0.863	0.848	0.833	0.82	0.804	0.789	0.776	0.763	0.749	0.737	0.722	0.709
