country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0	29.156	28.557	28.115	28.089	27.678	27.277	26.887	26.487	26.09	25.717	25.338	24.969	24.611	24.244	23.883	23.518	23.163	22.827	22.491	22.164	21.845	21.553	21.269	20.99	20.734	20.497	20.271	20.055	19.852	19.664	19.458	19.25	19.053	18.859	18.675	18.466	18.249	18.046	17.837	17.63	17.414	17.192	16.986	16.763	16.547	16.353	16.15	15.937	15.735	15.535	15.373	15.183	15.005	14.821	14.653	14.479	14.326	14.168	14.021	13.874	13.722	13.572	13.427	13.289	13.146	13.02	12.885	12.737	12.607	12.476	12.343	12.207	12.071	11.927	11.799	11.663	11.535	11.401	11.272
1834	Sub-Saharan Africa	0	51.058	49.893	49.338	49.724	48.96	48.213	47.49	46.775	46.061	45.42	44.781	44.16	43.554	42.944	42.351	41.78	41.223	40.677	40.131	39.608	39.089	38.57	38.087	37.578	37.093	36.626	36.172	35.721	35.288	34.873	34.445	34.021	33.624	33.24	32.874	32.485	32.108	31.751	31.403	31.057	30.721	30.379	30.04	29.684	29.345	29.038	28.714	28.376	28.058	27.737	27.473	27.16	26.876	26.557	26.272	25.988	25.705	25.428	25.169	24.897	24.639	24.384	24.127	23.877	23.622	23.405	23.161	22.923	22.694	22.469	22.251	22.026	21.804	21.589	21.388	21.171	20.964	20.752	20.537
1833	Northern Africa and Western Asia	0	21.238	21.261	20.157	20.05	19.731	19.417	19.096	18.788	18.497	18.193	17.891	17.599	17.282	16.978	16.66	16.375	16.089	15.793	15.532	15.238	14.991	14.742	14.489	14.264	14.042	13.829	13.631	13.419	13.233	13.036	12.844	12.631	12.436	12.26	12.074	11.87	11.684	11.51	11.338	11.162	10.973	10.79	10.622	10.468	10.289	10.13	9.981	9.825	9.66	9.517	9.36	9.209	9.036	8.907	8.77	8.626	8.467	8.325	8.175	8.044	7.91	7.78	7.646	7.517	7.404	7.29	7.187	7.069	6.959	6.843	6.717	6.599	6.483	6.362	6.261	6.153	6.037	5.924	5.811
1831	Central and Southern Asia	0	30.227	29.275	28.556	27.922	27.251	26.593	25.972	25.317	24.716	24.127	23.553	23.004	22.449	21.937	21.461	20.933	20.423	19.968	19.486	19.006	18.571	18.141	17.735	17.322	16.969	16.607	16.242	15.889	15.571	15.289	14.978	14.657	14.368	14.058	13.795	13.5	13.227	12.953	12.683	12.42	12.122	11.874	11.628	11.371	11.113	10.881	10.655	10.418	10.199	9.985	9.798	9.581	9.38	9.185	9.001	8.782	8.606	8.426	8.24	8.071	7.884	7.702	7.528	7.368	7.218	7.07	6.933	6.772	6.636	6.501	6.355	6.222	6.084	5.934	5.805	5.683	5.557	5.433	5.32
1832	Eastern and South-Eastern Asia	0	12.895	12.74	12.469	12.225	11.985	11.728	11.494	11.265	11.027	10.807	10.56	10.334	10.136	9.924	9.711	9.486	9.271	9.055	8.851	8.667	8.482	8.321	8.155	8.009	7.875	7.76	7.649	7.565	7.478	7.412	7.322	7.243	7.166	7.085	7.011	6.918	6.812	6.719	6.604	6.484	6.37	6.242	6.118	6.013	5.901	5.79	5.69	5.583	5.477	5.394	5.308	5.229	5.153	5.086	5.014	4.958	4.89	4.834	4.778	4.726	4.675	4.627	4.578	4.529	4.484	4.442	4.398	4.355	4.304	4.258	4.206	4.153	4.104	4.046	3.995	3.942	3.887	3.831	3.783
1830	Latin America and the Caribbean	0	14.375	13.579	13.092	12.767	12.379	12.033	11.689	11.358	11.04	10.729	10.428	10.155	9.886	9.633	9.379	9.129	8.897	8.674	8.45	8.232	8.028	7.823	7.63	7.437	7.255	7.08	6.905	6.74	6.574	6.42	6.269	6.125	5.987	5.851	5.728	5.603	5.485	5.37	5.252	5.142	5.028	4.927	4.831	4.737	4.643	4.553	4.468	4.383	4.304	4.23	4.156	4.083	4.013	3.944	3.878	3.815	3.755	3.699	3.646	3.588	3.535	3.48	3.428	3.378	3.327	3.281	3.23	3.188	3.139	3.096	3.052	3.011	2.972	2.933	2.89	2.852	2.816	2.78	2.747
1835	Oceania (excluding Australia and New Zealand)	0	32.212	31.664	31.175	30.662	30.184	29.71	29.208	28.749	28.287	27.879	27.436	27.012	26.577	26.083	25.673	25.203	24.756	24.294	23.862	23.492	23.083	22.704	22.264	21.887	21.527	21.174	20.816	20.454	20.104	19.721	19.383	19.077	18.745	18.41	18.089	17.786	17.448	17.156	16.833	16.577	16.265	15.996	15.721	15.447	15.197	14.913	14.625	14.352	14.143	13.867	13.603	13.355	13.095	12.837	12.59	12.331	12.161	11.94	11.74	11.561	11.365	11.171	10.971	10.805	10.615	10.441	10.216	10.063	9.88	9.674	9.496	9.311	9.12	8.946	8.794	8.642	8.488	8.35	8.213
1836	Australia/New Zealand	0	3.155	3.068	2.992	2.916	2.849	2.784	2.715	2.655	2.604	2.547	2.498	2.445	2.394	2.348	2.305	2.261	2.221	2.177	2.142	2.098	2.057	2.021	1.986	1.947	1.913	1.876	1.845	1.81	1.78	1.748	1.719	1.688	1.657	1.631	1.601	1.572	1.548	1.52	1.493	1.465	1.441	1.414	1.392	1.365	1.344	1.319	1.294	1.269	1.248	1.228	1.205	1.183	1.161	1.141	1.12	1.1	1.08	1.057	1.038	1.02	1.002	0.985	0.964	0.944	0.929	0.909	0.894	0.876	0.857	0.843	0.823	0.809	0.793	0.777	0.761	0.747	0.732	0.717	0.701
1829	Europe and Northern America	0	4.394	4.102	3.951	3.838	3.735	3.629	3.533	3.435	3.348	3.257	3.17	3.092	3.01	2.931	2.854	2.779	2.706	2.637	2.569	2.506	2.444	2.387	2.33	2.277	2.223	2.175	2.126	2.083	2.042	2.001	1.964	1.927	1.894	1.863	1.83	1.799	1.77	1.742	1.713	1.686	1.66	1.633	1.608	1.583	1.559	1.538	1.515	1.491	1.468	1.448	1.426	1.407	1.386	1.368	1.347	1.329	1.311	1.295	1.278	1.262	1.244	1.231	1.216	1.201	1.187	1.172	1.159	1.145	1.133	1.118	1.105	1.092	1.08	1.068	1.054	1.04	1.027	1.015	1.003
901	More developed regions	0	4.179	3.91	3.768	3.661	3.563	3.462	3.372	3.279	3.197	3.111	3.03	2.956	2.88	2.806	2.734	2.664	2.595	2.531	2.467	2.407	2.35	2.296	2.243	2.192	2.142	2.097	2.05	2.009	1.971	1.931	1.895	1.86	1.829	1.799	1.767	1.738	1.71	1.682	1.655	1.629	1.603	1.577	1.553	1.529	1.506	1.485	1.462	1.44	1.417	1.397	1.376	1.358	1.338	1.321	1.3	1.282	1.265	1.249	1.232	1.217	1.2	1.186	1.172	1.157	1.144	1.129	1.116	1.102	1.09	1.076	1.063	1.05	1.037	1.025	1.012	0.999	0.986	0.974	0.962
