country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-4	38.79	39.006	38.929	39.139	38.789	38.559	38.37	37.903	37.563	37.266	36.983	36.659	36.435	36.111	35.646	35.429	34.995	34.459	34.09	33.747	33.314	33.114	32.847	32.629	32.315	32.077	31.87	31.723	31.532	31.358	31.242	31.02	30.863	30.587	30.499	30.238	29.939	29.762	29.619	29.345	29.213	28.943	28.869	28.682	28.248	28.061	27.973	27.922	27.558	27.438	26.895	26.674	26.404	26.146	26.173	25.859	25.775	25.843	25.619	25.453	25.284	25.219	24.908	24.737	24.733	24.775	24.483	24.376	24.214	23.956	23.907	23.586	23.331	23.121	23.058	23.058	22.707	22.538	22.303
1834	Sub-Saharan Africa	0-4	74.868	74.349	74.634	75.756	75.472	75.241	74.849	74.365	73.935	73.39	73.319	72.724	72.283	71.775	71.215	71.056	69.838	69.385	68.747	67.976	67.352	66.887	66.285	65.944	65.21	64.582	64.183	63.758	63.308	62.115	61.78	61.31	60.477	59.717	59.28	58.567	58.301	58.198	58.36	57.041	56.35	56.496	56.216	56.024	55.572	54.925	54.379	53.327	53.152	52.994	52.561	51.998	52.039	51.566	51.118	50.453	49.893	49.364	49.361	48.658	48.219	47.906	47.128	46.913	46.643	46.403	45.416	45.219	44.864	44.626	44.21	44.141	43.782	43.475	43.172	43.012	42.373	42.375	41.703
1833	Northern Africa and Western Asia	0-4	26.822	27.568	27.079	27.281	27.166	26.955	26.757	26.655	26.502	26.279	26.227	25.871	25.725	25.357	25.158	24.935	24.784	24.442	24.167	23.94	23.757	23.54	23.215	23.062	22.746	22.421	22.276	22.196	22.03	21.969	21.797	21.909	21.673	21.398	21.303	21.115	21.174	21.195	21.103	20.807	20.87	20.502	20.218	20.193	20.033	19.851	19.843	19.986	20.039	19.973	19.905	19.709	19.316	19.06	18.959	18.858	18.624	18.791	18.903	18.621	18.531	18.424	18.211	18.381	18.255	18.098	18.066	18.019	17.74	17.709	17.676	17.55	17.404	17.409	17.398	17.026	17.323	17.465	17.103
1831	Central and Southern Asia	0-4	40.197	42.151	42.372	42.496	41.704	41.129	40.513	39.961	39.242	38.817	38.421	38.098	37.748	36.846	35.89	35.384	35.225	34.271	33.895	33.281	32.613	32.392	31.92	31.617	31.034	30.336	29.857	29.451	28.759	28.444	28.144	28.184	27.723	27.635	27.554	27.166	26.288	26.038	25.393	25.032	24.435	24.148	24.03	23.51	23.195	22.843	22.757	22.181	22.014	21.671	21.551	21.199	20.859	20.834	20.41	20.212	20.158	20.079	19.497	19.392	19.351	18.977	19.288	18.556	18.105	18.449	17.953	17.554	17.475	17.457	17.159	17.279	16.76	16.612	16.366	16.043	15.81	15.586	15.337
1832	Eastern and South-Eastern Asia	0-4	15.676	16.11	16.206	16.174	15.985	15.824	15.733	15.465	15.215	15.117	14.897	14.822	14.634	14.511	14.222	14.114	13.934	13.721	13.508	13.387	13.157	13.062	12.901	12.764	12.739	12.544	12.538	12.582	12.403	12.278	12.331	12.325	12.397	12.284	12.127	12.21	12.078	12.134	12.023	11.952	11.871	11.715	11.649	11.571	11.496	11.391	11.137	11.104	11.121	11.118	10.963	11.104	11.227	10.995	10.943	10.954	10.85	10.679	10.719	10.781	10.791	11.071	10.679	10.718	10.648	10.643	10.901	10.886	10.984	10.783	10.843	10.977	10.713	10.615	10.599	10.456	10.48	10.337	10.547
1830	Latin America and the Caribbean	0-4	16.583	16.332	15.965	15.708	15.389	15.175	14.869	14.57	14.269	13.974	13.721	13.348	13.134	12.841	12.637	12.394	12.174	11.923	11.705	11.437	11.188	11.041	10.827	10.655	10.5	10.355	10.095	9.846	9.698	9.498	9.351	9.256	9.14	8.925	8.87	8.718	8.587	8.423	8.304	8.154	8.015	7.915	7.865	7.798	7.714	7.549	7.416	7.283	7.332	7.24	7.173	7.083	6.935	6.848	6.743	6.646	6.506	6.446	6.389	6.339	6.217	6.172	6.146	6.01	5.972	5.903	5.804	5.773	5.701	5.612	5.594	5.544	5.384	5.364	5.3	5.211	5.152	5.148	5.144
1835	Oceania (excluding Australia and New Zealand)	0-4	44.978	45.383	46.177	46.552	47.334	47.904	48.251	48.657	48.645	49.073	49.999	49.111	49.505	49.545	49.533	49.327	49.479	49.204	47.906	47.887	48.575	48.191	48.123	47.993	48.602	48.62	47.861	47.789	47.203	46.824	46.918	46.359	47.029	46.458	46.328	45.513	44.577	43.907	44.261	43.53	42.208	43.061	42.291	42.305	41.643	41.217	39.903	40.79	41.043	40.45	40.366	40.011	39.32	39.122	38.346	38.531	38.215	38.655	38.393	37.987	38.011	38.461	37.836	37.105	36.843	36.604	36.408	36.614	36.036	36.018	36.232	35.182	35.432	35.768	36.112	36.367	35.301	34.523	34.649
1836	Australia/New Zealand	0-4	3.973	3.936	3.927	3.903	3.881	3.855	3.817	3.789	3.772	3.735	3.718	3.711	3.67	3.637	3.615	3.596	3.61	3.591	3.573	3.531	3.535	3.527	3.503	3.475	3.442	3.419	3.409	3.351	3.304	3.248	3.262	3.238	3.23	3.196	3.172	3.161	3.112	3.09	3.066	3.025	3.035	3.002	3.025	3.021	2.995	2.934	2.886	2.785	2.779	2.732	2.718	2.714	2.76	2.713	2.755	2.67	2.625	2.612	2.551	2.559	2.529	2.55	2.511	2.457	2.474	2.478	2.448	2.372	2.365	2.307	2.271	2.237	2.248	2.208	2.182	2.117	2.162	2.105	2.107
1829	Europe and Northern America	0-4	5.016	5.125	5.031	4.968	4.917	4.848	4.784	4.735	4.646	4.615	4.581	4.503	4.425	4.379	4.323	4.266	4.207	4.13	4.063	3.997	3.932	3.912	3.857	3.81	3.77	3.723	3.693	3.652	3.606	3.551	3.517	3.505	3.473	3.447	3.421	3.405	3.397	3.361	3.324	3.289	3.241	3.189	3.166	3.15	3.039	3.007	3.003	2.98	2.922	2.885	2.824	2.801	2.762	2.737	2.717	2.7	2.61	2.555	2.526	2.502	2.447	2.416	2.384	2.406	2.375	2.4	2.353	2.324	2.276	2.236	2.215	2.161	2.167	2.17	2.153	2.136	2.1	2.077	2.06
901	More developed regions	0-4	4.799	4.889	4.794	4.729	4.696	4.605	4.561	4.496	4.426	4.379	4.349	4.275	4.198	4.163	4.092	4.045	3.987	3.911	3.869	3.786	3.748	3.71	3.668	3.607	3.557	3.532	3.514	3.466	3.435	3.356	3.328	3.313	3.281	3.263	3.243	3.23	3.215	3.157	3.112	3.09	3.055	3.022	3.01	2.963	2.886	2.853	2.827	2.803	2.77	2.72	2.689	2.632	2.582	2.592	2.562	2.521	2.455	2.398	2.397	2.353	2.327	2.274	2.255	2.264	2.214	2.214	2.195	2.19	2.131	2.086	2.066	2.047	2.042	2.033	2.012	1.997	1.954	1.939	1.918
