country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0-4	41.003	41.477	41.557	41.936	41.85	41.753	41.63	41.324	40.921	40.901	40.616	40.438	40.255	39.849	39.392	39.397	39.111	38.591	38.191	37.963	37.599	37.419	37.115	37.017	36.887	36.628	36.46	36.168	35.939	35.887	35.766	35.637	35.408	35.378	35.324	34.906	34.661	34.566	34.281	34.035	33.817	33.406	33.534	33.041	32.695	32.691	32.65	32.526	32.189	32.034	31.672	31.389	31.091	30.933	30.76	30.669	30.51	30.581	30.273	30.218	30.346	29.809	29.59	29.403	29.439	29.407	28.941	28.872	28.883	28.322	28.041	27.849	27.67	27.484	27.212	27.346	27.152	26.754	26.64
1834	Sub-Saharan Africa	0-4	80.126	79.81	80.251	81.85	81.68	81.919	81.704	81.114	80.925	80.617	80.487	79.975	79.441	78.74	78.87	78.881	77.802	76.947	76.676	75.91	75.582	75.135	75.146	74.371	73.908	73.476	72.886	72.178	71.913	71.193	71.105	70.392	69.537	68.719	68.332	67.635	67.701	67.703	67.325	66.523	65.87	65.299	64.81	64.761	64.14	64.095	63.049	62.592	62.322	61.903	61.432	61.174	61.31	60.419	60.188	59.514	58.62	58.594	58.809	58.023	57.351	57.009	56.282	56.115	56.155	55.702	54.67	54.656	54.183	54.148	53.322	52.876	52.407	52.257	51.818	51.995	50.97	51.003	50.41
1833	Northern Africa and Western Asia	0-4	28.939	29.897	29.512	29.816	29.881	29.773	29.706	29.594	29.549	29.447	29.343	29.073	29.132	28.772	28.553	28.339	28.13	27.908	27.833	27.597	27.201	27.208	26.884	26.906	26.547	26.512	26.25	26.079	26.074	25.942	25.851	25.559	25.592	25.641	25.389	25.215	25.075	25.276	25.083	24.884	24.909	24.65	24.395	24.551	24.302	24.126	24.128	24.147	24.295	24.251	24.226	24.032	23.53	23.277	23.275	23.069	23.074	23.14	23.128	23.103	23.114	22.314	22.027	22.245	22.435	22.403	22.465	22.323	22.219	22.174	21.782	21.513	21.686	21.406	21.327	21.257	21.213	21.723	21.537
1831	Central and Southern Asia	0-4	41.168	43.575	44.113	44.358	44.005	43.829	43.532	43.096	42.515	42.284	41.85	41.806	41.499	40.731	40.347	39.745	39.369	39.008	38.345	37.668	37.45	36.714	36.598	36.244	35.719	35.086	34.804	34.32	33.973	33.649	33.656	33.236	32.787	32.852	32.687	32.059	31.627	31.319	30.846	30.477	29.371	29.142	29.398	28.904	28.184	28.11	27.6	26.943	26.738	26.315	26.057	25.463	25.53	25.002	24.819	24.701	24.56	24.308	23.794	23.298	23.329	23.096	23.484	22.935	22.701	22.527	22.093	21.615	21.558	21.315	21.352	21.009	20.49	20.171	20.351	19.736	19.38	19.049	19.36
1832	Eastern and South-Eastern Asia	0-4	17.164	17.797	17.987	18.087	17.961	17.84	17.8	17.627	17.51	17.361	17.169	17.119	17.07	16.93	16.718	16.5	16.415	16.093	15.752	15.658	15.499	15.427	15.3	15.15	15.2	15.045	15.05	15.162	15.069	14.952	15.116	14.974	14.997	14.855	14.755	14.758	14.759	14.93	14.78	14.506	14.506	14.449	14.239	14.291	14.304	14.081	13.75	13.483	13.672	13.867	13.58	13.603	13.486	13.413	13.36	13.311	13.285	13.108	13.153	13.392	13.446	13.513	13.208	13.135	13.091	12.922	13.113	13.541	13.564	13.311	13.42	13.248	13.286	13.289	13.149	13.088	13.071	13.136	12.878
1830	Latin America and the Caribbean	0-4	18.218	18.077	17.728	17.524	17.219	17.024	16.716	16.443	16.18	15.888	15.601	15.257	15.097	14.737	14.545	14.318	13.95	13.762	13.474	13.174	12.849	12.738	12.444	12.345	12.126	11.908	11.675	11.468	11.199	10.928	10.744	10.588	10.405	10.194	10.204	9.955	9.836	9.637	9.46	9.264	9.096	9.044	8.952	8.942	8.799	8.695	8.555	8.366	8.327	8.282	8.194	7.969	7.9	7.761	7.595	7.494	7.343	7.262	7.195	7.084	7.009	7.001	7.032	6.837	6.752	6.676	6.631	6.545	6.372	6.378	6.229	6.257	6.172	6.076	6.05	5.979	5.871	5.862	5.807
1835	Oceania (excluding Australia and New Zealand)	0-4	47.851	48.559	49.712	50.501	51.043	51.919	52.293	53.078	52.938	53.109	53.971	53.598	54.104	54.63	54.815	54.504	54.481	53.58	53.509	53.611	53.487	53.056	53.547	53.55	53.286	54.263	53.441	53.783	53.23	52.95	52.94	52.428	53.166	53.086	52.41	52.31	51.149	51.318	50.803	50.677	49.257	49.657	49.548	49.192	48.861	48.326	47.717	47.535	48.262	48.117	48.225	47.171	46.219	46.234	45.234	44.258	44.852	44.252	43.459	43.227	43.685	44.607	44.146	43.309	43.645	42.522	41.707	42.193	41.135	41.649	41.494	40.37	40.831	41.052	40.732	41.23	40.728	39.881	39.424
1836	Australia/New Zealand	0-4	4.319	4.269	4.276	4.246	4.215	4.19	4.117	4.121	4.096	4.06	4.017	4.006	3.973	3.935	3.909	3.91	3.9	3.85	3.843	3.828	3.813	3.806	3.819	3.73	3.718	3.744	3.697	3.641	3.628	3.578	3.587	3.535	3.496	3.491	3.425	3.413	3.375	3.345	3.349	3.341	3.298	3.254	3.237	3.243	3.228	3.224	3.157	3.08	3.076	3.087	3.061	3.044	2.999	3.046	3.028	2.982	3.015	2.97	2.925	2.944	2.943	2.934	2.898	2.793	2.81	2.783	2.755	2.713	2.634	2.638	2.602	2.591	2.612	2.584	2.59	2.565	2.564	2.433	2.487
1829	Europe and Northern America	0-4	5.447	5.556	5.47	5.405	5.354	5.265	5.203	5.137	5.065	5.008	4.978	4.89	4.803	4.766	4.703	4.598	4.53	4.449	4.386	4.315	4.27	4.236	4.173	4.103	4.039	3.984	3.958	3.9	3.867	3.806	3.759	3.726	3.736	3.705	3.696	3.647	3.618	3.6	3.528	3.478	3.425	3.42	3.38	3.337	3.287	3.233	3.229	3.137	3.119	3.077	2.974	2.955	2.928	2.913	2.88	2.853	2.818	2.699	2.704	2.657	2.655	2.6	2.562	2.576	2.564	2.572	2.563	2.521	2.472	2.46	2.436	2.458	2.435	2.394	2.353	2.316	2.319	2.296	2.276
901	More developed regions	0-4	5.203	5.293	5.205	5.14	5.086	5	4.952	4.887	4.823	4.748	4.713	4.657	4.561	4.502	4.456	4.365	4.296	4.219	4.168	4.117	4.051	4.012	3.969	3.9	3.826	3.811	3.769	3.719	3.709	3.629	3.59	3.546	3.526	3.508	3.489	3.434	3.412	3.407	3.315	3.291	3.267	3.242	3.21	3.193	3.118	3.037	3.041	2.967	2.94	2.9	2.829	2.804	2.761	2.751	2.735	2.697	2.632	2.545	2.557	2.5	2.498	2.433	2.412	2.43	2.408	2.417	2.383	2.343	2.322	2.289	2.275	2.284	2.267	2.226	2.198	2.179	2.177	2.17	2.148
902	Less developed regions	0-4	44.571	45.071	45.241	45.658	45.515	45.411	45.277	44.87	44.461	44.463	44.082	43.992	43.681	43.26	42.865	42.878	42.481	41.96	41.6	41.339	40.913	40.606	40.331	40.252	40.036	39.819	39.497	39.278	39.051	38.88	38.851	38.601	38.485	38.386	38.283	37.844	37.567	37.419	37.029	36.885	36.752	36.188	36.18	35.787	35.364	35.295	35.347	35.279	34.957	34.684	34.265	33.961	33.775	33.641	33.42	33.308	33.077	33.087	32.727	32.756	32.698	32.263	32.047	31.715	31.828	31.837	31.227	31.111	31.105	30.698	30.301	30.105	30.005	29.652	29.528	29.826	29.259	29.145	28.867
941	Least developed countries	0-4	63.846	63.283	63.743	65.576	65.004	64.382	63.893	63.355	62.93	62.722	62.16	61.775	61.175	60.791	60.244	59.877	59.51	59.162	58.687	58.14	57.909	57.066	56.763	56.269	55.75	55.594	55.383	55.088	54.914	54.52	54.266	53.824	53.24	52.878	52.378	51.975	51.404	51.122	50.883	50.27	50.173	50.177	49.918	49.643	49.068	49.296	49.01	48.937	48.849	48.519	47.984	47.449	46.799	47.093	46.587	46.89	45.509	45.394	45.346	44.977	45.199	44.745	43.913	44.064	43.837	43.728	43.114	42.906	42.546	41.849	41.529	41.118	40.842	40.385	40.861	40.746	40.989	40.672	40.434
