country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	15-49	78.931	70.319	69.039	68.647	68.061	67.457	66.903	66.362	65.83	65.308	64.809	64.309	63.825	63.376	62.967	62.598	62.244	61.907	61.604	61.274	60.915	60.549	60.178	59.785	59.389	59.004	58.608	58.212	57.821	57.434	57.021	56.607	56.198	55.788	55.394	54.987	54.597	54.227	53.853	53.49	53.138	52.793	52.463	52.123	51.794	51.49	51.164	50.813	50.431	50.009	49.591	49.157	48.733	48.309	47.879	47.453	47.02	46.598	46.165	45.728	45.298	44.857	44.426	43.997	43.57	43.156	42.745	42.328	41.919	41.511	41.116	40.709	40.303	39.897	39.502	39.114	38.713	38.316	37.927
1834	Sub-Saharan Africa	15-49	175.682	168.911	163.115	161.808	159.797	157.866	155.955	154.06	152.184	150.263	148.368	146.477	144.634	142.832	141.074	139.374	137.689	136.028	134.395	132.771	131.19	129.646	128.145	126.699	125.264	123.85	122.457	121.119	119.77	118.472	117.156	115.878	114.626	113.368	112.137	110.9	109.661	108.459	107.232	106.037	104.857	103.681	102.531	101.376	100.252	99.15	98.063	97.01	95.964	94.913	93.914	92.886	91.881	90.894	89.909	88.953	87.979	87.039	86.103	85.151	84.236	83.3	82.384	81.473	80.576	79.703	78.833	77.962	77.096	76.237	75.417	74.564	73.717	72.883	72.069	71.27	70.45	69.66	68.889
1833	Northern Africa and Western Asia	15-49	53.64	52.9	51.203	50.927	50.53	50.112	49.669	49.22	48.774	48.327	47.871	47.413	46.966	46.529	46.1	45.687	45.27	44.845	44.437	44.017	43.612	43.186	42.767	42.356	41.946	41.536	41.121	40.681	40.235	39.785	39.341	38.879	38.423	37.991	37.554	37.112	36.689	36.26	35.837	35.432	35.021	34.628	34.239	33.854	33.47	33.106	32.734	32.36	31.974	31.602	31.231	30.855	30.468	30.092	29.716	29.337	28.952	28.556	28.155	27.759	27.37	26.989	26.592	26.222	25.859	25.504	25.152	24.787	24.435	24.098	23.739	23.404	23.068	22.727	22.4	22.064	21.741	21.416	21.094
1831	Central and Southern Asia	15-49	87.143	69.711	68.397	67.258	66.125	64.996	64.091	63.219	62.329	61.473	60.643	59.814	59.019	58.232	57.455	56.666	55.882	55.127	54.382	53.613	52.86	52.125	51.384	50.556	49.764	49.005	48.243	47.479	46.749	46.029	45.304	44.577	43.872	43.179	42.512	41.822	41.158	40.525	39.914	39.307	38.694	38.093	37.518	36.922	36.34	35.801	35.262	34.724	34.189	33.654	33.136	32.618	32.121	31.617	31.124	30.617	30.143	29.678	29.207	28.747	28.281	27.822	27.383	26.951	26.511	26.093	25.684	25.262	24.862	24.467	24.068	23.668	23.272	22.866	22.472	22.107	21.731	21.351	20.986
1832	Eastern and South-Eastern Asia	15-49	47.193	44.738	44.125	43.501	42.846	42.173	41.502	40.845	40.197	39.587	38.986	38.414	37.873	37.371	36.92	36.533	36.166	35.819	35.51	35.192	34.833	34.455	34.071	33.68	33.281	32.91	32.52	32.127	31.743	31.365	30.973	30.595	30.212	29.836	29.483	29.127	28.791	28.478	28.169	27.869	27.591	27.319	27.066	26.82	26.593	26.39	26.174	25.921	25.639	25.3	24.938	24.581	24.238	23.902	23.55	23.218	22.88	22.55	22.201	21.874	21.545	21.202	20.876	20.568	20.253	19.943	19.647	19.359	19.07	18.793	18.525	18.26	18.006	17.754	17.518	17.276	17.036	16.796	16.561
1830	Latin America and the Caribbean	15-49	77.201	63.589	62.196	61.244	60.264	59.311	58.344	57.395	56.469	55.546	54.626	53.697	52.769	51.857	50.953	50.056	49.175	48.288	47.404	46.533	45.674	44.828	43.998	43.181	42.368	41.572	40.768	39.99	39.22	38.466	37.712	36.976	36.248	35.535	34.849	34.159	33.496	32.829	32.184	31.561	30.949	30.354	29.778	29.21	28.65	28.108	27.576	27.067	26.556	26.064	25.575	25.097	24.627	24.166	23.713	23.275	22.834	22.409	21.993	21.576	21.167	20.767	20.38	19.986	19.611	19.237	18.869	18.517	18.162	17.809	17.472	17.143	16.808	16.485	16.173	15.857	15.555	15.248	14.955
1835	Oceania (excluding Australia and New Zealand)	15-49	101.918	100.669	99.465	98.25	97.109	95.913	94.718	93.575	92.454	91.402	90.311	89.236	88.163	87.293	86.463	85.578	84.675	83.772	82.884	82.055	81.201	80.3	79.378	78.484	77.654	76.752	75.863	74.977	74.084	73.134	72.259	71.397	70.516	69.608	68.758	67.857	66.993	66.153	65.29	64.537	63.67	62.971	62.274	61.583	60.907	60.182	59.445	58.721	58.054	57.295	56.581	55.844	55.102	54.353	53.609	52.873	52.226	51.526	50.856	50.205	49.528	48.849	48.182	47.54	46.885	46.267	45.571	44.942	44.281	43.599	42.94	42.277	41.608	40.966	40.344	39.716	39.093	38.486	37.888
1836	Australia/New Zealand	15-49	26.821	26.415	26.014	25.636	25.283	24.915	24.549	24.189	23.879	23.526	23.209	22.879	22.541	22.241	21.935	21.641	21.344	21.032	20.77	20.461	20.154	19.867	19.578	19.275	18.997	18.7	18.427	18.138	17.865	17.577	17.301	17.029	16.743	16.495	16.233	15.958	15.719	15.45	15.186	14.915	14.687	14.422	14.188	13.917	13.703	13.44	13.194	12.951	12.727	12.493	12.262	12.023	11.801	11.559	11.342	11.111	10.898	10.664	10.454	10.236	10.035	9.836	9.61	9.394	9.201	8.989	8.798	8.597	8.398	8.216	8.004	7.836	7.648	7.463	7.285	7.112	6.937	6.764	6.583
1829	Europe and Northern America	15-49	54.912	43.327	42.064	41.598	41.142	40.654	40.176	39.665	39.156	38.619	38.087	37.518	36.933	36.35	35.75	35.148	34.562	33.998	33.455	32.938	32.459	32.026	31.601	31.21	30.833	30.481	30.134	29.799	29.486	29.155	28.822	28.47	28.127	27.788	27.437	27.077	26.727	26.36	26	25.647	25.278	24.895	24.511	24.139	23.767	23.423	23.077	22.746	22.431	22.123	21.824	21.532	21.251	20.98	20.693	20.423	20.152	19.909	19.648	19.393	19.144	18.903	18.66	18.41	18.163	17.919	17.673	17.426	17.196	16.938	16.692	16.446	16.195	15.952	15.703	15.451	15.218	14.979	14.745
901	More developed regions	15-49	51.144	40.866	39.75	39.336	38.924	38.482	38.043	37.569	37.094	36.587	36.085	35.551	35.001	34.455	33.889	33.321	32.767	32.231	31.713	31.219	30.761	30.35	29.947	29.578	29.223	28.891	28.565	28.249	27.953	27.641	27.328	26.995	26.669	26.347	26.015	25.673	25.34	24.991	24.648	24.312	23.962	23.599	23.236	22.88	22.528	22.199	21.865	21.547	21.244	20.949	20.661	20.38	20.109	19.847	19.573	19.313	19.053	18.819	18.569	18.324	18.086	17.855	17.62	17.381	17.144	16.909	16.673	16.436	16.216	15.969	15.732	15.497	15.257	15.024	14.786	14.545	14.322	14.093	13.869
902	Less developed regions	15-49	83.663	75.279	73.918	73.457	72.777	72.081	71.439	70.822	70.219	69.64	69.094	68.55	68.024	67.541	67.111	66.734	66.371	66.027	65.721	65.379	64.994	64.599	64.2	63.772	63.341	62.921	62.487	62.052	61.621	61.2	60.751	60.303	59.861	59.418	58.992	58.553	58.131	57.734	57.335	56.95	56.58	56.223	55.881	55.526	55.183	54.871	54.536	54.173	53.774	53.328	52.883	52.421	51.969	51.518	51.061	50.608	50.148	49.698	49.239	48.774	48.318	47.849	47.391	46.938	46.485	46.047	45.614	45.174	44.741	44.313	43.898	43.47	43.043	42.616	42.203	41.796	41.375	40.96	40.553
941	Least developed countries	15-49	123.687	118.383	115.269	114.566	113.086	111.705	110.37	109.067	107.804	106.593	105.41	104.258	103.141	102.044	100.963	99.895	98.876	97.852	96.857	95.885	94.913	93.961	93.022	92.147	91.27	90.434	89.636	88.865	88.089	87.33	86.582	85.855	85.139	84.424	83.699	82.939	82.194	81.458	80.707	79.924	79.153	78.385	77.64	76.883	76.121	75.37	74.662	73.962	73.258	72.575	71.9	71.224	70.544	69.87	69.2	68.546	67.894	67.233	66.572	65.891	65.238	64.564	63.894	63.226	62.566	61.915	61.276	60.637	59.969	59.336	58.678	58.037	57.388	56.741	56.114	55.488	54.847	54.208	53.584
934	Less developed regions, excluding least developed countries	15-49	76.47	67.405	66.17	65.556	64.888	64.189	63.556	62.946	62.344	61.756	61.197	60.636	60.093	59.593	59.146	58.754	58.368	58.008	57.686	57.325	56.928	56.521	56.115	55.66	55.209	54.767	54.302	53.835	53.377	52.93	52.449	51.969	51.494	51.018	50.569	50.114	49.671	49.254	48.837	48.449	48.07	47.706	47.359	47.003	46.672	46.378	46.048	45.694	45.308	44.865	44.431	43.976	43.539	43.104	42.663	42.222	41.774	41.347	40.909	40.474	40.041	39.6	39.176	38.759	38.341	37.941	37.542	37.134	36.754	36.363	36.008	35.626	35.252	34.879	34.519	34.172	33.815	33.468	33.13
948	Less developed regions, excluding China	15-49	97.455	86.448	84.6	83.949	83.087	82.245	81.495	80.766	80.039	79.319	78.616	77.923	77.267	76.626	76	75.387	74.776	74.183	73.604	73.017	72.453	71.897	71.352	70.785	70.225	69.686	69.144	68.608	68.072	67.551	67.008	66.466	65.93	65.387	64.856	64.305	63.762	63.237	62.707	62.191	61.675	61.165	60.67	60.16	59.659	59.172	58.678	58.186	57.68	57.16	56.657	56.135	55.626	55.117	54.607	54.101	53.589	53.09	52.582	52.068	51.565	51.051	50.547	50.047	49.547	49.061	48.577	48.084	47.597	47.112	46.639	46.15	45.661	45.172	44.697	44.231	43.75	43.278	42.817
1636	Land-locked Developing Countries (LLDC)	15-49	130.522	124.102	120.266	119.346	117.724	116.218	114.772	113.366	111.966	110.608	109.25	107.956	106.718	105.51	104.35	103.233	102.18	101.138	100.114	99.108	98.1	97.125	96.136	95.259	94.36	93.465	92.574	91.654	90.719	89.779	88.852	87.936	87.033	86.132	85.239	84.343	83.454	82.584	81.724	80.857	79.995	79.146	78.295	77.494	76.665	75.872	75.083	74.305	73.551	72.8	72.062	71.316	70.568	69.845	69.102	68.4	67.685	66.971	66.249	65.51	64.805	64.079	63.359	62.628	61.921	61.22	60.538	59.858	59.171	58.508	57.84	57.183	56.515	55.876	55.235	54.599	53.969	53.336	52.71
1637	Small Island Developing States (SIDS)	15-49	77.927	74.728	73.425	72.945	72.29	71.601	70.875	70.139	69.397	68.662	67.95	67.266	66.589	65.975	65.385	64.775	64.194	63.62	63.079	62.564	62.024	61.447	60.863	60.288	59.753	59.196	58.634	58.089	57.513	56.913	56.325	55.713	55.092	54.446	53.826	53.167	52.556	51.936	51.338	50.765	50.19	49.673	49.155	48.64	48.116	47.607	47.082	46.595	46.089	45.528	44.987	44.443	43.896	43.333	42.819	42.303	41.816	41.331	40.835	40.337	39.838	39.338	38.837	38.339	37.844	37.362	36.85	36.365	35.861	35.349	34.86	34.377	33.896	33.423	32.955	32.501	32.038	31.578	31.123
1503	High-income countries	15-49	35.839	32.604	32.199	31.864	31.523	31.162	30.812	30.45	30.102	29.738	29.387	29.042	28.681	28.332	27.971	27.613	27.261	26.904	26.548	26.194	25.845	25.512	25.168	24.851	24.532	24.225	23.914	23.607	23.32	23.021	22.727	22.424	22.139	21.861	21.573	21.285	21.025	20.754	20.493	20.247	20.001	19.751	19.501	19.255	19.012	18.777	18.522	18.276	18.037	17.793	17.551	17.316	17.079	16.849	16.605	16.372	16.135	15.919	15.689	15.46	15.238	15.024	14.805	14.586	14.371	14.158	13.946	13.739	13.546	13.332	13.132	12.931	12.73	12.536	12.337	12.138	11.952	11.764	11.576
1517	Middle-income countries	15-49	80.143	70.121	68.702	68.052	67.319	66.558	65.862	65.186	64.52	63.872	63.259	62.644	62.051	61.502	61.009	60.571	60.142	59.74	59.379	58.981	58.549	58.106	57.667	57.184	56.706	56.245	55.766	55.29	54.823	54.37	53.886	53.404	52.928	52.452	52	51.54	51.088	50.667	50.245	49.848	49.458	49.085	48.729	48.366	48.022	47.716	47.378	47.016	46.623	46.177	45.738	45.282	44.844	44.405	43.961	43.519	43.069	42.639	42.196	41.757	41.319	40.875	40.447	40.025	39.604	39.196	38.791	38.377	37.988	37.589	37.221	36.831	36.449	36.065	35.695	35.339	34.971	34.614	34.265
1502	Upper-middle-income countries	15-49	55.852	49.634	47.917	47.232	46.529	45.804	45.065	44.325	43.594	42.892	42.203	41.5	40.787	40.105	39.453	38.854	38.277	37.716	37.191	36.664	36.1	35.551	35.006	34.474	33.954	33.46	32.972	32.497	32.046	31.612	31.176	30.751	30.324	29.911	29.512	29.118	28.726	28.341	27.98	27.638	27.31	26.993	26.682	26.38	26.095	25.847	25.583	25.287	24.957	24.601	24.238	23.879	23.528	23.188	22.848	22.522	22.197	21.887	21.587	21.292	20.994	20.698	20.412	20.129	19.857	19.587	19.328	19.076	18.825	18.58	18.346	18.117	17.89	17.668	17.451	17.231	17.016	16.799	16.584
1501	Lower-middle-income countries	15-49	98.291	84.936	83.4	82.51	81.55	80.602	79.795	79.019	78.239	77.461	76.711	75.974	75.291	74.629	73.995	73.372	72.74	72.138	71.553	70.944	70.37	69.795	69.237	68.615	68.006	67.425	66.829	66.242	65.658	65.095	64.505	63.919	63.341	62.755	62.188	61.603	61.022	60.472	59.911	59.375	58.826	58.29	57.771	57.234	56.716	56.218	55.699	55.19	54.675	54.13	53.613	53.072	52.554	52.034	51.51	50.985	50.453	49.944	49.417	48.896	48.378	47.853	47.348	46.85	46.348	45.863	45.377	44.875	44.403	43.916	43.462	42.978	42.502	42.021	41.557	41.112	40.653	40.209	39.778
1500	Low-income countries	15-49	144.872	137.915	133.58	132.599	130.735	129.002	127.309	125.666	124.069	122.523	120.998	119.508	118.069	116.665	115.286	113.938	112.648	111.347	110.065	108.819	107.577	106.377	105.184	104.087	102.999	101.924	100.892	99.878	98.87	97.876	96.904	95.955	95.028	94.104	93.19	92.242	91.331	90.43	89.513	88.567	87.654	86.73	85.823	84.9	83.97	83.059	82.199	81.352	80.506	79.691	78.892	78.089	77.289	76.504	75.728	74.976	74.231	73.478	72.736	71.969	71.242	70.488	69.736	68.988	68.249	67.531	66.824	66.121	65.381	64.686	63.963	63.255	62.532	61.822	61.13	60.435	59.725	59.015	58.323
1518	No income group available	15-49	102.673	84.399	83.082	81.778	80.457	79.147	77.84	76.539	75.415	74.335	73.247	72.179	71.121	70.055	68.961	67.907	66.841	65.756	64.726	63.629	62.535	61.455	60.41	59.384	58.322	57.312	56.272	55.254	54.212	53.186	52.228	51.233	50.241	49.3	48.265	47.261	46.307	45.327	44.377	43.45	42.548	41.605	40.736	39.809	38.92	38.052	37.198	36.356	35.542	34.752	33.988	33.237	32.499	31.774	31.073	30.413	29.75	29.141	28.51	27.908	27.334	26.782	26.25	25.728	25.225	24.727	24.226	23.758	23.275	22.822	22.365	21.958	21.518	21.089	20.68	20.274	19.873	19.484	19.101
903	Africa	15-49	152.289	146.877	142.052	141.193	139.683	138.234	136.794	135.362	133.945	132.489	131.056	129.633	128.247	126.9	125.589	124.324	123.059	121.799	120.556	119.305	118.084	116.877	115.697	114.544	113.381	112.224	111.072	109.95	108.808	107.7	106.566	105.458	104.368	103.274	102.199	101.121	100.05	99.013	97.963	96.954	95.962	94.986	94.037	93.09	92.157	91.236	90.322	89.428	88.53	87.623	86.754	85.854	84.967	84.091	83.214	82.356	81.476	80.621	79.766	78.896	78.058	77.202	76.363	75.532	74.716	73.923	73.133	72.338	71.552	70.773	70.024	69.251	68.48	67.72	66.979	66.249	65.5	64.777	64.068
910	Eastern Africa	15-49	151.603	141.735	137.316	136.34	134.073	131.966	129.901	127.907	125.922	123.983	122.025	120.116	118.258	116.425	114.659	112.935	111.277	109.633	108.038	106.487	104.962	103.504	102.042	100.743	99.436	98.169	96.92	95.719	94.524	93.343	92.152	91.01	89.909	88.806	87.715	86.628	85.525	84.436	83.369	82.288	81.198	80.127	79.085	78.048	77.008	76	75.017	74.046	73.087	72.141	71.229	70.301	69.404	68.523	67.627	66.767	65.935	65.093	64.232	63.374	62.542	61.702	60.868	60.027	59.218	58.401	57.614	56.822	56.027	55.237	54.461	53.691	52.921	52.164	51.405	50.671	49.922	49.198	48.486
108	Burundi	15-49	163.181	160.739	156.077	154.154	152.266	150.342	148.654	146.875	145.125	143.41	141.678	140.03	138.444	136.854	135.267	133.617	132.139	130.603	129.101	127.572	126.103	124.589	123.253	121.727	120.316	118.939	117.488	116.208	114.951	113.722	112.444	111.364	110.22	109.213	108.129	107.023	105.966	104.921	103.854	102.77	101.733	100.781	99.848	98.866	97.831	96.881	95.84	94.87	93.932	92.978	92.043	91.113	90.148	89.249	88.368	87.428	86.541	85.61	84.733	83.856	82.921	82.016	81.068	80.143	79.227	78.469	77.669	76.941	76.195	75.494	74.777	74.05	73.293	72.596	71.895	71.197	70.483	69.831	69.173
174	Comoros	15-49	119.095	111.36	109.401	107.499	105.673	103.806	102.02	100.243	98.509	96.777	95.075	93.448	92.149	90.895	89.725	88.486	87.343	86.148	84.937	83.729	82.552	81.344	80.223	79.051	77.906	76.695	75.613	74.487	73.399	72.293	71.198	70.17	69.143	68.063	67.027	66.008	65.056	64.006	63.066	62.007	60.947	60.187	59.371	58.52	57.716	57.016	56.213	55.54	54.838	54.151	53.454	52.741	52.103	51.411	50.746	50.033	49.306	48.62	47.953	47.264	46.534	45.882	45.139	44.446	43.767	43.144	42.496	41.869	41.199	40.552	39.89	39.243	38.618	37.991	37.329	36.669	36.052	35.402	34.786
262	Djibouti	15-49	151.01	144.317	141.007	140.801	138.561	136.409	134.277	132.232	130.183	128.196	126.187	124.24	122.444	120.474	118.58	116.795	115.058	113.345	111.657	110.029	108.598	107.239	105.899	104.55	103.222	101.861	100.581	99.311	98.025	96.736	95.49	94.215	93.013	91.869	90.667	89.543	88.396	87.218	86.087	84.921	83.775	82.659	81.562	80.389	79.334	78.438	77.565	76.651	75.781	74.893	74.007	73.085	72.281	71.42	70.676	69.903	69.16	68.412	67.661	66.927	66.093	65.34	64.59	63.861	63.013	62.267	61.48	60.678	59.929	59.182	58.406	57.658	56.927	56.198	55.469	54.702	54.012	53.228	52.532
232	Eritrea	15-49	116.961	114.728	107.828	105.727	103.798	101.846	99.99	98.139	96.311	94.504	92.798	91.026	89.373	87.733	86.094	84.482	82.907	81.422	79.922	78.917	77.935	76.987	76.063	75.148	74.178	73.245	72.334	71.426	70.505	69.608	68.722	67.848	66.945	66.062	65.215	64.372	63.506	62.674	61.782	60.976	60.161	59.359	58.501	57.718	56.901	56.136	55.337	54.547	53.706	52.841	52.011	51.163	50.318	49.487	48.684	47.892	47.112	46.361	45.567	44.837	44.11	43.337	42.65	41.901	41.13	40.42	39.763	39.081	38.381	37.687	37.033	36.357	35.702	35.035	34.443	33.824	33.234	32.681	32.102
231	Ethiopia	15-49	123.195	115.683	112.222	112.081	109.795	107.982	106.135	104.385	102.673	100.966	99.294	97.682	96.157	94.614	93.119	91.608	90.196	88.778	87.389	86.045	84.683	83.399	81.974	80.946	79.882	78.819	77.848	76.819	75.802	74.832	73.838	72.994	72.236	71.402	70.603	69.794	68.946	68.09	67.287	66.463	65.656	64.906	64.151	63.346	62.534	61.764	61.045	60.259	59.498	58.756	58.018	57.233	56.466	55.731	54.956	54.248	53.531	52.802	52.078	51.239	50.492	49.745	48.951	48.175	47.431	46.63	45.925	45.208	44.462	43.748	43.022	42.308	41.622	40.938	40.24	39.615	38.948	38.27	37.625
404	Kenya	15-49	206.505	190.518	182.169	180.79	177.789	174.783	171.79	169.037	166.198	163.531	160.876	158.232	155.685	153.056	150.628	148.231	145.909	143.631	141.382	139.183	137.132	135.201	133.306	131.68	129.923	128.209	126.488	124.804	123.231	121.674	119.983	118.372	116.862	115.25	113.712	112.289	110.726	109.275	107.777	106.428	105.034	103.615	102.234	100.792	99.481	98.061	96.728	95.407	94.099	92.746	91.617	90.412	89.315	88.277	87.192	86.083	84.974	83.922	82.784	81.819	80.869	79.934	79.012	78.041	77.078	76.173	75.226	74.302	73.423	72.488	71.547	70.659	69.681	68.75	67.846	66.925	65.953	65.052	64.205
450	Madagascar	15-49	125.218	115.972	111.625	112.065	110.198	108.414	106.622	104.822	103.082	101.387	99.772	98.128	96.464	94.82	93.27	91.749	90.263	88.736	87.273	85.841	84.4	83.012	81.748	80.357	79.047	77.708	76.375	75.317	74.276	73.209	72.187	71.156	70.223	69.314	68.423	67.527	66.629	65.737	64.956	64.035	63.149	62.241	61.383	60.498	59.632	58.732	57.865	57.04	56.216	55.366	54.565	53.728	52.908	52.111	51.264	50.473	49.634	48.863	48.082	47.289	46.498	45.706	44.923	44.103	43.298	42.537	41.794	41.04	40.265	39.501	38.786	38.058	37.309	36.59	35.878	35.183	34.435	33.744	33.081
454	Malawi	15-49	180.872	175.4	161.114	157.892	154.755	151.648	148.901	146.253	143.691	141.237	138.938	136.724	134.57	132.581	130.467	128.522	126.61	124.752	122.89	121.105	119.287	117.748	116.18	114.599	113.12	111.621	110.181	108.643	107.179	105.701	104.311	102.973	101.628	100.214	98.765	97.386	96.238	95.135	94.008	92.942	91.842	90.795	89.681	88.604	87.467	86.38	85.208	84.163	83.15	82.069	80.959	79.858	78.802	77.719	76.826	75.861	74.972	74.054	73.171	72.263	71.324	70.451	69.553	68.669	67.751	66.924	66.03	65.139	64.205	63.257	62.446	61.572	60.767	59.958	59.138	58.31	57.464	56.643	55.827
480	Mauritius	15-49	67.533	48.057	47.486	46.909	46.346	45.759	45.186	44.623	44.023	43.416	42.83	42.264	41.68	41.11	40.515	39.94	39.326	38.699	38.096	37.5	36.893	36.285	35.706	35.142	34.541	33.961	33.387	32.822	32.248	31.69	31.141	30.589	30.061	29.519	28.998	28.455	27.958	27.464	26.986	26.497	26.006	25.522	25.052	24.569	24.124	23.691	23.258	22.826	22.422	22.031	21.646	21.255	20.884	20.525	20.176	19.834	19.497	19.162	18.829	18.525	18.202	17.887	17.6	17.291	17.01	16.722	16.415	16.133	15.853	15.576	15.317	15.047	14.77	14.513	14.264	14.033	13.777	13.534	13.307
175	Mayotte	15-49	57.879	46.922	46.027	45.053	44.115	43.202	42.315	41.454	40.595	39.762	38.933	38.134	37.374	36.62	35.867	35.137	34.443	33.739	33.059	32.429	31.812	31.191	30.631	30.103	29.59	29.147	28.695	28.239	27.767	27.314	26.841	26.395	25.952	25.523	25.093	24.679	24.293	23.866	23.484	23.094	22.716	22.352	21.997	21.631	21.282	20.917	20.575	20.238	19.911	19.589	19.254	18.94	18.621	18.301	17.999	17.7	17.398	17.099	16.813	16.538	16.261	15.995	15.736	15.471	15.208	14.957	14.714	14.472	14.243	14.024	13.795	13.562	13.346	13.125	12.9	12.688	12.48	12.276	12.068
508	Mozambique	15-49	179.992	150.431	147.593	144.789	142.132	139.524	136.905	134.407	131.945	129.603	127.241	124.978	122.664	120.541	118.312	116.092	114.043	112.05	110.023	108.132	106.224	104.46	102.637	100.899	99.145	97.402	95.695	94.291	92.919	91.604	90.227	88.865	87.557	86.294	85.003	83.792	82.55	81.262	80.01	78.8	77.619	76.387	75.212	74.068	72.881	71.757	70.576	69.501	68.358	67.418	66.474	65.556	64.679	63.754	62.834	61.89	61.033	60.139	59.264	58.373	57.483	56.649	55.835	55.064	54.269	53.51	52.761	51.933	51.157	50.359	49.667	48.914	48.139	47.402	46.591	45.822	45.063	44.313	43.611
638	Réunion	15-49	19.674	19.315	18.987	18.68	18.387	18.12	17.877	17.645	17.412	17.199	17.011	16.831	16.633	16.456	16.274	16.114	15.954	15.79	15.623	15.458	15.289	15.116	14.935	14.745	14.548	14.354	14.158	13.963	13.769	13.586	13.412	13.233	13.052	12.876	12.707	12.526	12.348	12.174	11.992	11.83	11.675	11.526	11.373	11.217	11.071	10.928	10.781	10.636	10.491	10.348	10.215	10.078	9.937	9.805	9.668	9.528	9.396	9.26	9.132	9.002	8.864	8.738	8.606	8.482	8.362	8.229	8.11	7.99	7.877	7.758	7.645	7.527	7.417	7.298	7.181	7.076	6.967	6.858	6.746
646	Rwanda	15-49	116.035	114.174	112.475	110.766	109.143	107.566	105.999	104.393	102.908	101.434	99.97	98.507	97.065	95.583	94.204	92.856	91.494	90.206	88.881	87.619	86.383	85.219	84.005	82.808	81.64	80.487	79.312	78.166	77.024	75.911	75.063	74.165	73.32	72.446	71.589	70.893	70.171	69.451	68.693	67.949	67.245	66.528	65.785	65.08	64.295	63.605	62.85	62.165	61.384	60.683	59.979	59.26	58.558	57.842	57.135	56.426	55.712	55.006	54.283	53.604	52.918	52.235	51.564	50.888	50.213	49.548	48.897	48.209	47.53	46.829	46.191	45.543	44.878	44.175	43.562	42.908	42.253	41.646	41.007
690	Seychelles	15-49	82.832	59.487	58.546	57.56	56.58	55.63	54.714	53.812	52.853	51.892	50.884	49.845	48.85	47.838	46.809	45.758	44.731	43.708	42.596	41.509	40.451	39.424	38.46	37.482	36.551	35.627	34.685	33.818	32.972	32.157	31.397	30.658	29.966	29.293	28.644	28.038	27.422	26.856	26.27	25.756	25.234	24.735	24.255	23.776	23.319	22.88	22.448	22.011	21.587	21.184	20.799	20.404	20.024	19.655	19.306	18.939	18.586	18.251	17.918	17.585	17.265	16.93	16.616	16.306	15.995	15.712	15.409	15.117	14.829	14.556	14.283	14.001	13.727	13.463	13.207	12.943	12.684	12.446	12.202
706	Somalia	15-49	196.708	184.317	177.048	174.784	172.967	171.181	169.371	167.673	165.911	164.131	162.364	160.747	159.04	157.409	155.726	154.114	152.45	150.759	149.114	147.525	145.848	144.244	142.651	141.118	139.545	138.015	136.407	134.816	133.389	131.878	130.394	128.908	127.36	125.953	124.425	122.962	121.511	120.127	118.728	117.344	115.905	114.437	113.217	111.815	110.431	109.105	107.761	106.472	105.163	103.898	102.611	101.326	100.054	98.796	97.631	96.445	95.319	94.29	93.18	92.086	90.999	90.012	88.935	87.861	86.789	85.711	84.658	83.614	82.608	81.583	80.57	79.584	78.549	77.545	76.607	75.623	74.623	73.687	72.743
728	South Sudan	15-49	218.328	211.853	206.646	204.853	202.455	200.147	197.758	195.4	193.028	190.641	188.313	185.879	183.796	181.583	179.343	177.167	174.993	172.945	170.79	168.621	166.499	164.479	162.371	160.354	158.27	156.348	154.331	152.458	150.621	148.682	146.668	144.732	142.882	141.013	139.142	137.236	135.366	133.522	131.844	130.012	128.214	126.469	124.621	123.003	121.258	119.571	117.905	116.333	114.731	113.197	111.576	110.05	108.573	106.997	105.485	104.047	102.726	101.414	100.218	98.885	97.697	96.429	95.165	93.972	92.751	91.536	90.353	89.06	87.914	86.772	85.572	84.328	83.163	81.96	80.823	79.688	78.596	77.479	76.347
