country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	15-49	58.711	52.391	51.089	50.48	49.827	49.226	48.699	48.092	47.442	46.875	46.298	45.737	45.261	44.849	44.439	44.017	43.611	43.177	42.782	42.47	42.09	41.643	41.197	40.883	40.466	40.066	39.752	39.355	38.963	38.57	38.181	37.739	37.351	36.911	36.468	36.045	35.681	35.29	34.992	34.586	34.172	33.859	33.556	33.166	32.8	32.504	32.196	31.856	31.537	31.135	30.83	30.534	30.155	29.807	29.445	28.985	28.59	28.209	27.934	27.554	27.288	26.913	26.624	26.314	25.951	25.676	25.297	25.006	24.707	24.366	24.073	23.831	23.528	23.232	22.875	22.587	22.258	21.984	21.69
1834	Sub-Saharan Africa	15-49	148.673	141.653	135.629	132.952	130.699	127.898	125.647	123.4	120.771	118.017	115.632	113.181	110.82	108.409	106.095	104.134	102.069	100.189	98.116	95.627	94.147	92.291	90.602	88.714	86.921	85.286	83.475	82.09	80.782	79.345	78.066	76.283	75.086	73.893	72.702	71.368	69.803	68.917	67.888	66.373	65.163	63.924	63.044	61.939	60.791	59.888	58.702	57.54	56.606	55.836	55.037	54.164	53.385	52.493	51.769	50.759	49.846	48.849	48.166	47.482	46.787	46.051	45.546	44.831	44.253	43.661	43.029	42.463	41.732	41.295	40.796	40.345	39.675	38.917	38.315	37.77	37.31	36.779	36.208
1833	Northern Africa and Western Asia	15-49	37.344	35.986	34.324	33.792	33.246	32.674	32.086	31.563	31.135	30.638	30.186	29.771	29.326	28.726	28.308	27.952	27.528	27.283	26.922	26.497	26.105	25.641	25.22	24.912	24.572	24.195	23.883	23.5	23.057	22.664	22.362	22.053	21.611	21.246	20.897	20.542	20.21	19.898	19.639	19.382	19.082	18.81	18.491	18.106	17.886	17.656	17.371	17.048	16.815	16.533	16.362	16.134	15.852	15.559	15.267	15.023	14.693	14.441	14.218	14.011	13.776	13.516	13.299	13.135	12.86	12.585	12.4	12.198	11.996	11.713	11.533	11.308	11.175	10.932	10.766	10.543	10.326	10.195	10.065
1831	Central and Southern Asia	15-49	60.706	48.73	46.698	45.36	43.975	42.689	41.542	40.595	39.455	38.321	37.531	36.71	35.817	34.879	34.08	33.739	32.676	31.815	31.299	30.643	29.995	29.372	28.856	28.194	27.348	26.857	26.153	25.604	25.161	24.829	24.328	23.584	23.102	22.597	22.45	21.955	21.449	21.215	20.706	20.284	19.912	19.577	19.151	18.909	18.44	18.059	17.764	17.46	17.272	16.818	16.617	16.229	15.927	15.648	15.461	15.184	14.914	14.639	14.396	14.219	13.925	13.65	13.373	13.15	12.91	12.787	12.513	12.279	11.857	11.581	11.297	11.091	10.864	10.637	10.431	10.228	10.087	9.826	9.611
1832	Eastern and South-Eastern Asia	15-49	31.836	29.563	28.759	28.105	27.42	26.95	26.19	25.613	25.026	24.508	23.967	23.409	23.075	22.662	22.25	22.05	21.777	21.444	21.16	20.913	20.614	20.31	19.817	19.501	19.16	18.864	18.651	18.341	17.947	17.665	17.296	16.899	16.674	16.361	16.008	15.801	15.497	15.301	15.067	14.818	14.628	14.524	14.376	14.22	14.013	13.921	13.728	13.571	13.388	13.068	12.842	12.674	12.405	12.117	11.915	11.665	11.405	11.139	10.938	10.732	10.516	10.285	10.146	9.996	9.855	9.684	9.523	9.35	9.211	8.967	8.782	8.559	8.487	8.38	8.251	8.087	7.906	7.774	7.605
1830	Latin America and the Caribbean	15-49	46.024	35.987	34.716	33.957	33.07	32.306	31.633	30.992	30.422	29.824	29.149	28.56	27.821	27.294	26.662	26.259	25.769	25.263	24.766	24.315	23.813	23.361	22.875	22.406	22.032	21.625	21.127	20.841	20.41	19.972	19.572	19.209	18.881	18.509	18.186	17.792	17.381	17.01	16.661	16.349	16.048	15.752	15.447	15.138	14.896	14.608	14.321	14.045	13.823	13.556	13.273	13.011	12.782	12.482	12.123	11.873	11.634	11.409	11.172	10.924	10.691	10.543	10.32	10.137	9.926	9.663	9.473	9.272	9.057	8.868	8.706	8.541	8.354	8.144	7.981	7.835	7.64	7.487	7.319
1835	Oceania (excluding Australia and New Zealand)	15-49	67.606	65.441	62.532	59.888	57.584	55.677	53.981	52.545	50.403	48.709	47.789	46.945	45.645	43.997	42.58	41.7	41.362	40.792	39.946	39.455	38.46	37.556	37.048	36.577	35.611	35.077	34.222	33.694	32.616	31.977	31.646	31.048	29.881	29.29	28.72	28.173	27.834	27.309	26.594	25.9	25.573	24.943	24.423	23.829	23.543	22.704	22.441	22.084	21.934	21.272	20.714	20.592	20.283	19.723	19.361	19.215	18.987	18.607	18.145	17.766	17.506	17.103	16.895	16.442	16.252	16.004	15.782	15.492	15.255	14.814	14.688	14.322	14.176	14.084	13.692	13.584	13.306	13.024	12.706
1836	Australia/New Zealand	15-49	16.618	16.051	15.42	14.881	14.32	13.865	13.394	13.067	12.6	12.269	11.656	11.304	11.061	10.749	10.317	9.919	9.656	9.411	9.098	8.906	8.707	8.387	7.971	7.77	7.541	7.263	6.821	6.659	6.543	6.111	5.936	5.735	5.433	5.256	5.016	4.752	4.514	4.449	4.228	4.082	3.959	3.719	3.626	3.368	3.252	3.123	2.994	2.85	2.728	2.577	2.408	2.262	2.178	2.074	1.955	1.873	1.804	1.712	1.571	1.538	1.472	1.424	1.346	1.263	1.206	1.131	1.057	1.032	0.966	0.897	0.861	0.802	0.752	0.691	0.678	0.657	0.629	0.609	0.567
1829	Europe and Northern America	15-49	31.764	24.442	23.473	23.029	22.673	22.326	21.899	21.594	21.257	20.844	20.428	20.078	19.647	19.257	18.908	18.591	18.31	17.962	17.538	17.277	16.865	16.586	16.262	15.971	15.708	15.47	15.176	14.936	14.641	14.34	14.124	13.843	13.577	13.315	13.04	12.793	12.502	12.345	12.026	11.774	11.572	11.317	11.097	10.804	10.515	10.336	10.006	9.763	9.512	9.237	9.008	8.845	8.654	8.408	8.241	7.948	7.787	7.54	7.352	7.189	7.093	6.863	6.728	6.553	6.426	6.288	6.105	5.936	5.84	5.601	5.477	5.295	5.187	5.03	4.893	4.751	4.562	4.375	4.217
901	More developed regions	15-49	29.893	23.361	22.494	22.098	21.809	21.423	21.045	20.769	20.425	20.032	19.631	19.33	18.923	18.576	18.183	17.917	17.647	17.291	16.919	16.614	16.297	16.006	15.662	15.409	15.179	14.944	14.657	14.397	14.074	13.763	13.578	13.292	13.048	12.841	12.561	12.283	12.075	11.849	11.595	11.312	11.153	10.908	10.684	10.41	10.149	9.961	9.646	9.394	9.165	8.922	8.711	8.535	8.346	8.121	7.973	7.716	7.54	7.352	7.171	6.964	6.807	6.638	6.507	6.3	6.191	6.038	5.86	5.708	5.574	5.402	5.261	5.081	4.972	4.848	4.69	4.534	4.397	4.229	4.08
