country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	15-49	93.207	83.26	81.432	80.694	79.757	78.912	78.141	77.19	76.3	75.526	74.733	74.023	73.314	72.594	71.979	71.391	70.851	70.254	69.758	69.322	68.758	68.227	67.681	67.159	66.616	66.095	65.687	65.213	64.691	64.183	63.669	63.04	62.497	62.127	61.639	61.19	60.699	60.239	59.81	59.34	58.94	58.464	58.081	57.615	57.235	56.867	56.469	56.049	55.526	55.06	54.617	54.074	53.619	53.099	52.492	52.004	51.424	50.99	50.387	49.932	49.394	48.935	48.449	47.974	47.519	47.114	46.661	46.194	45.619	45.066	44.618	44.181	43.613	43.145	42.607	42.148	41.656	41.165	40.68
1834	Sub-Saharan Africa	15-49	190.97	182.179	175.185	173.457	171.072	168.908	166.841	164.384	161.857	159.489	157.186	155.2	153.205	151.094	148.954	147.053	145.362	143.568	141.993	140.108	138.635	136.883	135.348	133.375	132.063	130.342	128.931	127.583	126.029	124.582	123.263	121.815	120.339	119.191	117.886	116.481	115.145	113.927	112.792	111.451	110.035	108.901	107.495	106.06	105.011	103.994	102.702	101.681	100.417	99.319	98.402	97.362	96.447	95.339	94.233	93.338	92.339	91.335	90.444	89.325	88.173	87.139	86.209	85.56	84.42	83.635	82.527	81.801	80.909	79.991	79.101	78.189	77.117	76.252	75.318	74.327	73.236	72.351	71.437
1833	Northern Africa and Western Asia	15-49	63.601	62.641	60.541	60.029	59.456	58.682	58.124	57.43	56.731	56.126	55.489	54.725	54.161	53.54	52.832	52.322	51.663	50.994	50.441	49.928	49.298	48.667	47.87	47.225	46.666	46.15	45.488	44.956	44.395	43.821	43.178	42.534	41.888	41.138	40.45	39.904	39.302	38.611	38.034	37.404	36.864	36.333	35.738	35.244	34.683	34.108	33.676	33.153	32.611	32.129	31.635	31.242	30.629	30.156	29.634	29.045	28.518	28.021	27.414	26.846	26.298	25.797	25.334	24.783	24.341	23.807	23.32	22.917	22.514	22.037	21.612	21.199	20.696	20.337	19.878	19.472	19.116	18.631	18.278
1831	Central and Southern Asia	15-49	97.751	79.634	77.299	75.243	73.321	71.861	70.527	69.433	67.707	66.502	65.141	64.215	63.051	61.403	60.511	59.432	58.474	57.371	56.239	55.375	54.301	53.341	52.296	51.367	50.408	49.774	48.587	47.673	46.632	45.941	45.343	44.217	43.433	42.635	41.867	41.124	40.25	39.598	38.954	38.302	37.649	36.855	36.185	35.725	35.081	34.428	33.753	33.102	32.497	31.845	31.204	30.697	30.244	29.829	29.109	28.603	28.018	27.475	26.898	26.376	25.86	25.294	24.836	24.228	23.66	23.29	22.761	22.301	21.886	21.368	20.923	20.449	20.067	19.59	19.21	18.764	18.485	17.974	17.545
1832	Eastern and South-Eastern Asia	15-49	56.027	52.705	51.521	50.505	49.353	48.175	47.249	46.304	45.128	44.322	43.431	42.626	41.771	40.885	40.317	39.76	39.287	38.802	38.429	37.929	37.398	37.004	36.3	35.869	35.235	34.695	34.231	33.731	33.122	32.739	32.067	31.518	30.981	30.461	29.986	29.539	29.096	28.714	28.41	28.069	27.68	27.394	27.039	26.775	26.386	26.125	25.799	25.399	25.083	24.661	24.194	23.73	23.37	22.992	22.561	22.023	21.703	21.277	20.883	20.431	20.116	19.774	19.433	19.033	18.66	18.355	18.061	17.728	17.412	17.112	16.765	16.365	16.094	15.858	15.574	15.294	15.011	14.72	14.433
1830	Latin America and the Caribbean	15-49	100.925	84.734	82.421	80.792	78.932	77.414	75.988	74.309	72.817	71.175	69.634	68.022	66.649	65.301	63.82	62.642	61.441	60.135	58.75	57.522	56.229	54.881	53.642	52.453	51.376	50.208	49.02	47.924	46.867	45.859	44.761	43.662	42.749	41.842	41.007	40.073	39.145	38.423	37.472	36.605	35.772	35.009	34.367	33.634	32.885	32.136	31.4	30.708	30.038	29.476	28.867	28.257	27.602	27.033	26.531	25.967	25.464	24.945	24.459	23.893	23.415	22.882	22.439	21.948	21.54	21.053	20.546	20.103	19.599	19.106	18.738	18.343	17.919	17.564	17.178	16.803	16.481	16.043	15.706
1835	Oceania (excluding Australia and New Zealand)	15-49	112.725	110.255	107.262	104.843	102.379	100.143	97.551	96.526	94.346	91.994	90.531	89.397	87.772	86.759	85.234	83.991	83.002	81.372	80.192	79.628	77.501	76.272	75.335	74.343	72.991	71.798	70.349	69.005	67.491	65.971	65.196	64.04	62.904	61.545	60.642	59.735	58.891	57.811	56.734	56.22	55.548	54.529	53.192	52.476	51.454	50.242	49.41	49.077	48.348	47.171	46.432	44.792	43.877	42.826	41.931	40.811	40.329	39.29	38.33	37.812	36.826	36.196	35.143	34.365	33.521	32.532	31.842	31.253	30.474	29.677	29.125	28.467	27.766	27.378	26.872	26.229	25.7	25.105	24.577
1836	Australia/New Zealand	15-49	32.294	31.261	30.477	29.598	28.908	28.285	27.515	26.939	26.382	25.732	25.118	24.429	23.877	23.192	22.592	22.21	21.612	21.058	20.778	20.295	19.941	19.5	19.185	18.322	17.906	17.524	17.191	16.488	16.158	15.738	15.222	14.978	14.601	14.322	13.903	13.58	13.259	13.012	12.525	12.32	11.962	11.691	11.261	10.972	10.675	10.402	10.014	9.655	9.215	9.096	8.813	8.478	8.262	8.089	7.881	7.595	7.27	7.033	6.704	6.608	6.402	6.114	5.813	5.643	5.474	5.354	5.194	4.963	4.814	4.54	4.403	4.226	4.022	3.894	3.69	3.61	3.579	3.389	3.261
1829	Europe and Northern America	15-49	73.758	58.253	56.227	55.243	54.286	53.324	52.45	51.41	50.552	49.451	48.476	47.497	46.32	45.366	44.345	43.336	42.587	41.543	40.618	39.894	39.163	38.552	37.933	37.267	36.694	36.15	35.634	35.148	34.738	34.168	33.786	33.411	32.926	32.421	31.952	31.324	30.859	30.365	29.834	29.297	28.871	28.283	27.707	27.172	26.67	26.169	25.598	25.163	24.739	24.314	23.846	23.421	22.979	22.573	22.199	21.806	21.497	21.154	20.798	20.522	20.154	19.904	19.627	19.32	18.997	18.651	18.341	17.935	17.633	17.264	16.944	16.634	16.332	15.992	15.638	15.292	15.08	14.735	14.418
901	More developed regions	15-49	68.526	54.731	52.949	52.103	51.224	50.379	49.591	48.656	47.868	46.864	45.976	45.055	43.961	43.048	42.121	41.21	40.482	39.495	38.659	37.917	37.313	36.7	36.169	35.49	34.989	34.456	33.969	33.54	33.152	32.683	32.29	31.932	31.428	30.973	30.555	29.968	29.508	29.036	28.538	28.052	27.546	26.973	26.488	26.029	25.534	25.071	24.519	24.074	23.671	23.225	22.837	22.388	22.012	21.589	21.195	20.879	20.527	20.226	19.882	19.62	19.303	19.015	18.737	18.401	18.175	17.817	17.495	17.163	16.833	16.466	16.149	15.826	15.56	15.259	14.947	14.668	14.422	14.1	13.771
