country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	(0-14 & 60+) / 15-59	64.409	64.705	65.071	65.392	65.689	65.929	66.205	66.567	66.962	67.381	67.786	68.216	68.703	69.222	69.784	70.34	70.823	71.264	71.734	72.261	72.874	73.502	74.101	74.651	75.194	75.859	76.501	77.072	77.681	78.192	78.556	78.868	79.179	79.443	79.624	79.81	79.99	80.115	80.324	80.548	80.681	80.896	81.114	81.32	81.573	81.857	82.225	82.674	83.125	83.557	84.054	84.594	85.15	85.658	86.156	86.713	87.255	87.718	88.078	88.367	88.596	88.774	88.965	89.246	89.469	89.606	89.772	89.989	90.237	90.429	90.557	90.731	90.991	91.237	91.51	91.848	92.22	92.545	92.909
1834	Sub-Saharan Africa	(0-14 & 60+) / 15-59	87.461	86.85	86.238	85.639	85.03	84.456	83.969	83.536	83.115	82.73	82.382	81.999	81.567	81.198	80.913	80.498	79.965	79.454	78.963	78.5	78.019	77.488	76.987	76.537	76.096	75.693	75.291	74.851	74.361	73.949	73.583	73.18	72.813	72.461	72.148	71.84	71.489	71.098	70.797	70.597	70.425	70.218	69.999	69.879	69.781	69.688	69.706	69.716	69.672	69.732	69.738	69.776	69.894	69.956	70.082	70.176	70.203	70.274	70.358	70.531	70.712	70.817	70.853	70.902	71.028	71.122	71.286	71.496	71.625	71.795	72.125	72.405	72.57	72.784	73.009	73.233	73.534	73.817	74.076
1833	Northern Africa and Western Asia	(0-14 & 60+) / 15-59	64.211	64.204	64.185	64.128	64.02	63.856	63.717	63.591	63.456	63.46	63.616	63.87	64.237	64.688	65.215	65.77	66.364	66.98	67.58	68.243	68.915	69.531	70.114	70.717	71.326	71.902	72.438	72.893	73.24	73.572	73.84	74.006	74.227	74.398	74.397	74.442	74.499	74.488	74.527	74.61	74.574	74.463	74.509	74.644	74.796	74.968	75.226	75.584	75.983	76.42	76.957	77.534	78.142	78.835	79.529	80.146	80.773	81.386	81.922	82.493	83.077	83.589	83.982	84.398	84.864	85.297	85.677	86.002	86.425	86.939	87.466	88.037	88.616	89.105	89.552	90.124	90.72	91.333	91.896
1831	Central and Southern Asia	(0-14 & 60+) / 15-59	58.971	58.841	58.826	58.842	58.914	59.038	59.182	59.393	59.71	60.111	60.522	60.967	61.489	62.041	62.629	63.087	63.434	63.826	64.266	64.738	65.193	65.655	66.146	66.717	67.331	67.882	68.473	69.132	69.77	70.378	71.014	71.721	72.462	73.218	73.966	74.756	75.576	76.389	77.202	78.024	78.897	79.799	80.731	81.536	82.309	83.161	83.923	84.757	85.672	86.693	87.794	88.947	90.007	90.922	91.941	92.948	93.975	95.012	96.032	97.053	97.97	98.783	99.594	100.43	101.304	102.09	102.707	103.579	104.442	105.098	105.763	106.347	107.069	107.833	108.648	109.477	110.198	110.926	111.675
1832	Eastern and South-Eastern Asia	(0-14 & 60+) / 15-59	58.142	59.182	60.333	61.364	62.375	63.187	64.109	65.237	66.422	67.614	68.668	69.841	71.12	72.366	73.647	74.819	75.869	77.023	78.29	79.644	81.129	82.539	83.915	85.542	87.362	89.348	91.385	93.391	95.497	97.293	98.555	99.553	100.493	101.374	102.034	102.542	102.927	103.223	103.604	103.942	104.17	104.463	104.888	105.4	106.018	106.796	107.77	108.996	110.446	112.142	114.15	116.233	118.26	120.295	122.478	124.857	127.094	128.977	130.364	131.291	131.982	132.323	132.364	132.293	132.254	132.363	132.448	132.445	132.317	132.223	132.159	132.084	132.24	132.746	133.16	133.556	134.053	134.638	135.482
1830	Latin America and the Caribbean	(0-14 & 60+) / 15-59	57.946	58.14	58.425	58.73	59.037	59.391	59.774	60.182	60.618	61.11	61.666	62.278	62.982	63.74	64.567	65.369	66.117	66.921	67.739	68.486	69.282	70.14	70.983	71.843	72.69	73.518	74.352	75.207	76.076	77.009	77.892	78.766	79.735	80.723	81.766	82.746	83.707	84.762	85.834	86.838	87.774	88.776	89.773	90.701	91.676	92.713	93.775	94.781	95.814	96.917	98.014	99.16	100.316	101.491	102.666	103.812	104.967	106.231	107.542	108.635	109.58	110.415	111.282	112.162	112.767	113.19	113.712	114.426	115.114	115.773	116.464	117.183	117.994	118.775	119.459	120.12	120.774	121.399	122.022
1835	Oceania (excluding Australia and New Zealand)	(0-14 & 60+) / 15-59	67.432	67.915	68.392	68.864	69.313	69.752	70.17	70.566	70.969	71.409	71.811	72.192	72.572	72.978	73.512	73.629	73.313	73.021	72.754	72.588	72.354	72.081	71.95	71.931	71.762	71.618	71.729	71.885	72.029	72.161	72.209	72.266	72.52	72.747	72.877	73.05	73.061	73.053	73.131	73.15	73.12	73.043	72.903	72.801	72.794	72.712	72.606	72.524	72.433	72.52	72.862	73.092	73.289	73.649	74.145	74.791	75.426	76.137	76.88	77.711	78.386	78.787	79.21	79.653	80.017	80.302	80.662	81.198	81.944	82.686	83.352	83.954	84.359	84.701	85.205	85.826	86.615	87.388	88.073
1836	Australia/New Zealand	(0-14 & 60+) / 15-59	68.88	69.615	70.28	70.865	71.382	71.878	72.421	73.035	73.744	74.525	75.338	76.128	76.834	77.507	78.149	78.671	79.048	79.432	79.88	80.397	81.043	81.788	82.609	83.474	84.381	85.359	86.356	87.447	88.639	89.704	90.746	91.839	92.865	93.923	94.965	95.78	96.424	97.04	97.633	98.115	98.573	99.073	99.557	100.161	100.921	101.754	102.557	103.339	104.17	104.935	105.751	106.63	107.706	108.928	109.958	110.878	111.743	112.725	113.815	114.798	115.685	116.483	117.234	118.017	118.86	119.665	120.419	121.092	121.69	122.116	122.554	123.091	123.494	123.711	123.89	124.263	124.734	125.185	125.718
1829	Europe and Northern America	(0-14 & 60+) / 15-59	71.993	72.722	73.526	74.323	75.042	75.68	76.327	77.004	77.708	78.425	79.135	79.863	80.667	81.576	82.522	83.438	84.323	85.233	86.188	87.171	88.153	89.134	90.1	91.061	92.029	92.961	93.956	94.937	95.853	96.688	97.368	97.91	98.285	98.537	98.663	98.775	98.906	99.003	99.222	99.472	99.613	99.762	99.935	100.144	100.496	101.018	101.667	102.304	102.954	103.668	104.449	105.312	106.16	107.005	107.854	108.692	109.406	109.932	110.394	110.881	111.362	111.645	111.867	112.208	112.475	112.666	112.882	113.126	113.337	113.392	113.571	113.894	114.17	114.519	114.829	115.205	115.706	116.146	116.492
901	More developed regions	(0-14 & 60+) / 15-59	73.54	74.225	74.99	75.761	76.436	77.058	77.739	78.448	79.195	79.969	80.748	81.572	82.488	83.476	84.459	85.404	86.321	87.226	88.171	89.147	90.08	90.995	91.936	92.897	93.848	94.805	95.739	96.616	97.469	98.275	98.917	99.374	99.756	100.007	100.185	100.391	100.565	100.709	100.895	101.06	101.172	101.39	101.683	102	102.373	102.835	103.441	104.1	104.7	105.332	106.062	106.815	107.551	108.323	109.134	109.941	110.622	111.173	111.599	111.956	112.334	112.654	112.861	113.06	113.27	113.472	113.717	113.957	114.189	114.449	114.638	114.819	115.004	115.15	115.44	115.755	116.017	116.422	116.912
