country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	(0-14 & 60+) / 15-59	66.223	66.377	66.582	66.726	66.821	66.834	66.89	67.018	67.169	67.295	67.389	67.536	67.709	67.881	68.093	68.324	68.584	68.92	69.296	69.75	70.26	70.725	71.222	71.786	72.369	72.971	73.57	74.137	74.659	75.114	75.485	75.791	76.002	76.179	76.342	76.458	76.561	76.613	76.664	76.754	76.853	76.954	77.071	77.255	77.485	77.729	78.012	78.297	78.594	78.937	79.274	79.645	80.022	80.375	80.713	80.98	81.09	81.137	81.136	81.027	80.948	80.875	80.848	80.853	80.851	80.917	81.035	81.134	81.228	81.342	81.452	81.638	81.883	82.084	82.278	82.508	82.704	82.931	83.239
1834	Sub-Saharan Africa	(0-14 & 60+) / 15-59	86.889	85.736	84.557	83.383	82.207	81.031	79.868	78.728	77.602	76.473	75.37	74.243	73.085	71.918	70.732	69.662	68.799	68.088	67.468	66.852	66.099	65.33	64.668	64.086	63.498	62.951	62.472	61.936	61.339	60.79	60.328	59.84	59.332	58.832	58.415	58.064	57.709	57.332	56.979	56.661	56.389	56.219	56.136	56.112	56.083	56.047	56.038	56.054	56.16	56.293	56.413	56.535	56.592	56.682	56.814	56.895	57.018	57.237	57.446	57.634	57.76	57.886	58.085	58.248	58.441	58.706	58.955	59.219	59.499	59.77	60.082	60.415	60.685	60.961	61.282	61.557	61.904	62.286	62.619
1833	Northern Africa and Western Asia	(0-14 & 60+) / 15-59	66.908	66.417	65.903	65.327	64.689	64.007	63.326	62.637	61.919	61.333	60.902	60.527	60.231	60.056	59.992	60.078	60.329	60.631	61.023	61.498	61.969	62.457	62.98	63.498	64.021	64.565	65.004	65.4	65.786	66.139	66.448	66.689	66.923	67.075	67.186	67.315	67.394	67.43	67.477	67.549	67.588	67.625	67.703	67.817	68.004	68.295	68.582	68.914	69.411	69.95	70.489	71.126	71.846	72.537	73.086	73.53	73.908	74.172	74.423	74.711	74.981	75.232	75.468	75.664	75.872	76.065	76.257	76.47	76.636	76.766	76.916	77.052	77.275	77.616	77.953	78.278	78.53	78.845	79.21
1831	Central and Southern Asia	(0-14 & 60+) / 15-59	59.311	58.709	58.19	57.694	57.225	56.762	56.302	55.899	55.572	55.287	55.051	54.846	54.683	54.543	54.414	54.414	54.573	54.787	55.103	55.45	55.784	56.322	56.863	57.347	57.93	58.562	59.252	59.943	60.69	61.412	62.089	62.751	63.355	63.993	64.684	65.407	66.104	66.802	67.495	68.104	68.776	69.381	69.914	70.544	71.224	71.876	72.437	72.918	73.298	73.739	74.362	74.942	75.22	75.358	75.539	75.753	75.972	76.111	76.178	76.168	76.163	76.294	76.402	76.571	76.725	76.96	77.372	77.657	77.907	78.144	78.454	78.846	79.212	79.638	80.061	80.192	80.436	80.862	81.303
1832	Eastern and South-Eastern Asia	(0-14 & 60+) / 15-59	60.392	61.318	62.36	63.257	64.085	64.715	65.473	66.414	67.401	68.36	69.116	69.969	70.881	71.696	72.543	73.389	74.232	75.177	76.236	77.456	78.86	80.214	81.492	82.901	84.446	86.138	87.887	89.651	91.472	92.89	93.772	94.406	94.953	95.408	95.556	95.576	95.586	95.589	95.543	95.337	95.154	95.023	94.848	94.769	94.862	95.127	95.488	95.893	96.448	97.118	97.997	98.928	99.802	100.624	101.435	102.302	102.897	103.157	103.146	102.852	102.45	102.146	101.879	101.516	101.076	100.761	100.55	100.315	100.081	99.902	99.744	99.675	99.783	99.772	99.693	99.802	100.054	100.3	100.595
1830	Latin America and the Caribbean	(0-14 & 60+) / 15-59	58.903	58.903	58.956	59.007	59.055	59.119	59.196	59.285	59.397	59.56	59.761	59.986	60.246	60.579	61.05	61.617	62.262	62.972	63.697	64.458	65.301	66.148	66.972	67.868	68.781	69.647	70.548	71.53	72.497	73.434	74.392	75.407	76.412	77.352	78.262	79.137	80.028	80.992	81.993	82.84	83.548	84.332	85.185	86.038	86.898	87.686	88.375	89.029	89.643	90.198	90.789	91.357	91.836	92.366	92.874	93.287	93.582	93.797	93.901	93.923	94	94.186	94.423	94.613	94.785	94.962	95.201	95.48	95.773	96.099	96.257	96.381	96.63	96.972	97.339	97.623	97.963	98.286	98.596
1835	Oceania (excluding Australia and New Zealand)	(0-14 & 60+) / 15-59	65.922	64.888	63.86	62.813	61.784	60.753	59.729	58.681	57.632	56.679	55.771	54.914	54.057	53.214	52.466	52.215	52.405	52.632	52.948	53.272	53.622	54.071	54.367	54.643	54.938	55.12	55.317	55.556	55.9	56.23	56.444	56.6	56.743	56.806	56.756	56.728	56.871	57.064	57.206	57.296	57.435	57.586	57.729	57.91	58.122	58.294	58.42	58.572	58.778	59.036	59.265	59.425	59.557	59.846	60.055	60.106	60.252	60.315	60.307	60.329	60.431	60.655	60.968	61.25	61.454	61.708	61.948	62.253	62.61	62.853	63.029	63.186	63.315	63.456	63.697	63.879	64.136	64.495	64.795
1836	Australia/New Zealand	(0-14 & 60+) / 15-59	69.852	70.306	70.667	70.891	71.023	71.134	71.276	71.49	71.765	72.1	72.406	72.642	72.808	72.88	72.898	72.946	73.039	73.139	73.295	73.6	74.12	74.692	75.286	76.022	76.838	77.618	78.368	79.241	80.222	81.139	81.972	82.842	83.71	84.475	85.119	85.701	86.142	86.483	86.869	87.158	87.312	87.538	87.788	88.013	88.376	88.702	88.956	89.266	89.605	89.954	90.342	90.68	90.93	91.129	91.343	91.592	91.789	91.907	91.915	91.932	92.035	92.07	92.086	92.191	92.405	92.584	92.633	92.638	92.676	92.708	92.635	92.582	92.55	92.539	92.604	92.736	92.797	92.785	92.772
1829	Europe and Northern America	(0-14 & 60+) / 15-59	76.876	77.495	78.178	78.817	79.343	79.77	80.18	80.592	81.009	81.448	81.858	82.246	82.707	83.282	83.881	84.506	85.186	85.911	86.704	87.515	88.314	89.132	89.954	90.861	91.754	92.526	93.314	94.109	94.878	95.512	95.975	96.269	96.422	96.51	96.527	96.505	96.509	96.499	96.46	96.408	96.302	96.234	96.28	96.364	96.473	96.752	97.122	97.514	97.909	98.269	98.608	98.962	99.427	99.822	100.168	100.402	100.425	100.388	100.267	100.136	99.94	99.668	99.461	99.363	99.282	99.134	99.088	99.105	99.065	99.095	99.059	98.94	98.938	99.103	99.23	99.316	99.611	99.861	99.996
901	More developed regions	(0-14 & 60+) / 15-59	78.606	79.184	79.836	80.463	80.955	81.374	81.821	82.255	82.742	83.252	83.76	84.314	84.937	85.626	86.305	86.967	87.66	88.405	89.211	90.019	90.812	91.629	92.394	93.198	94.062	94.865	95.605	96.327	97.067	97.728	98.202	98.488	98.664	98.78	98.794	98.745	98.731	98.747	98.74	98.702	98.666	98.647	98.642	98.677	98.768	99.005	99.381	99.791	100.103	100.322	100.666	101.078	101.479	101.851	102.182	102.395	102.463	102.376	102.163	101.902	101.66	101.538	101.407	101.273	101.217	101.154	101.073	101.054	101.028	100.929	100.894	100.891	100.926	101.001	101.116	101.253	101.38	101.535	101.619
