country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	(0-14 & 60+) / 15-59	66.336	66.725	67.187	67.603	67.991	68.323	68.684	69.125	69.614	70.107	70.575	71.09	71.65	72.22	72.83	73.402	73.916	74.439	74.995	75.569	76.19	76.81	77.358	77.943	78.579	79.243	79.88	80.483	81.123	81.677	82.027	82.305	82.589	82.844	83.076	83.254	83.375	83.469	83.611	83.775	83.952	84.133	84.257	84.462	84.757	85.066	85.424	85.824	86.189	86.588	87.072	87.556	88.082	88.568	89.082	89.635	90.102	90.575	90.985	91.267	91.494	91.75	92.02	92.277	92.498	92.673	92.887	93.131	93.391	93.67	93.848	93.993	94.195	94.471	94.857	95.237	95.586	95.936	96.284
1834	Sub-Saharan Africa	(0-14 & 60+) / 15-59	87.165	86.586	86	85.43	84.854	84.313	83.851	83.428	83.02	82.658	82.324	81.962	81.563	81.196	80.906	80.503	80.013	79.551	79.07	78.609	78.137	77.659	77.21	76.781	76.345	75.978	75.627	75.188	74.747	74.392	74.03	73.627	73.279	72.956	72.65	72.372	72.044	71.675	71.406	71.199	71.039	70.856	70.648	70.563	70.486	70.436	70.466	70.452	70.457	70.48	70.51	70.635	70.776	70.888	71.001	71.069	71.103	71.214	71.329	71.463	71.61	71.735	71.866	71.995	72.095	72.14	72.357	72.618	72.759	73.049	73.416	73.676	73.867	74.112	74.403	74.703	75.058	75.354	75.675
1833	Northern Africa and Western Asia	(0-14 & 60+) / 15-59	67.123	67.065	66.995	66.884	66.713	66.482	66.284	66.079	65.863	65.806	65.899	66.092	66.388	66.776	67.254	67.746	68.269	68.808	69.372	69.977	70.513	71.101	71.708	72.283	72.849	73.466	74.061	74.471	74.858	75.27	75.597	75.856	76.102	76.25	76.306	76.439	76.579	76.685	76.778	76.777	76.736	76.731	76.816	76.979	77.164	77.413	77.752	78.125	78.583	79.149	79.799	80.484	81.197	81.987	82.739	83.423	84.08	84.757	85.466	86.182	86.84	87.411	87.959	88.428	88.836	89.141	89.592	90.147	90.698	91.32	91.846	92.412	92.925	93.485	94.126	94.71	95.387	96.099	96.742
1831	Central and Southern Asia	(0-14 & 60+) / 15-59	59.575	59.509	59.563	59.66	59.796	59.985	60.209	60.515	60.919	61.347	61.806	62.345	62.957	63.584	64.267	64.823	65.209	65.669	66.192	66.706	67.205	67.713	68.267	68.882	69.51	70.138	70.76	71.44	72.171	72.863	73.517	74.216	74.956	75.667	76.487	77.297	78.102	78.904	79.69	80.549	81.451	82.288	83.109	83.922	84.766	85.682	86.501	87.261	88.103	89.122	90.199	91.291	92.315	93.377	94.521	95.558	96.6	97.62	98.506	99.571	100.667	101.624	102.458	103.268	104.153	104.969	105.848	106.761	107.521	108.243	109.045	109.778	110.664	111.897	112.838	113.496	114.47	115.347	116.005
1832	Eastern and South-Eastern Asia	(0-14 & 60+) / 15-59	60.555	61.816	63.211	64.49	65.734	66.793	67.978	69.35	70.789	72.245	73.538	74.924	76.426	77.913	79.386	80.683	81.856	83.134	84.534	86.029	87.67	89.293	90.856	92.575	94.498	96.634	98.8	100.877	103.066	104.985	106.347	107.514	108.534	109.349	109.94	110.442	110.914	111.184	111.492	111.787	111.999	112.259	112.478	112.775	113.296	114.097	115.102	116.229	117.504	119.009	120.823	122.815	124.977	127.165	129.242	131.542	133.625	135.363	136.793	137.649	138.165	138.502	138.645	138.583	138.485	138.463	138.363	138.188	138.088	138.192	138.325	138.487	138.82	139.255	139.597	140.123	140.847	141.306	141.967
1830	Latin America and the Caribbean	(0-14 & 60+) / 15-59	59.045	59.34	59.726	60.142	60.561	61.005	61.485	61.988	62.528	63.129	63.796	64.512	65.298	66.126	67.039	67.981	68.852	69.746	70.648	71.517	72.406	73.413	74.443	75.347	76.232	77.134	78.042	79.018	79.996	80.94	81.931	82.978	84.016	85.048	86.148	87.217	88.255	89.396	90.552	91.63	92.634	93.657	94.693	95.675	96.726	97.828	98.874	99.951	101.073	102.2	103.389	104.625	105.828	107.131	108.44	109.727	111.004	112.208	113.505	114.817	115.736	116.525	117.543	118.57	119.179	119.682	120.511	121.067	121.788	122.693	123.311	123.972	124.734	125.509	126.195	127.074	127.956	128.511	129.183
1835	Oceania (excluding Australia and New Zealand)	(0-14 & 60+) / 15-59	66.718	67.248	67.777	68.313	68.843	69.36	69.856	70.343	70.833	71.339	71.834	72.338	72.831	73.346	73.963	74.166	73.963	73.794	73.662	73.637	73.527	73.364	73.312	73.383	73.382	73.373	73.605	73.848	74.057	74.252	74.371	74.476	74.816	75.091	75.139	75.323	75.448	75.504	75.603	75.589	75.492	75.356	75.272	75.276	75.258	75.25	75.214	75.081	75.202	75.548	75.807	76.187	76.567	76.98	77.626	78.451	79.339	80.385	81.6	82.656	83.249	83.608	84.092	84.522	85.008	85.448	85.958	86.626	87.055	87.621	88.368	89.087	89.731	90.363	91.111	91.594	92.277	93.329	94.244
1836	Australia/New Zealand	(0-14 & 60+) / 15-59	70.038	70.865	71.614	72.279	72.897	73.5	74.171	74.922	75.748	76.674	77.596	78.483	79.282	79.991	80.707	81.288	81.758	82.253	82.785	83.417	84.156	84.995	85.884	86.852	87.872	88.876	89.935	91.072	92.28	93.363	94.448	95.662	96.768	97.758	98.594	99.3	99.977	100.624	101.25	101.804	102.317	102.805	103.315	103.852	104.46	105.175	105.901	106.694	107.592	108.603	109.602	110.597	111.518	112.444	113.575	114.603	115.567	116.497	117.379	118.53	119.722	120.581	121.292	122.158	123	123.857	124.731	125.349	126.03	126.707	127.085	127.272	127.428	127.753	128.257	128.687	128.925	129.359	129.679
1829	Europe and Northern America	(0-14 & 60+) / 15-59	76.974	77.792	78.681	79.548	80.328	81.028	81.735	82.46	83.222	83.998	84.748	85.515	86.369	87.331	88.315	89.246	90.164	91.127	92.124	93.145	94.138	95.113	96.074	97.047	98.063	99.025	99.939	100.931	101.911	102.756	103.447	103.896	104.165	104.404	104.588	104.664	104.745	104.826	104.965	105.112	105.187	105.257	105.389	105.628	105.943	106.435	107.045	107.672	108.33	109.006	109.736	110.554	111.406	112.307	113.225	114.024	114.714	115.291	115.754	116.226	116.684	116.988	117.284	117.636	117.934	118.173	118.334	118.438	118.571	118.798	119.037	119.324	119.598	119.861	120.124	120.431	120.866	121.381	121.94
901	More developed regions	(0-14 & 60+) / 15-59	78.699	79.468	80.314	81.165	81.904	82.585	83.318	84.064	84.863	85.701	86.552	87.419	88.375	89.426	90.447	91.441	92.445	93.406	94.38	95.358	96.275	97.206	98.17	99.133	100.1	101.093	102.054	102.942	103.78	104.519	105.147	105.624	105.947	106.232	106.472	106.606	106.643	106.667	106.764	106.888	106.968	107.157	107.428	107.683	108.036	108.486	109.017	109.65	110.269	110.857	111.541	112.359	113.187	114.046	114.892	115.593	116.245	116.832	117.269	117.622	117.932	118.204	118.46	118.73	118.977	119.182	119.381	119.622	119.846	119.906	119.985	120.171	120.453	120.828	121.174	121.517	121.87	122.269	122.719
