country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	(0-14 & 60+) / 15-59	62.448	62.465	62.529	62.527	62.486	62.379	62.312	62.316	62.346	62.381	62.394	62.454	62.576	62.721	62.881	63.065	63.289	63.573	63.908	64.324	64.789	65.244	65.726	66.188	66.668	67.223	67.757	68.265	68.796	69.242	69.568	69.833	70.06	70.253	70.421	70.586	70.748	70.898	71.075	71.263	71.432	71.611	71.799	72.024	72.256	72.521	72.844	73.187	73.574	73.977	74.401	74.841	75.271	75.704	76.138	76.524	76.79	76.979	77.098	77.116	77.133	77.168	77.179	77.232	77.298	77.362	77.427	77.505	77.586	77.659	77.772	77.849	77.951	78.099	78.231	78.402	78.59	78.781	79.017
1834	Sub-Saharan Africa	(0-14 & 60+) / 15-59	87.532	86.424	85.292	84.147	82.995	81.85	80.751	79.684	78.607	77.544	76.498	75.449	74.39	73.344	72.305	71.311	70.431	69.628	68.875	68.175	67.448	66.726	66.093	65.506	64.905	64.269	63.61	62.955	62.377	61.849	61.283	60.676	60.094	59.581	59.161	58.759	58.337	57.932	57.563	57.269	57.014	56.736	56.514	56.344	56.225	56.143	56.071	56.061	56.065	56.042	56.032	56.057	56.099	56.121	56.131	56.135	56.184	56.286	56.432	56.602	56.723	56.85	56.997	57.145	57.29	57.496	57.696	57.855	58.031	58.2	58.398	58.618	58.85	59.084	59.298	59.474	59.692	59.991	60.274
1833	Northern Africa and Western Asia	(0-14 & 60+) / 15-59	61.382	61.084	60.76	60.387	59.952	59.471	59.018	58.579	58.128	57.784	57.578	57.439	57.361	57.397	57.54	57.794	58.164	58.605	59.106	59.678	60.277	60.838	61.378	61.953	62.498	62.97	63.405	63.784	64.064	64.258	64.401	64.507	64.608	64.679	64.659	64.62	64.582	64.478	64.379	64.34	64.294	64.255	64.252	64.286	64.362	64.492	64.688	64.958	65.311	65.715	66.167	66.668	67.213	67.763	68.255	68.615	68.969	69.332	69.606	69.913	70.219	70.459	70.688	70.901	71.118	71.349	71.54	71.711	71.94	72.23	72.459	72.658	72.901	73.207	73.524	73.754	74.037	74.424	74.785
1831	Central and Southern Asia	(0-14 & 60+) / 15-59	58.173	57.534	56.983	56.428	55.889	55.376	54.896	54.47	54.117	53.802	53.502	53.233	53.02	52.879	52.794	52.809	52.896	53.03	53.27	53.578	53.921	54.322	54.713	55.103	55.523	55.944	56.439	56.953	57.461	57.996	58.573	59.186	59.747	60.348	60.994	61.601	62.241	62.905	63.504	64.092	64.725	65.375	66.015	66.626	67.206	67.802	68.356	68.916	69.505	70.009	70.477	70.929	71.36	71.744	72.114	72.494	72.877	73.156	73.404	73.681	73.902	74.155	74.496	74.786	74.951	75.143	75.422	75.685	75.954	76.244	76.492	76.746	77.158	77.55	77.837	78.16	78.504	78.872	79.098
1832	Eastern and South-Eastern Asia	(0-14 & 60+) / 15-59	55.714	56.27	56.905	57.396	57.824	58.046	58.376	58.87	59.401	59.935	60.324	60.825	61.438	62.026	62.677	63.28	63.875	64.573	65.379	66.369	67.549	68.701	69.74	70.841	72.159	73.685	75.211	76.73	78.372	79.803	80.825	81.601	82.214	82.702	83.082	83.399	83.557	83.611	83.718	83.828	83.901	83.979	84.204	84.567	85.003	85.592	86.348	87.258	88.156	89.103	90.322	91.656	92.925	94.119	95.318	96.606	97.549	98.024	98.19	97.907	97.514	97.275	97.09	96.845	96.587	96.328	96.044	95.824	95.559	95.285	95.1	94.949	94.865	94.803	94.798	94.832	94.814	94.967	95.246
1830	Latin America and the Caribbean	(0-14 & 60+) / 15-59	56.706	56.537	56.422	56.319	56.221	56.136	56.068	56.017	55.981	55.986	56.042	56.138	56.304	56.544	56.838	57.244	57.719	58.236	58.825	59.456	60.117	60.794	61.459	62.137	62.855	63.59	64.316	65.052	65.817	66.622	67.451	68.239	69.043	69.872	70.687	71.49	72.302	73.138	73.944	74.764	75.635	76.419	77.115	77.87	78.642	79.368	80.063	80.768	81.473	82.222	82.981	83.591	84.182	84.837	85.41	85.855	86.298	86.691	86.99	87.252	87.47	87.672	87.874	88.163	88.522	88.827	89.061	89.357	89.738	90.083	90.444	90.877	91.338	91.764	92.098	92.501	92.921	93.308	93.715
1835	Oceania (excluding Australia and New Zealand)	(0-14 & 60+) / 15-59	67.429	66.504	65.559	64.572	63.572	62.57	61.547	60.532	59.567	58.617	57.702	56.837	55.986	55.149	54.344	53.877	53.721	53.62	53.544	53.478	53.453	53.472	53.482	53.439	53.411	53.513	53.63	53.678	53.725	53.778	53.828	53.859	53.857	53.874	53.907	53.871	53.805	53.791	53.796	53.79	53.834	53.909	53.951	54.063	54.218	54.319	54.439	54.638	54.881	55.124	55.348	55.519	55.742	55.981	56.184	56.324	56.421	56.56	56.644	56.678	56.815	57.048	57.151	57.209	57.315	57.412	57.5	57.631	57.812	57.952	58.112	58.342	58.554	58.742	58.944	59.116	59.292	59.488	59.674
1836	Australia/New Zealand	(0-14 & 60+) / 15-59	67.563	67.887	68.116	68.227	68.271	68.266	68.262	68.309	68.407	68.596	68.79	68.925	68.992	69.024	69.01	68.962	68.991	69.052	69.203	69.506	69.94	70.443	70.982	71.58	72.23	72.933	73.688	74.506	75.35	76.243	77.149	78.074	79.05	79.974	80.779	81.416	81.91	82.428	82.924	83.291	83.517	83.691	83.932	84.189	84.523	84.983	85.484	85.975	86.463	86.892	87.28	87.703	88.074	88.43	88.764	88.96	89.089	89.159	89.178	89.242	89.41	89.555	89.581	89.692	89.871	90.044	90.235	90.394	90.514	90.626	90.715	90.779	90.78	90.81	90.998	91.099	91.105	91.142	91.235
1829	Europe and Northern America	(0-14 & 60+) / 15-59	66.965	67.455	68.009	68.541	68.988	69.341	69.684	70.042	70.418	70.8	71.171	71.561	72.014	72.562	73.122	73.687	74.301	74.998	75.802	76.601	77.372	78.154	78.951	79.76	80.581	81.434	82.282	83.109	83.917	84.642	85.235	85.682	86.024	86.257	86.39	86.516	86.622	86.734	86.883	86.991	87.091	87.257	87.447	87.705	88.036	88.442	88.954	89.524	90.029	90.524	91.076	91.627	92.162	92.667	93.193	93.628	93.883	94.022	94.03	93.984	93.939	93.903	93.9	93.863	93.789	93.704	93.685	93.744	93.794	93.799	93.767	93.77	93.816	93.901	94.019	94.161	94.325	94.476	94.681
901	More developed regions	(0-14 & 60+) / 15-59	68.352	68.809	69.334	69.849	70.253	70.596	70.986	71.384	71.812	72.261	72.7	73.182	73.748	74.382	74.996	75.614	76.268	76.96	77.724	78.504	79.274	80.061	80.859	81.672	82.479	83.276	84.097	84.875	85.605	86.294	86.882	87.331	87.637	87.875	88.052	88.174	88.294	88.405	88.553	88.69	88.782	88.932	89.14	89.373	89.642	90.014	90.525	91.074	91.562	92.063	92.595	93.096	93.607	94.143	94.666	95.064	95.3	95.407	95.367	95.274	95.25	95.281	95.249	95.187	95.092	94.983	94.947	94.946	94.97	94.993	94.949	94.925	94.977	95.114	95.276	95.365	95.492	95.67	95.902
