country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	(0-14 & 60+) / 15-59	62.546	62.753	63.026	63.259	63.47	63.623	63.803	64.073	64.403	64.752	65.079	65.445	65.877	66.349	66.872	67.392	67.821	68.238	68.674	69.121	69.676	70.256	70.817	71.385	71.995	72.634	73.231	73.819	74.429	74.942	75.334	75.662	75.921	76.174	76.43	76.668	76.859	77.017	77.202	77.409	77.597	77.796	78.044	78.302	78.548	78.899	79.342	79.775	80.186	80.612	81.117	81.699	82.278	82.904	83.54	84.119	84.605	84.982	85.298	85.602	85.875	86.096	86.308	86.488	86.589	86.703	86.89	87.087	87.255	87.438	87.637	87.838	88.038	88.18	88.401	88.706	88.952	89.284	89.666
1834	Sub-Saharan Africa	(0-14 & 60+) / 15-59	87.762	87.119	86.474	85.844	85.211	84.607	84.092	83.63	83.186	82.787	82.418	82.023	81.592	81.202	80.874	80.446	79.925	79.415	78.885	78.368	77.846	77.291	76.761	76.291	75.839	75.398	74.963	74.491	73.996	73.564	73.147	72.721	72.348	72.005	71.653	71.278	70.945	70.579	70.238	70.002	69.799	69.573	69.346	69.199	69.075	68.933	68.911	68.961	68.921	68.928	68.915	68.916	69.03	69.141	69.194	69.261	69.298	69.311	69.464	69.644	69.715	69.716	69.738	69.788	69.908	70.062	70.23	70.433	70.658	70.749	70.877	71.123	71.317	71.516	71.744	71.917	72.119	72.358	72.507
1833	Northern Africa and Western Asia	(0-14 & 60+) / 15-59	61.546	61.584	61.605	61.593	61.536	61.428	61.35	61.29	61.223	61.282	61.487	61.815	62.242	62.731	63.31	63.94	64.56	65.22	65.903	66.62	67.353	68.02	68.646	69.237	69.827	70.386	70.901	71.368	71.723	72.021	72.202	72.324	72.488	72.585	72.594	72.591	72.588	72.513	72.524	72.609	72.561	72.449	72.397	72.451	72.541	72.673	72.897	73.188	73.501	73.877	74.334	74.866	75.451	76.059	76.669	77.206	77.784	78.318	78.814	79.294	79.648	80.062	80.545	80.993	81.385	81.692	81.957	82.21	82.574	83.051	83.499	83.953	84.437	84.899	85.432	86.011	86.506	87.007	87.569
1831	Central and Southern Asia	(0-14 & 60+) / 15-59	58.396	58.203	58.128	58.082	58.071	58.124	58.221	58.392	58.659	58.957	59.279	59.654	60.083	60.555	61.061	61.459	61.78	62.11	62.49	62.894	63.29	63.708	64.138	64.642	65.15	65.616	66.217	66.92	67.54	68.081	68.635	69.363	70.157	70.825	71.577	72.412	73.256	74.145	74.969	75.734	76.602	77.623	78.585	79.344	80.068	80.94	81.852	82.782	83.71	84.699	85.736	86.751	87.809	88.958	90.072	91.044	92.064	93.068	94.023	94.944	95.627	96.348	97.177	98.046	98.957	99.692	100.206	100.721	101.602	102.453	103.143	103.827	104.396	105.184	106.045	106.726	107.302	107.86	108.312
1832	Eastern and South-Eastern Asia	(0-14 & 60+) / 15-59	55.849	56.683	57.617	58.429	59.219	59.825	60.533	61.43	62.383	63.358	64.188	65.15	66.236	67.312	68.443	69.448	70.426	71.526	72.66	73.886	75.29	76.636	77.944	79.396	81.017	82.925	84.876	86.709	88.708	90.398	91.601	92.663	93.57	94.382	95.085	95.69	96.162	96.574	97.025	97.428	97.761	98.167	98.57	99.111	99.927	100.959	102.243	103.666	105.086	106.633	108.558	110.688	112.922	115.18	117.541	120.001	122.068	123.928	125.461	126.358	126.782	126.993	127.159	127.49	127.638	127.644	127.649	127.451	127.322	127.339	127.404	127.331	127.367	127.482	127.666	127.96	128.111	128.418	128.973
1830	Latin America and the Caribbean	(0-14 & 60+) / 15-59	56.83	56.919	57.096	57.297	57.506	57.755	58.037	58.346	58.679	59.063	59.529	60.04	60.631	61.291	62.027	62.753	63.436	64.137	64.846	65.52	66.188	66.914	67.658	68.42	69.181	69.945	70.711	71.492	72.294	73.145	73.987	74.779	75.653	76.6	77.562	78.515	79.465	80.43	81.414	82.394	83.328	84.242	85.14	86.057	87.04	88.042	88.968	89.858	90.832	91.907	92.998	94.041	95.132	96.268	97.409	98.574	99.705	100.756	101.725	102.766	103.702	104.475	105.28	106.009	106.585	107.031	107.583	108.302	108.954	109.664	110.495	111.194	111.842	112.52	113.108	113.743	114.385	114.921	115.382
1835	Oceania (excluding Australia and New Zealand)	(0-14 & 60+) / 15-59	68.116	68.551	68.973	69.38	69.77	70.139	70.46	70.77	71.111	71.444	71.75	72.038	72.343	72.671	73.065	73.09	72.698	72.252	71.822	71.508	71.139	70.818	70.625	70.417	70.113	69.972	69.983	69.994	70.072	70.107	70.147	70.163	70.332	70.547	70.693	70.815	70.788	70.767	70.843	70.917	70.842	70.777	70.696	70.502	70.458	70.473	70.276	70.097	69.99	69.875	69.936	70.174	70.506	70.806	71.114	71.586	72.123	72.57	72.965	73.628	74.199	74.474	74.948	75.444	75.793	76.072	76.381	76.87	77.334	77.748	78.15	78.58	79.106	79.77	80.308	80.789	81.272	81.822	82.488
1836	Australia/New Zealand	(0-14 & 60+) / 15-59	67.722	68.37	68.941	69.43	69.868	70.274	70.712	71.231	71.808	72.469	73.185	73.876	74.519	75.068	75.558	76.015	76.384	76.783	77.258	77.712	78.255	78.887	79.54	80.315	81.227	82.164	83.103	84.112	85.215	86.338	87.432	88.528	89.643	90.677	91.643	92.493	93.152	93.813	94.471	95.082	95.644	96.11	96.634	97.235	97.864	98.601	99.466	100.353	101.212	102.038	102.802	103.643	104.58	105.511	106.498	107.508	108.586	109.702	110.627	111.475	112.424	113.351	114.134	114.795	115.372	115.936	116.548	117.12	117.591	118.011	118.318	118.508	118.853	119.382	119.853	120.409	120.914	121.388	122.1
1829	Europe and Northern America	(0-14 & 60+) / 15-59	67.039	67.683	68.411	69.14	69.8	70.385	70.985	71.622	72.279	72.933	73.599	74.325	75.102	75.958	76.85	77.731	78.594	79.465	80.385	81.354	82.344	83.358	84.336	85.251	86.218	87.19	88.135	89.085	89.994	90.837	91.509	92.074	92.566	92.858	93.051	93.253	93.477	93.714	93.951	94.169	94.374	94.599	94.837	95.134	95.566	96.116	96.769	97.458	98.148	98.866	99.64	100.498	101.406	102.299	103.161	103.994	104.691	105.26	105.715	106.097	106.464	106.766	107.065	107.37	107.686	107.964	108.22	108.559	108.811	108.934	109.122	109.354	109.5	109.698	109.975	110.268	110.71	111.272	111.815
901	More developed regions	(0-14 & 60+) / 15-59	68.421	69.027	69.715	70.416	71.033	71.606	72.242	72.897	73.591	74.31	75.029	75.825	76.712	77.649	78.576	79.475	80.361	81.245	82.169	83.101	84.008	84.925	85.881	86.858	87.81	88.723	89.62	90.486	91.355	92.169	92.871	93.422	93.84	94.18	94.439	94.658	94.844	95.039	95.273	95.497	95.651	95.821	96.108	96.452	96.878	97.454	98.121	98.814	99.493	100.177	100.909	101.719	102.577	103.429	104.234	104.987	105.623	106.095	106.491	106.885	107.239	107.525	107.786	108.072	108.365	108.658	108.912	109.183	109.45	109.668	109.781	109.869	110.121	110.292	110.457	110.769	111.073	111.451	111.914
