country_code	country	age	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	(0-14 & 60+) / 15-59	62.486	62.578	62.727	62.823	62.89	62.892	62.934	63.047	63.193	63.354	63.491	63.673	63.91	64.177	64.479	64.786	65.092	65.439	65.842	66.288	66.781	67.269	67.74	68.242	68.784	69.363	69.934	70.488	71.051	71.536	71.9	72.198	72.454	72.682	72.879	73.046	73.192	73.329	73.486	73.658	73.824	73.998	74.195	74.423	74.684	74.992	75.35	75.748	76.169	76.603	77.075	77.561	78.038	78.5	78.946	79.379	79.743	80.022	80.222	80.348	80.445	80.536	80.627	80.717	80.807	80.896	80.99	81.092	81.202	81.322	81.456	81.605	81.766	81.941	82.129	82.329	82.543	82.771	83.011
1834	Sub-Saharan Africa	(0-14 & 60+) / 15-59	87.627	86.711	85.785	84.861	83.939	83.037	82.172	81.342	80.53	79.732	78.942	78.15	77.351	76.559	75.781	75.027	74.304	73.61	72.945	72.299	71.656	71.019	70.388	69.765	69.155	68.555	67.966	67.385	66.81	66.247	65.7	65.167	64.65	64.156	63.689	63.243	62.814	62.408	62.035	61.699	61.398	61.126	60.886	60.682	60.513	60.375	60.266	60.183	60.117	60.069	60.035	60.013	60.006	60.011	60.024	60.042	60.078	60.135	60.208	60.298	60.395	60.502	60.62	60.75	60.89	61.039	61.198	61.37	61.552	61.747	61.957	62.175	62.399	62.63	62.863	63.1	63.343	63.593	63.848
1833	Northern Africa and Western Asia	(0-14 & 60+) / 15-59	61.449	61.291	61.113	60.891	60.617	60.306	60.012	59.73	59.449	59.275	59.222	59.258	59.388	59.61	59.928	60.328	60.787	61.303	61.865	62.453	63.054	63.66	64.251	64.819	65.354	65.841	66.272	66.642	66.95	67.194	67.381	67.526	67.629	67.689	67.708	67.697	67.66	67.603	67.533	67.462	67.385	67.309	67.264	67.264	67.326	67.467	67.684	67.97	68.325	68.748	69.228	69.756	70.318	70.893	71.431	71.918	72.374	72.797	73.189	73.55	73.88	74.188	74.478	74.757	75.023	75.278	75.53	75.786	76.045	76.308	76.589	76.894	77.221	77.563	77.917	78.285	78.667	79.061	79.467
1831	Central and Southern Asia	(0-14 & 60+) / 15-59	58.26	57.792	57.419	57.06	56.729	56.433	56.172	55.973	55.832	55.716	55.652	55.639	55.678	55.784	55.93	56.102	56.294	56.519	56.791	57.115	57.479	57.875	58.312	58.781	59.285	59.811	60.345	60.897	61.456	62.031	62.625	63.218	63.825	64.458	65.101	65.755	66.428	67.124	67.849	68.614	69.404	70.19	70.968	71.729	72.458	73.176	73.9	74.629	75.351	76.053	76.739	77.414	78.046	78.636	79.223	79.775	80.288	80.761	81.177	81.567	81.951	82.335	82.719	83.102	83.487	83.873	84.26	84.645	85.035	85.421	85.809	86.206	86.604	87.004	87.407	87.802	88.187	88.568	88.945
1832	Eastern and South-Eastern Asia	(0-14 & 60+) / 15-59	55.765	56.426	57.181	57.803	58.377	58.763	59.248	59.915	60.644	61.376	61.957	62.636	63.418	64.183	65.002	65.793	66.537	67.372	68.334	69.414	70.673	71.903	73.056	74.341	75.805	77.479	79.188	80.892	82.73	84.29	85.376	86.258	87.001	87.63	88.138	88.52	88.796	88.995	89.238	89.487	89.668	89.866	90.142	90.533	91.054	91.735	92.592	93.609	94.732	95.932	97.361	98.901	100.448	101.965	103.467	105.079	106.392	107.289	107.818	107.914	107.824	107.698	107.548	107.367	107.158	106.926	106.686	106.446	106.214	106.003	105.818	105.663	105.536	105.453	105.422	105.447	105.548	105.72	105.951
1830	Latin America and the Caribbean	(0-14 & 60+) / 15-59	56.753	56.686	56.682	56.691	56.712	56.752	56.818	56.901	57	57.156	57.374	57.637	57.962	58.359	58.835	59.369	59.937	60.53	61.149	61.788	62.452	63.14	63.843	64.561	65.295	66.047	66.815	67.596	68.392	69.196	70.006	70.832	71.68	72.543	73.416	74.3	75.199	76.103	76.998	77.881	78.741	79.574	80.396	81.22	82.037	82.841	83.632	84.426	85.232	86.047	86.851	87.629	88.405	89.189	89.932	90.625	91.284	91.883	92.409	92.875	93.302	93.717	94.131	94.543	94.96	95.382	95.809	96.245	96.691	97.141	97.591	98.043	98.498	98.956	99.417	99.882	100.336	100.778	101.216
1835	Oceania (excluding Australia and New Zealand)	(0-14 & 60+) / 15-59	67.712	67.341	66.934	66.493	66.029	65.548	65.051	64.551	64.061	63.597	63.166	62.761	62.37	62	61.661	61.358	61.09	60.855	60.642	60.447	60.267	60.113	59.97	59.845	59.738	59.634	59.545	59.473	59.414	59.359	59.304	59.253	59.206	59.15	59.09	59.044	59.007	58.989	58.991	58.992	59.007	59.044	59.107	59.193	59.3	59.429	59.579	59.755	59.971	60.214	60.457	60.7	60.956	61.219	61.478	61.725	61.966	62.197	62.419	62.645	62.861	63.059	63.244	63.416	63.583	63.75	63.92	64.098	64.286	64.496	64.737	64.99	65.244	65.502	65.764	66.037	66.323	66.619	66.925
1836	Australia/New Zealand	(0-14 & 60+) / 15-59	67.625	68.077	68.44	68.693	68.883	69.048	69.239	69.495	69.807	70.186	70.608	70.994	71.285	71.516	71.718	71.881	72.036	72.231	72.508	72.883	73.355	73.908	74.512	75.156	75.842	76.578	77.364	78.21	79.123	80.064	81.001	81.96	82.953	83.926	84.781	85.503	86.153	86.762	87.29	87.698	88.018	88.323	88.654	89.033	89.501	90.054	90.645	91.252	91.871	92.478	93.068	93.645	94.195	94.737	95.256	95.687	96.043	96.388	96.7	96.97	97.244	97.512	97.766	98.021	98.274	98.52	98.749	98.95	99.13	99.299	99.457	99.609	99.76	99.905	100.054	100.22	100.393	100.574	100.762
1829	Europe and Northern America	(0-14 & 60+) / 15-59	66.995	67.548	68.17	68.778	69.311	69.765	70.22	70.695	71.194	71.701	72.184	72.682	73.256	73.926	74.618	75.302	76.013	76.779	77.63	78.501	79.348	80.219	81.099	81.99	82.894	83.792	84.676	85.537	86.379	87.145	87.769	88.244	88.602	88.884	89.103	89.271	89.414	89.555	89.722	89.887	90.025	90.204	90.445	90.735	91.106	91.588	92.175	92.798	93.399	94.001	94.634	95.267	95.901	96.547	97.17	97.708	98.11	98.386	98.548	98.653	98.75	98.831	98.904	98.967	99.013	99.047	99.079	99.115	99.153	99.202	99.269	99.357	99.466	99.597	99.76	99.951	100.163	100.395	100.645
901	More developed regions	(0-14 & 60+) / 15-59	68.379	68.896	69.487	70.074	70.562	70.998	71.485	71.989	72.524	73.085	73.653	74.261	74.944	75.698	76.448	77.174	77.911	78.686	79.528	80.376	81.196	82.037	82.888	83.746	84.61	85.465	86.308	87.126	87.92	88.645	89.243	89.705	90.066	90.358	90.587	90.769	90.929	91.085	91.265	91.439	91.582	91.759	91.988	92.26	92.61	93.07	93.632	94.23	94.81	95.39	95.997	96.607	97.217	97.838	98.435	98.938	99.302	99.543	99.679	99.765	99.842	99.905	99.962	100.011	100.046	100.072	100.098	100.128	100.162	100.206	100.269	100.352	100.457	100.584	100.74	100.924	101.13	101.356	101.6
